country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Afghanistan,,,0.047754668,0.06677223,0.033224265,0.124233752,0.150862663,0.09879339,0.34563402,0.409297187,0.289402198,0.024248644,0.029755532,0.018853864,0.070847903,0.076653202,0.065169192,0.013403111,0.016503548,0.010627812,0.099842677,0.107539341,0.092092114,0.074,0.113,0.047,0.12,0.173,0.08,565,471,694,0.0167,0.46,,
Albania,,,0.124182867,0.158566645,0.094191766,0.050126671,0.059810806,0.040927794,0.433050981,0.493792815,0.370286208,0.099534093,0.122554642,0.078967939,0.056162394,0.063105003,0.050161588,0.007239616,0.009299528,0.005737883,0.316201257,0.329558521,0.303378288,5.408,7.079,4.01,6.008,7.762,4.547,7130,6880,7357,0.0363,12.66,,
Algeria,,,0.122404768,0.160454387,0.091291981,0.081331776,0.100110708,0.063538634,0.377925546,0.448213389,0.321887245,0.049802581,0.06085922,0.03944968,0.095264723,0.102163232,0.087737823,0.020056315,0.023729028,0.016799257,0.17388416,0.184002783,0.162998103,3.082,4.39,2.051,3.115,4.435,2.078,3754,3701,3808,0.3237,7.46,Yes,70
Andorra,,,0.163095801,0.208121224,0.121755736,0.022854001,0.030428954,0.016581097,0.423269008,0.48568653,0.35415207,0.071552661,0.089599166,0.055666612,0.080133767,0.087602728,0.073231722,0.023512351,0.027271214,0.01916224,0.279813926,0.307552268,0.252313745,9.975,14.142,6.382,18.503,25.181,12.704,43899,42868,45202,0.0146,189.89,,
Angola,,,0.069634029,0.094300095,0.050103895,0.096515352,0.123153031,0.071146268,0.250167305,0.307053947,0.19804722,0.018221426,0.022660349,0.013936396,0.032917553,0.03622709,0.029881143,0.019572958,0.022314708,0.016952691,0.101913871,0.110165195,0.093851708,0.973,1.427,0.635,1.926,2.641,1.346,2250,2122,2410,0.0702,2.33,,
Antigua and Barbuda,,,0.193603235,0.231319244,0.153091029,0.05210006,0.063544026,0.041301132,0.392135618,0.453980553,0.337499943,0.056732964,0.070731924,0.044388245,0.131019283,0.142588559,0.119926786,0.080437037,0.085305288,0.073975116,0.089182121,0.099469223,0.080223242,0.781,1.197,0.49,1.974,2.782,1.372,16577,16502,16650,0.0048,51.88,,
Argentina,,,0.143492194,0.18208354,0.107108737,0.058438674,0.073817384,0.044708551,0.463833322,0.524568771,0.403281549,0.054010254,0.066426595,0.041953544,0.06792435,0.074606429,0.061941514,0.025138453,0.026632608,0.023390475,0.243252264,0.257602125,0.227552846,8.37,11.891,5.73,16.78,22.328,12.492,11428,11339,11541,1.106,24.55,Yes,100
Armenia,,,0.123804656,0.155450318,0.093015438,0.063017096,0.074976656,0.05172147,0.406208086,0.467337695,0.345941779,0.084104974,0.102742777,0.06753472,0.067930527,0.074762451,0.061610983,0.02072247,0.022643741,0.018879931,0.279252427,0.288618508,0.270051896,6.503,8.68,4.629,7.828,10.288,5.667,5341,5086,5631,0.113,38.05,,
Australia,0.0975,Direct,0.12772254,0.165011771,0.094887578,0.062031291,0.070493242,0.051981344,0.30516419,0.361310057,0.25400872,0.096779611,0.118083984,0.076169569,0.060496574,0.065322368,0.054859793,0.024983489,0.0271996,0.021647772,0.153793757,0.166550465,0.141272667,6.836,9.192,5.009,11.492,14.918,8.783,65290,59639,69493,7.3703,288.25,,
Austria,0.04,Direct,0.139690632,0.178527638,0.10537949,0.029529528,0.039167199,0.02165584,0.357473052,0.414346992,0.304885725,0.096022765,0.118691318,0.075384685,0.051772462,0.055655404,0.047696197,0.022593134,0.02470424,0.019118987,0.311283177,0.329402201,0.293582995,6.25,7.698,4.999,13.842,16.05,11.774,56611,56277,56950,2.1157,236.39,No,99
Azerbaijan,,,0.120852237,0.155934307,0.09044283,0.071329042,0.085481935,0.059461843,0.39861099,0.462896154,0.337720562,0.05643613,0.069213293,0.044352436,0.054927761,0.059556154,0.050469864,0.020270031,0.026285095,0.014639819,0.224206034,0.232598464,0.215623091,5.722,8.4,3.651,7.245,10.377,4.729,5633,5584,5687,0.1268,12.61,,
Bahamas,,,0.186453032,0.225670986,0.148530673,0.052959487,0.066657479,0.041296911,0.425400484,0.482716756,0.366276923,0.048725952,0.060687078,0.037789639,0.110014347,0.120383773,0.100650425,0.036626579,0.041144252,0.032539247,0.07175694,0.078344512,0.06565367,4.309,6.371,2.85,6.062,8.469,4.204,30857,29493,31979,0.0329,514.91,,
