Location ID,Location Name,2023 SDI Index Value,SDI Quintile
1,Global,0.68037732,
4,"Southeast Asia, East Asia, and Oceania",0.705549849,
5,East Asia,0.73058788,
6,China,0.727546233,
7,Democratic People's Republic of Korea,0.577062418,Low-middle SDI
8,Taiwan,0.881538492,High SDI
9,Southeast Asia,0.661305094,
10,Cambodia,0.499952096,Low SDI
11,Indonesia,0.665734141,
12,Lao People's Democratic Republic,0.515001047,Low SDI
13,Malaysia,0.770369501,High SDI
14,Maldives,0.661042336,Middle SDI
15,Myanmar,0.532024807,Low-middle SDI
16,Philippines,0.669427429,
17,Sri Lanka,0.730698335,High SDI
18,Thailand,0.687190705,High-middle SDI
19,Timor-Leste,0.48455339,Low SDI
20,Viet Nam,0.643024773,Middle SDI
21,Oceania,0.475630344,
22,Fiji,0.686412724,High-middle SDI
23,Kiribati,0.542669378,Low-middle SDI
24,Marshall Islands,0.605455947,Low-middle SDI
25,Micronesia (Federated States of),0.596829009,Low-middle SDI
26,Papua New Guinea,0.428966707,Low SDI
27,Samoa,0.604471062,Low-middle SDI
28,Solomon Islands,0.457971904,Low SDI
29,Tonga,0.635995078,Middle SDI
30,Vanuatu,0.47652376,Low SDI
31,"Central Europe, Eastern Europe, and Central Asia",0.777025756,
32,Central Asia,0.669703021,
33,Armenia,0.717333897,High-middle SDI
34,Azerbaijan,0.705300182,High-middle SDI
35,Georgia,0.754636731,High SDI
36,Kazakhstan,0.727191907,High SDI
37,Kyrgyzstan,0.625155843,Low-middle SDI
38,Mongolia,0.659701948,Middle SDI
39,Tajikistan,0.551177878,Low-middle SDI
40,Turkmenistan,0.68217236,High-middle SDI
41,Uzbekistan,0.632081447,Middle SDI
42,Central Europe,0.807905318,
43,Albania,0.706769528,High-middle SDI
44,Bosnia and Herzegovina,0.712911466,High-middle SDI
45,Bulgaria,0.770843817,High SDI
46,Croatia,0.782134817,High SDI
47,Czechia,0.831028549,High SDI
48,Hungary,0.793540954,High SDI
49,North Macedonia,0.758479657,High SDI
50,Montenegro,0.788565649,High SDI
51,Poland,0.847010383,
52,Romania,0.768749995,High SDI
53,Serbia,0.784527,High SDI
54,Slovakia,0.813142262,High SDI
55,Slovenia,0.844869502,High SDI
56,Eastern Europe,0.814512711,
57,Belarus,0.803625987,High SDI
58,Estonia,0.854864372,High SDI
59,Latvia,0.850848669,High SDI
60,Lithuania,0.856212952,High SDI
61,Republic of Moldova,0.733721563,High SDI
62,Russian Federation,0.822527587,
63,Ukraine,0.764539755,
64,High-income,0.866532055,
65,High-income Asia Pacific,0.88192356,
66,Brunei Darussalam,0.832363636,High SDI
67,Japan,0.875884615,
68,Republic of Korea,0.891662816,High SDI
69,Singapore,0.869994129,High SDI
70,Australasia,0.855659571,
71,Australia,0.852885633,High SDI
72,New Zealand,0.866428977,
73,Western Europe,0.864677231,
74,Andorra,0.879856435,High SDI
75,Austria,0.853959788,High SDI
76,Belgium,0.876977561,High SDI
77,Cyprus,0.855815762,High SDI
78,Denmark,0.915997393,High SDI
79,Finland,0.890814539,High SDI
80,France,0.861097892,High SDI
81,Germany,0.878636361,High SDI
82,Greece,0.831186601,High SDI
83,Iceland,0.888955129,High SDI
84,Ireland,0.906904855,High SDI
85,Israel,0.840916013,High SDI
86,Italy,0.834438783,
87,Luxembourg,0.894754483,High SDI
88,Malta,0.830489754,High SDI
89,Netherlands,0.908398987,High SDI
90,Norway,0.916927038,
91,Portugal,0.786465058,High SDI
92,Spain,0.811819069,High SDI
93,Sweden,0.910929822,High SDI
94,Switzerland,0.946051932,High SDI
95,United Kingdom,0.880444447,
96,Southern Latin America,0.770206803,
97,Argentina,0.764732074,High SDI
98,Chile,0.788516847,High SDI
99,Uruguay,0.74544431,High SDI
100,High-income North America,0.877595411,
101,Canada,0.887304956,High SDI
102,United States of America,0.876474869,
103,Latin America and Caribbean,0.674425798,
104,Caribbean,0.663515164,
105,Antigua and Barbuda,0.755887688,High SDI
106,Bahamas,0.813602294,High SDI
107,Barbados,0.754813931,High SDI
108,Belize,0.628522126,Low-middle SDI
109,Cuba,0.694939298,High-middle SDI
110,Dominica,0.753685227,High SDI
111,Dominican Republic,0.658139789,Middle SDI
112,Grenada,0.67808647,High-middle SDI
113,Guyana,0.695688397,High-middle SDI
114,Haiti,0.463836212,Low SDI
115,Jamaica,0.691852979,High-middle SDI
116,Saint Lucia,0.702920044,High-middle SDI
117,Saint Vincent and the Grenadines,0.658472095,Middle SDI
118,Suriname,0.65490603,Middle SDI
119,Trinidad and Tobago,0.770471835,High SDI
120,Andean Latin America,0.678665537,
121,Bolivia (Plurinational State of),0.631747023,Middle SDI
122,Ecuador,0.690979605,High-middle SDI
123,Peru,0.685620489,High-middle SDI
124,Central Latin America,0.667308076,
125,Colombia,0.688834441,High-middle SDI
126,Costa Rica,0.715365905,High-middle SDI
127,El Salvador,0.60815202,Low-middle SDI
128,Guatemala,0.553757434,Low-middle SDI
129,Honduras,0.520259889,Low SDI
130,Mexico,0.69344081,
131,Nicaragua,0.535746846,Low-middle SDI
132,Panama,0.715355452,High-middle SDI
133,Venezuela (Bolivarian Republic of),0.580216981,Low-middle SDI
134,Tropical Latin America,0.683619505,
