location_name,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,iso3,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Austria,8982311.518103808,400434.13627888355,0.0960227654285242,0.011334276367180901,0.139690631560241,0.019418503140550145,AUT,45775.6169848758,55805.1702329595,39649.9453029265
Iran (Islamic Republic of),85355878.93154576,4287652.70452366,0.0546470228562626,0.005864830036726252,0.145084158054412,0.015186866036267607,IRN,17031.0964560073,19797.8056555916,13039.8771731888
Andorra,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.022512711619747397,AND,44149.1876753066,49135.2624360747,38533.5607629857
Democratic People's Republic of Korea,26392264.573529582,1938851.2937431,0.0417961815726114,0.0053469198411781015,0.0883897451023331,0.016559948550765494,PRK,1356.87052768278,1595.11005914684,1097.35469818356
Finland,5535925.357873723,261282.4182686666,0.1057829784069062,0.012815778985398096,0.1974897512031024,0.01957688362198226,FIN,42286.6816943372,47864.2288018491,37738.5458334529
Lebanon,5540425.250013071,426669.5627838215,0.0622605888227428,0.006647806521725402,0.1339940084232316,0.020570116260540852,LBN,9033.46756496238,11681.111222266,6718.30325286337
Denmark,5851783.434464665,278731.8169769016,0.0818561264799914,0.0092143063310334,0.2824035440767937,0.01808245777918685,DNK,51110.1491007749,58705.6150325108,46411.3038024009
Iceland,350385.939370038,16826.492549955903,0.0700962833281334,0.008800218064627947,0.1278282294091427,0.017064572667913502,ISL,45869.2440128141,56485.6255525673,38489.6552192332
Oman,4703760.372627607,178576.73143588612,0.0293650333829981,0.003562133045877299,0.1356158808069097,0.024279327521571956,OMN,38673.3983293269,48145.8014787942,26908.5719678947
Indonesia,278914182.19223595,10597419.522794515,0.0354502668224699,0.00316812480383585,0.1520311238194668,0.017967182461201353,IDN,11983.2883855727,12425.5718640891,11335.0927743284
Luxembourg,644266.3476050614,29269.746857443242,0.0703110177919377,0.008409319743684397,0.1478120943858599,0.019792752411188747,LUX,92246.8120121366,127871.101049954,52202.9941076779
Greece,10174910.315580329,667049.4981771838,0.1143158216775471,0.014066171946325846,0.1423009591186389,0.021779236501793545,GRC,25150.9531390094,29135.3753894609,22619.0586342761
