location_name,iso3,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
China,CHN,16742.3126211866,19030.0350901559,14333.2294559336
Democratic People's Republic of Korea,PRK,1356.87052768278,1595.11005914684,1097.35469818356
Taiwan (Province of China),TWN,52586.8871458795,58546.4927730349,46148.2066226682
Cambodia,KHM,3938.45875581318,4233.15604307984,3579.7529862585902
Indonesia,IDN,11983.2883855727,12425.5718640891,11335.0927743284
Lao People's Democratic Republic,LAO,6613.50141325783,7634.8798100153,5973.68499310592
Malaysia,MYS,26113.1678322797,27708.1176796672,23689.2965693469
Maldives,MDV,17069.6094010039,21082.61722073,13521.7203911959
Myanmar,MMR,4598.01067818968,5504.75463654514,3860.28778696559
Philippines,PHL,7737.06080390718,7995.42616788225,7536.40296439283
Sri Lanka,LKA,11836.8632384707,12507.5208082613,10975.6434906953
Thailand,THA,15983.4114697328,16590.834442452,15501.6545698878
Timor-Leste,TLS,3722.98661819435,4953.83512579926,2817.41918278498
Viet Nam,VNM,8341.49539658774,9437.0426858375,7036.37698709363
Fiji,FJI,9016.1402505057,11480.0809763111,7088.12787872941
Kiribati,KIR,1757.11991281219,1890.54980248677,1614.81457891463
Marshall Islands,MHL,4915.84407441149,5439.87920126707,4390.6940173868
Micronesia (Federated States of),FSM,2881.69209801768,3077.09233038156,2689.18071671274
Papua New Guinea,PNG,2922.80518357571,3255.36335296282,2635.70385609697
Samoa,WSM,4780.21566941977,5132.35244720356,4444.298872616
Solomon Islands,SLB,2009.25508923747,2258.15431481023,1781.02207560095
Tonga,TON,5302.75719616437,5643.44432789016,4961.48799732452
Vanuatu,VUT,2365.38075564744,2578.52334864725,2171.48565145969
Armenia,ARM,11938.9681284534,14089.0820834192,10550.2234482824
Azerbaijan,AZE,15638.851191204,16961.4463113149,14630.5552453253
Georgia,GEO,12971.4944635269,15621.6899761326,11560.8643237088
Kazakhstan,KAZ,25210.2236945516,28522.0402086556,23047.6954788061
Kyrgyzstan,KGZ,4217.86206142112,5161.66685570111,3436.73104776224
