Country,GDP_per_capita_PPP_2021
Aruba,35696.30937
Africa Eastern and Southern,3907.249127
Afghanistan,2144.16657
Africa Western and Central,4746.752785
Angola,7408.126591
Albania,16126.77749
Andorra,59332.20291
Arab World,16001.63057
United Arab Emirates,67401.12129
Argentina,26300.27426
Armenia,15921.70528
American Samoa,
Antigua and Barbuda,25745.49581
Australia,58182.33695
Austria,62968.94223
Azerbaijan,20111.3757
Burundi,836.6655713
Belgium,60669.21377
Benin,3464.288629
Burkina Faso,2486.430931
Bangladesh,7441.06914
Bulgaria,30971.91319
Bahrain,54954.67579
"Bahamas, The",31064.68222
Bosnia and Herzegovina,18285.67112
Belarus,27611.18011
Belize,11677.46101
Bermuda,92319.67149
Bolivia,9454.198147
Brazil,18075.706
Barbados,15683.88471
Brunei Darussalam,78248.79711
Bhutan,13458.81267
Botswana,17960.62544
Central African Republic,1128.55238
Canada,56995.11768
Central Europe and the Baltics,40160.75267
Switzerland,81001.41112
Channel Islands,
Chile,29089.85046
China,20843.29783
Cote d'Ivoire,6045.204805
Cameroon,4793.556282
"Congo, Dem. Rep.",1313.618218
"Congo, Rep.",6263.211613
Colombia,17383.09017
Comoros,3449.043575
Cabo Verde,7685.419214
Costa Rica,23852.9253
Caribbean small states,23346.62886
Cuba,
Curacao,25163.86693
Cayman Islands,74150.85809
Cyprus,48781.27734
Czechia,47796.03374
Germany,62530.76532
Djibouti,5960.108074
Dominica,15808.97435
Denmark,69715.18097
Dominican Republic,22053.45899
Algeria,14496.86547
East Asia & Pacific (excluding high income),17966.40334
Early-demographic dividend,10755.40804
East Asia & Pacific,21435.04821
Europe & Central Asia (excluding high income),21837.87752
Europe & Central Asia,42234.93331
Ecuador,13507.44456
"Egypt, Arab Rep.",15579.01609
Euro area,54187.80475
Eritrea,
Spain,44251.66582
Estonia,44251.5375
Ethiopia,2588.413102
European Union,51978.49777
Fragile and conflict affected situations,5175.207574
Finland,56790.37662
Fiji,10685.19703
France,52517.33549
Faroe Islands,67770.48866
"Micronesia, Fed. Sts.",3944.705715
Gabon,18523.5798
United Kingdom,51004.42717
Georgia,18915.6534
Ghana,6607.502974
Gibraltar,
Guinea,3738.805126
"Gambia, The",2777.79621
Guinea-Bissau,2483.850629
Equatorial Guinea,16821.44865
Greece,33531.15511
Grenada,15298.12311
Greenland,69302.00888
Guatemala,11825.14092
Guam,
Guyana,22865.9271
High income,55348.59771
"Hong Kong SAR, China",65884.93763
Honduras,6202.980788
Heavily indebted poor countries (HIPC),2997.162415
Croatia,36930.47013
Haiti,3134.950149
Hungary,38887.19095
IBRD only,16411.87436
IDA & IBRD total,13171.91361
IDA total,4483.673978
IDA blend,5601.417065
Indonesia,12757.07464
IDA only,3899.179721
Isle of Man,
India,8050.018575
Not classified,
Ireland,116903.6124
"Iran, Islamic Rep.",14951.89487
Iraq,12731.75358
Iceland,61610.21327
Israel,46162.08227
Italy,49825.39341
Jamaica,9577.164211
Jordan,9182.496161
Japan,44355.34872
Kazakhstan,32945.85157
Kenya,5338.852434
Kyrgyz Republic,5736.478834
Cambodia,6225.532655
Kiribati,3020.493999
St. Kitts and Nevis,26896.61771
"Korea, Rep.",48419.64325
Kuwait,50651.95758
Latin America & Caribbean (excluding high income),17833.33748
Lao PDR,8080.435532
Lebanon,11599.77551
Liberia,1539.208923
Libya,12641.50977
St. Lucia,19101.1653
Latin America & Caribbean,18654.76512
Least developed countries: UN classification,3666.728362
Low income,2091.295141
Liechtenstein,
Sri Lanka,14316.13522
Lower middle income,7652.719664
Low & middle income,12322.54918
Lesotho,2544.782496
Late-demographic dividend,22182.23805
Lithuania,45873.52732
Luxembourg,136772.4438
Latvia,36912.01306
"Macao SAR, China",74177.78252
St. Martin (French part),
Morocco,8623.265625
Monaco,
Moldova,15682.07033
Madagascar,1577.432461
Maldives,19052.62249
"Middle East, North Africa, Afghanistan & Pakistan",13446.2073
Mexico,20782.58774
Marshall Islands,6705.875292
Middle income,13344.20391
North Macedonia,22142.97287
Mali,2796.227938
Malta,56802.01025
Myanmar,5178.447182
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",9293.238001
Montenegro,23842.06192
Mongolia,14792.25091
Northern Mariana Islands,
Mozambique,1457.235409
Mauritania,5836.565808
Mauritius,22737.57294
Malawi,1687.593582
Malaysia,29822.84918
North America,69833.49488
Namibia,9709.099306
New Caledonia,
Niger,1585.59922
Nigeria,5491.700341
Nicaragua,7119.169234
Netherlands,68573.56488
Norway,88984.13867
Nepal,4546.2297
Nauru,12196.64515
New Zealand,47996.67988
OECD members,50780.34531
Oman,38719.45877
Other small states,23574.50784
Pakistan,5367.273647
Panama,30932.76278
Peru,15280.55121
Philippines,8857.789951
Palau,15663.17159
Papua New Guinea,3976.903801
Poland,41059.58478
Pre-demographic dividend,4006.29508
Puerto Rico (US),40559.47481
"Korea, Dem. People's Rep.",
Portugal,38657.66772
Paraguay,15406.16706
West Bank and Gaza,5663.121607
Pacific island small states,6218.58853
Post-demographic dividend,56153.82012
French Polynesia,
Qatar,116832.5703
Romania,37730.37084
Russian Federation,38638.42969
Rwanda,2733.435668
South Asia,8015.356745
Saudi Arabia,62690.49666
Sudan,3248.975586
Senegal,4173.677414
