Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,fits_high,fits_mid,fits_low,selected_Mean_total_billions,SD_total_billions,selected_model
Afghanistan,0.7244879449874714,0.646498182176111,0.3575036659096231,0.4829453229385795,0.24068511080252408,0.3446354745610007,0.1252260056102696,0.17600621485905257,0.0316503127915267,0.07702321610377795,0.06191533241874139,0.1250439776108018,0.00450092733458731,0.02986567694404623,0.00183303258019555,0.01430782178430604,7.837998398269454e-4,0.00425148469025377,0.0167,0.46,2144.16657,FALSE,FALSE,TRUE,0.00450092733458731,0.02986567694404623,low
Albania,0.12439003364193515,0.05385433897240687,0.05292503164010348,0.03648341068704197,0.0306456426697831,0.02684643632333327,0.02490956013620934,0.01874039976478843,0.00566975135019205,0.00659593105811676,0.0075462762943655,0.01088316479835137,0.00156735423393947,0.0033704212958571,4.364018346921742e-4,0.00166931530693355,1.2410294597396397e-4,5.369308323351741e-4,0.0363,12.66,16126.77749,FALSE,FALSE,TRUE,0.00156735423393947,0.0033704212958571,low
Algeria,1.883712378795502,0.8258687367549412,0.7572330287597066,0.5509551818109767,0.4614280427025205,0.39886566813173,0.39217355851829977,0.29893059652936127,0.08320205441753381,0.1088227582625434,0.1194919035348756,0.1646095817529203,0.02251202871653446,0.05037723244068847,0.00556580870138862,0.02359349483796115,0.00172861195577094,0.00648373600447891,0.3237,7.46,14496.86547,FALSE,FALSE,TRUE,0.02251202871653446,0.05037723244068847,low
Andorra,0.00894192997643359,0.00248195342573672,0.00355940121438136,0.00135037269543926,0.00190513186226097,0.00122306741504193,0.00185965783057347,0.00113042632363308,4.01840059962388e-4,3.697288362500197e-4,4.682846652312504e-4,5.03620487503276e-4,1.2228112648216588e-4,2.1510943651882703e-4,2.759499613009676e-5,8.07333412466666e-5,8.625544885571016e-6,2.8247016532829815e-5,0.0146,189.89,59332.20291,FALSE,TRUE,TRUE,0.00185965783057347,0.00113042632363308,mid
Angola,0.8095968745248726,0.42286033755919855,0.3274459450203277,0.29860012392662316,0.2006406194059029,0.21303853210807136,0.16333217816785578,0.1488296662592637,0.03099438927933889,0.0501689469826379,0.0497809772235262,0.08009682325629637,0.00878187228084723,0.0243733095932083,0.001958793828301,0.00994220490222773,4.896303717661379e-4,0.00243583542903366,0.0702,2.33,7408.126591,FALSE,FALSE,TRUE,0.00878187228084723,0.0243733095932083,low
Antigua and Barbuda,0.00409949937458215,0.00139027542612092,0.00141091297166777,7.910879754986633e-4,8.261570381084021e-4,6.335833856116377e-4,9.068254686727176e-4,5.868000522283502e-4,1.5893378299535943e-4,1.757484483725906e-4,1.943406207242843e-4,2.415749081864984e-4,5.7328356719483675e-5,1.0471495405351364e-4,1.0222043039227355e-5,3.46005017248352e-5,3.3133753613739483e-6,1.1115681724380309e-5,0.0048,51.88,25745.49581,FALSE,TRUE,TRUE,9.068254686727176e-4,5.868000522283502e-4,mid
Argentina,1.7160094065897111,0.5744685558235907,0.49588172455801555,0.2894496324573849,0.29929032248732806,0.23055884252285663,0.4071458968674676,0.2768358898178153,0.05688796014432565,0.06139978636588752,0.0722344418869113,0.09235062091959444,0.02869543776295746,0.05563310862783018,0.00388415076006154,0.01441027565975751,0.0011636846916196,0.0043190305297515,1.106,24.55,26300.27426,FALSE,TRUE,TRUE,0.4071458968674676,0.2768358898178153,mid
Armenia,0.17197564945493918,0.07270139184836379,0.07865129206570136,0.05304571701259599,0.04549121693261017,0.03909862085063723,0.03307999309007159,0.02579239115353433,0.00790805734717839,0.00926825296902316,0.01159970785417869,0.01587454677785959,0.00182851361018365,0.00391904555100753,5.85074903242675e-4,0.00220518950837614,1.558086207678482e-4,5.96723855070718e-4,0.113,38.05,15921.70528,FALSE,TRUE,TRUE,0.03307999309007159,0.02579239115353433,mid
Australia,3.95251721361347,0.8744257508625867,1.6037250282488555,0.3386493093691321,0.8228276248685372,0.4184074944255142,0.8208814001077508,0.4785020826235384,0.18227872178721777,0.14383122479258584,0.199212905571001,0.19529527563364105,0.0510433654922685,0.08251640368663989,0.0121960085195752,0.03265538465185975,0.00347901504146422,0.01132964846173694,7.3703,288.25,58182.33695,TRUE,TRUE,TRUE,3.95251721361347,0.8744257508625867,high
Austria,1.1726606803641164,0.32688018826291526,0.5027622057486166,0.18744842546841,0.27321999839947764,0.1668484174163072,0.23385102865923127,0.15421914062943845,0.05681763806849856,0.05182852019661264,0.06617787044572891,0.07339564979822878,0.01373056179294239,0.02297107485101058,0.00363676415220451,0.01057717104783998,0.00125636598878878,0.00388233583917391,2.1157,236.39,62968.94223,TRUE,TRUE,TRUE,1.1726606803641164,0.32688018826291526,high
