Country_df1,Procedure,Predicted_Mean,Predicted_SD
Afghanistan,Consult_perio,37071.21505554183,490760399.78050035
Afghanistan,Consult_simple,54477.49080561588,721190150.545278
Afghanistan,Denture,236383.8981294544,3129324360.5281277
Afghanistan,Denture_repair,57067.93674144329,755483288.2579676
Afghanistan,Extraction,33140.695831994955,438726950.5773175
Afghanistan,Full_fixed,4445119.370802925,58845887738.4753
Afghanistan,GTR,111610.53951007828,1477535411.4403405
Afghanistan,Implant_surgery,818384.4735622512,10834030954.146576
Afghanistan,Maintenance_perio,47237.13103891818,625339991.6461018
Afghanistan,Maintenance_simp,39847.758247892685,527517151.4824447
Afghanistan,OFD,103096.69524052413,1364826464.3196366
Afghanistan,OHI,14209.39413232413,188108426.8365685
Afghanistan,OPG,29812.120552361986,394662224.5497316
Afghanistan,PA,8629.0030541821,114233455.31655306
Afghanistan,Prophy,44354.89902057712,587184098.0380297
Afghanistan,RootDeb,92395.85743902149,1223165409.2508018
Afghanistan,Single_implant,1147978.059618394,15197294467.782633
Albania,Consult_perio,375881.9866525061,4976043913.410824
Albania,Consult_simple,227071.68131249637,3006046306.6233406
Albania,Denture,1834713.576083508,24288515138.563046
Albania,Denture_repair,211509.31702440485,2800026835.502395
Albania,Extraction,171919.20974643846,2275920548.5631113
Albania,Full_fixed,25865815.948146,342419803514.46136
Albania,GTR,962917.06369518,12747398822.145384
Albania,Implant_surgery,6393343.311528582,84637088770.86594
Albania,Maintenance_perio,335855.8250381107,4446165002.074113
Albania,Maintenance_simp,284917.2017806425,3771823492.7211213
Albania,OFD,738744.4054834419,9779730694.758125
Albania,OHI,147416.23617063556,1951542480.839798
Albania,OPG,184640.64425898317,2444330898.1511703
Albania,PA,68341.8352137783,904730700.65269
Albania,Prophy,308857.1625825921,4088748220.33773
Albania,RootDeb,447834.08704310993,5928568439.511046
Albania,Single_implant,6820619.077557732,90293499693.4326
Algeria,Consult_perio,311155.25302801037,4119171064.1542993
Algeria,Consult_simple,197298.15944423646,2611895063.5888505
Algeria,Denture,1417279.7749660548,18762395241.727604
Algeria,Denture_repair,319897.41664898174,4234902574.63073
Algeria,Extraction,236865.46843809995,3135699539.675593
Algeria,Full_fixed,25826071.604756292,341893655401.3843
Algeria,GTR,881014.3541032276,11663145003.050665
Algeria,Implant_surgery,5201086.845948994,68853622844.21414
Algeria,Maintenance_perio,364388.2750452976,4823886545.629262
Algeria,Maintenance_simp,245184.15685428938,3245824952.254112
Algeria,OFD,584242.7971029745,7734389829.023715
Algeria,OHI,124336.80786315884,1646009752.9291315
Algeria,OPG,175700.06476465,2325972695.9629097
Algeria,PA,74906.23273037643,991632258.7682565
Algeria,Prophy,236483.00463632584,3130636363.624336
Algeria,RootDeb,354705.04187741,4695696860.62648
Algeria,Single_implant,4952243.790117736,65559360236.97616
Andorra,Consult_perio,905199.6387722339,11983317405.147112
Andorra,Consult_simple,665017.0547200216,8803704846.098915
Andorra,Denture,3507044.9168218537,46427363194.03084
Andorra,Denture_repair,1266918.4581341522,16771864857.1856
Andorra,Extraction,711933.051087203,9424793555.998552
Andorra,Full_fixed,90641035.24249458,1199934521311.9805
Andorra,GTR,3663482.456056519,48498332521.053345
Andorra,Implant_surgery,13458209.989644257,178164014989.85626
Andorra,Maintenance_perio,1089176.3680413964,14418859187.933798
Andorra,Maintenance_simp,1236626.3776697286,16370848772.424675
Andorra,OFD,2685597.698917845,35552786667.38726
Andorra,OHI,395284.44778535573,5232899793.856519
Andorra,OPG,591842.4280004014,7834996132.103277
Andorra,PA,251446.89244715657,3328733014.9833803
Andorra,Prophy,711228.4552684149,9415465895.030493
Andorra,RootDeb,1235960.3783723554,16362032064.341522
Andorra,Single_implant,23138100.82039439,306309453082.81067
Angola,Consult_perio,165788.03604548622,2194754143.5209546
Angola,Consult_simple,60886.75482970156,806038002.7143115
Angola,Denture,902415.7745198713,11946463734.951054
Angola,Denture_repair,120944.48206567763,1601101077.5036488
Angola,Extraction,96072.31932223112,1271835567.5091298
Angola,Full_fixed,12091605.320854113,160072472735.50845
Angola,GTR,411543.09148058796,5448136830.673527
Angola,Implant_surgery,2521885.1127178404,33385507981.424603
Angola,Maintenance_perio,207817.81009603577,2751157506.2062116
Angola,Maintenance_simp,164325.6791258638,2175395002.8663945
Angola,OFD,511871.9404316797,6776321675.6262865
Angola,OHI,60965.076690003785,807074852.1247202
Angola,OPG,89091.68637323462,1179423753.8785882
Angola,PA,30542.164142129892,404326771.11058486
Angola,Prophy,95328.22792005539,1261985051.5911088
Angola,RootDeb,255150.22603748675,3377758909.348807
Angola,Single_implant,3923255.3550940724,51937287828.90617
Antigua and Barbuda,Consult_perio,462500.8720860666,6122731951.022387
Antigua and Barbuda,Consult_simple,228604.29515259323,3026335530.4793205
Antigua and Barbuda,Denture,2772346.390287439,36701193116.789925
Antigua and Barbuda,Denture_repair,418325.79779895284,5537928429.341314
Antigua and Barbuda,Extraction,410618.1689578732,5435892415.530041
Antigua and Barbuda,Full_fixed,44256418.37870588,585880380339.4606
Antigua and Barbuda,GTR,1198437.757174461,15865295808.1303
Antigua and Barbuda,Implant_surgery,7961632.982069078,105398600486.4369
Antigua and Barbuda,Maintenance_perio,663836.6580930161,8788078384.443941
Antigua and Barbuda,Maintenance_simp,456802.4085543134,6047293899.24049
Antigua and Barbuda,OFD,939254.245738661,12434142998.647943
Antigua and Barbuda,OHI,200826.93643100353,2658610122.757195
Antigua and Barbuda,OPG,308154.14420745586,4079441442.064668
Antigua and Barbuda,PA,80949.0965674427,1071629590.0684196
Antigua and Barbuda,Prophy,333429.3795817738,4414042954.269277
Antigua and Barbuda,RootDeb,513874.5541466263,6802832905.589498
Antigua and Barbuda,Single_implant,14400656.271333665,190640415163.96918
Argentina,Consult_perio,470017.65251773945,6222241453.588815
Argentina,Consult_simple,257672.40898361616,3411148360.14257
Argentina,Denture,2647711.9544741837,35051243271.48571
Argentina,Denture_repair,560298.593928838,7417408939.550332
Argentina,Extraction,311602.80791187123,4125095936.4143047
Argentina,Full_fixed,54775133.72496331,725130441088.0056
Argentina,GTR,1149407.8757449922,15216222823.188591
Argentina,Implant_surgery,11814257.974229036,156400861365.2349
Argentina,Maintenance_perio,899946.9989161328,11913781307.346676
Argentina,Maintenance_simp,488513.6853385058,6467097751.065785
Argentina,OFD,1214723.3780242342,16080889977.000511
Argentina,OHI,220283.99049123985,2916188721.539188
