Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.287684481247007,0.35268836522284414,0.11265069237178606,0.17225448996820966,0.038652214407791305,0.07106193300632943
Albania,0.14066695826204245,0.058497442414577806,0.04934962265748802,0.036243065661195104,0.016034962405747533,0.018861292818111136
Algeria,2.3526229202389666,0.9475612942919812,0.7866358180564315,0.5961577241299872,0.2520917360013293,0.2687815875250642
American Samoa,0.002710572327177191,0.0011190443980790593,9.548722847983872e-4,7.01396892540486e-4,3.2011323460619386e-4,3.5120518071846645e-4
Andorra,0.011560308005967692,0.0030126020645612718,0.004025654045945827,0.0018338747675182496,0.0012194560138384582,0.0010575743582416468
Angola,0.8511058474431067,0.505907276654873,0.24051855356099303,0.2563967172938353,0.08084967062481363,0.13421305193138922
Antigua and Barbuda,0.00789029456427566,0.0027815030120633888,0.00320860855844938,0.002075497866327695,9.783275632936073e-4,9.550382389539859e-4
Argentina,3.2310042231996303,1.1389322560630686,1.1173287208738352,0.7043195611133586,0.3723197671518696,0.3965004707816653
Armenia,0.15561624227814158,0.06636843696255874,0.05392379819312132,0.04233219038989648,0.016976592274857344,0.019378303384288482
Australia,5.0291336554805515,0.9222643273729624,1.6863291220873806,0.40336170335514177,0.47615665779864375,0.3302198794601666
Austria,1.1246800999444455,0.2846891327940969,0.35249828826009433,0.15054354580202037,0.11223485529905718,0.09167556017812187
Azerbaijan,0.6400220535131582,0.23237997797600263,0.20509833557740428,0.14191838377342805,0.06680149544844173,0.06703589484697539
Bahamas,0.04123415374376218,0.012443949243349819,0.015807292542003644,0.008445387026242318,0.005021920750246354,0.0043959989088932575
Bahrain,0.21348676564590943,0.05647567973127995,0.07012202807587997,0.03193652664025932,0.022850052004644864,0.02409874253543086
Bangladesh,6.747797322217956,4.559354966571248,3.3266181623751567,3.6294508284506057,1.002157837404744,1.320113763271775
Barbados,0.02008232056408623,0.0084925835236404415,0.008698870353438132,0.006425920247173689,0.002796369602923703,0.0029778104459993113
Belarus,0.7043011908447401,0.2438145467628891,0.26557392876821156,0.17175678340996872,0.08257599708523554,0.07817498440608935
Belgium,1.6797434662659194,0.45265016470856856,0.6823329566369796,0.2826230893453574,0.2152493115096061,0.17776904192287435
Belize,0.018269461003436013,0.009110593914105795,0.0066546936591875,0.0060301137829853755,0.0020013126767179,0.0021996819355537475
Benin,0.295897430476565,0.22841578660876952,0.13528274833467455,0.17054307014707915,0.04550976814986977,0.06512536180747458
Bermuda,0.014417185781924385,0.003625121065438573,0.006416358052544016,0.0022771615399480877,0.0019767634881809625,0.001464811224468403
Bhutan,0.04419209855139693,0.02169065244064153,0.01973444170515029,0.015951858271455364,0.006310806902966386,0.009343629885750677
Bolivia (Plurinational State of),0.3926306341780736,0.21139343650748846,0.13815104570728606,0.1331073532555034,0.04556829235254009,0.055689940895246766
Bosnia and Herzegovina,0.17756416910920161,0.06939837806513521,0.06355110738468163,0.04525595247270099,0.020804474084033575,0.021159518058238347
Botswana,0.15982392492777364,0.0375978786356161,0.015847684716431686,0.005205789374731422,0.003360593622586241,0.002724112838340885
Brazil,14.65511452643164,2.8737272045001134,3.2135973678663396,1.029418306369769,0.5572849717118391,0.37942051601124704
Brunei Darussalam,0.0727861518447797,0.01711136119619013,0.016858760430045496,0.0066601095378083655,0.0051345266838755226,0.004107047961327825
Bulgaria,0.47615361151296576,0.15095321502786835,0.14866487208948226,0.09293742359584799,0.048533838250361984,0.04999826137283194
Burkina Faso,0.5081214584307985,0.46719673782532545,0.2603036240170095,0.34581113765430566,0.08819667240118974,0.15833397696714782
Burundi,0.10438677307174819,0.5923931806086592,0.04363575161161821,0.06728422197537827,0.015008800933721912,0.023755238310271574
Cabo Verde,0.030983153437445093,0.020012204916862716,0.016036363207468114,0.01643961604417653,0.005526108663454815,0.007553086813801324
Cambodia,0.4054221035035574,0.3021101174211707,0.15462197167836877,0.1886375899171503,0.050561479872054414,0.06685731874807473
Cameroon,0.9636985881355613,0.7336138158488407,0.4832611284396306,0.5866617139888113,0.165324168100276,0.22825415072482916
Canada,6.388407716830018,1.517831584862059,2.4600098026302666,0.649526841557474,0.8604771480796768,0.6282641551077683
Central African Republic,0.04540388203598025,0.15634754496280034,0.019327527433794373,0.030260510952300243,0.007253609259096642,0.011798695616245388
Chad,0.2731025416902457,0.3342938696355131,0.11863222676429731,0.1726075764173117,0.046786284824148545,0.07537424591605112
Chile,2.391021486816371,0.5034739752770535,0.9183689279727912,0.3120185464661006,0.15651274417677077,0.12095981171153168
