Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.7341325808660389,0.660189219230566,0.36102549555852254,0.5069725920469177,0.2453621417782567,0.34353404535992
Albania,0.1238800402886708,0.05301199284248621,0.05332769717064664,0.03664251380717946,0.03063371250951241,0.02756564523363914
Algeria,1.8528666177157045,0.8076355524539582,0.7707813610605712,0.5592909689688061,0.44893401750103984,0.4121276532529883
Andorra,0.008782256128119,0.00253856379687868,0.00343313726700732,0.00135231064983727,0.00187102914310548,0.001238643952972
Angola,0.7857995537583476,0.4431957457219631,0.31905276045399183,0.29501795540181935,0.19297953976040175,0.21484372014979208
Antigua and Barbuda,0.00411605783791562,0.00141055597381026,0.00142612718462007,8.000601009748567e-4,8.075270909798027e-4,6.470187660440104e-4
Argentina,1.7285825522915503,0.5926130180417087,0.5061231513154267,0.29268243742636885,0.2921407290086381,0.23150529885167936
Armenia,0.17012716782301637,0.07633606671947449,0.07687199611296085,0.05438697090640482,0.04534389733077173,0.03950577632782997
Australia,3.9364499118006098,0.9094498146636923,1.5932988075740575,0.3403075719466992,0.8125272889074365,0.43688696959407203
Austria,1.1622710559878735,0.3296263747626523,0.4974585790206165,0.18395703448620537,0.2703727650456469,0.16988689262013856
Azerbaijan,0.5101155659676678,0.1968772739693097,0.2039200870389624,0.12509454559553912,0.1162759527199694,0.09739978158238352
Bahamas,0.01087417197510335,0.00415508537290766,0.00142407499484355,7.443639951718328e-4,8.050464160954899e-4,6.271205955939614e-4
Bahrain,0.2169789869990856,0.06493522134056921,0.0971867833278308,0.03692159231282521,0.05331968001746089,0.0340964059826918
Bangladesh,3.299933019642346,1.8975004006930256,1.211702090781641,1.1470262338044257,0.7164891185546197,0.7781009928495103
Barbados,0.01400974867455299,0.00599431424287648,0.00605970730507924,0.00414155844598242,0.00341151417600771,0.00308839652114909
