Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.001855745518012287,0.014371931609493422,3.765532078394289e-4,0.0041284966162210435,1.6675219839808297e-4,9.481049320235676e-4
Albania,0.001210871579250536,0.002844593108295127,3.4439387267662917e-4,0.001572068430737665,9.003812759125398e-5,3.22333542273919e-4
Algeria,0.020839308694286893,0.04455599252238778,0.005152691281106812,0.017469603391458907,0.0016141387783987363,0.007145024351143131
American Samoa,2.4777363177778266e-5,5.599446605849164e-5,7.881130172267572e-6,3.104577690248214e-5,2.1030430019003643e-6,8.677123441617708e-6
Andorra,1.1120998077603951e-4,1.8979893065455646e-4,2.9383018652832435e-5,9.170195621419206e-5,8.269870641235864e-6,2.874380930709296e-5
Angola,0.007903170977092974,0.020487931073101928,0.0018735592074149816,0.009546295365495193,4.6269860631708085e-4,0.0020945783523099865
Antigua and Barbuda,8.044216334400328e-5,1.6426885920290988e-4,2.2699861391413047e-5,7.569231763379393e-5,7.0955863380326485e-6,2.7735848752869143e-05
Argentina,0.027102321959510574,0.05730189122856923,0.006367597150683779,0.026311818740505605,0.002061854072085367,0.006730837337549083
Armenia,0.0013157332684264381,0.0029888046339073054,2.2500464910386487e-4,0.0010946286915017572,8.658173656318969e-5,3.2852919270022956e-4
Australia,0.04718204649614313,0.08243043960594792,0.01217486166643597,0.036043571593911423,0.003547831454046412,0.011169914126877803
Austria,0.009780355605146824,0.017098601400901695,0.002659667095835712,0.007928687755278796,6.770270327307252e-4,0.00195117568205998
Azerbaijan,0.005661437725887344,0.011407858577709165,0.0012453205783309756,0.004315623783672829,4.3608915554296964e-4,0.001445214433783428
Bahamas,4.0704316116212667e-4,8.101728792658437e-4,1.070930013881892e-4,3.525645369742227e-4,3.748665519807369e-5,1.6030948841628585e-4
Bahrain,0.0020354004396044,0.004032633176536348,4.947573824591643e-4,0.0014998369467877355,1.5645446545246687e-4,5.261544767916045e-4
Bangladesh,0.05319915732978914,0.17031042789961404,0.016259257942367576,0.08286411939337926,0.0059204297778293535,0.029125333300629958
Barbados,1.914844676751372e-4,4.4866122537890883e-4,6.42875225746075e-5,2.5478591347594457e-4,1.8416561590652817e-5,7.128981326417046e-5
Belarus,0.006181623843594574,0.012088235652720929,0.001357493611727507,0.0039347525297862024,5.913781737740567e-4,0.0021070776402236278
Belgium,0.015488437798649956,0.02662626598792897,0.004733434023780441,0.013440500665721205,0.0014551923228746625,0.00433326162768968
Belize,1.8533224772098963e-4,4.5744310086876086e-4,5.469590927636885e-5,2.3540997220763401e-4,1.4648402351186105e-5,7.141000712858086e-5
Benin,0.0024540037517812633,0.012006794108287392,7.360357528457406e-4,0.003924405035224803,1.506548207557969e-4,0.0012172216003559929
Bermuda,1.5154233546555725e-4,2.7480199780143146e-4,4.5956686478081464e-5,1.317320335428734e-4,1.6975350009946132e-5,5.369518700591942e-5
Bhutan,3.8847502223546466e-4,8.307442896889097e-4,1.2364322824189993e-4,4.1546029169595904e-4,4.575965207762851e-5,1.7194862957296538e-4
Bolivia (Plurinational State of),0.003726276971193501,0.011459224760733727,8.516536683173832e-4,0.0034805571237743523,1.9864215127864717e-4,9.440248180342902e-4
Bosnia and Herzegovina,0.001552925662049307,0.003366544164089708,4.2260663422024724e-4,0.0013374412206411212,1.0416836351341788e-4,4.474095590487299e-4
Botswana,0.001529531503253032,0.003030311164585311,1.1993480719466656e-4,2.9606645320134147e-4,2.9875620195640674e-5,9.745792591099235e-5
Brazil,0.13369313335021593,0.25876429076081064,0.02116651420370767,0.07564482961363377,0.003814681086051326,0.013933673512913898
Brunei Darussalam,6.734039424742304e-4,0.0011856204466278984,1.2558224556297865e-4,3.726496461009009e-4,3.881931164297807e-5,1.0731421824460412e-4
Bulgaria,0.004683442939693841,0.008910186276095786,0.0011609614007435049,0.004589665768925803,4.181400135817266e-4,0.0015139896186399115
Burkina Faso,0.003987877567970529,0.018508945731595797,0.001679090857363093,0.007536613181295842,4.579687617755765e-4,0.0029583697680736474
Burundi,7.049222837224165e-4,0.009562856747228128,1.993659473581904e-4,0.0017629010303824527,5.090487700193221e-5,4.797514603627272e-4
Cabo Verde,2.3411964651481935e-4,7.219059210721166e-4,9.771108193354538e-5,4.678157811916112e-4,1.7304987743895284e-5,9.474769426252127e-5
