Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Australia,0.09627879203303712,0.11421152899564697,0.025392413201255962,0.04954648579578349,0.006233493680500645,0.014267257959004279
Botswana,0.002914294113368853,0.004409395293380156,2.377395888151746e-4,4.869398926147523e-4,4.572693771825578e-5,1.0698915872566239e-4
Brazil,0.2938706745843041,0.374597898593178,0.04817034348169755,0.09815801184260836,0.00811606480029081,0.017327578252614304
Canada,0.1347969865091335,0.16627848341101711,0.032879559084058714,0.06777142565397902,0.009239162199204008,0.020451424924627856
Chile,0.04713824576675624,0.05838116923269007,0.013641544838833775,0.027845888551440923,0.0022790133924034638,0.005281401134857895
China,0.5475938248359952,0.6753788160712842,0.14341810733331598,0.27125407796044254,0.045631815931517036,0.1005206720909176
France,0.1223828370735361,0.15317960089183041,0.024316244930772103,0.04705362243189198,0.01003840558456962,0.022691222983483954
Germany,0.30343168765144485,0.37922983672892796,0.10084787870111311,0.2051302661069283,0.019334877227424628,0.041778233300794575
Italy,0.10254107978016148,0.13836348809608648,0.01525156462004712,0.03346567044024568,0.011483562307026424,0.026536005915308948
Japan,0.1813262973186471,0.2212984976222137,0.03812086480291242,0.07863145353615866,0.009091886167962271,0.019462671592325963
"Korea, Rep.",0.04939440473111351,0.062414504655181155,0.015126964188795172,0.031903401428924096,0.005488825157622245,0.012613459604700677
Rwanda,0.0012680522442040693,0.0019959706939466043,1.513478891965635e-4,4.0743056621013707e-4,8.639641722875086e-5,2.287037122201176e-4
Spain,0.042656100486074607,0.06214900050192754,0.004816137796132717,0.010032696913520702,0.001680050910112354,0.003771834613686943
Sweden,0.054874394684188026,0.06750652861170121,0.009948283291922544,0.018831831824987686,0.003307777608214159,0.007114489097022995
Switzerland,0.03182983950509935,0.03936840486716941,0.009736079862783222,0.017792089280399433,0.001707129005951574,0.0039239603907676055
Taiwan,0.04590619395475882,0.06635023314056282,0.0244539632254812,0.058020768797754876,0.004198236612655425,0.011648585577209849
Tanzania,0.027988235065828326,0.052190024958713284,0.0032802147836121873,0.009079796398531232,6.837142549720756e-4,0.001666187193189662
United Kingdom,0.05455547399419048,0.10535338594652266,0.010208067707244325,0.030073811762009107,0.006910082661174791,0.016640064086949263
United States,1.1890475491336931,1.4610771673811416,0.20713795575548893,0.40252036699931476,0.09230417570398593,0.20114217577346008
