Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.12698197559187016,0.1790527117754305,0.03185486518357876,0.08289742738705456,0.05985959310547867,0.12213523619605712
Albania,0.02499233381891012,0.01974490209907957,0.00572507145324898,0.00694381020356775,0.00776558903748069,0.01135269975983128
Algeria,0.380551432690726,0.2996909975917604,0.08261010661379657,0.1058477503636842,0.11455151247078064,0.1653622606895423
Andorra,0.00186016312587539,0.00115246729115611,4.075458391111172e-4,3.6600501281646325e-4,4.679122074548905e-4,5.143654713325514e-4
Angola,0.16426636777384876,0.15635881298660492,0.03072809669921521,0.05017721440987711,0.04981600708910305,0.08663510181351772
Antigua and Barbuda,9.023971697337826e-4,6.0209619544031e-4,1.596040479778542e-4,1.7702121930060206e-4,2.041559469794112e-4,2.6318763049625683e-4
Argentina,0.4001284499083075,0.25654477288319794,0.05579038078510771,0.05817835777058203,0.074158742629115093,0.09508198641840732
Armenia,0.03322377401942555,0.02683428696906061,0.00812073852826846,0.00967998439973757,0.01154013970474861,0.01669744477910949
Australia,0.8194927181015996,0.4907342462941082,0.18492627079010995,0.14935916733894494,0.20321422922776763,0.20461312763076944
Austria,0.23479409415260497,0.15545388773926275,0.05804951065854778,0.05218362683401142,0.06612818442343003,0.07263064623268954
Azerbaijan,0.10413053669788824,0.0732589110256928,0.02111796148965407,0.02471476489234284,0.02832501851213207,0.03861167764976855
Bahamas,0.00294135511356281,0.00222236815343538,1.5844244499569157e-4,1.5555095560573098e-4,1.964284979241484e-4,2.4023863137080472e-4
Bahrain,0.04245738307636065,0.0287578002961255,0.01118640857505188,0.00993613548717482,0.01312027009487107,0.01441833143228073
Bangladesh,0.734393786572372,0.6632357438337553,0.12438135534510464,0.20110416681820203,0.1860404131736829,0.3173444164621963
Barbados,0.00272462617997039,0.00202128043387911,6.102306471424471e-4,7.058150992706927e-4,8.50331159811824e-4,0.00116128421477438
Belarus,0.13227451510011315,0.0916242906565102,0.03071018255141193,0.03123953794895723,0.03934250047957167,0.04833427747431446
Belgium,0.2368520893045788,0.14734543040128711,0.0493792597960012,0.04481889035584333,0.05865434270790663,0.06617604697294399
Belize,0.00200877730768779,0.00167204587704184,2.463405817817739e-4,3.379140149799871e-4,3.418194027814245e-4,5.222074344635742e-4
Benin,0.07133601660004558,0.08722631778918735,0.01850872484611094,0.03869069881310381,0.03082386274209378,0.05885096643737218
Bhutan,0.00561002351799205,0.00434784568215125,0.00104956544437678,0.0013337908039303,0.00151847351142223,0.00218829551911315
Bolivia,0.07643552524601903,0.06352649437112867,0.01710107344624422,0.02464920355270181,0.0252423557571092,0.03893305429268801
Bosnia and Herzegovina,0.02957753411311995,0.02153818064424929,0.00619577831155596,0.0071766295518587,0.00840946077403186,0.01172153760870281
Botswana,0.02052971500802182,0.01337907284946008,0.00172959629093231,0.00140991220000492,0.00138887892125574,0.00146178780030692
Brazil,1.9575776592829897,1.0989457073595978,0.3570565681242293,0.29267446811578773,0.2304026977550619,0.2291282289903146
Brunei Darussalam,0.01122125413350927,0.00676553669968788,0.00213740427864397,0.00190520218341956,0.00243887965649515,0.0025928567665432
Bulgaria,0.11555666410668376,0.0825476050135995,0.02981270423294637,0.0295356068794792,0.03643071515273261,0.04607127217227706
