Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.02279138395946759,0.07913489430357387
Afghanistan,Stage_III_IVT1_2,0.4394535570580943,0.5680289563003943
Afghanistan,Stage_IVT3,0.0970574286943866,0.2004523588643445
Afghanistan,Stage_IVT4,0.13141127876523354,0.2659493102919101
Afghanistan,Stage_I_II,0.04341893238885681,0.15830692388600853
Albania,Health,0.00840181689137013,0.00847734687497512
Albania,Stage_III_IVT1_2,0.06463467501438097,0.04335189204769391
Albania,Stage_IVT3,0.01476038972218744,0.01971781457195495
Albania,Stage_IVT4,0.01728947478925037,0.02367097216041759
Albania,Stage_I_II,0.01879368387148188,0.01629257380112764
Algeria,Health,0.14211108970483888,0.1470005543781752
Algeria,Stage_III_IVT1_2,0.9397104180996716,0.6506379487130798
Algeria,Stage_IVT3,0.20836910616134577,0.26276761450216485
Algeria,Stage_IVT4,0.25105295609574363,0.3794128846126316
Algeria,Stage_I_II,0.31162304765410404,0.29015427163557445
Andorra,Health,7.734274144594932e-4,5.534185732809086e-4
Andorra,Stage_III_IVT1_2,0.00421023536114844,0.00187475491120766
Andorra,Stage_IVT3,9.794423474474435e-4,0.00111418068143134
Andorra,Stage_IVT4,0.00113586172519422,0.00151162305915007
Andorra,Stage_I_II,0.00168328927986939,9.90749714955113e-4
Angola,Health,0.0684572520687442,0.10375828811843728
Angola,Stage_III_IVT1_2,0.3848870234953458,0.33505392132732276
Angola,Stage_IVT3,0.08454453129943927,0.1259009466851607
Angola,Stage_IVT4,0.10625818945356023,0.1948812000175849
Angola,Stage_I_II,0.141652557441258,0.20023185696005416
Antigua and Barbuda,Health,4.687574519854997e-4,3.8701105133197793e-4
Antigua and Barbuda,Stage_III_IVT1_2,0.00173720557367595,0.00101442947000631
Antigua and Barbuda,Stage_IVT3,4.0481272333562854e-4,5.134260061284252e-4
Antigua and Barbuda,Stage_IVT4,4.7198592238842726e-4,6.273049414176166e-4
Antigua and Barbuda,Stage_I_II,0.00103329616653011,7.233650036571525e-4
Argentina,Health,0.24826184116046243,0.20303762785346263
Argentina,Stage_III_IVT1_2,0.6229293604317923,0.37101727882472835
Argentina,Stage_IVT3,0.14336840912578735,0.17514466511548696
Argentina,Stage_IVT4,0.1661052203258762,0.22000742409374172
Argentina,Stage_I_II,0.5479177212476323,0.3923414373249941
Armenia,Health,0.00917896644134644,0.0089896033149338209
Armenia,Stage_III_IVT1_2,0.09435602438006288,0.064540635939658475
Armenia,Stage_IVT3,0.02099431449327168,0.02666592872547119
Armenia,Stage_IVT4,0.02527399704925071,0.03546179883135927
Armenia,Stage_I_II,0.02032386545908466,0.01719516481312176
Australia,Health,0.3367959497704109,0.22053420363263143
Australia,Stage_III_IVT1_2,1.8968910172067823,0.6359734372908153
Australia,Stage_IVT3,0.43786069150728785,0.47095191568519695
Australia,Stage_IVT4,0.532394847812316,0.6015628442018853
Australia,Stage_I_II,0.7325074055038124,0.3915730417547173
Austria,Health,0.07757080374405545,0.05577044334885116
Austria,Stage_III_IVT1_2,0.6138922472175852,0.2638924408566116
Austria,Stage_IVT3,0.1404621328631202,0.15639077256522071
Austria,Stage_IVT4,0.1600674645806479,0.19998334823480313
Austria,Stage_I_II,0.170278407582465,0.102810825088199
Azerbaijan,Health,0.04369499002092376,0.03948567913917134
Azerbaijan,Stage_III_IVT1_2,0.2467931957530912,0.1541947727907836
Azerbaijan,Stage_IVT3,0.05620474423241484,0.07245273545605203
Azerbaijan,Stage_IVT4,0.06756948808628768,0.0950636005361078
Azerbaijan,Stage_I_II,0.09585314787495036,0.07432614927943873
Bahamas,Health,0.00255622360083392,0.00201000951944464
Bahamas,Stage_III_IVT1_2,0.00173949997181079,9.536756401893496e-4
Bahamas,Stage_IVT3,3.97426657676188e-4,4.674957335669699e-4
Bahamas,Stage_IVT4,4.736614026753827e-4,6.351391514794596e-4
Bahamas,Stage_I_II,0.00570736034210706,0.00386753832934792
Bahrain,Health,0.01183572790348229,0.00835369565944333
Bahrain,Stage_III_IVT1_2,0.11996830158027212,0.05294117308711837
Bahrain,Stage_IVT3,0.02740508896100665,0.03121469433450351
Bahrain,Stage_IVT4,0.03149473469983149,0.03870690768246603
Bahrain,Stage_I_II,0.02627513385449303,0.01565933324682143
Bangladesh,Health,0.32775459516959915,0.4921585252411861
Bangladesh,Stage_III_IVT1_2,1.4634662964010303,1.3252195559576143
Bangladesh,Stage_IVT3,0.3295074746026938,0.4984773584906259
