Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,4.8178064496788033e-4,0.008272330897611051
Afghanistan,Stage_III_IVT1_2,0.002977927112908766,0.022306369911716778
Afghanistan,Stage_IVT3,5.144409196347051e-4,0.007527190017578362
Afghanistan,Stage_IVT4,9.085033817707424e-4,0.012167631502987405
Afghanistan,Stage_I_II,8.313787641625013e-4,0.012525991738112715
Albania,Health,2.443643230079713e-4,0.0011012284934874138
Albania,Stage_III_IVT1_2,5.001580471358077e-4,0.0021163781643852514
Albania,Stage_IVT3,1.0940259478009595e-4,7.405806334852041e-4
Albania,Stage_IVT4,1.4486852899505914e-4,9.25777492033203e-4
Albania,Stage_I_II,3.9396222301686624e-4,0.0016849665047394418
Algeria,Health,0.004000748427301136,0.01872264038113919
Algeria,Stage_III_IVT1_2,0.007337543375682944,0.03085112434070932
Algeria,Stage_IVT3,0.0016155932802979927,0.011217621146951545
Algeria,Stage_IVT4,0.0021355663805851127,0.015330264616379551
Algeria,Stage_I_II,0.006390620932312942,0.026955207758861826
Andorra,Health,2.204314806647098e-5,8.019653187720985e-5
Andorra,Stage_III_IVT1_2,3.5454607484207337e-5,1.2122279673339704e-4
Andorra,Stage_IVT3,8.268372764149586e-6,4.549984477778252e-5
Andorra,Stage_IVT4,1.0468029942600662e-5,5.981119475425551e-5
Andorra,Stage_I_II,3.54871519555369e-5,1.2249719239190357e-4
Angola,Health,0.0018079832317807857,0.011513280194515063
Angola,Stage_III_IVT1_2,0.002693072518241456,0.013546861761888889
Angola,Stage_IVT3,5.225479869374358e-4,0.00423353884792901
Angola,Stage_IVT4,8.236490234137477e-4,0.005883938756606781
Angola,Stage_I_II,0.0029527573771814647,0.016834704045774182
Antigua and Barbuda,Health,1.3507467460202562e-5,5.3288204958301926e-5
Antigua and Barbuda,Stage_III_IVT1_2,1.4100229356002266e-5,5.4387666296339337e-5
Antigua and Barbuda,Stage_IVT3,2.9905279001114204e-6,1.786066308081034e-5
Antigua and Barbuda,Stage_IVT4,4.188898167651379e-6,2.57965761488825e-5
Antigua and Barbuda,Stage_I_II,2.0844567081456848e-5,7.641283368872514e-5
Argentina,Health,0.006990629360442697,0.027765980972273622
Argentina,Stage_III_IVT1_2,0.004937391334828473,0.018056637078340265
Argentina,Stage_IVT3,0.001098484326648814,0.006373486342042796
Argentina,Stage_IVT4,0.001466439931008717,0.008843121295496978
Argentina,Stage_I_II,0.0113409640736445,0.04130137003122942
Armenia,Health,2.594739862581585e-4,0.001146262736843653
Armenia,Stage_III_IVT1_2,7.363488112543836e-4,0.003113852497150114
Armenia,Stage_IVT3,1.5858416854628866e-4,0.0010158966793492015
Armenia,Stage_IVT4,2.1814551636455958e-4,0.0014453836759302857
Armenia,Stage_I_II,4.0724211878133686e-4,0.0016640769078669908
Australia,Health,0.009386076053930026,0.032618734636894825
Australia,Stage_III_IVT1_2,0.015147015021125523,0.04722494592730667
Australia,Stage_IVT3,0.003578134328805793,0.017861122833780614
Australia,Stage_IVT4,0.004851729413945347,0.025341753300884298
Australia,Stage_I_II,0.014870258283457252,0.04811859667571802
Austria,Health,0.002237606528457037,0.00828068438308174
Austria,Stage_III_IVT1_2,0.005096743232987147,0.017087520964003768
