Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.007776742192882166,0.03986971892535234
Afghanistan,Stage_III_IVT1_2,0.06570786371482985,0.1397803299208995
Afghanistan,Stage_IVT3,0.017123953185036938,0.056535908122159154
Afghanistan,Stage_IVT4,0.025973767539745486,0.08806553966879095
Afghanistan,Stage_I_II,0.013846795401258789,0.05611044647814358
Albania,Health,0.0029807789769733177,0.004744459245266477
Albania,Stage_III_IVT1_2,0.01029615377799935,0.014128023576807307
Albania,Stage_IVT3,0.0028122243375335414,0.0062030790413753565
Albania,Stage_IVT4,0.003700978875211639,0.009016281549785187
Albania,Stage_I_II,0.0053728834193405425,0.0071620741518626675
Algeria,Health,0.04913676199988918,0.07961597161756111
Algeria,Stage_III_IVT1_2,0.1464975371316595,0.20347365493086386
Algeria,Stage_IVT3,0.04039806644624587,0.09046473826404659
Algeria,Stage_IVT4,0.052658286032391366,0.12693770235192997
Algeria,Stage_I_II,0.08941428040747262,0.12207587904825906
Andorra,Health,2.6120340738914054e-4,3.2042841278679513e-4
Andorra,Stage_III_IVT1_2,7.016405752820535e-4,8.283092530583916e-4
Andorra,Stage_IVT3,1.938064648175697e-4,3.7089005227744243e-4
Andorra,Stage_IVT4,2.3627469522285034e-4,4.7724077319615373e-4
Andorra,Stage_I_II,4.765927166372516e-4,5.219629124654004e-4
Angola,Health,0.024181961564191633,0.05273774517783029
Angola,Stage_III_IVT1_2,0.057861781025201606,0.09426814683732926
Angola,Stage_IVT3,0.015949330758710852,0.04143565373561511
Angola,Stage_IVT4,0.021398794293484763,0.05946382831896508
Angola,Stage_I_II,0.04315556774468248,0.0762116499337906
Antigua and Barbuda,Health,1.5896137163002466e-4,2.1688116499764991e-4
Antigua and Barbuda,Stage_III_IVT1_2,2.7980044948738565e-4,3.642338164823628e-4
Antigua and Barbuda,Stage_IVT3,7.739049756777038e-5,1.6531851013295768e-4
Antigua and Barbuda,Stage_IVT4,9.84927528985254e-5,2.2079229720860545e-4
Antigua and Barbuda,Stage_I_II,2.871698141518449e-4,3.439608747766522e-4
Argentina,Health,0.08593315322854102,0.11840974767170655
Argentina,Stage_III_IVT1_2,0.10185852884448113,0.13099976911441083
Argentina,Stage_IVT3,0.028003708679317764,0.056836946051709934
Argentina,Stage_IVT4,0.03557594107084082,0.07990274935947335
Argentina,Stage_I_II,0.154577834521466,0.18395474792769478
Armenia,Health,0.003166716072095138,0.004968165699831042
Armenia,Stage_III_IVT1_2,0.014875987280966268,0.020362939948782514
Armenia,Stage_IVT3,0.004040276139089978,0.008836956844999994
Armenia,Stage_IVT4,0.005301573824377817,0.013159520243683363
Armenia,Stage_I_II,0.005772212871807737,0.007667847205616298
Australia,Health,0.1152611598290594,0.13367887345629115
Australia,Stage_III_IVT1_2,0.3058316090407095,0.3416749043779551
Australia,Stage_IVT3,0.08470508185644764,0.15655038244694483
Australia,Stage_IVT4,0.11361442302783406,0.21995191988585022
Australia,Stage_I_II,0.20555634400463865,0.2147179640254409
Austria,Health,0.026226248893689304,0.03207612199845785
Austria,Stage_III_IVT1_2,0.10026754261873314,0.11830025324142823
Austria,Stage_IVT3,0.027664953109441448,0.05343762279292073
Austria,Stage_IVT4,0.03364779304306208,0.06834156142725219
Austria,Stage_I_II,0.04773830380779154,0.05212089549495858
Azerbaijan,Health,0.015029947610141994,0.021699228095635653
Azerbaijan,Stage_III_IVT1_2,0.039048827284210545,0.052158431407136656
Azerbaijan,Stage_IVT3,0.010580878514135196,0.02236995123508118
Azerbaijan,Stage_IVT4,0.013781805498645022,0.03333621264587567
Azerbaijan,Stage_I_II,0.027078740807563718,0.03356542765961049
Bahamas,Health,8.681432936328444e-4,0.001145093522370238
Bahamas,Stage_III_IVT1_2,2.81744368928293e-4,3.5689804677267994e-4
Bahamas,Stage_IVT3,7.745254142469406e-5,1.5766225987336825e-4
Bahamas,Stage_IVT4,9.548360699912739e-5,2.1215577564344425e-4
Bahamas,Stage_I_II,0.0015895930078531635,0.0018466019181063828
Bahrain,Health,0.004059294064669228,0.005009823592363221
Bahrain,Stage_III_IVT1_2,0.019667208561056717,0.023212997644223365
Bahrain,Stage_IVT3,0.0054454759733480835,0.010512504260558973
Bahrain,Stage_IVT4,0.006676193004341829,0.01367414243341151
Bahrain,Stage_I_II,0.007336841875997527,0.007961957831945364
Bangladesh,Health,0.12717244258293847,0.2791702719135227
Bangladesh,Stage_III_IVT1_2,0.23088310596019318,0.36807485457257966
Bangladesh,Stage_IVT3,0.062038202263877885,0.15868116646027122
Bangladesh,Stage_IVT4,0.08619690837576345,0.23635312909430667
Bangladesh,Stage_I_II,0.224825858175227,0.39966080985717833
Barbados,Health,3.332481185618812e-4,5.240856046317221e-4
Barbados,Stage_III_IVT1_2,0.0011364042206523514,0.001551849404709224
Barbados,Stage_IVT3,3.1603073359042367e-4,7.060409747795287e-4
Barbados,Stage_IVT4,4.133522232146889e-4,0.0010079829915271691
Barbados,Stage_I_II,6.032052565187564e-4,8.037475355917101e-4
Belarus,Health,0.015409117727956091,0.020729783773521148
Belarus,Stage_III_IVT1_2,0.054910828323113926,0.06929155212855292
Belarus,Stage_IVT3,0.015125212025193454,0.030832587342303253
Belarus,Stage_IVT4,0.019245347425652985,0.044147179167625665
Belarus,Stage_I_II,0.028133291241231387,0.0330933227273984
Belgium,Health,0.034989497340852244,0.04286154655516223
Belgium,Stage_III_IVT1_2,0.08710393847400082,0.10399693673004973
Belgium,Stage_IVT3,0.024046070410244647,0.04613003353217556
Belgium,Stage_IVT4,0.02962055605411992,0.060327811985749075
Belgium,Stage_I_II,0.06371099103447572,0.06966122205225561
Belize,Health,4.59033834209784e-4,8.126735285930683e-4
Belize,Stage_III_IVT1_2,4.419375304450249e-4,6.448837047708094e-4
Belize,Stage_IVT3,1.2063136012080632e-4,2.7102855921672136e-4
Belize,Stage_IVT4,1.5967494961142885e-4,4.1443688952608605e-4
Belize,Stage_I_II,8.321782607791406e-4,0.00122748690474666
Benin,Health,0.004897890566389439,0.017458300876008043
Benin,Stage_III_IVT1_2,0.0367894034495092,0.06995889099919432
Benin,Stage_IVT3,0.009591483663998509,0.02809714622522854
Benin,Stage_IVT4,0.014532493450211901,0.04554959430239252
Benin,Stage_I_II,0.008676184002020219,0.02447616589096748
