Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Health,5.764739686368805e-4,0.00743050720621151
Afghanistan,Stage_III_IVT1_2,0.00324092974595852,0.02268364784802878
Afghanistan,Stage_IVT3,6.033177927422371e-4,0.00738135189571754
Afghanistan,Stage_IVT4,6.020513987681617e-4,0.00758898720792099
Afghanistan,Stage_I_II,5.734827365234408e-4,0.0122772989786005
Albania,Health,2.2973633365848257e-4,9.549721589268476e-4
Albania,Stage_III_IVT1_2,4.898370603836873e-4,0.00210080014332802
Albania,Stage_IVT3,1.018225431827369e-4,7.528471788070665e-4
Albania,Stage_IVT4,1.225459230351794e-4,6.791036490523374e-4
Albania,Stage_I_II,3.9416277690229346e-4,0.00163279812505082
Algeria,Health,0.00352135174127127,0.01487568128087842
Algeria,Stage_III_IVT1_2,0.00717025857965195,0.03419557297604711
Algeria,Stage_IVT3,0.00138503788580378,0.00846584297567114
Algeria,Stage_IVT4,0.00186423478116657,0.01112169786287754
Algeria,Stage_I_II,0.00676232610697706,0.02512227412258196
Andorra,Health,2.645593496251618e-4,3.2926882559527267e-4
Andorra,Stage_III_IVT1_2,6.799009959939933e-4,7.9597138655711e-4
Andorra,Stage_IVT3,1.9727207936754652e-4,3.842851318178184e-4
Andorra,Stage_IVT4,2.468078729650796e-4,4.895751875188842e-4
Andorra,Stage_I_II,4.716228279236185e-4,5.166779822964996e-4
Angola,Health,0.00147870721356699,0.01032865716356082
Angola,Stage_III_IVT1_2,0.00268218968274089,0.01279415102173181
Angola,Stage_IVT3,5.281701679227487e-4,0.00388702622294463
Angola,Stage_IVT4,6.819365009652276e-4,0.0052622978932603
Angola,Stage_I_II,0.0032483084858889702,0.01612244644350165
Antigua and Barbuda,Health,1.5738101325628236e-4,2.145557854004432e-4
Antigua and Barbuda,Stage_III_IVT1_2,2.7736343307198906e-4,3.673360543791744e-4
Antigua and Barbuda,Stage_IVT3,7.82684200485825e-5,1.6601741386882817e-4
Antigua and Barbuda,Stage_IVT4,1.0250462583564804e-4,2.2715971198710255e-4
Antigua and Barbuda,Stage_I_II,2.8687967752128054e-4,3.3611941805573484e-4
Argentina,Health,0.08701973406073675,0.11989429627799753
Argentina,Stage_III_IVT1_2,0.09763388534918654,0.12404907006668169
Argentina,Stage_IVT3,0.02903563421881538,0.06313085610232597
Argentina,Stage_IVT4,0.03667428952931438,0.07743703735135962
Argentina,Stage_I_II,0.14976490675025447,0.17075975908090912
Armenia,Health,0.00317441364461004,0.00505692352364212
Armenia,Stage_III_IVT1_2,0.01435268193977404,0.01918611492893928
Armenia,Stage_IVT3,0.004272990189289,0.00930566426092486
Armenia,Stage_IVT4,0.00556934196318823,0.01366028763292755
Armenia,Stage_I_II,0.00585434628256422,0.007978242395655
Australia,Health,0.3367959497704109,0.22053420363263143
