Country,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Afghanistan,low,0.00185574551801228,0.01437193160949342,3.765532078394289e-4,0.00412849661622104,1.6675219839808295e-4,9.481049320235676e-4,0.2691728826486244,0.3849510381453646,0.09643717949541776,0.14038181656572357,0.03170190624183442,0.05358645927259332,0.20408337266705728,0.3821740963510736,0.03750884369307254,0.06072868567623809,0.03117319450936202,0.05843082988711434,0.05057342114071482,0.0930101791319842,0.00909744236776009,0.0222162213520013,0.01340655991007427,0.03173612994587428,0.00185574551801228,0.01437193160949342,3.765532078394289e-4,0.00412849661622104,1.6675219839808295e-4,9.481049320235676e-4,0.2691728826486244,0.3849510381453646,0.09643717949541776,0.14038181656572357,0.03170190624183442,0.05358645927259332,0.0167,0.46,AFG,31222195.762415607,4829792.382241702,0.0242486438673279,0.00275344427633834,0.0477546676524796,0.00950878115189285,1435.87845849541,1845.92971927636,1089.5657583314
Albania,low,0.00121087157925053,0.00284459310829512,3.4439387267662917e-4,0.00157206843073766,9.003812759125398e-5,3.22333542273919e-4,0.11257792251008464,0.04443128938561314,0.03943806815456086,0.02955400485310137,0.01216909008851549,0.01294278216352983,0.09867003745041564,0.04070433212503518,0.01927293655584945,0.01620478343342972,0.01240075389232273,0.01302747376032413,0.02265224139110101,0.01581239850676524,0.00484821586847277,0.00578449919436408,0.00638453323280563,0.00847803742409605,0.00121087157925053,0.00284459310829512,3.4439387267662917e-4,0.00157206843073766,9.003812759125398e-5,3.22333542273919e-4,0.11257792251008464,0.04443128938561314,0.03943806815456086,0.02955400485310137,0.01216909008851549,0.01294278216352983,0.0363,12.66,ALB,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574
Algeria,low,0.02083930869428689,0.04455599252238778,0.00515269128110681,0.0174696033914589,0.00161413877839873,0.00714502435114313,1.871128982940406,0.7735675556284581,0.6171867706046145,0.4750643168030259,0.21566993289083836,0.2420242139176666,1.6964484960919504,0.694102784587826,0.31523578820256315,0.25656652387014395,0.1966694354667073,0.21260619635358607,0.37059978049165065,0.28743222401532587,0.07332582036232979,0.09466059103894169,0.10495312898805756,0.15621971848419203,0.02083930869428689,0.04455599252238778,0.00515269128110681,0.0174696033914589,0.00161413877839873,0.00714502435114313,1.871128982940406,0.7735675556284581,0.6171867706046145,0.4750643168030259,0.21566993289083836,0.2420242139176666,0.3237,7.46,DZA,44197950.69413077,3381449.6637121327,0.0498025811034329,0.00552831948280544,0.1224047683115222,0.01902480921860196,12503.8702057827,13804.0970388439,10177.6946645367
American Samoa,low,2.4777363177778263e-5,5.599446605849164e-5,7.881130172267572e-6,3.104577690248214e-5,2.1030430019003643e-6,8.677123441617708e-6,0.00227456217203354,9.391109503527794e-4,7.970854367577042e-4,6.382486220379446e-4,2.7679164919437407e-4,3.2274274916608295e-4,0.00196804127299751,8.227395545359667e-4,4.069771321400607e-4,3.208404650439309e-4,2.538767005236512e-4,3.030223233366683e-4,4.392192941104323e-4,3.364567091446864e-4,9.297302653350738e-5,1.1557866260899164e-4,1.2689184742044354e-4,1.8061706017480228e-4,2.4777363177778263e-5,5.599446605849164e-5,7.881130172267572e-6,3.104577690248214e-5,2.1030430019003643e-6,8.677123441617708e-6,0.00227456217203354,9.391109503527794e-4,7.970854367577042e-4,6.382486220379446e-4,2.7679164919437407e-4,3.2274274916608295e-4,NA,NA,ASM,49758.64025803438,1733.0743751427945,0.0288038062854381,0.00358854570876704,0.1384450293509662,0.0160532491683247,12054.9186154228,12721.5075776542,11335.7579961886
Andorra,high,0.00832960044596259,0.00230661720173685,0.00166753877545457,8.347067685155797e-4,0.00102723649813356,8.494765780599574e-4,0.00832960044596259,0.00230661720173685,0.00166753877545457,8.347067685155797e-4,0.00102723649813356,8.494765780599574e-4,0.00832960044596259,0.00230661720173685,0.00166753877545457,8.347067685155797e-4,0.00102723649813356,8.494765780599574e-4,0.00184802040834069,0.0011772034199159,4.252420706174524e-4,3.721230773451167e-4,4.879907765993514e-4,5.332786915002208e-4,1.1120998077603952e-4,1.8979893065455649e-4,2.9383018652832435e-5,9.170195621419206e-5,8.269870641235864e-6,2.874380930709296e-5,0.00940164827708406,0.00244988642582268,0.0032718883017159,0.00145487229208015,0.00100699125307982,8.79263029890455e-4,0.0146,189.89,AND,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.02251271161974739,44149.1876753066,49135.2624360747,38533.5607629857
Angola,low,0.00790317097709297,0.02048793107310192,0.00187355920741498,0.00954629536549519,4.626986063170809e-4,0.00209457835230998,0.7152155997398011,0.46015163955101673,0.18895882171199976,0.20299170186648877,0.06613252172389143,0.08925945716074928,0.6788616210243898,0.4367267381505069,0.09426523426287194,0.0962592535583038,0.06321448919892968,0.08547820504762794,0.1289568048665976,0.120260244598609,0.02129845432468714,0.03669742070016774,0.03163313099383211,0.05859566266817416,0.00790317097709297,0.02048793107310192,0.00187355920741498,0.00954629536549519,4.626986063170809e-4,0.00209457835230998,0.7152155997398011,0.46015163955101673,0.18895882171199976,0.20299170186648877,0.06613252172389143,0.08925945716074928,0.0702,2.33,AGO,32706452.127798323,1871268.125927901,0.0182214261135753,0.00221946132419165,0.0696340291706627,0.01233303290510474,5765.65437715755,6985.80948028651,4755.70598405405
Antigua and Barbuda,mid,0.00136059207864719,9.615858375101214e-4,3.189737903895716e-4,3.202858807866828e-4,4.585673025558814e-4,5.786291703734291e-4,0.00647838743357296,0.00219125202232033,0.00261223990828719,0.00155310315333458,8.346238816360539e-4,8.030403146329435e-4,0.00557586155225125,0.00190081195348712,0.00131487153178771,8.05403177975119e-4,8.629577684520787e-4,8.02500366265783e-4,0.00136059207864719,9.615858375101214e-4,3.189737903895716e-4,3.202858807866828e-4,4.585673025558814e-4,5.786291703734291e-4,8.044216334400328e-5,1.6426885920290988e-4,2.2699861391413047e-5,7.569231763379393e-5,7.0955863380326485e-6,2.7735848752869143e-05,0.00647838743357296,0.00219125202232033,0.00261223990828719,0.00155310315333458,8.346238816360539e-4,8.030403146329435e-4,0.0048,51.88,ATG,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887
Argentina,mid,0.5260316796289592,0.35884671707205446,0.10697147879668772,0.12304486953298824,0.14749557832173937,0.18380464481515224,2.715165635535569,0.9128395129367134,0.9693482959365992,0.6154418672187736,0.28456912316632627,0.2864858085223777,2.3378916736186213,0.8364917124055191,0.4742564622837568,0.3359081678367953,0.2919047702146381,0.2941556644013221,0.5260316796289592,0.35884671707205446,0.10697147879668772,0.12304486953298824,0.14749557832173937,0.18380464481515224,0.02710232195951057,0.05730189122856923,0.00636759715068377,0.0263118187405056,0.00206185407208536,0.00673083733754908,2.715165635535569,0.9128395129367134,0.9693482959365992,0.6154418672187736,0.28456912316632627,0.2864858085223777,1.106,24.55,ARG,45487217.34507201,3181193.6874047257,0.0540102541548344,0.00620817028867669,0.1434921939072546,0.01929567287948215,17984.9588039322,22119.3683946301,15846.5139668735
Armenia,mid,0.02399318418432997,0.01758658811209849,0.00524250046512243,0.00610133412715304,0.00697745634649388,0.01007972592292281,0.1256155265996383,0.05191364995636072,0.04229276361540194,0.03228096718132749,0.0140572659718325,0.01547850903636747,0.10853761886953536,0.04467477173768522,0.02126744014552506,0.01747737157292735,0.01347872413258351,0.01448339322794959,0.02399318418432997,0.01758658811209849,0.00524250046512243,0.00610133412715304,0.00697745634649388,0.01007972592292281,0.00131573326842643,0.0029888046339073,2.2500464910386487e-4,0.00109462869150175,8.658173656318969e-5,3.2852919270022956e-4,0.1256155265996383,0.05191364995636072,0.04229276361540194,0.03228096718132749,0.0140572659718325,0.01547850903636747,0.113,38.05,ARM,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824
Australia,high,3.683461368652867,0.799634602718582,0.7147840149494727,0.2607038352940237,0.4057942005735903,0.3045572266072111,3.683461368652867,0.799634602718582,0.7147840149494727,0.2607038352940237,0.4057942005735903,0.3045572266072111,3.683461368652867,0.799634602718582,0.7147840149494727,0.2607038352940237,0.4057942005735903,0.3045572266072111,0.8353122162666585,0.4887339305894887,0.18614721057644207,0.14966507497412573,0.2024906098738049,0.19564849389311512,0.04718204649614313,0.08243043960594792,0.01217486166643597,0.036043571593911423,0.00354783145404641,0.0111699141268778,4.187587836573691,0.7877112948961262,1.3870448342922364,0.32933936764608046,0.4267659673957792,0.30553813033930755,7.3703,288.25,AUS,25791946.41304367,877982.6921064835,0.0967796114972019,0.01065218637610834,0.1277225397117073,0.01864461555470589,48647.0457689621,53144.2598326015,44717.4745502844
