Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,selected_model,Mean_total_billions,Mean_perio_billions,Mean_replace_billions,SD_total_billions,SD_perio_billions,SD_replace_billions,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Afghanistan,0.25715898720281466,0.45740706208398896,0.05009137760172316,0.07979966568348618,0.03803149305057286,0.06582712865490398,0.05975611649309785,0.10138209582584948,0.00980803508767437,0.0268020974492014,0.01885569302182399,0.04076380272630314,0.00285401997509529,0.02174176828634174,7.035779050027369e-4,0.00399249029313234,2.326468828803916e-4,0.00166057297728226,0.31470953040680777,0.4718798688329062,0.11193727205311108,0.16868596142913814,0.03862331173404239,0.06798707839833576,0.0167,0.46,AFG,31222195.762415607,4829792.382241702,0.0242486438673279,0.00275344427633834,0.0477546676524796,0.00950878115189285,1435.87845849541,1845.92971927636,1089.5657583314,low,NA,NA,NA,NA,NA,NA,0.00285401997509529,0.02174176828634174,7.035779050027369e-4,0.00399249029313234,2.326468828803916e-4,0.00166057297728226
Albania,0.12063696103121462,0.04987196746526561,0.02365474107516873,0.01896697367631109,0.01566667679910634,0.01683603536918128,0.02755846964840471,0.02055162237381463,0.005854556215382,0.00723980433410063,0.00778211611493413,0.01099349018416248,0.00153497953352796,0.00339486616728186,4.034527824474271e-4,0.00170125491955716,1.2183560046995592e-4,5.687231036953607e-4,0.13857133364114305,0.05557334954394471,0.04780443535403569,0.03586968333838429,0.01549941217574313,0.01702275095629304,0.0363,12.66,ALB,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,low,NA,NA,NA,NA,NA,NA,0.00153497953352796,0.00339486616728186,4.034527824474271e-4,0.00170125491955716,1.2183560046995592e-4,5.687231036953607e-4
Algeria,2.058571982703004,0.8627971164054099,0.3850684845879133,0.3163766197165396,0.25257459311930347,0.274557998518558,0.45930137711092706,0.35295230094985874,0.09313640170287864,0.11264540357623888,0.1278502230220018,0.19432997802977947,0.0259280001022891,0.05508621997568939,0.00632302612413097,0.02633934969952709,0.00179306440787372,0.00736059215191926,2.3334160510403694,0.9438295728778718,0.7828854521061026,0.6075918279815542,0.2495972438229493,0.2730759271772325,0.3237,7.46,DZA,44197950.69413077,3381449.6637121327,0.0498025811034329,0.00552831948280544,0.1224047683115222,0.01902480921860196,12503.8702057827,13804.0970388439,10177.6946645367,low,NA,NA,NA,NA,NA,NA,0.0259280001022891,0.05508621997568939,0.00632302612413097,0.02633934969952709,0.00179306440787372,0.00736059215191926
American Samoa,0.00238416561327615,0.00100206930971992,4.88292716216278e-4,4.011358844907822e-4,3.1518736873230123e-4,3.4630853749022315e-4,5.409442424973481e-4,4.053607857963477e-4,1.1726950755524204e-4,1.492476895288094e-4,1.5669734553800234e-4,2.2215772646196497e-4,2.9259713248139938e-5,6.271567317533957e-5,8.286492899304164e-6,3.408900636003301e-5,2.320936303422137e-6,9.022292031862167e-6,0.00272773423847464,0.00110608265667408,9.704178476013498e-4,7.275518078528641e-4,3.1695044136518787e-4,3.4340789465975606e-4,NA,NA,ASM,49758.64025803438,1733.0743751427945,0.0288038062854381,0.00358854570876704,0.1384450293509662,0.0160532491683247,12054.9186154228,12721.5075776542,11335.7579961886,low,NA,NA,NA,NA,NA,NA,2.9259713248139938e-5,6.271567317533957e-5,8.286492899304164e-6,3.408900636003301e-5,2.320936303422137e-6,9.022292031862167e-6
Andorra,0.01000396201898236,0.00269367612126366,0.00200960779393149,0.00106045479183546,0.00121400279013919,0.0010272128537551,0.0022778830533316,0.00144283811587942,5.178950724072317e-4,4.648342835316953e-4,6.042611887358907e-4,6.788507547521583e-4,1.3123587897683072e-4,2.439595652930249e-4,3.4184342015287554e-5,1.09808626192024e-4,1.037670436561526e-5,3.415011398881832e-5,0.01134755984269483,0.00293655679494825,0.00388252437960762,0.0017112302366353,0.0012241578071075,0.00102714177829939,0.0146,189.89,AND,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.02251271161974739,44149.1876753066,49135.2624360747,38533.5607629857,mid,NA,NA,NA,NA,NA,NA,0.0022778830533316,0.00144283811587942,5.178950724072317e-4,4.648342835316953e-4,6.042611887358907e-4,6.788507547521583e-4
Angola,0.8067451687559415,0.5617498896338987,0.11567172068337075,0.1252322741982844,0.07970227064847704,0.10628089346722164,0.16051833489930414,0.14298400414364398,0.02646034096504805,0.04307457721997183,0.03936481374198368,0.06429779237169342,0.00925066757877248,0.02896100405911643,0.00192567340234625,0.00928703773975062,5.913503178845745e-4,0.00305883848129313,0.8830946202705089,0.5550094201693491,0.23883326400833577,0.23929243901645184,0.08000676298104985,0.10589157081532076,0.0702,2.33,AGO,32706452.127798323,1871268.125927901,0.0182214261135753,0.00221946132419165,0.0696340291706627,0.01233303290510474,5765.65437715755,6985.80948028651,4755.70598405405,low,NA,NA,NA,NA,NA,NA,0.00925066757877248,0.02896100405911643,0.00192567340234625,0.00928703773975062,5.913503178845745e-4,0.00305883848129313
Antigua and Barbuda,0.00660860342524327,0.00227436666610405,0.00159510827123256,0.00107225173690682,9.986257472766342e-4,9.383322389126436e-4,0.00161283860243029,0.00116219394667825,3.9214766084781074e-4,4.073549145215177e-4,5.004804158113847e-4,6.47791774701621e-4,8.73737744465595e-5,1.731025435193055e-4,2.577788873692226e-5,8.642255545663374e-5,8.157502272817115e-6,3.263294010666964e-5,0.00784930557739473,0.00270928874621658,0.00315663983846159,0.00192255709725144,0.00100953160008982,9.641866487613568e-4,0.0048,51.88,ATG,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887,mid,NA,NA,NA,NA,NA,NA,0.00161283860243029,0.00116219394667825,3.9214766084781074e-4,4.073549145215177e-4,5.004804158113847e-4,6.47791774701621e-4
Argentina,2.7945901663043364,0.9863938908154574,0.5559374870557835,0.3879269595718451,0.3575727870210633,0.3556687483661694,0.6319420219562047,0.4322628465482249,0.13946979119523276,0.15111660447874936,0.1759975077759528,0.22733094270039805,0.03566147313825931,0.0703666895298143,0.00930019770209901,0.03497639343149107,0.00279517206224879,0.01051246495270676,3.1952399083801635,1.099972772323229,1.113175797474896,0.7047011965735315,0.3587527289405607,0.358960937669653,1.106,24.55,ARG,45487217.34507201,3181193.6874047257,0.0540102541548344,0.00620817028867669,0.1434921939072546,0.01929567287948215,17984.9588039322,22119.3683946301,15846.5139668735,mid,NA,NA,NA,NA,NA,NA,0.6319420219562047,0.4322628465482249,0.13946979119523276,0.15111660447874936,0.1759975077759528,0.22733094270039805
Armenia,0.13175216678015336,0.05613496477892221,0.02576049110538845,0.02144644388871021,0.01709665957614297,0.01937283653739805,0.02954720712850453,0.02166586857267128,0.00626353389031129,0.00786529457019591,0.00835477986371299,0.01158523421685439,0.00161792058654204,0.00357865795158255,4.111754421741283e-4,0.00181724979441736,1.3134198480154615e-4,5.353969776538426e-4,0.15040143562258512,0.06149612189095746,0.05166418032606623,0.03975706008263883,0.01690096184532876,0.01875996363411886,0.113,38.05,ARM,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,mid,NA,NA,NA,NA,NA,NA,0.02954720712850453,0.02166586857267128,0.00626353389031129,0.00786529457019591,0.00835477986371299,0.01158523421685439
Australia,4.460817585722682,0.9460770470077948,0.8606672587146013,0.32138356971035553,0.485995942054931,0.3490057780227417,0.9954483467842308,0.59257309738086394,0.22466227282274795,0.1787174622926952,0.24566563200063657,0.24557341565770124,0.05796220536234249,0.09696078498730702,0.01472179439150825,0.04016809068539487,0.00411474933760809,0.01442066247825366,5.0329349000212105,0.9475823595117486,1.6898306453425684,0.40620562032240687,0.4882998716695891,0.3493109975143214,7.3703,288.25,AUS,25791946.41304367,877982.6921064835,0.0967796114972019,0.01065218637610834,0.1277225397117073,0.01864461555470589,48647.0457689621,53144.2598326015,44717.4745502844,mid,NA,NA,NA,NA,NA,NA,0.9954483467842308,0.59257309738086394,0.22466227282274795,0.1787174622926952,0.24566563200063657,0.24557341565770124
Austria,1.0161789118119733,0.2621250886042108,0.18438241856765417,0.09558741234707338,0.11287049180049875,0.09506169021645113,0.2232833706199456,0.13811515394022503,0.04788514361550107,0.04354592445771443,0.05539158667098879,0.06058559731904677,0.01316710635000264,0.02411040277240103,0.00314599880157472,0.00949932428819782,9.316343433646124e-4,0.00298151635657068,1.1333796390199655,0.28191828132448965,0.3601999367830541,0.15976564557018819,0.11024216979242916,0.08851656584841026,2.1157,236.39,AUT,8982311.518103808,400434.1362788835,0.0960227654285242,0.0113342763671809,0.139690631560241,0.01941850314055014,45775.6169848758,55805.1702329595,39649.9453029265,high,NA,NA,NA,NA,NA,NA,1.0161789118119733,0.2621250886042108,0.18438241856765417,0.09558741234707338,0.11287049180049875,0.09506169021645113
Azerbaijan,0.560015519742114,0.2105552853029335,0.101362651483952,0.07684336012197757,0.06461227512517019,0.06657244368734144,0.12223765830499624,0.0853548014127371,0.02424362461551292,0.02737263127077236,0.03216180095347831,0.04354501032976798,0.00698487035763085,0.01382648984036867,0.00173457222939126,0.00626025024501784,4.941477516152744e-4,0.00208456821410833,0.6348387733314145,0.2310609498667029,0.20541197254034765,0.14169204990877263,0.06419818092710139,0.06859656201847528,0.1268,12.61,AZE,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,low,NA,NA,NA,NA,NA,NA,0.00698487035763085,0.01382648984036867,0.00173457222939126,0.00626025024501784,4.941477516152744e-4,0.00208456821410833
Bahamas,0.0354557432412808,0.01102006583374088,0.00800284693124672,0.00474647618494303,0.00501662865485098,0.0046240952921192,0.00852409109724409,0.00583039399485528,0.00203809460124493,0.00198285381080074,0.00249206509021134,0.00317106234324024,4.86256831178384e-4,9.375332459995856e-4,1.3724532492222024e-4,4.972299668631675e-4,4.414779427842156e-5,1.7584484195368736e-4,0.04140020143748291,0.01249133417494653,0.01582994594693149,0.00827070542646055,0.0049913748285811,0.00449194298126415,0.0329,75.3,BHS,387965.7168254832,27904.051158737915,0.0487259521060088,0.00598056278534045,0.1864530323196796,0.01960897665521134,28557.3055534091,34382.8290932221,24686.7465616672,mid,NA,NA,NA,NA,NA,NA,0.00852409109724409,0.00583039399485528,0.00203809460124493,0.00198285381080074,0.00249206509021134,0.00317106234324024
