Country_df1,Country_df2,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Afghanistan,Afghanistan,0.0167,0.46,2144.16657
Albania,Albania,0.0363,12.66,16126.77749
Algeria,Algeria,0.3237,7.46,14496.86547
Andorra,Andorra,0.0146,189.89,59332.20291
Angola,Angola,0.0702,2.33,7408.126591
Antigua and Barbuda,Antigua and Barbuda,0.0048,51.88,25745.49581
Argentina,Argentina,1.106,24.55,26300.27426
Armenia,Armenia,0.113,38.05,15921.70528
Australia,Australia,7.3703,288.25,58182.33695
Austria,Austria,2.1157,236.39,62968.94223
Azerbaijan,Azerbaijan,0.1268,12.61,20111.3757
Bahamas,Bahamas,0.0329,75.3,31064.68222
Bahrain,Bahrain,0.0625,41.36,54954.67579
Bangladesh,Bangladesh,0.0125,0.08,7441.06914
Barbados,Barbados,0.0152,52.8,15683.88471
Belarus,Belarus,0.1371,14.47,27611.18011
Belgium,Belgium,2.1221,185.2,60669.21377
Belize,Belize,0.0057,14.08,11677.46101
Benin,Benin,0.0033,0.28,3464.288629
Bhutan,Bhutan,0,0.06,13458.81267
Bolivia,Bolivia,0.0482,4.17,9454.198147
Bosnia and Herzegovina,Bosnia and Herzegovina,0.0727,20.75,18285.67112
Botswana,Botswana,0.0574,24.15,17960.62544
Brazil,Brazil,3.7128,17.68,18075.706
Brunei Darussalam,Brunei Darussalam,0.0091,20.35,78248.79711
Bulgaria,Bulgaria,0.1094,15.72,30971.91319
Burkina Faso,Burkina Faso,0.0046,0.23,2486.430931
Burundi,Burundi,0.0013,0.12,836.6655713
Cabo Verde,Cabo Verde,0.0034,6.12,7685.419214
Cambodia,Cambodia,1e-4,0.01,6225.532655
Cameroon,Cameroon,0.0066,0.26,4793.556282
Canada,Canada,12.8291,342.52,56995.11768
Central African Republic,Central African Republic,0.0011,0.22,1128.55238
Chad,Chad,0.0034,0.26,2435.072747
Chile,Chile,0.4696,24.58,29089.85046
China,China,61.5486,43.96,20843.29783
Colombia,Colombia,0.7051,14,17383.09017
Comoros,Comoros,3e-4,0.3,3449.043575
Congo,Congo,0.0047,1.03,6263.211613
Costa Rica,Costa Rica,0.1617,31.84,23852.9253
Côte d'Ivoire,Cote d'Ivoire,0.0066,0.25,6045.204805
Croatia,Croatia,0.1494,36.8,36930.47013
Cuba,Cuba,0.3044,26.85,NA
Cyprus,Cyprus,0.0126,14.41,48781.27734
Czechia,Czechia,0.8438,79.32,47796.03374
North Korea,North Korea,0.0895,3.5,NA
Democratic Republic of the Congo,Democratic Republic of the Congo,0.0229,0.23,1313.618218
Denmark,Denmark,1.8676,321.67,69715.18097
Djibouti,Djibouti,8e-4,0.76,5960.108074
Dominica,Dominica,0.0019,26.92,15808.97435
Dominican Republic,Dominican Republic,0.0823,7.94,22053.45899
Ecuador,Ecuador,0.1257,7.28,13507.44456
Egypt,Egypt,0.3293,3.32,15579.01609
El Salvador,El Salvador,0.0628,9.37,10809.7134
Equatorial Guinea,Equatorial Guinea,0.0057,4.19,16821.44865
Eritrea,Eritrea,0.0024,0.39,NA
Estonia,Estonia,0.149,113,44251.5375
Eswatini,Eswatini,0.0138,12.18,9946.040554
Ethiopia,Ethiopia,1e-4,0.01,2588.413102
Fiji,Fiji,0.0069,7.7,10685.19703
Finland,Finland,0.5937,107.59,56790.37662
France,France,12.666,195.39,52517.33549
Gabon,Gabon,0.0077,3.69,18523.5798
Gambia,Zambia,0,0.02,3503.034914
Georgia,Georgia,0.0116,3.13,18915.6534
Germany,Germany,30.8773,372.15,62530.76532
Ghana,Ghana,8e-4,0.03,6607.502974
Greece,Greece,0.8265,77.14,33531.15511
Grenada,Grenada,0.0035,32.04,15298.12311
Guatemala,Guatemala,0.1624,9.22,11825.14092
Guinea,Guinea,0.0032,0.23,3738.805126
Guinea-Bissau,Guinea-Bissau,5e-4,0.25,2483.850629
Guyana,Guyana,0.0113,14.38,22865.9271
Haiti,Haiti,0.0263,2.34,3134.950149
Honduras,Honduras,0.052,5.42,6202.980788
Hungary,Hungary,0.3639,37.29,38887.19095
Iceland,Iceland,0.1455,407.54,61610.21327
India,India,0.0645,0.05,8050.018575
Indonesia,Indonesia,0.2666,1,12757.07464
Iran,Iraq,3.5071,42.12,12731.75358
Iraq,Iraq,1e-4,0.01,12731.75358
Republic of Ireland,Republic of Ireland,0.5148,104,116903.6124
Israel,Israel,1.8272,201.81,46162.08227
Italy,Italy,19.123,316.82,49825.39341
Jamaica,Jamaica,0.0449,15.62,9577.164211
Japan,Japan,28.7336,227.7,44355.34872
Jordan,Jordan,0.0747,7.42,9182.496161
Kazakhstan,Kazakhstan,0.061,3.27,32945.85157
