Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.004556193439489374,0.08840251111268342
Afghanistan,OPG,0.025496289272938674,0.11078261660230256
Afghanistan,PA,0.006725087649193579,0.02084516003163206
Afghanistan,Prophy,0.04046029118543538,0.028999466904861795
Afghanistan,Maintenance_simp,0.07215878689352781,0.396509015225127
Afghanistan,OHI,0.009588564785718217,0.07251826262244834
Afghanistan,Consult_perio,0.002975698447471037,0.012072254700161935
Afghanistan,RootDeb,0.0020175684048763234,0.03221153516234512
Afghanistan,Extraction,0.002695439605167519,0.034071812612963534
Afghanistan,OFD,4.0349835816537646e-06,4.298652754542657e-4
Afghanistan,GTR,0.0034966282799285893,0.005955568147430215
Afghanistan,Single_implant,0.025834139729439008,0.050990873149985544
Afghanistan,Denture,4.6733722470195454e-4,0.021532860552121898
Afghanistan,Denture_repair,2.2197421885007692e-4,0.005824467864628001
Afghanistan,Maintenance_perio,0.10591163572543724,0.16491847058402404
Afghanistan,Implant_surgery,0.009551471370320683,0.03259954424481496
Afghanistan,Full_fixed,0.0025483891907306716,0.017570269855475756
Albania,Consult_simple,0.007389195664313271,0.012588423285516391
Albania,OPG,0.006059198274613498,0.009139978826898532
Albania,PA,0.00206185437283646,0.0028645581533745905
Albania,Prophy,0.012956487730634247,0.007159457602649733
Albania,Maintenance_simp,0.039733791296036214,0.0304426259374958
Albania,OHI,0.002874849300731626,0.005477612569389487
Albania,Consult_perio,0.0014433212062372495,0.0029745168194690286
Albania,RootDeb,0.0036814220911101894,0.006970471221056306
Albania,Extraction,0.0031360970695785244,0.007191378452414148
Albania,OFD,3.875469762775268e-4,9.046173109831889e-4
Albania,GTR,9.405825082925093e-4,0.0012802297505344824
Albania,Single_implant,0.009581328656293117,0.012492951753124017
Albania,Denture,0.0010933760982570488,0.0029640057093456205
Albania,Denture_repair,8.821068931211833e-4,0.0016002509025548283
Albania,Maintenance_perio,0.04240757497473861,0.03534045727017243
Albania,Implant_surgery,0.002162063179977725,0.006489223470033566
Albania,Full_fixed,0.0017805373480940603,0.005545048132141041
Algeria,Consult_simple,0.12933948997535843,0.22347235675113306
Algeria,OPG,0.10150381919171157,0.15368658593589177
Algeria,PA,0.03399103817237931,0.045440286191813006
Algeria,Prophy,0.22466621115353172,0.12320136897845568
Algeria,Maintenance_simp,0.6955087899742137,0.5411565499671083
Algeria,OHI,0.048515009682185764,0.09704524852113573
Algeria,Consult_perio,0.023833874816746196,0.049565154533976793
Algeria,RootDeb,0.056919374323706126,0.10291965569333296
Algeria,Extraction,0.05004366729799768,0.11043796759147192
Algeria,OFD,0.006009048320335407,0.014549313520691299
Algeria,GTR,0.015134010112792907,0.021109329974169044
Algeria,Single_implant,0.15717092360568113,0.2096472286377015
Algeria,Denture,0.015898169260391056,0.04051134904228171
Algeria,Denture_repair,0.01377741071556624,0.02450464396223607
Algeria,Maintenance_perio,0.6983544741964611,0.5995636716407865
Algeria,Implant_surgery,0.03476760258307676,0.10850301666548208
Algeria,Full_fixed,0.027983137658234118,0.08246920330800668
American Samoa,Consult_simple,1.3885176368789241e-4,2.420413454475069e-4
American Samoa,OPG,1.1605680546023887e-4,1.7510468873883615e-4
American Samoa,PA,4.088371230889167e-5,5.544160387497666e-5
American Samoa,Prophy,2.470094602887743e-4,1.3527310967954406e-4
American Samoa,Maintenance_simp,7.627060522168297e-4,6.075522191375452e-4
American Samoa,OHI,5.308733500025402e-5,1.0207459603586221e-4
American Samoa,Consult_perio,2.853081250930592e-5,5.532614245506398e-5
American Samoa,RootDeb,7.153447133904224e-5,1.3166340483642723e-4
American Samoa,Extraction,6.083655776873141e-5,1.2655226829550234e-4
American Samoa,OFD,7.493249441891769e-6,1.8704925727110212e-5
American Samoa,GTR,1.9276393253651576e-5,2.5748759845934194e-5
American Samoa,Single_implant,1.9794130110600721e-4,2.5956389137332875e-4
American Samoa,Denture,2.0681333712848073e-5,5.485338174673125e-5
American Samoa,Denture_repair,1.733229535013015e-5,3.453666393000796e-5
American Samoa,Maintenance_perio,8.64517183833948e-4,7.185244557665299e-4
American Samoa,Implant_surgery,4.395571903534022e-5,1.359401576960149e-4
American Samoa,Full_fixed,3.7039792160862225e-5,1.1582010762636931e-4
Andorra,Consult_simple,6.441278363259333e-4,4.920279403141776e-4
Andorra,OPG,4.319455565195009e-4,3.358462422229649e-4
Andorra,PA,1.6508866985884163e-4,1.33238369245335e-4
Andorra,Prophy,9.936961557071345e-4,5.417263441726885e-4
Andorra,Maintenance_simp,0.003355606032345656,0.0014595314818512232
Andorra,OHI,2.2201813348884475e-4,2.0933757796585465e-4
Andorra,Consult_perio,1.2468376725861924e-4,1.5126995852724192e-4
Andorra,RootDeb,4.212083585973893e-4,4.52999721687172e-4
Andorra,Extraction,3.4317946286174317e-4,3.736146970371011e-4
Andorra,OFD,4.622332997569238e-5,5.061241087952656e-5
Andorra,GTR,5.491615970044413e-5,6.102421756885321e-5
Andorra,Single_implant,7.285837157564014e-4,7.430031428907812e-4
Andorra,Denture,1.2259034820409634e-4,1.4436560645003857e-4
Andorra,Denture_repair,1.0963127216176412e-4,1.0681642670494227e-4
Andorra,Maintenance_perio,0.0033207085729475305,0.0016682525104225762
Andorra,Implant_surgery,9.070235119510425e-5,2.642818069612506e-4
