Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.0010945804442243287,0.035459236646072166
Afghanistan,OPG,0.007116937312273306,0.04146832543113861
Afghanistan,PA,0.002168985860255638,0.008469061049837048
Afghanistan,Prophy,0.010281949059391386,0.013371963888768084
Afghanistan,Maintenance_simp,0.005241252890214312,0.04271755024393956
Afghanistan,OHI,0.0028795778101620467,0.03565122142194443
Afghanistan,Consult_perio,0.001572834434338235,0.009464800185638708
Afghanistan,RootDeb,9.374698079367469e-4,0.02033881034322331
Afghanistan,Extraction,9.332843043436687e-4,0.01917528127200265
Afghanistan,OFD,1.1082393828847392e-6,8.337508752442942e-5
Afghanistan,GTR,0.0016780857266967507,0.003521602638908539
Afghanistan,Single_implant,0.012571246688512287,0.03218146780544925
Afghanistan,Denture,1.1226507115650816e-4,0.004862484296605974
Afghanistan,Denture_repair,4.3965890451869646e-5,8.411474327248314e-4
Afghanistan,Maintenance_perio,0.006994357582054554,0.01675423310678824
Afghanistan,Implant_surgery,0.004830198268637353,0.019721696026024905
Afghanistan,Full_fixed,0.0012980171030659766,0.013430109271055668
Albania,Consult_simple,0.0018483437900069734,0.0048887070869951645
Albania,OPG,0.0017194353273787192,0.0031971116631824828
Albania,PA,7.691278918348483e-4,0.0013978933836865666
Albania,Prophy,0.003242014647553233,0.003511818699637786
Albania,Maintenance_simp,0.003383396730434151,0.00541698589739171
Albania,OHI,8.103992303221039e-4,0.0020530261371851954
Albania,Consult_perio,7.317359299021753e-4,0.0018225313278523187
Albania,RootDeb,0.0018243686569088945,0.004140457269235814
Albania,Extraction,0.001622617630858332,0.00429407108055545
Albania,OFD,2.0027003007361298e-4,7.083323996614083e-4
Albania,GTR,4.771246424046871e-4,8.334814166424298e-4
Albania,Single_implant,0.004936395904774412,0.008513945639877101
Albania,Denture,4.951035420817378e-4,0.0015545542651267384
Albania,Denture_repair,4.4182348547412015e-4,9.659059166564194e-4
Albania,Maintenance_perio,0.0031475190257928424,0.00555943537435394
Albania,Implant_surgery,0.0010349503140925835,0.003918366476937315
Albania,Full_fixed,8.738428685112844e-4,0.003583735485452586
Algeria,Consult_simple,0.032676245261883737,0.08532890278645852
Algeria,OPG,0.030950203585909924,0.0729517129447245
Algeria,PA,0.013076560546241999,0.025459164849579528
Algeria,Prophy,0.05742227789377115,0.06294309268634081
Algeria,Maintenance_simp,0.056842441317669606,0.0936831474538092
Algeria,OHI,0.014191209582438826,0.03660701596583367
Algeria,Consult_perio,0.011828603186728629,0.03172288203175651
Algeria,RootDeb,0.028709351429729614,0.06451303082057722
Algeria,Extraction,0.024613848927013335,0.06465877831240201
Algeria,OFD,0.0029661500838215403,0.009363711744105068
Algeria,GTR,0.007877920154087285,0.01414467396654802
Algeria,Single_implant,0.07880798139568602,0.1424634535860738
Algeria,Denture,0.00862926182036318,0.028383952539581477
Algeria,Denture_repair,0.0071513185706083265,0.016681420820284634
Algeria,Maintenance_perio,0.05029634211962961,0.08607967644810731
Algeria,Implant_surgery,0.01791949869695413,0.06836990700123605
Algeria,Full_fixed,0.01534216253839014,0.068967703948659545
American Samoa,Consult_simple,3.43674834773927e-5,8.568595955415813e-5
American Samoa,OPG,3.352860966881035e-5,6.607299700581858e-5
American Samoa,PA,1.5177252006957129e-5,2.9175837146493258e-5
American Samoa,Prophy,6.126136202699819e-5,6.564494714663854e-5
American Samoa,Maintenance_simp,6.530078246889679e-5,1.0473426627114705e-4
American Samoa,OHI,1.5576398999277873e-5,4.263525053641706e-5
American Samoa,Consult_perio,1.5081611293921195e-5,3.878558900030749e-5
American Samoa,RootDeb,3.643248638312095e-5,9.446101963034451e-5
American Samoa,Extraction,3.0650645525353345e-5,7.932745394040577e-5
American Samoa,OFD,3.6177107919018614e-6,1.0498906813620793e-5
American Samoa,GTR,1.0083672734460327e-5,1.842865885234423e-5
American Samoa,Single_implant,9.860933047221495e-5,1.707302273730158e-4
American Samoa,Denture,1.0569165281946095e-5,3.4911627538088685e-5
American Samoa,Denture_repair,8.417919394425312e-6,2.005889564250257e-5
American Samoa,Maintenance_perio,6.316888158225506e-5,1.0672533518109338e-4
American Samoa,Implant_surgery,2.1604551218962654e-5,8.518376288502926e-5
American Samoa,Full_fixed,1.749637917045334e-5,6.481640601613191e-5
Andorra,Consult_simple,1.6059027696386008e-4,2.1446870608173423e-4
Andorra,OPG,1.2945850937876914e-4,1.4608867597521054e-4
Andorra,PA,6.422262722720427e-5,8.020895419780992e-5
Andorra,Prophy,2.4758264256987e-4,2.697739676528083e-4
Andorra,Maintenance_simp,2.790977418283265e-4,3.453016111804558e-4
Andorra,OHI,6.583164575151529e-5,9.782707845281235e-5
Andorra,Consult_perio,6.274293896449924e-5,9.81416935960801e-5
Andorra,RootDeb,2.080122643570849e-4,2.8791275652026064e-4
Andorra,Extraction,1.6557926182542073e-4,2.2663123514676751e-4
Andorra,OFD,2.3435494956508554e-5,3.3994770193456206e-5
Andorra,GTR,2.738562382802949e-5,3.902333330781021e-5
Andorra,Single_implant,3.5898304340677053e-4,4.91852849804087e-4
Andorra,Denture,6.150161151207993e-5,9.272713528305014e-5
Andorra,Denture_repair,5.415909106476641e-5,6.898023963336753e-5
Andorra,Maintenance_perio,2.3968283694463029e-4,3.195709118641985e-4
Andorra,Implant_surgery,4.542709613795148e-5,1.8432344345318828e-4
Andorra,Full_fixed,8.419034661432236e-5,2.0481753947018314e-4
Angola,Consult_simple,0.012133873951179206,0.05489328531316286
Angola,OPG,0.01309401704458517,0.03765703204323573
Angola,PA,0.0046426540638349134,0.01081683758863994
Angola,Prophy,0.026253156082281844,0.028992142670462174
Angola,Maintenance_simp,0.024365418731350928,0.059398632276382986
Angola,OHI,0.005750999551988862,0.02624546524763534
Angola,Consult_perio,0.0033579298757203473,0.011157582196676752
Angola,RootDeb,0.006485687615963163,0.026435825801155062
Angola,Extraction,0.00585386890838751,0.026649230544624248
Angola,OFD,6.064801330317673e-4,0.004211642073757876
Angola,GTR,0.0029003915880525307,0.0055348564217384925
Angola,Single_implant,0.025216964251321708,0.04998403669603792
Angola,Denture,0.0016058715937585497,0.009689698872329332
Angola,Denture_repair,0.0012307997261561093,0.005556626493290542
Angola,Maintenance_perio,0.015709043610944228,0.03232459415876817
Angola,Implant_surgery,0.007379716837052742,0.027397052922404665
Angola,Full_fixed,0.003931461333694575,0.020518916867260276
Antigua and Barbuda,Consult_simple,8.858235067775256e-5,1.5537578524061583e-4
Antigua and Barbuda,OPG,8.737837475953488e-5,1.3425140971385206e-4
