Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Consult_simple,7.420893996527696e-5,0.00938849026740221
Afghanistan,OPG,1.0162214416768076e-5,1.6801013012823315e-4
Afghanistan,PA,1.5289947639775053e-5,1.8983279851953383e-4
Afghanistan,Prophy,6.903483867973046e-4,0.00243978530744939
Afghanistan,Maintenance_simp,3.517500672481581e-4,0.0094072391630527
Afghanistan,OHI,1.7452293517746504e-5,2.2264586802205795e-4
Afghanistan,Consult_perio,9.996537244280297e-5,0.00156217688559851
Afghanistan,RootDeb,-1.880358548526753e-5,0.00188597121138439
Afghanistan,Extraction,5.6144708261084096e-5,0.00255497574765779
Afghanistan,OFD,2.7691931219829775e-6,4.825925128211067e-5
Afghanistan,GTR,9.979730290574469e-6,6.659635481147593e-5
Afghanistan,Single_implant,8.014163673586232e-5,4.958690223355664e-4
Afghanistan,Denture,1.4582163281546733e-5,5.861006993979319e-4
Afghanistan,Denture_repair,-2.0332285049397265e-5,5.551647262057772e-4
Afghanistan,Maintenance_perio,3.797260513979976e-4,0.00366408997135167
Afghanistan,Implant_surgery,4.916349376443812e-5,5.016165935964904e-4
Afghanistan,Full_fixed,4.319718966563307e-5,7.617773974207803e-4
Albania,Consult_simple,1.3098978290772037e-4,0.00107713067070054
Albania,OPG,3.084043012649139e-6,2.304992130011289e-5
Albania,PA,2.4022878264262646e-6,1.2607133473397224e-5
Albania,Prophy,2.0332033534324083e-4,6.649072275413002e-4
Albania,Maintenance_simp,2.79241150725827e-4,0.00105403570905894
Albania,OHI,2.146614755626665e-6,1.4332672415622836e-5
Albania,Consult_perio,4.83337601903456e-5,3.815137880677168e-4
Albania,RootDeb,4.393844960627541e-5,2.6660474318840745e-4
Albania,Extraction,1.0769184141161995e-4,8.727805498741004e-4
Albania,OFD,1.4938895396473037e-6,9.336859230003037e-6
Albania,GTR,3.1548657387501325e-6,1.3610293646473894e-5
Albania,Single_implant,2.7001049769042804e-5,1.4367683480289933e-4
Albania,Denture,1.7154460894637826e-5,1.0800720670873468e-4
Albania,Denture_repair,1.9041577608707513e-5,1.097819972442998e-4
Albania,Maintenance_perio,2.950364306011534e-4,0.00155130034097656
Albania,Implant_surgery,1.4702959083490622e-5,1.0091997648517188e-4
Albania,Full_fixed,1.21380802353752e-5,8.883738609583592e-5
Algeria,Consult_simple,0.00323949023760128,0.02159906010726342
Algeria,OPG,4.864654990538059e-5,3.141739269299678e-4
Algeria,PA,4.5155293842719475e-5,3.0522372858804355e-4
Algeria,Prophy,0.00380196220618202,0.01249124081716439
Algeria,Maintenance_simp,0.00399051157065883,0.01916701094289137
Algeria,OHI,5.551685651775271e-5,3.7966269703324467e-4
Algeria,Consult_perio,0.0011927887243278,0.00626007911089044
Algeria,RootDeb,0.00131634470170163,0.00647543186228519
Algeria,Extraction,0.00171085455392998,0.01011152673557712
Algeria,OFD,1.4515457616667864e-5,1.917167241066682e-4
Algeria,GTR,4.9185132358742447e-5,2.96027556262949e-4
Algeria,Single_implant,5.118374766240482e-4,0.00219979006523989
Algeria,Denture,3.37962730886915e-4,0.0019461681294595
Algeria,Denture_repair,2.512880986653338e-4,0.00145741454834077
Algeria,Maintenance_perio,0.00376019863124532,0.01637123354523736
Algeria,Implant_surgery,3.021317303889651e-4,0.0030969747397839
Algeria,Full_fixed,2.1091874183347425e-4,0.00170390685190822
American Samoa,Consult_simple,2.8344510795077575e-6,2.1505836636009405e-5
American Samoa,OPG,5.0679437436504464e-8,2.6074239623484634e-7
American Samoa,PA,6.602606928432786e-8,3.053642664699134e-7
American Samoa,Prophy,3.995613592070477e-6,1.2856597509483394e-5
American Samoa,Maintenance_simp,3.981264587057745e-6,1.7684777232230895e-5
American Samoa,OHI,6.408329699981529e-8,3.823382713603221e-7
American Samoa,Consult_perio,9.511763621007464e-7,7.002067751753014e-6
American Samoa,RootDeb,1.220968061928152e-6,7.015951450261408e-6
American Samoa,Extraction,2.865237901659733e-6,1.8703556736472784e-5
American Samoa,OFD,3.00063011589237e-8,2.6194066788620956e-7
American Samoa,GTR,9.499213717196541e-8,6.664495444180302e-7
American Samoa,Single_implant,5.179391770549602e-7,2.0921964034812865e-6
American Samoa,Denture,3.6342564762677643e-7,3.7335345352537303e-6
American Samoa,Denture_repair,3.2760551072936474e-7,2.221492315352684e-6
American Samoa,Maintenance_perio,6.519821349501752e-6,3.0088178070774062e-5
American Samoa,Implant_surgery,4.438980316284003e-7,3.5197919410612007e-6
American Samoa,Full_fixed,4.5017463486086276e-7,2.7853052650719514e-6
Andorra,Consult_simple,5.279602926540457e-4,4.104501145079456e-4
Andorra,OPG,3.6083060783661933e-4,2.8504220102447484e-4
Andorra,PA,1.4183824229872273e-4,1.173385268929077e-4
Andorra,Prophy,8.140286472918944e-4,4.516100547968796e-4
Andorra,Maintenance_simp,0.0032317501505711,0.00141423027171501
Andorra,OHI,1.940556147399225e-4,1.721561277721566e-4
Andorra,Consult_perio,1.0877329335947328e-4,1.2734589177541033e-4
Andorra,RootDeb,3.5413666850273484e-4,3.7278018031349777e-4
Andorra,Extraction,2.8897953404951747e-4,3.233289114113945e-4
Andorra,OFD,4.036025151649319e-5,4.339812216560435e-5
Andorra,GTR,4.6131941645759755e-5,4.921448234301141e-5
Andorra,Single_implant,6.025419110463898e-4,6.117425149646434e-4
Andorra,Denture,1.0427087471774912e-4,1.2431043612793298e-4
Andorra,Denture_repair,9.3979727519276e-5,9.151706040837796e-5
Andorra,Maintenance_perio,0.00119351870336274,7.341701474733968e-4
Andorra,Implant_surgery,8.512210172761399e-5,2.6744582245964883e-4
Andorra,Full_fixed,1.413218831225343e-4,2.7679062820082823e-4
Angola,Consult_simple,2.990970443195938e-4,0.00852909877198922
Angola,OPG,2.003322191751336e-5,2.3500410639947563e-4
Angola,PA,2.850759217240838e-5,1.9702354534191323e-4
Angola,Prophy,0.00162781588611306,0.00498240594580484
Angola,Maintenance_simp,0.00271493112486161,0.01436973241168073
Angola,OHI,3.065800771734282e-5,3.417491632366381e-4
Angola,Consult_perio,1.890860892385904e-4,0.00174737195463446
Angola,RootDeb,3.087481483456356e-4,0.00290687297877178
Angola,Extraction,6.608934032271097e-4,0.00446954534823258
Angola,OFD,2.7946863299154173e-6,8.508373350588461e-5
Angola,GTR,2.3752678550330564e-5,1.3864851170031589e-4
Angola,Single_implant,1.7143984029291748e-4,9.199454782389294e-4
Angola,Denture,1.6972184230009204e-5,9.16137466636336e-4
Angola,Denture_repair,7.642326626015657e-5,6.758604685160721e-4
Angola,Maintenance_perio,0.00153415448798277,0.00918965618480349
Angola,Implant_surgery,1.1108719758136922e-4,9.840951729317014e-4
Angola,Full_fixed,8.677611795262837e-5,7.906589169450424e-4
Antigua and Barbuda,Consult_simple,6.749311855374808e-5,1.3399054274581355e-4
Antigua and Barbuda,OPG,7.474773788352808e-5,1.082406706897482e-4
Antigua and Barbuda,PA,3.9430954192820345e-5,6.368346972289611e-5
Antigua and Barbuda,Prophy,1.1195971083508848e-4,1.2352576508076212e-4
Antigua and Barbuda,Maintenance_simp,1.3263228534653892e-4,1.915880818954626e-4
Antigua and Barbuda,OHI,3.3553871393480514e-5,5.855778530171411e-5
Antigua and Barbuda,Consult_perio,3.751870392683454e-5,7.32230878789512e-5
Antigua and Barbuda,RootDeb,1.086841283946414e-4,1.9438552803035993e-4
Antigua and Barbuda,Extraction,9.697836219139084e-5,1.7439959167543943e-4
Antigua and Barbuda,OFD,1.2498039583603784e-5,2.5696745441269245e-5
Antigua and Barbuda,GTR,2.516623865019194e-5,3.733265402451239e-5
Antigua and Barbuda,Single_implant,2.837904473113086e-4,4.361984667828714e-4
Antigua and Barbuda,Denture,3.635942029695622e-5,7.806527321646338e-5
Antigua and Barbuda,Denture_repair,3.1746605421570445e-5,5.259234120339476e-5
Antigua and Barbuda,Maintenance_perio,1.6136162513944835e-4,2.3372239303504e-4
Antigua and Barbuda,Implant_surgery,5.1947700499567995e-5,1.6868217931602424e-4
Antigua and Barbuda,Full_fixed,5.472312902647807e-5,1.5756630521549292e-4
