Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Consult_perio,4.128089682182941e-4,0.00740208028228608
Afghanistan,Consult_simple,-1.4136235731669215e-4,0.00991212250084223
Afghanistan,Denture,-6.142492335055403e-5,0.00277019920943839
Afghanistan,Denture_repair,-5.2780930189121624e-5,0.00218153468749398
Afghanistan,Extraction,5.126804609499548e-4,0.0134883118654658
Afghanistan,Full_fixed,1.1748175218490984e-4,0.00189454380829553
Afghanistan,GTR,5.8161900563534106e-5,4.2954589126915384e-4
Afghanistan,Implant_surgery,4.544658099314821e-4,0.00465943475046667
Afghanistan,Maintenance_perio,0.00215486741532567,0.01353100439834641
Afghanistan,Maintenance_simp,0.00139625807777197,0.01595797231987341
Afghanistan,OFD,-3.168123660617258e-6,2.193932074647342e-4
Afghanistan,OHI,1.082414731531552e-5,2.522526293181944e-4
Afghanistan,OPG,2.1644075833927e-5,1.9348421430486604e-4
Afghanistan,PA,1.7629788461231573e-5,1.7327999187305277e-4
Afghanistan,Prophy,5.944438151455483e-4,0.00191676933621689
Afghanistan,RootDeb,1.716488703062298e-4,0.00669810204843854
Afghanistan,Single_implant,3.245928071852876e-4,0.00232003437324051
Albania,Consult_perio,7.220424350658401e-5,4.749540256327866e-4
Albania,Consult_simple,1.458756387319565e-4,8.675527318672213e-4
Albania,Denture,1.9781142653199297e-5,1.835757866213491e-4
Albania,Denture_repair,1.6020266518770157e-5,1.3088232867504334e-4
Albania,Extraction,1.6772383026963795e-4,0.00119860356976699
Albania,Full_fixed,2.765203208786055e-5,2.6377632388907877e-4
Albania,GTR,4.349831304068288e-6,2.4366308716941097e-5
Albania,Implant_surgery,2.440027064698761e-5,1.8255500334860505e-4
Albania,Maintenance_perio,2.9403955584229174e-4,0.00126023786334311
Albania,Maintenance_simp,5.189531376008892e-4,0.00210686743515755
Albania,OFD,2.149065487380324e-6,1.615999979937668e-5
Albania,OHI,2.632087037850936e-6,2.4074733893398943e-5
Albania,OPG,2.7070788614431475e-6,1.6951151886064555e-5
Albania,PA,3.612551583150224e-6,1.8175820669616673e-5
Albania,Prophy,1.994035498110457e-4,6.043946491792897e-4
Albania,RootDeb,7.411634752777299e-5,4.997398233727707e-4
Albania,Single_implant,3.554039398375887e-5,1.630396244935875e-4
Algeria,Consult_perio,0.00104311151300147,0.0079931570272375
Algeria,Consult_simple,0.00244746764557575,0.01534209102155487
Algeria,Denture,3.353641875619639e-4,0.00305426584757374
Algeria,Denture_repair,3.608256587057606e-4,0.00249605971182508
Algeria,Extraction,0.00251738507873231,0.01901664353257634
Algeria,Full_fixed,3.5525990788182204e-4,0.00361759899724099
Algeria,GTR,6.711566178163874e-5,3.743873661896181e-4
Algeria,Implant_surgery,3.1049246571472107e-4,0.00300115155245074
Algeria,Maintenance_perio,0.00450567022922753,0.02290388401275954
Algeria,Maintenance_simp,0.00810959911330193,0.03799690922978469
Algeria,OFD,2.7018988058068192e-5,2.726111100608598e-4
Algeria,OHI,4.601959067886266e-5,3.346485837752738e-4
Algeria,OPG,4.274043332969485e-5,2.7674121676732257e-4
Algeria,PA,5.800456177778237e-5,2.83713900055393e-4
Algeria,Prophy,0.00326946916595395,0.00995318247369213
Algeria,RootDeb,0.00141729626389747,0.01106283461827386
Algeria,Single_implant,5.522711284846225e-4,0.00280653235118579
Andorra,Consult_perio,4.8197888965343875e-5,7.244263621345411e-5
Andorra,Consult_simple,1.4216341162160532e-4,1.820370683922174e-4
Andorra,Denture,4.765157157091438e-5,6.670363260570065e-5
Andorra,Denture_repair,4.196545591326347e-5,4.916126746027801e-5
Andorra,Extraction,1.2930504963434893e-4,1.831893607328045e-4
Andorra,Full_fixed,6.310604711734344e-5,1.538515437440745e-4
Andorra,GTR,2.0911260408249235e-5,3.040537071642056e-5
Andorra,Implant_surgery,3.243584522300237e-5,1.1692330250902852e-4
Andorra,Maintenance_perio,1.7528968401904488e-4,2.219148175091277e-4
Andorra,Maintenance_simp,4.8722423947716506e-4,5.167222312127864e-4
Andorra,OFD,1.7735666483943534e-5,2.539450514992395e-5
Andorra,OHI,5.709404616870713e-5,8.184500729597299e-5
Andorra,OPG,1.0983679340904544e-4,1.2522215733086267e-4
Andorra,PA,5.206616901732482e-5,6.009218379771355e-5
Andorra,Prophy,2.1875050811370303e-4,2.3654144594062535e-4
Andorra,RootDeb,1.6216575645409023e-4,2.301355607102111e-4
Andorra,Single_implant,2.9203348396115487e-4,3.9609484597152736e-4
Angola,Consult_perio,4.228014699666724e-4,0.00435729980592116
Angola,Consult_simple,0.00104580011244296,0.01073360331919119
Angola,Denture,7.465585123808784e-5,0.0014185755290326
Angola,Denture_repair,8.881343961374102e-5,0.00114438930267706
Angola,Extraction,6.548523706611022e-4,0.00869900048406379
Angola,Full_fixed,5.847095795761748e-5,0.00135310117089203
Angola,GTR,3.1173094338234e-5,1.9147212470032397e-4
Angola,Implant_surgery,2.001546279065014e-4,0.00188337685846753
Angola,Maintenance_perio,0.00217949051388013,0.01358492855033968
Angola,Maintenance_simp,0.00404078639365594,0.02433211040034764
Angola,OFD,7.059996988152744e-6,1.773971818915581e-4
Angola,OHI,1.9047368859518375e-5,2.85299769147951e-4
Angola,OPG,2.9180576774220485e-5,2.5226129433276063e-4
Angola,PA,2.9039310065032885e-5,1.863409464483327e-4
Angola,Prophy,0.00164268872270474,0.00510011680724577
Angola,RootDeb,3.2430568436941974e-4,0.00404827735438121
Angola,Single_implant,2.4233966126951904e-4,0.00148402384001349
Antigua and Barbuda,Consult_perio,2.0005136173402157e-5,4.1808036644072546e-5
Antigua and Barbuda,Consult_simple,8.12720118833933e-5,1.52410170129195e-4
Antigua and Barbuda,Denture,1.7128382738213514e-5,3.737043921617783e-5
Antigua and Barbuda,Denture_repair,1.389219373504942e-5,2.234734517739597e-5
Antigua and Barbuda,Extraction,4.90632542155958e-5,9.774188577968097e-5
Antigua and Barbuda,Full_fixed,2.551210161841129e-5,8.43019158444236e-5
Antigua and Barbuda,GTR,1.0938850166026124e-5,1.7653877497029532e-5
Antigua and Barbuda,Implant_surgery,2.1705266992334975e-5,7.46406336710365e-5
Antigua and Barbuda,Maintenance_perio,7.552278070414952e-5,1.1938842479942204e-4
Antigua and Barbuda,Maintenance_simp,2.8832417297730757e-4,3.3847893981042167e-4
Antigua and Barbuda,OFD,6.074612341844008e-6,1.2518492344530032e-5
Antigua and Barbuda,OHI,3.079397755197411e-5,6.799135814684471e-5
Antigua and Barbuda,OPG,6.0364615646704094e-5,1.0075074996256534e-4
Antigua and Barbuda,PA,2.3890851686375793e-5,3.5525874115566784e-5
Antigua and Barbuda,Prophy,1.3554229913474242e-4,1.45665090630762e-4
Antigua and Barbuda,RootDeb,5.567993617454962e-5,9.996675019693743e-5
Antigua and Barbuda,Single_implant,1.2307532160315938e-4,1.9408414907228104e-4
Argentina,Consult_perio,0.00723394627142385,0.01633315309473404
Argentina,Consult_simple,0.0420429872478297,0.07889805136859215
Argentina,Denture,0.00604784903268799,0.01346532018745556
Argentina,Denture_repair,0.00535858649895547,0.00900033428141724
