Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Afghanistan,0.00571403082344459,0.03036621614916402,0.00268294825107661,0.0186391792962887,7.104919539204725e-4,0.00575907429747538,low,0.0167,0.46,2144.16657
Albania,0.0013927557169358,0.00314872722125565,4.008453276659493e-4,0.00162288959581879,1.1866735832575106e-4,5.134705318206532e-4,low,0.0363,12.66,16126.77749
Algeria,0.02148007239618012,0.04880657211318132,0.00591705996128505,0.02440403125079169,0.00175568369303832,0.00748794775466742,low,0.3237,7.46,14496.86547
Andorra,0.00186951785934886,0.00116145444817606,4.039550318256402e-4,3.659930979950024e-4,4.73740867634962e-4,5.255667763821306e-4,mid,0.0146,189.89,59332.20291
Angola,0.00880001013755489,0.02551312813182724,0.00228722599636325,0.01089138730481899,6.477255001497966e-4,0.00345501841209297,low,0.0702,2.33,7408.126591
Antigua and Barbuda,9.018148857355508e-4,5.987434368003597e-4,1.5787528839824547e-4,1.711288866525894e-4,2.0273196932662913e-4,2.6670321389092783e-4,mid,0.0048,51.88,25745.49581
Argentina,0.40594916634464673,0.2680020563440323,0.05768826731118513,0.0623722284085244,0.0733225848058728,0.09418003623541896,mid,1.106,24.55,26300.27426
Armenia,0.03315676618833694,0.02687301518208246,0.00827212509018764,0.01026360387104802,0.01118178039554428,0.01598898600006909,mid,0.113,38.05,15921.70528
Australia,3.9371323120829183,0.90770873619266,1.5968201408961145,0.34108149639783825,0.8098003861135211,0.4286320771270476,high,7.3703,288.25,58182.33695
Austria,1.1585116256579442,0.32870335222499353,0.4965663403452545,0.1847966696908963,0.2695963086156361,0.16729420073423523,high,2.1157,236.39,62968.94223
Azerbaijan,0.0060414172789508,0.01244789466110508,0.00149584214514964,0.00559952560601778,4.6636127995086066e-4,0.00199106677127423,low,0.1268,12.61,20111.3757
Bahamas,0.01078541086948488,0.0041331066184006,0.00142418799693528,7.576731416635485e-4,7.93486088724817e-4,5.992228083748233e-4,high,0.0329,75.3,31064.68222
Bahrain,0.00239583187360165,0.00452081379961376,7.542025615385196e-4,0.00229999946798317,2.317269246460761e-4,8.119388674597352e-4,low,0.0625,41.36,54954.67579
Bangladesh,0.0412651160339262,0.12589212877377626,0.00873232320126996,0.04477573341451603,0.00258032570429048,0.01470200062242576,low,0.0125,0.08,7441.06914
Barbados,0.0028022405525381,0.0021607639471752,6.349172406839399e-4,7.919964823088501e-4,8.707172270313113e-4,0.00124496416729908,mid,0.0152,52.8,15683.88471
Belarus,0.00749239786110486,0.01471845690521364,0.00214602772935332,0.00733115729161145,6.615426608133655e-4,0.00257213177136976,low,0.1371,14.47,27611.18011
Belgium,1.12520846001885,0.3146262888925632,0.433871367257055,0.16840684315148277,0.2347474423053341,0.14903598186245348,high,2.1221,185.2,60669.21377
Belize,0.00201345593516618,0.00166096423690502,2.421650966978652e-4,3.402894916424504e-4,3.463480884268409e-4,5.33843324362198e-4,mid,0.0057,14.08,11677.46101
Benin,0.00338942315040526,0.01414378590693081,0.00140863833039645,0.00843099099837447,4.270192377773469e-4,0.00285099907570147,low,0.0033,0.28,3464.288629
Bhutan,3.240502687474397e-4,7.687642086815474e-4,7.553226362021373e-5,3.1816092926051533e-4,2.2574780310080606e-5,1.0555999113736624e-4,low,0,0.06,13458.81267
Bolivia,0.004165061150534,0.01090079731936916,0.00120211849553005,0.00563700046165336,3.676439927177878e-4,0.00207875562211451,low,0.0482,4.17,9454.198147
Bosnia and Herzegovina,0.02917534175341442,0.02137785546096513,0.00607274094814171,0.00736405930098617,0.00809187633380715,0.01138680526655817,mid,0.0727,20.75,18285.67112
Botswana,0.02070637056299661,0.01333073426002762,0.00173485985475412,0.00144535801940718,0.00138877628620977,0.00145799305361955,mid,0.0574,24.15,17960.62544
Brazil,1.967934774645553,1.1003788086466924,0.3572923541754099,0.2945286498264132,0.23121860774275055,0.2300949077692541,mid,3.7128,17.68,18075.706
