Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.4138572260594452,0.6008986937851492,0.1471397506178431,0.2103767099739246,0.053758715650935394,0.0921324213060474
Albania,0.14648686738358715,0.05816970404633332,0.05057660868662787,0.03748978119065305,0.016655198576693817,0.017972379695165467
Algeria,2.4611510550562135,0.9895368040988993,0.8229870558058171,0.6337958595929464,0.26454001833071655,0.2811976391797404
American Samoa,0.0034045056271508655,0.0013615708191762848,0.0011961987396407288,9.034237342296639e-4,3.930753990909343e-4,4.2328403110962866e-4
Andorra,0.010592312308475757,0.0027041374601610947,0.003688953746400473,0.001650357813119439,0.001149904961168626,9.786944509007063e-4
Angola,0.9761862630471038,0.6104844922668787,0.2663130770960884,0.2632526929175056,0.0889761654007116,0.11559961161874147
Antigua and Barbuda,0.008209200147838007,0.002770907631296714,0.003356249760894245,0.0020170458709891544,0.0010603106812439216,0.0010235732581435485
Argentina,3.3655475999426807,1.1477107383267993,1.1778784720647524,0.7531904550810764,0.37169776083308353,0.37277602294929824
Armenia,0.1537927566506651,0.062361509162419095,0.053770771932659035,0.0414794856518162,0.01781036707144064,0.019564574197007994
Australia,5.072880598982676,0.9376150153149363,1.6547600600375143,0.3929784181843089,0.4775783518378022,0.34761105392535274
Austria,1.115374626703071,0.2719828002600932,0.3465253220360967,0.15112715941636445,0.10723338349958059,0.08810699187950764
Azerbaijan,0.6563847495514356,0.2368725357962001,0.2144669527626774,0.14739766791164674,0.06843104478483092,0.07404573351370798
Bahamas,0.04263496577462481,0.012429876100296658,0.01632191846163514,0.00840746783403178,0.005224016344943807,0.004677099053557363
Bahrain,0.2437720070510913,0.0603569961005707,0.08427849947244065,0.03659281085445588,0.026005403811860516,0.021646271001318284
Bangladesh,6.868009499557011,4.363405592600646,3.3237421746091815,3.4243647969512803,1.0910753142156375,1.5077184297097166
Barbados,0.020341674209214764,0.008467574884531674,0.008963360863805222,0.006532284969648282,0.002890743088634489,0.003058500202956052
Belarus,0.695458641836445,0.23646255883380968,0.25915798081328506,0.16278302519260984,0.08238918277428114,0.08108438488767847
Belgium,1.7015805127588162,0.4360164794765058,0.6749169491481808,0.28262487256189595,0.20822346562726568,0.1673505427799902
Belize,0.019211974640350515,0.00944210554933234,0.007087074629002609,0.0061868143339701125,0.002348123457980619,0.0028541038433898248
Benin,0.34046198747948014,0.2880856195397017,0.14760462693420193,0.18389010864973956,0.051683038999971884,0.07751139504453
Bermuda,0.014803677752455198,0.0037317891851111847,0.006580833730567956,0.0023803890390663687,0.002014797060874852,0.0015248571007441974
Bhutan,0.06318304842575678,0.03125295678518659,0.028758990572632145,0.024452590730114597,0.00948923974764045,0.011330050975182845
Bolivia (Plurinational State of),0.4539319326227206,0.2536279533419735,0.1604772978860831,0.1578464879759403,0.052953582938352825,0.06719840783128445
Bosnia and Herzegovina,0.18284891974469947,0.07118976430433394,0.06738665612420307,0.04862284823949915,0.02179400386451051,0.023945551107649215
Botswana,0.17180730786750686,0.03760763784846132,0.017547539617760243,0.00553105470503314,0.0037318276142657156,0.0028707687958195584
Brazil,14.875916881600705,2.757532949007339,3.277992053521761,1.0246373055113482,0.5730170559549596,0.41325934572174955
Brunei Darussalam,0.07717221602959123,0.017435058056966424,0.018357920391486007,0.007286942862710944,0.005632265249049625,0.004498477259903101
Bulgaria,0.4608931786066577,0.14535265438598655,0.14542401333661137,0.08931064924655652,0.046143244949057485,0.04494146242225864
Burkina Faso,0.6215977322915542,0.5988079785056974,0.31257217491088723,0.4096496389150081,0.11111002633256842,0.1821011135540416
Burundi,0.09543256677197869,0.1638418980182887,0.04559440458700306,0.0720979878951717,0.01724585124410124,0.03000300702187065
Cabo Verde,0.03177762191519311,0.01995816667931002,0.016606021612923943,0.016651409413465303,0.005640503092071775,0.007326249979558444
Cambodia,0.4322780616931514,0.316407123867969,0.15790732384447198,0.17856174369550015,0.05318547571464403,0.07501379242025724
Cameroon,1.011410619300165,0.7590220354609382,0.4996068117418465,0.5787496023737305,0.16709449589951633,0.23666915528250296
Canada,6.282046805701642,1.38126848146364,2.365815890115247,0.6353771196263333,0.7972545988358084,0.5468138547851157
