Country,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,iso3c,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower
Afghanistan,low,0.00420664319676821,0.0258626723899821,0.00104843383581351,0.00710630191284286,2.4676950344748784e-4,0.00218162460014412,0.38264825307238215,0.533832341963081,0.12256250868654472,0.18126222745799855,0.04396298779970668,0.07249941756521686,0.3231644048259028,0.5723315583484757,0.06063638766945593,0.09014885490496533,0.04227390865341404,0.06973558220686048,0.07706562494619226,0.12502744158843052,0.01184603603855937,0.02957191174311371,0.02194130555666441,0.04675779244301696,0.00420664319676821,0.0258626723899821,0.00104843383581351,0.00710630191284286,2.4676950344748784e-4,0.00218162460014412,0.38264825307238215,0.533832341963081,0.12256250868654472,0.18126222745799855,0.04396298779970668,0.07249941756521686,0.0167,0.46,AFG,31222195.762415607,4829792.382241702,0.0242486438673279,0.00275344427633834,0.0477546676524796,0.00950878115189285,1435.87845849541,1845.92971927636,1089.5657583314
Albania,low,0.00136514755816635,0.00296664695823109,3.6620842301845585e-4,0.00153142365890172,1.1375715135166987e-4,4.3850285202720103e-4,0.12158209815714742,0.04841337155991343,0.04267766014917725,0.03206596390770038,0.01376286370132731,0.0151933271071587,0.10686345189160096,0.04404760323877507,0.02088932513817106,0.01682226425551863,0.01387722542851256,0.01533234149297299,0.0241278903631379,0.01833314165884577,0.00513339893507295,0.0064330932633085,0.00676253665511692,0.0100246670494659,0.00136514755816635,0.00296664695823109,3.6620842301845585e-4,0.00153142365890172,1.1375715135166987e-4,4.3850285202720103e-4,0.12158209815714742,0.04841337155991343,0.04267766014917725,0.03206596390770038,0.01376286370132731,0.0151933271071587,0.0363,12.66,ALB,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574
Algeria,low,0.02033558625767997,0.04155376348781366,0.00606534781845522,0.02279380033746121,0.00157989089183248,0.00689472277448336,1.9125942683371089,0.8128172145556127,0.6472944748533629,0.5012790212521073,0.21609671327310676,0.25078105295052144,1.6823167125291627,0.7233885453556068,0.3095098854276108,0.2571440011388517,0.21228192832657425,0.2420795056277974,0.3725501230343739,0.28558984252700675,0.077016410543619,0.09957887363441958,0.10682873950656983,0.15238599030373107,0.02033558625767997,0.04155376348781366,0.00606534781845522,0.02279380033746121,0.00157989089183248,0.00689472277448336,1.9125942683371089,0.8128172145556127,0.6472944748533629,0.5012790212521073,0.21609671327310676,0.25078105295052144,0.3237,7.46,DZA,44197950.69413077,3381449.6637121327,0.0498025811034329,0.00552831948280544,0.1224047683115222,0.01902480921860196,12503.8702057827,13804.0970388439,10177.6946645367
Andorra,high,0.00800829052550431,0.00209896339099172,0.00160579473493992,8.09853244393548e-4,9.752927783500996e-4,8.439520707459404e-4,0.00800829052550431,0.00209896339099172,0.00160579473493992,8.09853244393548e-4,9.752927783500996e-4,8.439520707459404e-4,0.00800829052550431,0.00209896339099172,0.00160579473493992,8.09853244393548e-4,9.752927783500996e-4,8.439520707459404e-4,0.00180816927641677,0.00113181419968499,4.120257821904299e-4,3.6452623524412176e-4,4.833969818957873e-4,5.471819162801572e-4,9.866551872294778e-5,1.6682915983874528e-4,2.313436952733705e-5,6.623801585252368e-5,7.904247067678164e-6,2.7337027670342047e-5,0.00920254599322409,0.00228319816624566,0.003172008744275,0.00134774667457804,0.00101508732385042,8.241308208562255e-4,0.0146,189.89,AND,85593.33340106082,4359.0357468632865,0.0715526613528961,0.00902325255865015,0.163095800719345,0.02251271161974739,44149.1876753066,49135.2624360747,38533.5607629857
Angola,low,0.00778883522829738,0.02386958796969698,0.00183156002103029,0.00926499987252613,4.7647227896069794e-4,0.00267650952173599,0.8041519341493422,0.4922245078550991,0.22240597869158343,0.2202477786336269,0.07362590674029985,0.09715361195663597,0.7376453282073786,0.5134820623045464,0.10133617293912396,0.11096766618890218,0.07286225294716546,0.09404356327832028,0.14394434985688448,0.13746410822759067,0.02276453864970761,0.03924961243487679,0.0369038062095106,0.06484740521305557,0.00778883522829738,0.02386958796969698,0.00183156002103029,0.00926499987252613,4.7647227896069794e-4,0.00267650952173599,0.8041519341493422,0.4922245078550991,0.22240597869158343,0.2202477786336269,0.07362590674029985,0.09715361195663597,0.0702,2.33,AGO,32706452.127798323,1871268.125927901,0.0182214261135753,0.00221946132419165,0.0696340291706627,0.01233303290510474,5765.65437715755,6985.80948028651,4755.70598405405
Antigua and Barbuda,mid,0.00138183006295025,0.00101065766128728,3.3359234488882183e-4,3.502019612331404e-4,4.412183485186016e-4,5.566006381067978e-4,0.00670862339966659,0.00226964958286537,0.00273793969906335,0.0016468439552737,8.660634468775681e-4,8.498650140141148e-4,0.00557846866625148,0.00184819795473326,0.00133018027526636,8.698032530810192e-4,8.646703603467385e-4,8.110049273612667e-4,0.00138183006295025,0.00101065766128728,3.3359234488882183e-4,3.502019612331404e-4,4.412183485186016e-4,5.566006381067978e-4,8.044864848149067e-5,1.6153895115047828e-4,2.315997212995106e-5,8.994713168962165e-5,7.918904891572095e-6,2.868859004577878e-5,0.00670862339966659,0.00226964958286537,0.00273793969906335,0.0016468439552737,8.660634468775681e-4,8.498650140141148e-4,0.0048,51.88,ATG,89395.66628916307,5489.9227951053035,0.0567329638816098,0.00699948003670999,0.1936032354609317,0.01885800440213275,20689.6143727908,24247.1973993372,16579.9849617887
Argentina,mid,0.6032919463003318,0.3872405142684864,0.13013238512023362,0.1350949354228177,0.16336802355950272,0.1988023541508204,3.050878046251429,0.975769535432814,1.036884405570142,0.6344565111181116,0.3345219801734213,0.32304025164056094,2.672241014126792,0.8782813127018513,0.526314012594823,0.34752515239540593,0.3352318156586273,0.3261645556082246,0.6032919463003318,0.3872405142684864,0.13013238512023362,0.1350949354228177,0.16336802355950272,0.1988023541508204,0.03487222927400998,0.07120218228900818,0.00974273431990058,0.04457707302950446,0.00286066635514472,0.01060913674363112,3.050878046251429,0.975769535432814,1.036884405570142,0.6344565111181116,0.3345219801734213,0.32304025164056094,1.106,24.55,ARG,45487217.34507201,3181193.6874047257,0.0540102541548344,0.00620817028867669,0.1434921939072546,0.01929567287948215,17984.9588039322,22119.3683946301,15846.5139668735
Armenia,mid,0.02577054042570058,0.01873946057792463,0.00551614528830363,0.00669096393318068,0.00741452006550419,0.01013280732061562,0.13259344523838437,0.05200042913715705,0.04617519005774721,0.03433806821355621,0.01479971910399191,0.01637062576214886,0.11489555883653232,0.04591673791115412,0.02233240472337302,0.01767772002976706,0.01497002328760281,0.01597920691666651,0.02577054042570058,0.01873946057792463,0.00551614528830363,0.00669096393318068,0.00741452006550419,0.01013280732061562,0.00148312878880001,0.00346321625467044,3.623788651020704e-4,0.00134779955847677,1.2145645284975288e-4,5.328770720291799e-4,0.13259344523838437,0.05200042913715705,0.04617519005774721,0.03433806821355621,0.01479971910399191,0.01637062576214886,0.113,38.05,ARM,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824
Australia,high,3.751754767932433,0.7843865889188724,0.7035835082301818,0.26475883723384885,0.4008168833282048,0.29219167264044527,3.751754767932433,0.7843865889188724,0.7035835082301818,0.26475883723384885,0.4008168833282048,0.29219167264044527,3.751754767932433,0.7843865889188724,0.7035835082301818,0.26475883723384885,0.4008168833282048,0.29219167264044527,0.8365076281709808,0.5108462099133583,0.1829268103751713,0.14878789477169826,0.2021057001645215,0.20953614810213425,0.0481412883531352,0.08156351287731928,0.01273617764545171,0.03844607328100673,0.00339828444888995,0.01148495752254625,4.198958401988515,0.7768765001775697,1.3673654450045778,0.3296548907718763,0.4066636542071196,0.2895043880130465,7.3703,288.25,AUS,25791946.41304367,877982.6921064835,0.0967796114972019,0.01065218637610834,0.1277225397117073,0.01864461555470589,48647.0457689621,53144.2598326015,44717.4745502844
Austria,high,0.8809337051451874,0.22321426338533892,0.15420653495825484,0.07578800129384072,0.09376586948069893,0.07866588586416699,0.8809337051451874,0.22321426338533892,0.15420653495825484,0.07578800129384072,0.09376586948069893,0.07866588586416699,0.8809337051451874,0.22321426338533892,0.15420653495825484,0.07578800129384072,0.09376586948069893,0.07866588586416699,0.1905811178363166,0.11548425635945392,0.03985610776571789,0.034152762694619,0.04673827369218247,0.05285869303861177,0.01167246658275479,0.02125572011955836,0.00253379504434397,0.0080318825422033,8.271828077563901e-4,0.00273724257669109,0.9841350111362486,0.2375300796229731,0.3050559796125236,0.12949251021896602,0.09396886758154216,0.07507758728083987,2.1157,236.39,AUT,8982311.518103808,400434.1362788835,0.0960227654285242,0.0113342763671809,0.139690631560241,0.01941850314055014,45775.6169848758,55805.1702329595,39649.9453029265
