Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,4.5728259325794726e-4,0.041536095948998625
Afghanistan,OPG,2.3995700623064793e-5,5.059852788562387e-4
Afghanistan,PA,2.7352110308210742e-5,3.302677960597581e-4
Afghanistan,Prophy,0.0011327462415791816,0.003939268575740397
Afghanistan,Maintenance_simp,8.772306055663386e-4,0.01712978552979002
Afghanistan,OHI,3.41032843072186e-5,0.0011136004823463505
Afghanistan,Consult_perio,1.523063504619661e-4,0.0020895615373103323
Afghanistan,RootDeb,1.143404483543286e-4,0.005091968557590797
Afghanistan,Extraction,3.068854472265261e-4,0.02147120307903595
Afghanistan,OFD,9.319523643779771e-12,8.814815616158209e-10
Afghanistan,GTR,2.413732386839514e-5,1.8969538324384864e-4
Afghanistan,Single_implant,1.337294821758383e-4,8.229384870435327e-4
Afghanistan,Denture,1.7318168018602409e-6,1.1825980786434361e-4
Afghanistan,Denture_repair,1.9739574332771442e-6,1.2199528199174318e-4
Afghanistan,Maintenance_perio,9.360886328565232e-4,0.006127374489958712
Afghanistan,Implant_surgery,1.4514297086003824e-4,0.0013973005479826688
Afghanistan,Full_fixed,3.71393822461458e-5,6.774032502901207e-4
Albania,Consult_simple,1.9677124116063364e-4,0.0017724967514100858
Albania,OPG,3.813501984420267e-6,2.1892488547258705e-5
Albania,PA,4.207020013326492e-6,2.2380024450249597e-5
Albania,Prophy,2.708481049905247e-4,8.518345145953945e-4
Albania,Maintenance_simp,3.396339222008042e-4,0.0016115662541951764
Albania,OHI,4.184032566950545e-6,2.6436081867271682e-5
Albania,Consult_perio,7.762359150146815e-5,4.7717552035123447e-4
Albania,RootDeb,9.38863364936571e-5,6.039026490676953e-4
Albania,Extraction,1.5692424248490476e-4,9.257258789117333e-4
Albania,OFD,1.7765470145806251e-6,1.3601563618885186e-5
Albania,GTR,4.6948101092311854e-6,2.2203884131695384e-5
Albania,Single_implant,3.820591630473281e-5,1.964095435492513e-4
Albania,Denture,2.260168526049963e-5,1.6979782338729532e-4
Albania,Denture_repair,2.183188582620707e-5,1.2175913322594508e-4
Albania,Maintenance_perio,3.594386547926983e-4,0.0019619694781771594
Albania,Implant_surgery,2.5126561582893354e-5,3.218895511077667e-4
Albania,Full_fixed,2.027885776808272e-5,1.8516294465077403e-4
Algeria,Consult_simple,0.0032153579764147744,0.018838031579261786
Algeria,OPG,6.255387815021061e-5,3.919685422284835e-4
Algeria,PA,7.290968709974666e-5,4.3509982058202035e-4
Algeria,Prophy,0.0045849394002083115,0.014728412167100847
Algeria,Maintenance_simp,0.005498341944138348,0.025039146024254205
Algeria,OHI,6.947685551053719e-5,4.2904712007925145e-4
Algeria,Consult_perio,0.0012764805555212238,0.007898488264533817
Algeria,RootDeb,0.001235102626862337,0.007135147441296489
Algeria,Extraction,0.0025478868325943065,0.016189935796240475
Algeria,OFD,2.927201433617377e-5,2.6419608454200297e-4
Algeria,GTR,7.493535913122141e-5,3.60091034146455e-4
Algeria,Single_implant,6.131214691901097e-4,0.003094030960303088
Algeria,Denture,3.675307672179406e-4,0.0026182679279821717
Algeria,Denture_repair,3.409044166438444e-4,0.001968273530542916
Algeria,Maintenance_perio,0.00521481191188575,0.025466329274931816
Algeria,Implant_surgery,3.219090476918615e-4,0.0026827277566754387
