Country,Level,selected_Mean_total_billions_mean,selected_Mean_total_billions_sd,selected_SD_total_billions_mean,selected_SD_total_billions_sd,selected_Mean_perio_billions_mean,selected_Mean_perio_billions_sd,selected_SD_perio_billions_mean,selected_SD_perio_billions_sd,selected_Mean_replace_billions_mean,selected_Mean_replace_billions_sd,selected_SD_replace_billions_mean,selected_SD_replace_billions_sd,Dent_exp_usd_mean,Dent_exp_usd_sd,Dent_exppc_usd_mean,Dent_exppc_usd_sd,GDP_per_capita_PPP_2021_mean,GDP_per_capita_PPP_2021_sd,Superregion,Region,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,level
Armenia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0252609671533856,0.01823116757054401,0.00532318240572945,0.00633053780364048,0.00722080687363398,0.00978226835808003,mid,0.113,38.05,15921.70528,Country
Azerbaijan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596535070124772,0.01275715722355997,0.0013506638154334,0.00495533426114457,4.409434847778252e-4,0.001612002442061,low,0.1268,12.61,20111.3757,Country
Georgia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00190538220267664,0.00414748382385352,4.835205770955611e-4,0.00196040918144001,1.4303050251623616e-4,5.121746133814012e-4,low,0.0116,3.13,18915.6534,Country
Kazakhstan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01434671625268281,0.02638433199350146,0.00314980632845174,0.01097196935731596,8.682568153720483e-4,0.00267193045422118,low,0.061,3.27,32945.85157,Country
Kyrgyzstan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00133162670221867,0.00499402977749351,2.894590697489269e-4,0.00182820254808784,1.034352187070344e-4,5.605846583728025e-4,low,0.0039,0.6,5736.478834,Country
Mongolia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00152015290300712,0.00337421031178707,3.074079106314213e-4,0.00117907399669288,9.021123824944436e-5,3.317631191819552e-4,low,0.0352,10.65,14792.25091,Country
Tajikistan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00123191161620625,0.00678268015728682,3.0503255816377437e-4,0.00207099438731191,9.243757562940984e-5,5.415328705701755e-4,low,0.0306,3.29,3985.912476,Country
Turkmenistan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04304761805691541,0.03074855270497327,0.00814251792797476,0.00999678436782021,0.01061468325949213,0.01492880265289156,mid,0.1348,22.57,16434.13991,Country
Uzbekistan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042449554111673,0.02795836843603022,0.00223132645448705,0.01093769575358645,7.295880015247224e-4,0.00309363886299627,low,0.2183,6.61,9247.643827,Country
Albania,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00123999427599853,0.00263530328805142,3.0975168418061487e-4,0.00137875519857382,9.28347230548749e-5,3.461403841961489e-4,low,0.0363,12.66,16126.77749,Country
Bosnia and Herzegovina,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03188276956393088,0.02307333956218999,0.00705417708165091,0.0084940419776543,0.00961184977756053,0.01338782680248847,mid,0.0727,20.75,18285.67112,Country
Bulgaria,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00479873776562472,0.00923136755566986,0.00107896521682156,0.00363067008144626,3.026871771511826e-4,9.79879791419449e-4,low,0.1094,15.72,30971.91319,Country
Croatia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07357809593152738,0.04985206896689358,0.01848228793731064,0.0176545545898945,0.02239702044722661,0.02629400271569139,mid,0.1494,36.8,36930.47013,Country
Czechia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9738839627316,0.29113518206833194,0.4028653701556129,0.17062989178068066,0.21648614025492796,0.14718917358682188,high,0.8438,79.32,47796.03374,Country
Hungary,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10932203229552982,0.06651504945528917,0.01698484168988607,0.01646759109111258,0.0205510944676096,0.02457293631868552,mid,0.3639,37.29,38887.19095,Country
Montenegro,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9621980831549706e-4,8.065020862661514e-4,9.970546664404362e-5,3.7919770803163794e-4,2.9293422926141007e-5,9.911786455530036e-5,low,0.0057,9.18,23842.06192,Country
North Macedonia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00131251482171233,0.00262009753552141,3.1750088648638383e-4,0.00116556715872057,9.155031945906684e-5,3.19721555109415e-4,low,0.0319,15.34,22142.97287,Country
Poland,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6738982522884889,0.4389991828213596,0.16511764389058384,0.1552844691927767,0.19236001150915483,0.21749498740895493,mid,1.7024,44.83,41059.58478,Country
Romania,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29233955812373796,0.18687681661959843,0.06491980561309794,0.061750302894907,0.07922665725604558,0.09230746411050772,mid,0.3761,19.27,37730.37084,Country
Serbia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09486175269621908,0.0664597594069659,0.02097654722158358,0.0242157023723159,0.02685980752363035,0.03529526468101066,mid,0.11,15.79,23404.99711,Country
Slovakia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08583668318096828,0.05539985221008371,0.01949486732742227,0.01949487938490449,0.02314627186503997,0.02653571642064819,mid,0.3082,56.55,38346.09358,Country
Slovenia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04331497194155077,0.02860171544048681,0.01101257772036915,0.01041855551609426,0.01305592994663861,0.01457332787670224,mid,0.1215,58.73,45914.05724,Country
Belarus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00703755794846248,0.01339396629069048,0.00172472788754731,0.00561931005896664,5.722591831196143e-4,0.00198657480521119,low,0.1371,14.47,27611.18011,Country
Estonia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02456656338361882,0.01591333055361932,0.00573090426120201,0.00522380508616399,0.00705888289347081,0.00809782116992834,mid,0.149,113,44251.5375,Country
Latvia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03120335711953795,0.02065803745763904,0.00759194631770264,0.00753563721437117,0.00915618328985971,0.01061099576806468,mid,0.112,58.08,36912.01306,Country
Lithuania,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05554959967934776,0.03641386211167573,0.01341598921938908,0.0129577751894367,0.01594143194446387,0.01839467896287661,mid,0.199,71.47,45873.52732,Country
Republic of Moldova,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00180489339046384,0.00408259484609556,4.83149583392344e-4,0.00195652572003311,1.3670148728942951e-4,5.435228760917512e-4,low,0.0051,1.43,15682.07033,Country
Russian Federation,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13414504798080543,0.24198741313460148,0.03349015579194556,0.10133743275956296,0.01080531783860772,0.03596328118112981,low,0.8921,6.08,38638.42969,Country
Ukraine,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02248851451163144,0.04537938391087012,0.00632253758709564,0.02439126511037694,0.00186115934975447,0.00647578565334399,low,0.0589,1.41,17846.4082,Country
Australia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.916628230094751,0.8897752646387186,1.5676966547492424,0.35040648658530116,0.7889634100475224,0.4149763583947757,high,7.3703,288.25,58182.33695,Country
New Zealand,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0935363651021238,0.05941365717411728,0.0216862063047971,0.02015189895969211,0.02596455354779181,0.02905843142180549,mid,0.5353,106.27,47996.67988,Country
Brunei Darussalam,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.802514304326898e-4,0.00123312251308739,1.1823401667779304e-4,3.438763938261168e-4,3.672240408131174e-5,1.1103748721151432e-4,low,0.0091,20.35,78248.79711,Country
Japan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.201105127816259,1.5629089589018896,2.714657780339705,0.6070537544176325,1.987414304729928,0.9968189529180916,high,28.7336,227.7,44355.34872,Country
Republic of Korea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.338439432134394,0.5456287999101271,1.0108182967518564,0.21389707133205316,0.8003929072366232,0.4169591848066867,high,7.2547,139.93,48419.64325,Country
Singapore,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24740627917535865,0.14639996220057655,0.05199091091086291,0.04510287158208365,0.05718036204379503,0.05874592235264544,mid,1.1604,204.66,132617.354,Country
Canada,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5828111852549425,1.3981774625442294,2.2552868345929022,0.5366045216375407,1.297303131856673,0.652152060507576,high,12.8291,342.52,56995.11768,Country
United States of America,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.09408630841041,14.234961474589442,20.055294779181903,4.704564598002179,15.18943810743706,7.781318733485572,high,133.5058,405.46,71307.40173,Country
Argentina,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6053730306885249,0.4096223208246561,0.13213297628134207,0.13632700061919684,0.16855936538961766,0.2142257283422847,mid,1.106,24.55,26300.27426,Country
Chile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02272311985064137,0.03848910615033827,0.00619274906866203,0.0172897847078501,0.00115806718160506,0.00342943965948893,low,0.4696,24.58,29089.85046,Country
Uruguay,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05784361327563389,0.0404659420671758,0.01478728872694796,0.01491766685179736,0.0180064491512644,0.02221411348544597,mid,0.1075,30.56,29431.88501,Country
Andorra,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018369415160631,0.00112524791590454,4.2777593693718146e-4,3.823986266157905e-4,4.836062894801013e-4,5.143063738484411e-4,mid,0.0146,189.89,59332.20291,Country
Austria,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9025790228268143,0.2522064131765559,0.3464771602791179,0.13924584304261511,0.18587119668168248,0.11847595299598522,high,2.1157,236.39,62968.94223,Country
Belgium,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5376954121139406,0.43736266557937026,0.6686046191622775,0.25099050879816354,0.35781274153572806,0.2232579807589274,high,2.1221,185.2,60669.21377,Country
