Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.4594757262295825,0.9629876048832215,0.07989223139713444,0.12964799667436647,0.06165243632951924,0.09489496641306353
Albania,0.12875328052151486,0.05424863561097841,0.026365748071601094,0.021409441809507105,0.016750508537527038,0.01724530398428419
Algeria,2.3497052116975756,0.9770134488423536,0.4518565916599452,0.36487035518193683,0.3137859789505984,0.32949144164589256
American Samoa,0.003107631676561419,0.0012273589683253097,6.314968762469265e-4,5.082104564042047e-4,3.953867625810559e-4,4.0041294600898393e-4
Andorra,0.009090035586092405,0.0024491102934174384,0.0019015625327141266,9.877680461271928e-4,0.0011360199751850426,9.824977178429818e-4
Angola,0.9985576948591672,0.6413134178224539,0.15139261780722324,0.16516122755045817,0.10323199371420683,0.12198295181913625
Antigua and Barbuda,0.007023786932962612,0.0023503309934902357,0.0017754530238066194,0.0011649834458378231,0.001119472333294366,0.001037418353503689
Argentina,3.040399546003657,1.0408915268622678,0.6012280073507207,0.4311410445153089,0.3835663365678494,0.37273940520013477
Armenia,0.13372275774202758,0.056221674310326986,0.027761988310193598,0.022969919956253734,0.018811425422166444,0.01977205998625976
Australia,4.789482520261861,1.0014946612463012,0.9144305434108819,0.3386936875797615,0.5125061373604975,0.36187202656054157
Austria,1.0024065667641024,0.2644588394829956,0.18050314485139973,0.09271301600829521,0.10075157948354145,0.08343855770211935
Azerbaijan,0.593999582614165,0.21844670513581138,0.11316969031223692,0.08214538954705043,0.07055105032733458,0.07219912905658729
Bahamas,0.038196826138124175,0.011390263027790932,0.009117989778605593,0.005364552661371172,0.005662334540997976,0.0050204920687342055
Bahrain,0.23645885071642161,0.06321153928550421,0.0505235840044545,0.02516330823242972,0.03217372699169145,0.02562433346214445
Bangladesh,5.635341365771178,3.463130196359668,1.722229901693692,1.8759826089992655,1.2611846160990832,1.7308439548852346
Barbados,0.01664400407870364,0.006891329141346317,0.0045679712866660924,0.0035891362105356607,0.0030255692775211854,0.0030573215125177496
Belarus,0.5826437709701333,0.19723923759255285,0.1288323562142575,0.08700900589177457,0.081184465358067,0.07976072043553423
Belgium,1.4676686808863877,0.37905517180544035,0.3579707111094728,0.17872789007056678,0.21026985696805478,0.16001546606894296
Belize,0.018289108387013222,0.009202896419572372,0.004158304960148308,0.003853564220941409,0.002608060596447404,0.003109276545129526
Benin,0.3158649723761869,0.283020287229813,0.08071243669950229,0.1009990898796931,0.05764393003056872,0.08292511879251965
Bermuda,0.012062506711798303,0.003541516085745093,0.003438226120508403,0.0016520201629571189,0.0020614310328585274,0.001518741735910713
Bhutan,0.05362884498293671,0.024576175424280457,0.015229358604823674,0.0135317718200862,0.010244828548963688,0.010694023526859182
Bolivia (Plurinational State of),0.44783650386458596,0.28687587571451045,0.0873304285347628,0.0988209504742129,0.06565708152304016,0.15092935253700374
Bosnia and Herzegovina,0.1526648844049278,0.059722951385188475,0.03365408896859525,0.02584186133387442,0.02265250803391712,0.023078497066573767
Botswana,0.1890868474125792,0.0407784510122738,0.010668506364921462,0.004707956032173361,0.004407405787126195,0.0033367497359362798
Brazil,14.484762879828182,2.840735446904615,1.7975078869963184,0.786698268408485,0.6142995955676087,0.4192113814125229
Brunei Darussalam,0.07784858702129374,0.01783784285368644,0.011034378079290792,0.0052024789075294274,0.00633435965540303,0.004895182168473025
Bulgaria,0.388577507664311,0.11999818965879565,0.06755093715089137,0.04107339360534467,0.043130232627090266,0.0396067970688479
Burkina Faso,0.5352782325178976,0.6117754142077655,0.1678611495947459,0.24187710929203013,0.12209840256663781,0.1894397781608342
Burundi,0.09573006056653041,0.39158727412384026,0.026781341571260962,0.04292110927591947,0.022534050701335517,0.041431374290322294
Cabo Verde,0.02566407038861907,0.015670127890732497,0.009142989420809789,0.0092138770741528,0.005801945009443957,0.008179517100446482
Cambodia,0.3888608123767305,0.31615604816279413,0.08163130814388377,0.10118458682534927,0.061067600053584144,0.08172410528840299
Cameroon,0.8335826543658984,0.5854674454338916,0.2631309726318999,0.30755937703337055,0.19743046650427895,0.2934467099089593
Canada,5.520646469139433,1.429573423316473,1.2673635407134027,0.4781071158116804,0.8290234643011071,0.5905856705007234
Central African Republic,0.027748328144169943,0.06416304438837649,0.007825419635299756,0.01232808326836331,0.006235088222124046,0.010557155881324479
Chad,0.29639212369971196,0.36667049632629783,0.08196958319669874,0.13026950565054263,0.06251141686844887,0.09152404018543303
Chile,2.193523950513717,0.48409559842944766,0.5010013812315349,0.21409733324205554,0.16770777568929796,0.12091590275789646
China,26.39458097959807,6.69511657281562,4.938878520394418,2.001359665876278,4.692595189535623,3.332736998064061
Colombia,3.096718289575009,1.187646271070368,0.750112759243339,0.5601018602201129,0.5084675214206308,0.5205760139186263
Comoros,0.013800308535397782,0.015285116082563445,0.0032132813923684347,0.004428039131105148,0.002427369129389239,0.00485186330213752
Congo,0.12932840403156112,0.10056978428415307,0.02519894091085129,0.029018959170577594,0.018215143217475287,0.025880609757855194
Costa Rica,0.3231175250104447,0.11787576179763534,0.07867415543619086,0.055271778624552924,0.052666241771567056,0.05550984973841993
Croatia,0.32806395939913113,0.10325692490930206,0.08220422066874382,0.04866541168349157,0.04884213223938695,0.04160456596086697
Cuba,0.4345302589059115,0.22528682033007083,0.12059523003334338,0.11378142281190826,0.08529833939797538,0.09899292349552116
Cyprus,0.12170132499816862,0.03473513568497503,0.021870409338697324,0.0130891543687075,0.01327930796377395,0.01198681895892817
Czechia,0.9945102545439505,0.2710618181266798,0.20834742046133495,0.11080736236968161,0.12479414835614076,0.10241853615109561
Côte d'Ivoire,0.9638747794428578,0.6375801942457097,0.2453558258335103,0.2810854855795445,0.15692408612925962,0.19774461323984197
Democratic People's Republic of Korea,0.27034529591537954,0.33892206445295675,0.08266134824507539,0.12330591536305668,0.0582845448113643,0.09226553929574713
Democratic Republic of the Congo,0.8099251231417219,2.557733689350102,0.19528982464483985,0.3225827404506226,0.1640180108688697,0.29552469624541927
Denmark,0.9008197263210629,0.25862610488177595,0.25071475862303333,0.119874310503031,0.1543068354184841,0.12371957751168446
Djibouti,0.036511670200635483,0.024516007380365763,0.00718029405577739,0.007467603791904522,0.005419830481560401,0.007323589149325487
Dominica,0.0029553914625502194,0.0014680883925278412,7.586673169953621e-4,6.852495534517915e-4,5.129157076822265e-4,6.197321557908253e-4
Dominican Republic,0.7190811704717315,0.25037422117446645,0.15539686037916928,0.10887756662027424,0.10049285540658102,0.0931761208555767
Ecuador,0.75127100600207,0.3466683899439427,0.15224735535817785,0.1411284897500086,0.10378774723008362,0.12025829580682322
Egypt,5.204487671344414,2.1952231786712213,0.8729746787429004,0.7711694207701529,0.5174849260120085,0.5549941344212713
El Salvador,0.22408742350470418,0.10820779019947847,0.052261474081967046,0.050435222679030785,0.03480982305841775,0.043032314709293196
Equatorial Guinea,0.11002959349204187,0.039470501449148584,0.01633632207360195,0.011360264114439926,0.010646295277220679,0.010389299162459073
Eritrea,0.07792419162316898,0.11866753756722842,0.017224354680770847,0.030170034140125455,0.014643546882210331,0.02745855377706984
Estonia,0.12367923541919099,0.03412203144527696,0.02601386622268057,0.014029958182173292,0.016434662233631523,0.01413096931016516
