Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.01283234423063809,0.07067331231516945
Afghanistan,Stage_III_IVT1_2,0.028698525482273758,0.0599316646318013
Afghanistan,Stage_IVT3,0.006932100417319074,0.023453910818534044
Afghanistan,Stage_IVT4,0.01063873983974235,0.03738307750389153
Afghanistan,Stage_I_II,0.027245582281783767,0.10399441004307765
Albania,Health,0.0029202203096131683,0.004579050713483716
Albania,Stage_III_IVT1_2,0.009611009614123499,0.013074369549913636
Albania,Stage_IVT3,0.0025253654084373333,0.00545079171282504
Albania,Stage_IVT4,0.003302022390847373,0.0078798758320575
Albania,Stage_I_II,0.005834953282318133,0.007662464902820992
Algeria,Health,0.053547266070936135,0.08954674361077077
Algeria,Stage_III_IVT1_2,0.15708197643113253,0.21230577229273412
Algeria,Stage_IVT3,0.041596146669741874,0.10308903047054796
Algeria,Stage_IVT4,0.057143578508840553,0.14735353951924438
Algeria,Stage_I_II,0.10109825584144481,0.14136034304185943
Andorra,Health,2.138196421483475e-4,2.621094455092417e-4
Andorra,Stage_III_IVT1_2,7.598199164162494e-4,8.924226516719822e-4
Andorra,Stage_IVT3,1.9813028706649251e-4,3.5590887894646953e-4
Andorra,Stage_IVT4,2.459693786100125e-4,4.8091118555271793e-4
Andorra,Stage_I_II,4.1772082173022857e-4,4.491557806523747e-4
Angola,Health,0.029215072967433597,0.06550688997871942
Angola,Stage_III_IVT1_2,0.05475101210104328,0.08883109776693308
Angola,Stage_IVT3,0.015369786187422274,0.038094350275260244
Angola,Stage_IVT4,0.017955355276531488,0.048176940308414844
Angola,Stage_I_II,0.05468525623309807,0.09597014960927479
Antigua and Barbuda,Health,1.3623918379062272e-4,1.9320310483397947e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.35004090917337e-4,8.204025182702629e-4
Antigua and Barbuda,Stage_IVT3,1.682206774731914e-4,3.245938029316446e-4
Antigua and Barbuda,Stage_IVT4,2.1997229363713842e-4,4.887602318638222e-4
Antigua and Barbuda,Stage_I_II,2.6775579459377506e-4,3.1946846638977283e-4
Argentina,Health,0.07974117999077546,0.11023611709692165
Argentina,Stage_III_IVT1_2,0.2546098691502001,0.32084498542102086
Argentina,Stage_IVT3,0.06794415889895075,0.13471753104312562
Argentina,Stage_IVT4,0.08524536938169992,0.18571431344725942
Argentina,Stage_I_II,0.15122136215574417,0.1764103104100375
Armenia,Health,0.003255886882498737,0.005151468295326862
Armenia,Stage_III_IVT1_2,0.010144497892354665,0.013355340594429393
Armenia,Stage_IVT3,0.0026689143380889484,0.005788581322886211
Armenia,Stage_IVT4,0.003564580600569656,0.008115824320355068
Armenia,Stage_I_II,0.006227628141991391,0.00819208123017159
Australia,Health,0.11857885657148146,0.14009555352519362
Australia,Stage_III_IVT1_2,0.3242308271632004,0.3504599175234986
Australia,Stage_IVT3,0.08737517140202884,0.1604344091679145
Australia,Stage_IVT4,0.11624287092433203,0.21644328590950618
Australia,Stage_I_II,0.22506707258444975,0.2322481407004462
Austria,Health,0.026970761835942,0.03397101911721316
Austria,Stage_III_IVT1_2,0.07193506778009467,0.08389549691523626
Austria,Stage_IVT3,0.019228466472148452,0.03732804798524668
Austria,Stage_IVT4,0.023142774321840087,0.04532136647641367
Austria,Stage_I_II,0.052147268149459323,0.05616806227320509
Azerbaijan,Health,0.014944567840787931,0.023527745807729056
Azerbaijan,Stage_III_IVT1_2,0.042508056365921774,0.05575154419200733
Azerbaijan,Stage_IVT3,0.011329913314987691,0.024545149007058335
Azerbaijan,Stage_IVT4,0.01385219660729964,0.029305783762171432
Azerbaijan,Stage_I_II,0.029216825910054464,0.03588364519867932
Bahamas,Health,7.041475599728374e-4,9.536397671111616e-4
Bahamas,Stage_III_IVT1_2,0.003042023372264401,0.003678160239507869
Bahamas,Stage_IVT3,8.105135860565269e-4,0.0016141915184181572
Bahamas,Stage_IVT4,0.0010067949237610825,0.00215814122738244
