Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Afghanistan,0.4108820017782153,0.435544112362359,0.15961270362991734,0.21927403986456157,0.10403347283079252,0.15285476208971496,0.08634729225175704,0.14605711032203916,0.01390695257888524,0.03478037918349923,0.02632169812899977,0.05665965746048723,0.00497148712752685,0.0356937699350099,9.685396421251014e-4,0.00789032317350887,2.909944164143327e-4,0.00226020715162059,0.0167,0.46,2144.16657,low,0.00497148712752685,0.0356937699350099,9.685396421251014e-4,0.00789032317350887,2.909944164143327e-4,0.00226020715162059
Albania,0.1172071365516864,0.05018944412890626,0.04805865470398939,0.03428168600324747,0.02777251724886479,0.02455484294091816,0.0241935710053395,0.01807077317168717,0.00520001181534014,0.00628350393130963,0.00723752922217144,0.01023479980165527,0.00137838283871882,0.00301583549338086,3.3905423766168567e-4,0.00127415728425146,1.102631370418313e-4,4.364317147220401e-4,0.0363,12.66,16126.77749,low,0.00137838283871882,0.00301583549338086,3.3905423766168567e-4,0.00127415728425146,1.102631370418313e-4,4.364317147220401e-4
Algeria,1.9904190214961293,0.8874953923762501,0.8200635789562318,0.611678385033246,0.46383846991055855,0.4316178455234023,0.4104672235220959,0.3152430111257803,0.08724527036686641,0.11184448469425458,0.11909183956376558,0.17452612675522136,0.02305948390220847,0.05267099804185419,0.00546446403274971,0.02044209874983298,0.0019331308604992,0.00752618343529205,0.3237,7.46,14496.86547,low,0.02305948390220847,0.05267099804185419,0.00546446403274971,0.02044209874983298,0.0019331308604992,0.00752618343529205
Andorra,0.00894389879181389,0.00262259041551032,0.0037420341608468,0.00146663471307529,0.00201011999027983,0.00130992461424434,0.00183546004597133,0.00117597695385043,4.341296651708703e-4,4.057213159262158e-4,5.011662001228285e-4,5.381152686027176e-4,1.07492545368807e-4,1.8583175837927663e-4,2.634396164192013e-5,7.34206137937068e-5,9.308764585110212e-6,3.058329421337668e-5,0.0146,189.89,59332.20291,mid,0.00183546004597133,0.00117597695385043,4.341296651708703e-4,4.057213159262158e-4,5.011662001228285e-4,5.381152686027176e-4
Angola,0.8015206211383263,0.4675515011419386,0.28842295016250535,0.27426207956649573,0.17805623217379443,0.201562521164268,0.1719764827655287,0.15392201564084712,0.02839907236550912,0.04674476115270773,0.04504987522979149,0.07463882432887564,0.01032919752916435,0.03029385600241935,0.00202524128771734,0.01102212292010271,6.554977465915697e-4,0.00306026985871586,0.0702,2.33,7408.126591,low,0.01032919752916435,0.03029385600241935,0.00202524128771734,0.01102212292010271,6.554977465915697e-4,0.00306026985871586
Antigua and Barbuda,0.00725784490398559,0.00268777681932362,0.00326833422850818,0.00177962114136607,0.00180818181700704,0.00140947979865632,0.00142719204041206,0.00104972330167045,3.492476413547129e-4,3.6893538131710184e-4,4.649791717785052e-4,5.956407763973072e-4,7.648180367611463e-5,1.5227153609537303e-4,2.0798812274135204e-5,6.72210259043595e-5,7.300641855494775e-6,2.597693335888168e-5,0.0048,51.88,25745.49581,mid,0.00142719204041206,0.00104972330167045,3.492476413547129e-4,3.6893538131710184e-4,4.649791717785052e-4,5.956407763973072e-4
Argentina,3.128475340879701,1.0910307353798456,1.2866149031467584,0.6920434098281576,0.726868932367301,0.562853302842714,0.6387619395773704,0.4328940487947422,0.14144421332577764,0.1486781945784409,0.18205729833705436,0.2276356954093384,0.03662750988441734,0.07229963557148861,0.00902036739161342,0.03452483811083291,0.00302101597667267,0.01029910977585118,1.106,24.55,26300.27426,mid,0.6387619395773704,0.4328940487947422,0.14144421332577764,0.1486781945784409,0.18205729833705436,0.2276356954093384
Armenia,0.1291623527410444,0.05575189803561892,0.05378368395046976,0.03725068778249091,0.03160164268529902,0.02838622377755189,0.02586150785550339,0.01887391374203201,0.00561600253390152,0.00721081545352362,0.00753688312217679,0.01028014039078267,0.00141000582802874,0.0028716650038034,3.3297804864917106e-4,0.00129349393369453,1.29018158037809e-4,5.922425589553031e-4,0.113,38.05,15921.70528,mid,0.02586150785550339,0.01887391374203201,0.00561600253390152,0.00721081545352362,0.00753688312217679,0.01028014039078267
Australia,4.157599572137852,0.9888344762037716,1.6760560527920738,0.3750060435403187,0.8457954518693259,0.46008802981186414,0.8714947986454924,0.5052814015133194,0.193400700755212,0.15018997839057002,0.21277915480703177,0.20621502722532417,0.05012816491545171,0.08195207005049103,0.01189763667258764,0.03054306165572018,0.00364223477123221,0.01152527857303845,7.3703,288.25,58182.33695,high,4.157599572137852,0.9888344762037716,1.6760560527920738,0.3750060435403187,0.8457954518693259,0.46008802981186414
Austria,0.9119991089657568,0.25907244862815293,0.3540284656498941,0.1358192608165448,0.18810296839870988,0.12291247722616798,0.19342433855948457,0.11875071654024394,0.04097168697757777,0.03695139062022035,0.04766699775849115,0.05170663306226324,0.01166100300479617,0.02072757255362809,0.00252503356174906,0.00728392517918421,8.963164462403997e-4,0.00322098850257535,2.1157,236.39,62968.94223,high,0.9119991089657568,0.25907244862815293,0.3540284656498941,0.1358192608165448,0.18810296839870988,0.12291247722616798
Azerbaijan,0.533972736000642,0.2078465875602765,0.2150295234513533,0.13539611677504262,0.12177881340412657,0.10629763489305868,0.1118515600390515,0.07952322958725737,0.02339404203748777,0.02796118361935162,0.0306130696011638,0.03910605323266851,0.00629737675080901,0.01258794840809786,0.00152369520616659,0.005325279403124,5.360389375962697e-4,0.00239690325561305,0.1268,12.61,20111.3757,low,0.00629737675080901,0.01258794840809786,0.00152369520616659,0.005325279403124,5.360389375962697e-4,0.00239690325561305
Bahamas,0.03497868353865503,0.01201480198158256,0.01529206391279001,0.00775676175902294,0.00865562149610765,0.00643928826464044,0.00690535289857618,0.00478267096854644,0.00170465757240989,0.00169511985597045,0.00211979046109197,0.00257208965661159,3.8990991378528526e-4,7.765378916505325e-4,1.1837169272184233e-4,4.561637042896129e-4,3.684617950336974e-5,1.3608025815486238e-4,0.0329,75.3,31064.68222,high,0.03497868353865503,0.01201480198158256,0.01529206391279001,0.00775676175902294,0.00865562149610765,0.00643928826464044
Bahrain,0.21068321370399237,0.06457232270157201,0.08752808813803865,0.03543550235406812,0.04826598912999311,0.03218685427766136,0.04350510967869672,0.02883527299473048,0.01036097963115379,0.00969457373550112,0.01220066129010455,0.01399199985383019,0.00252123430454794,0.00468381184615037,6.221961796766096e-4,0.00179529350470324,2.261182422355983e-4,8.535032504082747e-4,0.0625,41.36,54954.67579,low,0.00252123430454794,0.00468381184615037,6.221961796766096e-4,0.00179529350470324,2.261182422355983e-4,8.535032504082747e-4
Bangladesh,7.167787926088153,4.216994980882129,3.459852482985731,3.1621637678982215,2.0733276296365517,2.249152095361877,1.3754436144452642,1.2858098756613676,0.3538361048097937,0.5518407555294856,0.5313555424377493,0.8226245676957951,0.06608065922876495,0.18583682578403576,0.02320122888834121,0.11117592574605337,0.00839067797045309,0.04085262979181899,0.0125,0.08,7441.06914,low,0.06608065922876495,0.18583682578403576,0.02320122888834121,0.11117592574605337,0.00839067797045309,0.04085262979181899
Barbados,0.01764939865512637,0.00793923723744598,0.00807548312575558,0.00562970104209099,0.00480051532974118,0.00430528853546441,0.00333911373296887,0.00273995988577364,8.351263199684973e-4,0.00102259727659404,0.00118032709745609,0.00165930101754572,1.6951258540475147e-4,3.829879056738173e-4,5.4407955529289545e-5,2.0319292876145255e-4,1.9236637973826847e-5,7.359245157767846e-5,0.0152,52.8,15683.88471,mid,0.00333911373296887,0.00273995988577364,8.351263199684973e-4,0.00102259727659404,0.00118032709745609,0.00165930101754572
Belarus,0.6185713743084789,0.22094167191639197,0.2624095649795093,0.14269462572465352,0.14777409717531836,0.11551391416756134,0.12481217957627856,0.08615154545084984,0.02884289633002387,0.02975815926049148,0.03620651474752812,0.04593637094097617,0.00700497884002152,0.01348577554082562,0.00191168180020041,0.00653375885834749,6.425387650697286e-4,0.00252257445712728,0.1371,14.47,27611.18011,low,0.00700497884002152,0.01348577554082562,0.00191168180020041,0.00653375885834749,6.425387650697286e-4,0.00252257445712728
Belgium,1.5748400418532624,0.4589341193409701,0.6844826256703587,0.25247733312481424,0.37344776735909674,0.23640809380284455,0.31602431368089273,0.20148779329156777,0.07915571631053596,0.0682115663322148,0.09327842997612752,0.09899107133154102,0.01789580226273758,0.03189499301757383,0.00464127958979372,0.01246272019294514,0.00175363237028427,0.00575859448006458,2.1221,185.2,60669.21377,high,1.5748400418532624,0.4589341193409701,0.6844826256703587,0.25247733312481424,0.37344776735909674,0.23640809380284455
Belize,0.01839665416263694,0.00878443084055214,0.00783844756655008,0.00620900400726009,0.00451101921554178,0.00450423737252221,0.00366391252556166,0.00289871369095001,7.872313343693499e-4,0.00106157924402288,0.00113453856867677,0.00165810709269419,2.0092034617992085e-4,4.8543730338943306e-4,5.814658708141465e-5,2.350046534022684e-4,1.7219153355489026e-5,7.116931734432997e-5,0.0057,14.08,11677.46101,mid,0.00366391252556166,0.00289871369095001,7.872313343693499e-4,0.00106157924402288,0.00113453856867677,0.00165810709269419
Benin,0.33156813536074364,0.2491212501946677,0.1524840674426702,0.18399312308475005,0.09940594172274948,0.1258533769603956,0.06294881564343084,0.07584558502192695,0.01441972099774657,0.02924356129591526,0.02437619775840083,0.04711657683999618,0.00275092509207821,0.01192797977362808,9.75632848087802e-4,0.00610720637510592,3.547759370081702e-4,0.00211959979715905,0.0033,0.28,3464.288629,low,0.00275092509207821,0.01192797977362808,9.75632848087802e-4,0.00610720637510592,3.547759370081702e-4,0.00211959979715905
