Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_perio,0.007290021648177137,0.02932875444370362
Afghanistan,Consult_simple,0.00844345854047421,0.12794410425912847
Afghanistan,Denture,0.0013927774512903167,0.02882505416194723
Afghanistan,Denture_repair,-3.5864654440340675e-4,0.015057439223841654
Afghanistan,Extraction,0.006515816513194676,0.06424084844143371
Afghanistan,Full_fixed,0.007924342282269133,0.05554220228125092
Afghanistan,GTR,0.009018415124394835,0.012641966986022402
Afghanistan,Implant_surgery,0.024668583235491787,0.06957403311630776
Afghanistan,Maintenance_perio,0.14513730941515207,0.20848279995744284
Afghanistan,Maintenance_simp,0.056960566483797534,0.27975273123857636
Afghanistan,OFD,3.0171215692720575e-4,0.009323611197003437
Afghanistan,OHI,0.008134535764994975,0.05967829979416843
Afghanistan,OPG,0.023651427394932797,0.08952567839543106
Afghanistan,PA,0.00767396467788756,0.02671641040989858
Afghanistan,Prophy,0.02970701473191842,0.02628714260120361
Afghanistan,RootDeb,0.004014286495571388,0.06557019310045946
Afghanistan,Single_implant,0.07040641640614469,0.11506359298341717
Albania,Consult_perio,0.0025908183127881265,0.0044441457733497645
Albania,Consult_simple,0.003205080433017277,0.006363333426640067
Albania,Denture,0.0019516731266390514,0.00435132728896092
Albania,Denture_repair,0.001646259639867,0.002458625730418449
Albania,Extraction,0.005516831517818508,0.009750894157215837
Albania,Full_fixed,0.00304527462414299,0.008972834598622708
Albania,GTR,0.0016629577515971878,0.0019193775189655915
Albania,Implant_surgery,0.003776750278266998,0.009408545853231335
Albania,Maintenance_perio,0.038342396652335874,0.03271852180986168
Albania,Maintenance_simp,0.017073231619798488,0.01515641585828409
Albania,OFD,7.250747380083363e-4,0.001479436672127255
Albania,OHI,0.0018000034981091415,0.0031517854660703263
Albania,OPG,0.0039845798538752746,0.0054853047877170425
Albania,PA,0.0022624498859923725,0.0033542908280246625
Albania,Prophy,0.005672919949068399,0.004537445742633872
Albania,RootDeb,0.006598275090412628,0.010304003108246435
Albania,Single_implant,0.01735255957994875,0.018777184823664923
Algeria,Consult_perio,0.042130325701420945,0.07546307832771908
Algeria,Consult_simple,0.05516388163572357,0.12042341918394826
Algeria,Denture,0.030587386825313895,0.07577717694628067
Algeria,Denture_repair,0.02634154630645163,0.04356496629472449
Algeria,Extraction,0.08967847667870144,0.1716880735548482
Algeria,Full_fixed,0.05177570832082652,0.15120713103106606
Algeria,GTR,0.029602227134047053,0.03333222490196327
Algeria,Implant_surgery,0.06286147663270535,0.17199977922723805
Algeria,Maintenance_perio,0.6663433383347013,0.5849312068932389
Algeria,Maintenance_simp,0.29825797574880974,0.28169888920843267
Algeria,OFD,0.01070736666203302,0.024915764658093753
Algeria,OHI,0.031121951784839348,0.05872306806004026
Algeria,OPG,0.06744440484234644,0.09845774025903788
Algeria,PA,0.036965397874059336,0.05715289232365666
Algeria,Prophy,0.09737564029675018,0.07721194290792505
Algeria,RootDeb,0.10178956489213843,0.17916240269525882
Algeria,Single_implant,0.2922723518252611,0.33042571206456345
Andorra,Consult_perio,2.1064253725440262e-4,1.9290241393626602e-4
Andorra,Consult_simple,2.4065870537389133e-4,2.3285458616108164e-4
Andorra,Denture,2.094097291158009e-4,2.0541478066487482e-4
Andorra,Denture_repair,1.861961067907035e-4,1.39978077189105e-4
Andorra,Extraction,5.567077183803839e-4,4.956517199202213e-4
Andorra,Full_fixed,2.761268487206703e-4,4.6923924965365824e-4
Andorra,GTR,9.422264407356642e-5,8.725995979540346e-5
Andorra,Implant_surgery,1.3982974044538947e-4,3.982562305103351e-4
Andorra,Maintenance_perio,0.0028317685793222266,0.0013995904716422901
Andorra,Maintenance_simp,0.00126505593531449,7.098344227271841e-4
Andorra,OFD,7.609387540065433e-5,6.47379369626627e-5
Andorra,OHI,1.3951706485298277e-4,1.1557185724805831e-4
Andorra,OPG,2.796552826223196e-4,2.1173779791929982e-4
Andorra,PA,1.797394338753556e-4,1.4986792469276377e-4
Andorra,Prophy,3.8457350672185006e-4,3.0551497606959933e-4
Andorra,RootDeb,6.751435183419268e-4,5.667684106511942e-4
Andorra,Single_implant,0.0011985575652072747,9.23200437496398e-4
Angola,Consult_perio,0.014919659324338086,0.03533954992132869
Angola,Consult_simple,0.025453765518661395,0.10559333207494585
Angola,Denture,0.008997529571523914,0.03586530563260054
Angola,Denture_repair,0.006271505372198566,0.019718866342464312
Angola,Extraction,0.02580035443588583,0.07602589063241236
Angola,Full_fixed,0.01780724386547003,0.07420419619740154
Angola,GTR,0.01282828088848889,0.016156718258203733
Angola,Implant_surgery,0.032629274930264164,0.08781322717723056
Angola,Maintenance_perio,0.2422278117897316,0.26340463831300864
Angola,Maintenance_simp,0.15543397965953212,0.2351661251339073
Angola,OFD,0.002806702662358343,0.011368939845011493
Angola,OHI,0.01330619609424043,0.047527296333600706
Angola,OPG,0.03315255899143331,0.07808063675296185
Angola,PA,0.014468584252347637,0.02958902798221385
Angola,Prophy,0.055907644151515626,0.046772194820451515
Angola,RootDeb,0.027158851195998653,0.0819920724814474
Angola,Single_implant,0.11235067843433774,0.15244159825260137
Antigua and Barbuda,Consult_perio,1.781198230944153e-4,2.444495874691861e-4
Antigua and Barbuda,Consult_simple,1.5124705365013807e-4,2.1662433232671398e-4
Antigua and Barbuda,Denture,1.5595450874773172e-4,2.3088073693520246e-4
Antigua and Barbuda,Denture_repair,1.266171671089653e-4,1.3307995128782556e-4
Antigua and Barbuda,Extraction,4.187005915461385e-4,5.50828702473659e-4
Antigua and Barbuda,Full_fixed,2.3101510190146743e-4,5.077626534775723e-4
Antigua and Barbuda,GTR,9.857015375586084e-5,1.02517783449034e-4
Antigua and Barbuda,Implant_surgery,1.9988869127564183e-4,5.377906844206029e-4
Antigua and Barbuda,Maintenance_perio,0.002549683685415208,0.0016981114604021391
Antigua and Barbuda,Maintenance_simp,7.884968526946195e-4,5.723905427986857e-4
Antigua and Barbuda,OFD,5.4898893173820164e-5,7.573082710521553e-5
Antigua and Barbuda,OHI,1.0047382450586416e-4,1.1887995927224814e-4
