Country,Procedure,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Consult_perio,1.738031087710286e-4,0.00288689965125382
Afghanistan,Consult_simple,4.782190901567812e-4,0.02128423008056755
Afghanistan,Denture,6.427744916054413e-7,0.00114625923804399
Afghanistan,Denture_repair,-5.215565091977099e-6,6.19117985462348e-4
Afghanistan,Extraction,3.41891742645026e-4,0.00693382658569166
Afghanistan,Full_fixed,1.70206482211037e-5,8.242936615452909e-4
Afghanistan,GTR,1.7714237942273517e-5,1.0402400952655102e-4
Afghanistan,Implant_surgery,1.326102202870471e-4,0.00133473766438615
Afghanistan,Maintenance_perio,8.780881656539081e-4,0.00740898005431875
Afghanistan,Maintenance_simp,0.00147887701635157,0.02651882112825011
Afghanistan,OFD,-1.3728071139418153e-7,1.1786271014084704e-4
Afghanistan,OHI,2.1373149928379308e-6,3.9882382573451974e-4
Afghanistan,OPG,2.4742139993070953e-5,3.1633057321693353e-4
Afghanistan,PA,3.7715973908916546e-5,3.6943774779074054e-4
Afghanistan,Prophy,0.00117613599614091,0.00386898645959614
Afghanistan,RootDeb,7.130520526758533e-5,0.00272362261595497
Afghanistan,Single_implant,1.4593633850655356e-4,8.043788571908042e-4
Albania,Consult_perio,7.257448880633457e-5,5.565126841845602e-4
Albania,Consult_simple,1.5107331977441975e-4,0.00107879953640538
Albania,Denture,2.0815201618384683e-5,1.792093736148419e-4
Albania,Denture_repair,1.6686182908116176e-5,1.0624654589690864e-4
Albania,Extraction,1.783446377227518e-4,0.00109865621674775
Albania,Full_fixed,1.638550193662265e-5,1.5063397989982535e-4
Albania,GTR,4.42398115641035e-6,2.855468413953365e-5
Albania,Implant_surgery,2.1456033548598977e-5,1.7435127719294915e-4
Albania,Maintenance_perio,2.490138342937695e-4,0.00116934465157252
Albania,Maintenance_simp,2.999083938950697e-4,0.00141625605588215
Albania,OFD,1.741319439859924e-6,1.5243195590479386e-5
Albania,OHI,3.125303380270679e-6,2.310543051869561e-5
Albania,OPG,3.4445098975929104e-6,2.362421540532396e-5
Albania,PA,3.773521102704749e-6,1.8601098236916577e-5
Albania,Prophy,2.1813774076273729e-4,6.724249859510462e-4
Albania,RootDeb,8.25586514450759e-5,4.87744547061106e-4
Albania,Single_implant,3.492021703010882e-5,1.6621841092706005e-4
Algeria,Consult_perio,0.00117736383018041,0.00788310149743425
Algeria,Consult_simple,0.00257615456223286,0.02328411697182453
Algeria,Denture,3.475137480031092e-4,0.00290227421169484
Algeria,Denture_repair,3.825626974184597e-4,0.00286596626344003
Algeria,Extraction,0.00229333749346434,0.01747908733505068
Algeria,Full_fixed,2.1286132349280056e-4,0.00253394420781926
Algeria,GTR,7.953824122637494e-5,4.944116578565904e-4
Algeria,Implant_surgery,2.759184735173206e-4,0.00323751911803227
Algeria,Maintenance_perio,0.00408684463430574,0.01816113312126305
Algeria,Maintenance_simp,0.00571772498917548,0.0286264339089154
Algeria,OFD,2.2304266707585032e-5,2.1895923718588775e-4
Algeria,OHI,5.2153229449654914e-5,3.87932586231012e-4
Algeria,OPG,4.8022673560288784e-5,3.3494282299999776e-4
Algeria,PA,5.833905841852806e-5,3.583679351387076e-4
Algeria,Prophy,0.00375334457141847,0.01142476296010638
Algeria,RootDeb,0.0012612254915695,0.00937968691042362
Algeria,Single_implant,7.14274618067519e-4,0.00377679939728822
Andorra,Consult_perio,5.35399439301865e-5,8.246623579737778e-5
Andorra,Consult_simple,1.1867461470895534e-4,1.523016435245186e-4
Andorra,Denture,5.0818143148465656e-5,7.569778334906106e-5
Andorra,Denture_repair,4.630758959279805e-5,5.227320032176723e-5
Andorra,Extraction,1.407554391170443e-4,1.8784080866277497e-4
Andorra,Full_fixed,6.949056147357048e-5,1.6140207361584315e-4
Andorra,GTR,2.246705933217522e-5,3.08751124375614e-5
Andorra,Implant_surgery,3.4687183107529866e-5,1.345993728417095e-4
Andorra,Maintenance_perio,1.9459591301950924e-4,2.6591119710718097e-4
Andorra,Maintenance_simp,2.1434641098656447e-4,2.5353872043152703e-4
Andorra,OFD,1.937518587079371e-5,2.717315821524457e-5
Andorra,OHI,5.147404330200368e-5,6.913857498649311e-5
Andorra,OPG,9.792132716235791e-5,1.081229833173052e-4
Andorra,PA,5.173682216643375e-5,6.450419051873344e-5
Andorra,Prophy,1.8815288099632355e-4,2.0246603308411883e-4
Andorra,RootDeb,1.812542052561544e-4,2.685828015435967e-4
Andorra,Single_implant,2.998627228004644e-4,3.900037546869923e-4
Angola,Consult_perio,2.9410054229275865e-4,0.00319530244141775
Angola,Consult_simple,0.00161374641652433,0.01616687193699817
Angola,Denture,1.0104682544422936e-4,0.00141795305412273
Angola,Denture_repair,7.200114088913267e-5,8.486661538761072e-4
Angola,Extraction,6.416465884370701e-4,0.00846891515888182
Angola,Full_fixed,9.233298387997011e-5,0.00118550148385166
Angola,GTR,2.9721542902343407e-5,1.594677176087659e-4
Angola,Implant_surgery,1.3883551885469412e-4,0.00120011229533092
Angola,Maintenance_perio,0.00159473815144577,0.01034424323745671
Angola,Maintenance_simp,0.00289319660024031,0.01766931675287248
Angola,OFD,8.485625597559412e-6,1.1835522543192676e-4
Angola,OHI,2.8781410052832975e-5,3.690037327538389e-4
Angola,OPG,3.761003513062717e-5,3.063632297209779e-4
Angola,PA,3.692650257943043e-5,3.175997052269212e-4
Angola,Prophy,0.00210665966937553,0.00659404832078541
Angola,RootDeb,3.880866979942004e-4,0.00372160309752946
Angola,Single_implant,2.5128127752354343e-4,0.00128790999525976
Antigua and Barbuda,Consult_perio,4.3524412474030096e-5,9.434334413503586e-5
Antigua and Barbuda,Consult_simple,7.505536015561917e-5,1.3873241228949017e-4
Antigua and Barbuda,Denture,3.844751885415936e-5,9.001027420521238e-5
Antigua and Barbuda,Denture_repair,3.2075254909781556e-5,5.2134521449861514e-5
Antigua and Barbuda,Extraction,1.0286739113739505e-4,1.9614076648633168e-4
Antigua and Barbuda,Full_fixed,5.759217320638285e-5,1.8090914169433396e-4
Antigua and Barbuda,GTR,2.460869715551698e-5,4.108379544037381e-5
Antigua and Barbuda,Implant_surgery,4.951693051894633e-5,1.7716904211558052e-4
Antigua and Barbuda,Maintenance_perio,1.6611286137568367e-4,2.459822951941197e-4
Antigua and Barbuda,Maintenance_simp,1.321554780185806e-4,1.8226310842890103e-4
Antigua and Barbuda,OFD,1.3031644043052882e-5,2.6157192639124417e-5
Antigua and Barbuda,OHI,3.684347579399882e-5,6.440021160356127e-5
Antigua and Barbuda,OPG,7.451607540956432e-5,1.120482999534716e-4
Antigua and Barbuda,PA,4.087374629222061e-5,6.905195452894543e-5
Antigua and Barbuda,Prophy,1.205869841776964e-4,1.289273257401821e-4
Antigua and Barbuda,RootDeb,1.320367426002008e-4,2.3540537582403856e-4
Antigua and Barbuda,Single_implant,2.873472942892351e-4,4.4749732594221375e-4
Argentina,Consult_perio,0.01835211835252938,0.03651267056970993
Argentina,Consult_simple,0.04082969508948357,0.07725384889914401
Argentina,Denture,0.0141329420699802,0.03232811575683156
Argentina,Denture_repair,0.01319443610530398,0.02181836430281584
Argentina,Extraction,0.04045258604151882,0.07483041950171215
Argentina,Full_fixed,0.02250757414305113,0.06990690482197706
Argentina,GTR,0.00958728294203871,0.01557040660936497
Argentina,Implant_surgery,0.01974431302670658,0.07386865174591921
Argentina,Maintenance_perio,0.06967960828381935,0.10411622286290362
Argentina,Maintenance_simp,0.07797246130920996,0.1070621279232639
Argentina,OFD,0.00559451587503631,0.01108542587117169
Argentina,OHI,0.01809418693083637,0.03456626489337819
Argentina,OPG,0.0372144544622308,0.05665691059973529
Argentina,PA,0.01845938991040006,0.02853608095775039
Argentina,Prophy,0.06917635598120317,0.07448972947646951
Argentina,RootDeb,0.05129198606200948,0.0931584076840138
Argentina,Single_implant,0.11247803299201248,0.174876025462021
Armenia,Consult_perio,7.357525729479765e-4,0.00177184225915215
Armenia,Consult_simple,0.00167753906114383,0.00433314164993555
Armenia,Denture,5.44339028468067e-4,0.00156785418599321
Armenia,Denture_repair,4.0645881920169834e-4,9.266737084984916e-4
Armenia,Extraction,0.00148434662944804,0.00410399757124752
Armenia,Full_fixed,9.058562602194632e-4,0.00340026559347361
Armenia,GTR,4.7262668132592e-4,8.353475615655537e-4
Armenia,Implant_surgery,0.00102399879131926,0.00367859973585936
Armenia,Maintenance_perio,0.00299431422043299,0.00569823498820934
Armenia,Maintenance_simp,0.00304144445721198,0.00476510861033388
Armenia,OFD,1.8200235521226895e-4,5.302132279287786e-4
Armenia,OHI,7.264795270641325e-4,0.00183295048391897
Armenia,OPG,0.00159731995019001,0.00316055443759137
Armenia,PA,7.411985895006346e-4,0.00140131874433676
Armenia,Prophy,0.00288757924811982,0.00313620530731096
Armenia,RootDeb,0.00178402144072896,0.00403287529417315
Armenia,Single_implant,0.00465623022296829,0.00777639223107697
Australia,Consult_perio,0.03973791873561994,0.02374399100395884
Australia,Consult_simple,0.11567832760754636,0.08045237517330843
Australia,Denture,0.04487004070962751,0.0266411720303904
Australia,Denture_repair,0.07650598522004104,0.04586274080455499
Australia,Extraction,0.27581741762195455,0.17446629386284304
Australia,Full_fixed,0.18661696839096523,0.23841798026894845
Australia,GTR,0.03125299874360864,0.01729527393636092
Australia,Implant_surgery,0.04003925860010692,0.05271559516208222
Australia,Maintenance_perio,1.26205889813427,0.3390128373148006
Australia,Maintenance_simp,0.6825607977977938,0.3297873980614761
Australia,OFD,0.04758513173124731,0.02545577646604246
Australia,OHI,0.04785117493625831,0.03279382473719462
Australia,OPG,0.14569345698382663,0.0735517862448254
Australia,PA,0.12932526894975965,0.07475227237369407
Australia,Prophy,0.21730511741125935,0.16029432092852175
Australia,RootDeb,0.3169376116153814,0.21722796075371023
Australia,Single_implant,0.4977631989485852,0.2925585567452336
Austria,Consult_perio,0.01963098264928748,0.01779280701391166
Austria,Consult_simple,0.0308333369209365,0.02890111651646126
Austria,Denture,0.02020985938888522,0.01974060473351081
Austria,Denture_repair,0.0176512003608397,0.01290664333812957
Austria,Extraction,0.05431102492250675,0.04619234294536584
Austria,Full_fixed,0.02752508710326019,0.04690113374338724
Austria,GTR,0.00838156113360074,0.00738398894886076
Austria,Implant_surgery,0.0134690699371022,0.03360116096744588
Austria,Maintenance_perio,0.2660803098609666,0.12938192076064864
Austria,Maintenance_simp,0.15952850980615854,0.08917676244750793
Austria,OFD,0.00741703083619011,0.0062818569248153
Austria,OHI,0.01542085702102837,0.01396006905946209
Austria,OPG,0.03068729039671779,0.02285952168296716
Austria,PA,0.01763289355678684,0.01429591759292878
Austria,Prophy,0.04807970033063942,0.03795248498904784
Austria,RootDeb,0.06589264313222774,0.0534499257951174
Austria,Single_implant,0.10924775160862256,0.08351435825399676
Azerbaijan,Consult_perio,3.4966390684843153e-4,0.00197503443645383
Azerbaijan,Consult_simple,7.182199668396578e-4,0.00422055303085487
Azerbaijan,Denture,1.231304683678782e-4,8.566116989453023e-4
Azerbaijan,Denture_repair,8.872377213391763e-5,5.233145810639961e-4
Azerbaijan,Extraction,6.313450707195662e-4,0.0044333831237303
Azerbaijan,Full_fixed,8.222294986907456e-5,8.206243392473672e-4
Azerbaijan,GTR,1.6220626559206296e-5,7.393085869535909e-5
Azerbaijan,Implant_surgery,7.212853521199053e-5,6.888111597744712e-4
Azerbaijan,Maintenance_perio,0.00108384244460173,0.00481635812526402
Azerbaijan,Maintenance_simp,0.00144802721298372,0.00619658739992081
Azerbaijan,OFD,8.906700014169795e-6,5.758402474285479e-5
Azerbaijan,OHI,1.7494944017336943e-5,1.0744360494518712e-4
Azerbaijan,OPG,1.6811133599901557e-5,9.073538300830678e-5
Azerbaijan,PA,1.5085806222536028e-5,8.403958336451187e-5
Azerbaijan,Prophy,0.0010449721547804,0.00324659659407204
Azerbaijan,RootDeb,4.107478460260813e-4,0.00218326002858721
Azerbaijan,Single_implant,1.6983321201340874e-4,7.929108104533314e-4
Bahamas,Consult_perio,8.291710073146236e-4,0.0010521693848435
Bahamas,Consult_simple,8.013306568874159e-4,0.00101889002587847
Bahamas,Denture,7.375495658120761e-4,0.00105838297138763
Bahamas,Denture_repair,6.491828559660477e-4,6.414681709174485e-4
Bahamas,Extraction,0.00205551059102052,0.00245087366866629
Bahamas,Full_fixed,0.00112544608184595,0.00226522094275248
Bahamas,GTR,4.3208717470559694e-4,4.389073713777791e-4
Bahamas,Implant_surgery,9.186505911281811e-4,0.00243422878746597
Bahamas,Maintenance_perio,0.01182020496764661,0.00744930659436262
Bahamas,Maintenance_simp,0.00412099952358597,0.0027447511734002
Bahamas,OFD,2.8232685991205173e-4,3.499090345767383e-4
Bahamas,OHI,4.887185580905198e-4,5.420543372705244e-4
Bahamas,OPG,0.00102713343311613,0.00100520697333828
Bahamas,PA,7.060888958057669e-4,7.949582759513766e-4
Bahamas,Prophy,0.00125078678383648,9.893963687461404e-4
Bahamas,RootDeb,0.00250870359062566,0.00273849428159952
Bahamas,Single_implant,0.00522479240135539,0.00460503962742135
Bahrain,Consult_perio,1.4541346072772363e-4,6.32554091744183e-4
Bahrain,Consult_simple,2.751546024366164e-4,9.974485130866304e-4
Bahrain,Denture,5.652751075142574e-5,2.1649740926561303e-4
Bahrain,Denture_repair,5.486173686649602e-5,2.033778545686718e-4
Bahrain,Extraction,3.881109166434299e-4,0.00162170211004565
Bahrain,Full_fixed,3.564583435538734e-5,2.9906376091743623e-4
Bahrain,GTR,5.14260525141537e-6,2.2263370148931603e-5
Bahrain,Implant_surgery,1.793621783395747e-5,2.766645853491963e-4
Bahrain,Maintenance_perio,3.980463512238107e-4,0.00155497440487152
Bahrain,Maintenance_simp,5.100497695092923e-4,0.00209600967130591
Bahrain,OFD,4.91309891673549e-6,2.116244391194482e-5
Bahrain,OHI,6.882033357979587e-6,3.121809558526795e-5
Bahrain,OPG,4.420979785842324e-6,1.561937828436313e-5
Bahrain,PA,5.3116690507618634e-6,1.905435012202721e-5
Bahrain,Prophy,3.398957311619632e-4,0.0010827979485949
Bahrain,RootDeb,2.1177484424677828e-4,8.603525486958391e-4
Bahrain,Single_implant,6.114694242833177e-5,2.3440613234581724e-4
Bangladesh,Consult_perio,0.00624839614224122,0.04978552159824505
Bangladesh,Consult_simple,0.00398764627787188,0.05235417792271407
Bangladesh,Denture,0.0015156885097255,0.01734752042171968
Bangladesh,Denture_repair,6.240062870013074e-4,0.00990809256289581
Bangladesh,Extraction,0.00868466727577989,0.08647665763931407
Bangladesh,Full_fixed,6.90619122232489e-4,0.01698988348635061
Bangladesh,GTR,3.6606341687338794e-4,0.00178601496066415
Bangladesh,Implant_surgery,0.00281914512832135,0.02346242456668853
Bangladesh,Maintenance_perio,0.01822170033300766,0.1002955105299478
Bangladesh,Maintenance_simp,0.0075129227768149,0.05505858884411058
Bangladesh,OFD,6.197626965734464e-5,0.00131739812322275
Bangladesh,OHI,1.579559756071715e-4,0.00148826252224278
Bangladesh,OPG,1.2859743038748286e-4,9.404834924368044e-4
Bangladesh,PA,1.2771512762568474e-4,9.942124590242188e-4
Bangladesh,Prophy,0.00769011533513704,0.02552550125052249
Bangladesh,RootDeb,0.00450222489730816,0.04829104651143175
Bangladesh,Single_implant,0.00274121892317244,0.01575780617818796
Barbados,Consult_perio,1.1376328120924384e-4,2.896044932872733e-4
Barbados,Consult_simple,1.4209954358213893e-4,3.856940586482528e-4
Barbados,Denture,7.725637066687985e-5,2.495886583510087e-4
Barbados,Denture_repair,6.316489259934526e-5,1.5284591642136388e-4
