Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Afghanistan,0.00497148712752685,0.0356937699350099,9.685396421251014e-4,0.00789032317350887,2.909944164143327e-4,0.00226020715162059,low,0.0167,0.46,2144.16657
Albania,0.00137838283871882,0.00301583549338086,3.3905423766168567e-4,0.00127415728425146,1.102631370418313e-4,4.364317147220401e-4,low,0.0363,12.66,16126.77749
Algeria,0.02305948390220847,0.05267099804185419,0.00546446403274971,0.02044209874983298,0.0019331308604992,0.00752618343529205,low,0.3237,7.46,14496.86547
Andorra,0.00183546004597133,0.00117597695385043,4.341296651708703e-4,4.057213159262158e-4,5.011662001228285e-4,5.381152686027176e-4,mid,0.0146,189.89,59332.20291
Angola,0.01032919752916435,0.03029385600241935,0.00202524128771734,0.01102212292010271,6.554977465915697e-4,0.00306026985871586,low,0.0702,2.33,7408.126591
Antigua and Barbuda,0.00142719204041206,0.00104972330167045,3.492476413547129e-4,3.6893538131710184e-4,4.649791717785052e-4,5.956407763973072e-4,mid,0.0048,51.88,25745.49581
Argentina,0.6387619395773704,0.4328940487947422,0.14144421332577764,0.1486781945784409,0.18205729833705436,0.2276356954093384,mid,1.106,24.55,26300.27426
Armenia,0.02586150785550339,0.01887391374203201,0.00561600253390152,0.00721081545352362,0.00753688312217679,0.01028014039078267,mid,0.113,38.05,15921.70528
Australia,4.157599572137852,0.9888344762037716,1.6760560527920738,0.3750060435403187,0.8457954518693259,0.46008802981186414,high,7.3703,288.25,58182.33695
Austria,0.9119991089657568,0.25907244862815293,0.3540284656498941,0.1358192608165448,0.18810296839870988,0.12291247722616798,high,2.1157,236.39,62968.94223
Azerbaijan,0.00629737675080901,0.01258794840809786,0.00152369520616659,0.005325279403124,5.360389375962697e-4,0.00239690325561305,low,0.1268,12.61,20111.3757
Bahamas,0.03497868353865503,0.01201480198158256,0.01529206391279001,0.00775676175902294,0.00865562149610765,0.00643928826464044,high,0.0329,75.3,31064.68222
Bahrain,0.00252123430454794,0.00468381184615037,6.221961796766096e-4,0.00179529350470324,2.261182422355983e-4,8.535032504082747e-4,low,0.0625,41.36,54954.67579
Bangladesh,0.06608065922876495,0.18583682578403576,0.02320122888834121,0.11117592574605337,0.00839067797045309,0.04085262979181899,low,0.0125,0.08,7441.06914
Barbados,0.00333911373296887,0.00273995988577364,8.351263199684973e-4,0.00102259727659404,0.00118032709745609,0.00165930101754572,mid,0.0152,52.8,15683.88471
Belarus,0.00700497884002152,0.01348577554082562,0.00191168180020041,0.00653375885834749,6.425387650697286e-4,0.00252257445712728,low,0.1371,14.47,27611.18011
Belgium,1.5748400418532624,0.4589341193409701,0.6844826256703587,0.25247733312481424,0.37344776735909674,0.23640809380284455,high,2.1221,185.2,60669.21377
Belize,0.00366391252556166,0.00289871369095001,7.872313343693499e-4,0.00106157924402288,0.00113453856867677,0.00165810709269419,mid,0.0057,14.08,11677.46101
Benin,0.00275092509207821,0.01192797977362808,9.75632848087802e-4,0.00610720637510592,3.547759370081702e-4,0.00211959979715905,low,0.0033,0.28,3464.288629
Bhutan,6.475592434432547e-4,0.00155546741947118,2.1350746189379913e-4,9.299193103786385e-4,7.727159491125836e-5,3.3034237369490116e-4,low,0,0.06,13458.81267
Bolivia,0.00449177346152296,0.01137537394946524,0.00103124308958048,0.00455973339599054,3.994781774443777e-4,0.00168982284787464,low,0.0482,4.17,9454.198147
Bosnia and Herzegovina,0.03133977449013232,0.02292286637307067,0.00711689660165957,0.00827479822031512,0.00960396207061757,0.01282440968225343,mid,0.0727,20.75,18285.67112
Botswana,0.02398134243002727,0.01496454180477575,0.00221173848925674,0.00181714849682035,0.00176394626966746,0.00178383397474361,mid,0.0574,24.15,17960.62544
Brazil,2.024569654442985,1.1063200085048053,0.3825739449726945,0.31149370544778404,0.24681797186146712,0.23739452144717743,mid,3.7128,17.68,18075.706
Brunei Darussalam,7.61574167469073e-4,0.00135381140003778,1.3838775885767368e-4,3.897034931959272e-4,4.745239997434616e-5,1.4631503153822044e-4,low,0.0091,20.35,78248.79711
Bulgaria,0.00443877549165449,0.0079608682702205,9.838561900274937e-4,0.00318774104281936,3.149086543874909e-4,9.904165715446925e-4,low,0.1094,15.72,30971.91319
Burkina Faso,0.00532945022713514,0.02395241715820896,0.00200835296793092,0.01209389452247309,5.983093982509977e-4,0.00410494699482543,low,0.0046,0.23,2486.430931
Burundi,9.254640153799302e-4,0.00958342357330481,3.954051917780474e-4,0.00326457230037194,1.0992837973575064e-4,8.126561812668188e-4,low,0.0013,0.12,836.6655713
Cabo Verde,2.9580394372904e-4,9.069939429175312e-4,1.1463744796721764e-4,6.047984896827948e-4,3.862617520994447e-5,2.2184054698094e-4,low,0.0034,6.12,7685.419214
Cambodia,0.00448937033400822,0.01522142547373602,0.0011351673817844,0.00665228207035475,3.6872411991818705e-4,0.00192794781497022,low,1e-4,0.01,6225.532655
Cameroon,0.0099921812081818,0.03218788401438342,0.00368073211099153,0.01808546183992808,0.00105137718047685,0.00675833780717819,low,0.0066,0.26,4793.556282
Canada,5.775642468931197,1.5011238647982033,2.3278702028064417,0.5523342486024972,1.356216427278575,0.6937426299174452,high,12.8291,342.52,56995.11768
Central African Republic,2.8337194319521874e-4,0.00303240922808781,9.928702645320108e-5,9.09545674842498e-4,2.588828129788298e-5,2.346143662526659e-4,low,0.0011,0.22,1128.55238
Chad,0.00321531437789116,0.01757445695034935,0.00108674938430257,0.00665758304039115,3.531844921868885e-4,0.00198218617492812,low,0.0034,0.26,2435.072747
