Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.03991172918360921,0.1666246767631797
Afghanistan,Stage_III_IVT1_2,0.23414909515476812,0.3115491673427249
Afghanistan,Stage_IVT3,0.04921069396619506,0.10236055065928572
Afghanistan,Stage_IVT4,0.06647997968109404,0.1367381020296754
Afghanistan,Stage_I_II,0.10142566632188017,0.33448518798116367
Albania,Health,0.00912646109456071,0.008821979418810388
Albania,Stage_III_IVT1_2,0.06349091952131022,0.043033220655114814
Albania,Stage_IVT3,0.013678058000456475,0.01713495978161583
Albania,Stage_IVT4,0.017163685491183075,0.023587184017986724
Albania,Stage_I_II,0.019739661110181064,0.016799315931003287
Algeria,Health,0.1660159024045857,0.16972498216090173
Algeria,Stage_III_IVT1_2,1.1203772299349695,0.7907239031053239
Algeria,Stage_IVT3,0.2535275863145733,0.3239922774736845
Algeria,Stage_IVT4,0.30635107211867524,0.4357893429008077
Algeria,Stage_I_II,0.3666924122576157,0.3232558236677584
Andorra,Health,6.41120202828902e-4,4.586548628041721e-4
Andorra,Stage_III_IVT1_2,0.004588784572234487,0.0020936952581322977
Andorra,Stage_IVT3,0.001053004734396237,0.001164951307515369
Andorra,Stage_IVT4,0.0012354045528838993,0.0014940912515173307
Andorra,Stage_I_II,0.001391167897560475,8.207237517245238e-4
Angola,Health,0.09798742930200462,0.1405548919445871
Angola,Stage_III_IVT1_2,0.4243720285853062,0.3734517942011809
Angola,Stage_IVT3,0.09379074414478988,0.13912737014901544
Angola,Stage_IVT4,0.11147968666880774,0.18137780923190158
Angola,Stage_I_II,0.20648136449155052,0.2856763334447018
Antigua and Barbuda,Health,4.2092339794427066e-4,3.3851733893641733e-4
Antigua and Barbuda,Stage_III_IVT1_2,0.004150650000088655,0.0024252323379855764
Antigua and Barbuda,Stage_IVT3,9.359337630228245e-4,0.001118412229471515
Antigua and Barbuda,Stage_IVT4,0.0011270309738998108,0.0014881028817587936
Antigua and Barbuda,Stage_I_II,9.021885098283383e-4,6.484276366160215e-4
Argentina,Health,0.24502007945816157,0.19721152392774297
