LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
Global,NA,NA,NA,157.95779131428836,17.735174714279562,57.57814945516555,6.044416298706903,42.20123675038128,10.004369030584302,NA,NA,NA,NA,Global,0
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia",NA,2.715153590790904,0.6457641595398598,0.8056684437592871,0.26855281941780146,0.6803029019613055,0.30003931053139077,NA,NA,NA,NA,NA,1
  Central Asia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",NA,0.12000965124966886,0.06462414457032079,0.025652577338400043,0.024843055869561398,0.02494385954214303,0.023869705340493697,NA,NA,NA,NA,NA,2
    Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,0.02667559904166389,0.02074562559289715,0.00584321218583369,0.00727411806511826,0.00814833345125257,0.01196749611692754,mid,0.113,38.05,15921.70528,Armenia,3
    Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,0.00671271399311948,0.0141508148764886,0.00181687726140077,0.00795033972012894,5.096491875614688e-4,0.00187309281861936,low,0.1268,12.61,20111.3757,Azerbaijan,3
    Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,0.00187171856298687,0.00386765306040594,5.008775366301384e-4,0.00188555380811381,1.5750520756440875e-4,7.556684706706945e-4,low,0.0116,3.13,18915.6534,Georgia,3
    Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,0.01634685804433719,0.03100849967117515,0.00355860563204727,0.01160318768657248,0.00116601812628022,0.00426560364140711,low,0.061,3.27,32945.85157,Kazakhstan,3
    Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,0.0015009347275272,0.00532054291904398,4.1116764317378505e-4,0.00241227494709933,1.360854516376762e-4,0.00110436180223101,low,0.0039,0.6,5736.478834,Kyrgyzstan,3
    Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,0.00159818046681879,0.00372809432694158,3.4527160323126965e-4,0.00157977060281186,1.0915123943349092e-4,4.805436960035053e-4,low,0.0352,10.65,14792.25091,Mongolia,3
    Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,0.0019912341266031,0.00826209372299093,5.372834116587196e-4,0.00335536256916543,1.733634943036942e-4,0.0010259808604123,low,0.0306,3.29,3985.912476,Tajikistan,3
    Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,0.05111328539934997,0.03753988820688175,0.00980313691967851,0.0116625616137466,0.0136760014094494,0.01959765755475101,mid,0.1348,22.57,16434.13991,Turkmenistan,3
    Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,0.01219912688726238,0.03239530001322469,0.00283614514474589,0.01439718392781678,8.677519746600995e-4,0.00420661718840513,low,0.2183,6.61,9247.643827,Uzbekistan,3
  Central Europe,Central Europe,"Central Europe, Eastern Europe, and Central Asia",NA,2.3268864495195545,0.5865486095746187,0.7098111292711561,0.23813124922300088,0.6091689132024783,0.29466084097010986,NA,NA,NA,NA,NA,2
    Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,0.0013140837319962,0.00313402519679595,3.651274833578855e-4,0.00178877423541,1.1658333940719386e-4,5.284378220824728e-4,low,0.0363,12.66,16126.77749,Albania,3
    Bosnia and Herzegovina,Central Europe,"Central Europe, Eastern Europe, and Central Asia",BIH,0.03142171940495202,0.02382993356990759,0.00708800579679,0.00816426268023486,0.00984801779240854,0.01374069737099964,mid,0.0727,20.75,18285.67112,Bosnia and Herzegovina,3
