Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.13908224663296778,0.25557819327920944,0.025440511603689524,0.08477676814016186,0.047036857016932374,0.09992599714104655
Albania,0.030211499889795938,0.022683191065593536,0.006890440629638514,0.008531212839172271,0.009139202854898805,0.012924959396733722
Algeria,0.6149292702021206,0.4573019832979297,0.13619812544555737,0.16955502159238867,0.18458705945922357,0.25784672608091663
American Samoa,8.256584372220677e-4,6.322937524230462e-4,1.8147898721805622e-4,2.3772562708590232e-4,2.4384144983379493e-4,3.4960509838495444e-4
Andorra,0.0020893568038149657,0.0013590436742888024,5.061263979108943e-4,4.618715978659344e-4,5.919728176152898e-4,6.722636484151736e-4
Angola,0.2791554737840701,0.2531254138718472,0.0504144931534627,0.0837067655054856,0.07670127031061424,0.1315990847729746
Antigua and Barbuda,0.001855760301176535,0.0014140571498492916,4.713986733803674e-4,4.899074985646955e-4,6.130481737414751e-4,8.205854770775543e-4
Argentina,0.783961229080123,0.5505634287106085,0.18136420549608043,0.2004157591714947,0.23403014366305416,0.29495589992562804
Armenia,0.03139897041551614,0.02487769000680702,0.0071927271521672175,0.009337972847207717,0.009912094522516455,0.014662398196603947
Australia,1.1733686661528762,0.6894868789599872,0.2627551188616533,0.2093751890104277,0.2887523878939921,0.28774761307831315
Austria,0.22045466963042962,0.13745878564901154,0.04715724964602069,0.04232768306034343,0.05501853072644018,0.06169854524290314
Azerbaijan,0.1442132445762488,0.1044630883508129,0.03126796242141514,0.03518677486985772,0.0414324865662343,0.055789215789669104
Bahamas,0.009980301033112727,0.007047927854103848,0.002512361374692617,0.0024128813709226077,0.0031573803123518067,0.0037381868656940227
Bahrain,0.06364624372221452,0.041577527756531285,0.0157841669852747,0.014142655072069637,0.018299360407040357,0.0200220324215543
Bangladesh,1.6985553596261151,1.752832785959719,0.4545284902649382,0.7825524631101302,0.6963643021790394,1.1381211512250042
Barbados,0.0043416709162893375,0.003468070397206854,0.0011374932202431367,0.0013621836481379805,0.0015225430526426397,0.002137196716226219
Belarus,0.13275056615686068,0.0961625543569988,0.03133370210210806,0.03473453720668902,0.04057012634772281,0.05312869949558819
Belgium,0.3808591081780679,0.25283163970591754,0.09667144586991487,0.0874794011272128,0.11258465364917702,0.1276760273910016
Belize,0.005016645054812387,0.004143826047276934,0.0011478458689091603,0.0016166197175726971,0.0016806055675518076,0.002516675735980045
Benin,0.1049009932321607,0.12153729895896803,0.023954146238282605,0.048551826038903144,0.04166042989441522,0.08039965907302028
Bermuda,0.0030670128616264378,0.002139108006521249,8.651191074767446e-4,7.496076739863291e-4,9.764328401332256e-4,0.0010422959243223677
Bhutan,0.0167835643934253,0.014966048337939622,0.004534517457248666,0.006482313781937588,0.006380302584194145,0.00925345278695458
Bolivia (Plurinational State of),0.11804023415155572,0.10489110373840918,0.025104031636398193,0.03687642522684926,0.03840448476782754,0.06252155978394683
Bosnia and Herzegovina,0.03478529075959732,0.026132252527129293,0.008249484793598088,0.009824105604348491,0.011047458297153487,0.015256275576343837
Botswana,0.033101371408199506,0.020130174182066883,0.0034990011406261694,0.0029158810002545537,0.002773982276874069,0.0028306438880467523
Brazil,2.503646898401002,1.363972930039695,0.49230732377089226,0.4103842152597337,0.3187660057942502,0.30943042225170797
Brunei Darussalam,0.017941939496301768,0.010765736021252081,0.003648671791074258,0.0032087204000225676,0.0041612917607976386,0.004452500256359362
Bulgaria,0.07783548514491219,0.05265913240081873,0.016083027058882295,0.016770527319589217,0.020501615361587455,0.026560342497433765
Burkina Faso,0.20811872103761897,0.28074126314597814,0.051195287332058075,0.10545783737911177,0.09218283084102333,0.19942040010777756
Burundi,0.03568131473856576,0.06272488719588626,0.00799006299649911,0.0211309076324512,0.015384513764030218,0.032051582071682946
Cabo Verde,0.008675113841364275,0.008840976598237103,0.002446581419481563,0.003714096809067613,0.0037492043486665586,0.005962692058567628
Cambodia,0.10506340570137773,0.11436278081845404,0.022273079179727585,0.04012598046616581,0.03724838875456993,0.07004348273135591
Cameroon,0.30349550422619487,0.37201293745103936,0.07840310230079137,0.14931131465457445,0.12954049763797496,0.23707509781045857
Canada,1.6152498098481232,1.0294437979996915,0.351741938727357,0.27556614706110094,0.4344602171079521,0.4260435442179647
Central African Republic,0.008986755969433094,0.01401975996121964,0.0018551978171064696,0.0042668817966343316,0.003836860416470532,0.007641260033017721
Chad,0.11687922826175068,0.1649382298171449,0.025590496288777968,0.05364556832174271,0.04844104329274482,0.10316318280905719
Chile,0.49207685234228626,0.2959499387628398,0.1432163656254956,0.12008126877768391,0.09389705310956252,0.09549378006676833
China,6.3909820050678094,4.203235246000066,1.5013145447871992,1.2543096197076595,2.374401836691929,2.340361830737175
Colombia,0.8543562791742395,0.6541653550886374,0.2151453012892961,0.2561927046803573,0.2879068759167482,0.38552287972647453
Comoros,0.003948383303455017,0.004813514579510424,8.944712048693919e-4,0.0020871804486762256,0.0015272192769342989,0.003045673939485426
Congo,0.03418782832243777,0.03601402832770463,0.007088128732726106,0.013622460603638465,0.011386521678328347,0.021421496991380618
Costa Rica,0.08791086516171322,0.06672371021416518,0.02231811078377576,0.02515416817835015,0.02910792801601237,0.03912198267467333
Croatia,0.07763486239252776,0.05379429654088646,0.019912788335040718,0.01924680617296535,0.024684882252032553,0.02893879408212854
Cuba,0.10820652912161234,0.1022660356840351,0.027928983960885213,0.04215559490886619,0.04061891941887101,0.06599805108961573
Cyprus,0.02737278744620696,0.017743067472461595,0.005860008402596639,0.005686185499746598,0.007073382789442441,0.00837185333335719
Czechia,0.22113485600277724,0.1467125490088282,0.05101164481689083,0.0485714136348616,0.06268310767503887,0.07400003334459965
Côte d'Ivoire,0.30488068311385674,0.3211160690723347,0.07238503222615023,0.1284773014567173,0.11446870049911395,0.21068215318644942
Democratic People's Republic of Korea,0.07817237671892967,0.11331753010296848,0.017920860627701846,0.04723954619037793,0.034466431259936495,0.07053699014505084
Democratic Republic of the Congo,0.2721627881011792,0.40837187438828115,0.05626825056364359,0.11560387156283894,0.11961442780547767,0.26298138946627586
Denmark,0.24714744847523887,0.1729581609388712,0.06812292730952393,0.060086146597847626,0.07898938978406511,0.08745989766105755
Djibouti,0.00991785265315065,0.009507481197936008,0.002118294498302768,0.0035683469684206033,0.0032852599183282967,0.005529395662842655
Dominica,7.884258834384014e-4,6.930740017867618e-4,2.0101510841643265e-4,2.879641353641953e-4,2.8169154507182593e-4,4.378347751246924e-4
Dominican Republic,0.17958246981919918,0.1297378097772604,0.041938527973356704,0.04475135144923546,0.0553685403008998,0.07399062569068082
Ecuador,0.1981030016889776,0.16989390432788898,0.044783819286784,0.060025712750106965,0.06457721024481655,0.11031349274468813
Egypt,1.2886074183685297,0.957467538634413,0.25312329954327495,0.3293621292867513,0.34116578736784253,0.4868893279948139
El Salvador,0.058193721234869995,0.05091566891127552,0.013954030224778155,0.01995334337021826,0.01996807949824177,0.031248899023760927
Equatorial Guinea,0.030172536507651136,0.02101235295746766,0.0061595329395194905,0.00687027920379097,0.008041524204311598,0.010695861596303704
Eritrea,0.023839508305270544,0.03183533164697089,0.005044945388046963,0.011111223131703802,0.009593768000852381,0.020126729109085893
Estonia,0.02827467743879907,0.018634608785769124,0.006719958818843829,0.006280842652376359,0.008172636118454018,0.009412346635766185
Eswatini,0.009182578498317938,0.007422350540560457,0.0012857028428236482,0.001848945464330163,0.0018111898910493783,0.0027958398484929066
Ethiopia,0.9075867266286088,1.1883791214474655,0.2129561518248607,0.4572659972363902,0.39597382252334506,0.7809048014871287
Fiji,0.005236673895493563,0.004584918225733402,4.650042720678528e-4,6.32783536440253e-4,6.715636302469179e-4,0.0010192426361379965
Finland,0.1614139019770749,0.10632961459836268,0.040535460271177846,0.03597900420792333,0.04726286939398292,0.052481863868182
France,1.296547127203143,0.7696922495242324,0.24422990599684719,0.1944598104261971,0.35767575244981237,0.35572786611059715
Gabon,0.027581869698847534,0.01944044580928403,0.005654235552086233,0.006553138617872143,0.007458574919667918,0.010106802369252101
Gambia,0.02174327019207724,0.02875137187189668,0.005868886391726641,0.013910071376368731,0.009955729084481764,0.019481531099467125
Georgia,0.03679450008565544,0.02748929021533067,0.008071120981781903,0.009555775971536902,0.010898811740130984,0.015275607275469836
