Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Health,0.00135997990999638,0.0247796263748812
Afghanistan,Stage_III_IVT1_2,0.00229727753934198,0.01577917057942256
Afghanistan,Stage_IVT3,3.3873768606906113e-4,0.00433515137023559
Afghanistan,Stage_IVT4,5.744096544426233e-4,0.00563615212791196
Afghanistan,Stage_I_II,0.00125612060004742,0.03588603342989511
Albania,Health,2.5045001848301074e-4,0.00107253043393258
Albania,Stage_III_IVT1_2,5.522515677362858e-4,0.00243370207250781
Albania,Stage_IVT3,1.0715869065790692e-4,7.127180733590992e-4
Albania,Stage_IVT4,1.1823550585323396e-4,6.611623962008819e-4
Albania,Stage_I_II,3.983703732918831e-4,0.0015901673491215
Algeria,Health,0.00473276282247118,0.02039715404939438
Algeria,Stage_III_IVT1_2,0.00890427865057608,0.03823317272728646
Algeria,Stage_IVT3,0.00161840673287613,0.01047770998360229
Algeria,Stage_IVT4,0.00231626917566907,0.01239942817717631
Algeria,Stage_I_II,0.0084805910287925,0.03299091466521754
Andorra,Health,2.1118254749814404e-4,2.6154317902547206e-4
Andorra,Stage_III_IVT1_2,7.49455278545751e-4,8.430189177911078e-4
Andorra,Stage_IVT3,2.0992495911319385e-4,3.655978857070591e-4
Andorra,Stage_IVT4,2.539611609608187e-4,4.893305161391753e-4
Andorra,Stage_I_II,3.7800433717612744e-4,4.147760332647951e-4
Angola,Health,0.00283817395854393,0.01755125217025318
Angola,Stage_III_IVT1_2,0.00412810309357434,0.01971148708464327
Angola,Stage_IVT3,6.33688068198048e-4,0.00585702609885069
Angola,Stage_IVT4,0.00100296329406038,0.00765706556768509
Angola,Stage_I_II,0.00469692366646077,0.02665382353478265
Antigua and Barbuda,Health,1.408496655736969e-4,1.8604136305638944e-4
Antigua and Barbuda,Stage_III_IVT1_2,6.728226639607293e-4,8.367573726106164e-4
Antigua and Barbuda,Stage_IVT3,1.906889711627345e-4,3.911307157279699e-4
Antigua and Barbuda,Stage_IVT4,2.3235908733660495e-4,4.999109655077069e-4
Antigua and Barbuda,Stage_I_II,2.525721541133914e-4,3.030290289353743e-4
Argentina,Health,0.08572987408871001,0.12102541508682622
