Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.0012702591377473915,0.022943358696483642
Afghanistan,Stage_III_IVT1_2,0.002746476851319949,0.016918788615179762
Afghanistan,Stage_IVT3,4.267892804764016e-4,0.004943300063569017
Afghanistan,Stage_IVT4,9.169967205659146e-4,0.009602546761232466
Afghanistan,Stage_I_II,0.0023520812126770186,0.03244548283643743
Albania,Health,2.279814907143448e-4,0.0010698904437020631
Albania,Stage_III_IVT1_2,4.7198976180403367e-4,0.0019762895122587636
Albania,Stage_IVT3,9.747375832416501e-5,5.562412622712681e-4
Albania,Stage_IVT4,1.5703268189991133e-4,9.722123104297861e-4
Albania,Stage_I_II,3.8340956146188596e-4,0.0014066344393989804
Algeria,Health,0.004513981957734253,0.02216500570415943
Algeria,Stage_III_IVT1_2,0.00961917281634816,0.038675690551366854
Algeria,Stage_IVT3,0.0016790351590331193,0.009944095270380747
Algeria,Stage_IVT4,0.0027210897721524235,0.015429961047565555
Algeria,Stage_I_II,0.00756515522230223,0.03170467040166066
Andorra,Health,1.5190621132482127e-5,5.576603390833862e-5
Andorra,Stage_III_IVT1_2,3.518128045827367e-5,1.1503399938499218e-4
Andorra,Stage_IVT3,8.519311888182294e-6,4.071727222382322e-5
Andorra,Stage_IVT4,1.0713459430469572e-5,5.397040100882701e-5
Andorra,Stage_I_II,2.5659285657814453e-5,8.54312006132986e-5
Angola,Health,0.003139617720239571,0.02021015076166153
Angola,Stage_III_IVT1_2,0.0043676330898587325,0.020216088736466138
Angola,Stage_IVT3,0.0010432530792717962,0.009555492359928112
Angola,Stage_IVT4,0.0010682494018377565,0.0074467322906043186
Angola,Stage_I_II,0.004464360216352019,0.026827557211067686
Antigua and Barbuda,Health,1.0935793939490709e-5,4.591486430060755e-5
Antigua and Barbuda,Stage_III_IVT1_2,3.231613915613186e-5,1.1464033890796368e-4
Antigua and Barbuda,Stage_IVT3,8.120383200169516e-6,4.4328685393446926e-5
Antigua and Barbuda,Stage_IVT4,9.263366421246682e-6,5.404448603003491e-5
Antigua and Barbuda,Stage_I_II,1.7262160110942813e-5,6.162826783764388e-5
Argentina,Health,0.006471568225679122,0.024731922210343402
Argentina,Stage_III_IVT1_2,0.015612999767779922,0.06143144313779317
Argentina,Stage_IVT3,0.003183708163992797,0.01689564806340381
Argentina,Stage_IVT4,0.004026878692731322,0.0217282201549152
Argentina,Stage_I_II,0.010681592369939607,0.035654465227086984
Armenia,Health,2.442326403708454e-4,0.0010424649821810775
Armenia,Stage_III_IVT1_2,5.54483770184823e-4,0.002191068688548419
Armenia,Stage_IVT3,1.0263808516977621e-4,5.989608946574342e-4
Armenia,Stage_IVT4,1.5781275552599828e-4,0.0010514835949261838
Armenia,Stage_I_II,3.557433702825274e-4,0.0015098198265534582
Australia,Health,0.010674506452450449,0.03808491114225376
Australia,Stage_III_IVT1_2,0.018415809994338436,0.057933758534144314
Australia,Stage_IVT3,0.004498754567845433,0.02077466837213077
Australia,Stage_IVT4,0.006276710995087796,0.03369326359365063
Australia,Stage_I_II,0.01717237679107201,0.0535225419218131
Austria,Health,0.0022237349141287287,0.008161174419592025
Austria,Stage_III_IVT1_2,0.003596579517768766,0.011844874137609974
Austria,Stage_IVT3,8.219203262037503e-4,0.003629982551094006
Austria,Stage_IVT4,9.926291578609757e-4,0.004947314404155677
Austria,Stage_I_II,0.0035238085781864386,0.011631604011819091
Azerbaijan,Health,0.0011441898462385904,0.005259679168018889
Azerbaijan,Stage_III_IVT1_2,0.0024549580572952373,0.010074656383762969
Azerbaijan,Stage_IVT3,5.237104654861748e-4,0.0028483525552221653
Azerbaijan,Stage_IVT4,7.641567470909391e-4,0.004335160171887525
Azerbaijan,Stage_I_II,0.0019725642157052037,0.007179126148402786
Bahamas,Health,5.6812040745134274e-5,2.3011390081125694e-4
Bahamas,Stage_III_IVT1_2,1.7068270808867335e-4,6.032594161872845e-4
Bahamas,Stage_IVT3,3.844932221919898e-5,2.1541307056546275e-4
Bahamas,Stage_IVT4,5.254669472722446e-5,3.064424320231549e-4
Bahamas,Stage_I_II,9.164703812757929e-5,3.1085078554352015e-4
Bahrain,Health,4.550697417133842e-4,0.001709507453284898
Bahrain,Stage_III_IVT1_2,0.001101782185420531,0.0036778030129149424
Bahrain,Stage_IVT3,2.716373396001379e-4,0.0014812811454025898
Bahrain,Stage_IVT4,3.353115859251691e-4,0.0016587040223517817
Bahrain,Stage_I_II,7.112131801875737e-4,0.002236325652857658
Bangladesh,Health,0.007349585168120355,0.04988179214916914
Bangladesh,Stage_III_IVT1_2,0.039361984213844514,0.19278577309441225
Bangladesh,Stage_IVT3,0.007019199950753048,0.04923494576477419
Bangladesh,Stage_IVT4,0.008540319128358861,0.0717972603684969
Bangladesh,Stage_I_II,0.01293264695969367,0.07227563384512176
Barbados,Health,2.214328714351966e-5,9.544155053050597e-5
Barbados,Stage_III_IVT1_2,6.623614966630331e-5,2.6148501616733943e-4
Barbados,Stage_IVT3,1.6525014567322505e-5,9.352652833699716e-5
Barbados,Stage_IVT4,1.9123861972904254e-5,1.2397217293914561e-4
Barbados,Stage_I_II,3.4479001035066984e-5,1.350086614164073e-4
Belarus,Health,0.001041637777591685,0.004093755263428928
Belarus,Stage_III_IVT1_2,0.0023399457014441484,0.00849969691342298
Belarus,Stage_IVT3,5.320461983370702e-4,0.002661212659938015
Belarus,Stage_IVT4,7.050134909039118e-4,0.004960959933520019
Belarus,Stage_I_II,0.0017380673239596816,0.006247834993613538
Belgium,Health,0.002877221117646691,0.010711118008303416
Belgium,Stage_III_IVT1_2,0.007067061823527864,0.022692024986770178
Belgium,Stage_IVT3,0.0017943385399935498,0.009581138398896896
Belgium,Stage_IVT4,0.002223194852708567,0.010995243735263541
Belgium,Stage_I_II,0.004497076149209162,0.014275605262121573
Belize,Health,3.4975905113404774e-5,1.9193577539220675e-4
Belize,Stage_III_IVT1_2,9.577492518368855e-5,4.1432511801598566e-4
Belize,Stage_IVT3,2.0811504660322162e-5,1.442499982450731e-4
Belize,Stage_IVT4,2.941898704139641e-5,1.954268722894827e-4
Belize,Stage_I_II,6.128355480896921e-5,2.580345564549892e-4
Benin,Health,5.24776543261828e-4,0.006979025386915813
Benin,Stage_III_IVT1_2,0.002029207889107549,0.014209345179120201
Benin,Stage_IVT3,2.8300810764025496e-4,0.005649006591772597
Benin,Stage_IVT4,6.746866404819746e-4,0.004989602895494408
Benin,Stage_I_II,6.693953612721431e-4,0.00783351489263029
Bhutan,Health,7.878409170719728e-5,3.399775738414085e-4
Bhutan,Stage_III_IVT1_2,3.758067572190988e-4,0.001595534489056494
Bhutan,Stage_IVT3,8.050554442448643e-5,5.369607044270798e-4
Bhutan,Stage_IVT4,1.0858789318486325e-4,6.889031254052501e-4
Bhutan,Stage_I_II,1.262775013647863e-4,5.290321303801129e-4
Bolivia,Health,0.0010038437884892545,0.006080330627279983
Bolivia,Stage_III_IVT1_2,0.002174916521657296,0.009895848332480988
Bolivia,Stage_IVT3,4.451150159712102e-4,0.002751441657537643
Bolivia,Stage_IVT4,6.163399143031556e-4,0.004130645436428305
Bolivia,Stage_I_II,0.0013429916818980725,0.006891481967897348
Bosnia and Herzegovina,Health,2.2874974449396248e-4,0.0010348276825703506
Bosnia and Herzegovina,Stage_III_IVT1_2,6.276603233755934e-4,0.0026278964745358236
Bosnia and Herzegovina,Stage_IVT3,1.3312010271787465e-4,8.692002195325269e-4
Bosnia and Herzegovina,Stage_IVT4,1.7411412290639346e-4,0.0010411238132191668
Bosnia and Herzegovina,Stage_I_II,3.8565187854383944e-4,0.0014291391564786474
Botswana,Health,5.537827983650553e-4,0.0019268472357297595
Botswana,Stage_III_IVT1_2,2.3361617533928998e-4,7.066456753160111e-4
Botswana,Stage_IVT3,4.6002033274682e-5,2.077320592467123e-4
Botswana,Stage_IVT4,6.309952306413737e-5,3.1926134756000925e-4
Botswana,Stage_I_II,9.540045234352328e-4,0.003011465557302458
Brazil,Health,0.03205080201796443,0.10937597466213067
Brazil,Stage_III_IVT1_2,0.03503387427601607,0.11329829547490054
Brazil,Stage_IVT3,0.007998373472406511,0.03704472542354654
Brazil,Stage_IVT4,0.01031370510949226,0.055619104718569644
Brazil,Stage_I_II,0.057039420332096934,0.17911841168673992
Brunei Darussalam,Health,1.705622004459709e-4,6.432355272900614e-4
Brunei Darussalam,Stage_III_IVT1_2,2.674680249305114e-4,9.127865233760797e-4
Brunei Darussalam,Stage_IVT3,6.310402810898881e-5,3.0971409038881085e-4
Brunei Darussalam,Stage_IVT4,7.901934655442464e-5,4.120465276815386e-4
