LocationHeader,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level
    Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,mid,0.02979430237028304,0.02346071133637925,0.00679274954487109,0.00850064143400404,0.00943280995384598,0.01381380601382475,0.1467013084080232,0.0631258519371557,0.0570460132320496,0.04381146218673108,0.01880899624295617,0.02182743928585775,0.12445756756784283,0.05374457145438489,0.0287771590366851,0.02411933817030103,0.01900702514767686,0.02122605096878726,0.02979430237028304,0.02346071133637925,0.00679274954487109,0.00850064143400404,0.00943280995384598,0.01381380601382475,0.00162749973569372,0.00353229790667413,4.7825338293157544e-4,0.00194536093652065,1.3375038665335815e-4,5.36970191931706e-4,0.1467013084080232,0.0631258519371557,0.0570460132320496,0.04381146218673108,0.01880899624295617,0.02182743928585775,0.113,38.05,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,Armenia,3
    Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,low,0.0083358346891807,0.01759838648618859,0.00227684613136576,0.00787927661379864,7.236478608781075e-4,0.00358867529726353,0.7317072860582364,0.2746172712398238,0.2737706692834952,0.18712989800753585,0.0881370342525775,0.08973952261976585,0.6221648354071224,0.23333584885999545,0.13410161692349673,0.09703083386175693,0.08647354845291354,0.09042902615734442,0.14674538540197024,0.1071812909027532,0.03322885166746957,0.03865406698228323,0.04367509215845084,0.0589206742425486,0.0083358346891807,0.01759838648618859,0.00227684613136576,0.00787927661379864,7.236478608781075e-4,0.00358867529726353,0.7317072860582364,0.2746172712398238,0.2737706692834952,0.18712989800753585,0.0881370342525775,0.08973952261976585,0.1268,12.61,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,Azerbaijan,3
    Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,low,0.00204506127264051,0.00453197591351105,5.257382924798488e-4,0.00205874437016562,1.5858329758521714e-4,6.548572316128251e-4,0.1813038347570244,0.07351755166340954,0.06581435965677103,0.0484655084603337,0.02142335023638102,0.02359020529507049,0.15613554438001911,0.06348185650117237,0.03247514003029662,0.02556189938060232,0.02116111420307829,0.02284126674155153,0.03593459380238833,0.02690123145151293,0.00783923477468532,0.00939428503855933,0.01065793800548857,0.01474265411266908,0.00204506127264051,0.00453197591351105,5.257382924798488e-4,0.00205874437016562,1.5858329758521714e-4,6.548572316128251e-4,0.1813038347570244,0.07351755166340954,0.06581435965677103,0.0484655084603337,0.02142335023638102,0.02359020529507049,0.0116,3.13,3607286.2933947025,198973.4460697798,0.0953598650110486,0.0106635020467414,0.1330720248813324,0.01654959554913815,12971.4944635269,15621.6899761326,11560.8643237088,Georgia,3
    Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,low,0.02154918296714322,0.0418069303154785,0.00495269685495404,0.01673607628357679,0.00137644861559588,0.00479324854155187,1.915919436348406,0.5583007282306095,0.5770335262166987,0.3249942109697972,0.17997159599242138,0.16938974901480175,1.74166507935219,0.5283963494240163,0.2904972848729911,0.1779390784760384,0.1825353332095019,0.1750486298185558,0.3683511745581357,0.23654029776222787,0.07350769908956743,0.07212386313209188,0.09035015766030983,0.11066010926995824,0.02154918296714322,0.0418069303154785,0.00495269685495404,0.01673607628357679,0.00137644861559588,0.00479324854155187,1.915919436348406,0.5583007282306095,0.5770335262166987,0.3249942109697972,0.17997159599242138,0.16938974901480175,0.061,3.27,18955521.200844068,939864.8342541532,0.0616698643519551,0.00659992225449194,0.114274344122347,0.01694626275617425,25210.2236945516,28522.0402086556,23047.6954788061,Kazakhstan,3
    Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,low,0.002148295523446,0.00634021579573991,6.246697409724664e-4,0.00344091977783546,1.72788059805814e-4,9.69245289449623e-4,0.22908938206806817,0.16337816402751398,0.08184058375862989,0.09053037152450363,0.02839131267231957,0.04046222207533532,0.1928710667514595,0.1541140450380284,0.03828456029322552,0.0456537361033485,0.02787447771579185,0.0415170309695317,0.04409747794290487,0.04513881106029279,0.00875957468647627,0.01647888278021038,0.01393557854173372,0.02451610888746785,0.002148295523446,0.00634021579573991,6.246697409724664e-4,0.00344091977783546,1.72788059805814e-4,9.69245289449623e-4,0.22908938206806817,0.16337816402751398,0.08184058375862989,0.09053037152450363,0.02839131267231957,0.04046222207533532,0.0039,0.6,6863084.431152706,518226.8551102639,0.0473591424112124,0.00530672499647745,0.0742307329965297,0.01234752672473545,4217.86206142112,5161.66685570111,3436.73104776224,Kyrgyzstan,3
    Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,low,0.0023692041005795,0.00569484538111218,4.882463932691857e-4,0.00186641292395618,1.5268012790317848e-4,6.178557938626029e-4,0.21228820759263764,0.0927508693910894,0.06232035317859211,0.04914854060502909,0.02037034973050447,0.02383444203566923,0.19146084900201304,0.0890380967175756,0.03073804940736286,0.02603529366412272,0.02000361912111712,0.02270359008011703,0.03993380668105213,0.02977224886493248,0.00734513188829463,0.00951895963345886,0.00991276296106856,0.014212860714836,0.0023692041005795,0.00569484538111218,4.882463932691857e-4,0.00186641292395618,1.5268012790317848e-4,6.178557938626029e-4,0.21228820759263764,0.0927508693910894,0.06232035317859211,0.04914854060502909,0.02037034973050447,0.02383444203566923,0.0352,10.65,3336292.9094930924,121927.6822749602,0.0421452279011661,0.00463335317407525,0.0931324793554539,0.01626975070980195,12019.9948625722,13148.1062491627,11335.5267166759,Mongolia,3
    Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,low,0.00354581871613907,0.01243935962037465,8.4458252941167e-4,0.00389525137200847,2.8007286634984004e-4,0.00158891628959235,0.3563128867779781,0.26324633950043763,0.12043421560294124,0.13345380874153392,0.04179474749556147,0.06038301581682548,0.3106271289564972,0.25052503406536875,0.05781524821424346,0.07036878268347563,0.04190363244117739,0.06182532113850649,0.06796763851435864,0.07198433475538994,0.01245244597979041,0.02294842293513893,0.02005470653833223,0.03551932592978947,0.00354581871613907,0.01243935962037465,8.4458252941167e-4,0.00389525137200847,2.8007286634984004e-4,0.00158891628959235,0.3563128867779781,0.26324633950043763,0.12043421560294124,0.13345380874153392,0.04179474749556147,0.06038301581682548,0.0306,3.29,10159942.149303185,716569.9885359937,0.0414507207417621,0.00484247154280794,0.0643309854150405,0.01150532471125785,4048.89974628512,5233.32384938635,3377.83028560404,Tajikistan,3
    Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,mid,0.0972430921357434,0.06598854090910124,0.01924371318929047,0.02072108917177422,0.02471737010091743,0.03189282905640768,0.5039507949991181,0.1667514598035214,0.1557972509166088,0.09586559234330808,0.04988919326528008,0.05022832764468296,0.4504632732963913,0.15484526109075372,0.07750185129014431,0.05080202570990649,0.04929320479260972,0.04860914895988296,0.0972430921357434,0.06598854090910124,0.01924371318929047,0.02072108917177422,0.02471737010091743,0.03189282905640768,0.00561415327514896,0.01068935272271993,0.00125283213644033,0.00434539496764044,4.073935076071956e-4,0.00172710653895815,0.5039507949991181,0.1667514598035214,0.1557972509166088,0.09586559234330808,0.04988919326528008,0.05022832764468296,0.1348,22.57,5158372.87954372,271672.8314504395,0.0442257986156972,0.0049149699633362,0.1017709163879264,0.0169378901618358,21078.6337322333,29240.740034522,14054.5241653588,Turkmenistan,3
    Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,low,0.02018822215757265,0.04765862620360062,0.00517636191649154,0.02486797801395646,0.00146689214046014,0.00708636140306898,1.8498960102426556,0.8132976512019313,0.5987461636782261,0.4846435599093463,0.19508765063990632,0.22271031138506628,1.6393989027411258,0.7708347615019091,0.29186442254425826,0.25756165811452064,0.1963775126098497,0.2360890326404841,0.3625290363939632,0.27764322924013407,0.07078119958932615,0.09276284661377691,0.10011681079539772,0.14667314014692184,0.02018822215757265,0.04765862620360062,0.00517636191649154,0.02486797801395646,0.00146689214046014,0.00708636140306898,1.8498960102426556,0.8132976512019313,0.5987461636782261,0.4846435599093463,0.19508765063990632,0.22271031138506628,0.2183,6.61,34232868.959930085,4699273.178691864,0.0407832294269079,0.00452073266158294,0.0916503425469415,0.0147899380542528,10212.2274167206,12945.9932333251,7980.36385558262,Uzbekistan,3
    Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,low,0.00161881236397669,0.00350112423640941,4.675986018428725e-4,0.00179931444950105,1.4083635687364427e-4,6.612741579881743e-4,0.1500160342472166,0.06163842888258504,0.05902874075046733,0.04399863610767956,0.01881179121995396,0.02031976459825524,0.12535899444616774,0.05104681932004516,0.02869986912123069,0.02286104092436644,0.01907534994177544,0.02042410931012328,0.03006371373167239,0.0228800361740698,0.00699558966087665,0.00886416958335663,0.00938839887164176,0.01296916228488729,0.00161881236397669,0.00350112423640941,4.675986018428725e-4,0.00179931444950105,1.4083635687364427e-4,6.612741579881743e-4,0.1500160342472166,0.06163842888258504,0.05902874075046733,0.04399863610767956,0.01881179121995396,0.02031976459825524,0.0363,12.66,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,Albania,3
