"location_name","Region","Superregion","2021 Per-capita Expenditure (US$)","2050 Base Per-capita Expenditure (US$)","2050 WHO Per-capita Expenditure (US$)"
"Global",NA,NA,NA,NA,NA
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia","4.71","4.34","74.30"
"Central Asia","Central Asia","Central Europe, Eastern Europe, and Central Asia",NA,NA,NA
"Armenia","Central Asia","Central Europe, Eastern Europe, and Central Asia","9.86","10.59","52.16"
"Azerbaijan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.67","0.73","64.09"
"Georgia","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.59","0.61","53.87"
"Kazakhstan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.92","0.89","79.30"
"Kyrgyzstan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.23","0.23","24.39"
"Mongolia","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.53","0.52","46.93"
"Tajikistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.23","0.22","22.19"
"Turkmenistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","13.02","13.91","72.09"
"Uzbekistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.45","0.47","43.24"
"Central Europe","Central Europe","Central Europe, Eastern Europe, and Central Asia",NA,NA,NA
"Albania","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.58","0.59","54.94"
"Bosnia and Herzegovina","Central Europe","Central Europe, Eastern Europe, and Central Asia","11.07","11.58","56.28"
"Bulgaria","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.79","0.80","69.63"
"Croatia","Central Europe","Central Europe, Eastern Europe, and Central Asia","20.86","22.00","102.72"
"Czechia","Central Europe","Central Europe, Eastern Europe, and Central Asia","22.02","21.44","106.08"
"Hungary","Central Europe","Central Europe, Eastern Europe, and Central Asia","13.97","13.97","76.19"
"Montenegro","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.75","0.75","67.98"
"North Macedonia","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.63","0.67","59.23"
"Poland","Central Europe","Central Europe, Eastern Europe, and Central Asia","21.21","21.48","103.52"
"Romania","Central Europe","Central Europe, Eastern Europe, and Central Asia","1.00","1.01","88.40"
"Serbia","Central Europe","Central Europe, Eastern Europe, and Central Asia","0.70","0.76","69.04"
"Slovakia","Central Europe","Central Europe, Eastern Europe, and Central Asia","19.75","19.81","97.62"
"Slovenia","Central Europe","Central Europe, Eastern Europe, and Central Asia","25.62","24.04","115.60"
"Eastern Europe","Eastern Europe","Central Europe, Eastern Europe, and Central Asia",NA,NA,NA
"Belarus","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.87","0.85","75.90"
"Estonia","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","22.88","23.33","113.22"
"Latvia","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","20.89","21.22","102.42"
"Lithuania","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","24.00","25.03","119.76"
"Republic of Moldova","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.49","0.51","49.73"
"Russian Federation","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","1.03","1.00","89.46"
"Ukraine","Eastern Europe","Central Europe, Eastern Europe, and Central Asia","0.52","0.54","50.40"
"High-income",NA,"High-income","118.56","121.71","131.56"
"Australasia","Australasia","High-income",NA,NA,NA
"Australia","Australasia","High-income","172.95","172.35","172.35"
"New Zealand","Australasia","High-income","24.52","24.71","121.13"
"High-income Asia Pacific","High-income Asia Pacific","High-income",NA,NA,NA
"Brunei Darussalam","High-income Asia Pacific","High-income","1.92","2.12","181.98"
"Japan","High-income Asia Pacific","High-income","65.52","64.61","64.61"
"Republic of Korea","High-income Asia Pacific","High-income","40.17","42.50","42.50"
"Singapore","High-income Asia Pacific","High-income","43.47","44.64","223.04"
"High-income North America","High-income North America","High-income",NA,NA,NA
"Canada","High-income North America","High-income","139.61","138.75","138.75"
"Greenland","High-income North America","High-income","2.40","2.50","204.09"
"United States of America","High-income North America","High-income","197.92","199.00","199.00"
"Southern Latin America","Southern Latin America","High-income",NA,NA,NA
"Argentina","Southern Latin America","High-income","13.89","15.98","76.54"
"Chile","Southern Latin America","High-income","1.46","1.58","133.11"
"Uruguay","Southern Latin America","High-income","18.95","20.38","96.62"
"Western Europe","Western Europe","High-income",NA,NA,NA
"Andorra","Western Europe","High-income","116.88","113.54","113.54"
"Austria","Western Europe","High-income","113.13","111.29","111.29"
"Belgium","Western Europe","High-income","123.48","121.19","121.19"
"Cyprus","Western Europe","High-income","1.14","1.16","101.43"
"Denmark","Western Europe","High-income","152.64","149.57","149.57"
"Finland","Western Europe","High-income","28.56","28.60","137.32"
"France","Western Europe","High-income","87.20","86.44","86.44"
"Germany","Western Europe","High-income","158.03","155.52","155.52"
