"location_name","Region","Superregion","2021 Per-capita Expenditure (95% UI, US$)","2050 Base Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 base scenario (95% UI)","2050 WHO Per-capita Expenditure (95% UI, US$)","Total % change 2021–2050 WHO target (95% UI)","Dental Utilisation Scenario"
"Global",NA,NA,"21.32 (16.97-25.67)","18.36 (14.43-22.29)","-14% (-36–16%)","52.56 (40.86-64.26)","147% (82–233%)",NA
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia","4.71 (1.6-7.81)","4.34 (1.53-7.15)","-8% (-63–133%)","74.3 (54.35-94.25)","1479% (674–3121%)",NA
"Central Asia","Central Asia","Central Europe, Eastern Europe, and Central Asia","1.51 (-0.02-3.03)","1.54 (-0.03-3.11)","2% (-76–330%)","50.43 (32.83-68.03)","3248% (1047–9671%)",NA
"Armenia","Central Asia","Central Europe, Eastern Europe, and Central Asia","9.86 (-4.31-24.04)","10.59 (-5.76-26.94)","7% (-87–785%)","52.16 (8.17-96.14)","429% (0–2698%)","mid"
"Azerbaijan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.67 (-1.92-3.25)","0.73 (-2.29-3.75)","10% (-100–31807%)","64.09 (16.94-111.23)","9534% (86–499718%)","low"
"Georgia","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.59 (-2.24-3.41)","0.61 (-2.03-3.25)","3% (-100–67538%)","53.87 (11.06-96.68)","9070% (-30–1204567%)","low"
"Kazakhstan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.92 (-2.89-4.73)","0.89 (-2.5-4.28)","-3% (-100–27075%)","79.3 (34.01-124.6)","8547% (30–573391%)","low"
"Kyrgyzstan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.23 (-1.37-1.83)","0.23 (-1.09-1.55)","0% (-100–862900%)","24.39 (-9.7-58.48)","10556% (-91–13129350%)","low"
"Mongolia","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.53 (-1.77-2.83)","0.52 (-1.94-2.99)","-1% (-100–61162%)","46.93 (6.74-87.11)","8810% (4–762385%)","low"
"Tajikistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.23 (-1.54-1.99)","0.22 (-1.3-1.74)","-3% (-100–3052655%)","22.19 (-9.94-54.31)","9644% (-96–25752460%)","low"
"Turkmenistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","13.02 (-3.71-29.74)","13.91 (-4.59-32.41)","7% (-83–579%)","72.09 (25.34-118.84)","454% (31–2235%)","mid"
"Uzbekistan","Central Asia","Central Europe, Eastern Europe, and Central Asia","0.45 (-1.72-2.63)","0.47 (-1.71-2.66)","5% (-100–82959%)","43.24 (5.98-80.5)","9477% (-28–1275384%)","low"
"Central Europe","Central Europe","Central Europe, Eastern Europe, and Central Asia","13.19 (3.1-23.28)","13.43 (3.08-23.79)","2% (-66–202%)","90.58 (67.11-114.06)","587% (206–1441%)",NA
