LocationHeader,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level,Year
Global,NA,NA,NA,NA,136.8599259371819,14.480493739502482,25.278378691037457,4.209987718272748,20.255068631384788,6.004441558752936,336.828119296389,33.6540334018568,98.99412642351948,22.319439738824727,43.127641517317315,11.737866012344073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Global,0,2021
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia",NA,NA,1.6391862539520017,0.5497241099052476,0.37469788729731024,0.19384724783437507,0.4148201652171807,0.26176676173067953,26.504135825359132,3.682075163474059,9.444759934924136,2.3301250738678427,3.0160428880144208,1.236730233147522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2021
Central Asia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",NA,NA,0.1205380063678795,0.06238833948202298,0.0230578091466353,0.02035286443114081,0.02249226142178626,0.01953420368194545,3.938680504698544,0.721357556410744,1.16499907680066,0.38226463530482624,0.3771928971730259,0.1789227181640261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2021
Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,mid,0.02399318418432997,0.01758658811209849,0.00524250046512243,0.00610133412715304,0.00697745634649388,0.01007972592292281,0.1256155265996383,0.05191364995636072,0.04229276361540194,0.03228096718132749,0.0140572659718325,0.01547850903636747,0.10853761886953536,0.04467477173768522,0.02126744014552506,0.01747737157292735,0.01347872413258351,0.01448339322794959,0.02399318418432997,0.01758658811209849,0.00524250046512243,0.00610133412715304,0.00697745634649388,0.01007972592292281,0.00131573326842643,0.0029888046339073,2.2500464910386487e-4,0.00109462869150175,8.658173656318969e-5,3.2852919270022956e-4,0.1256155265996383,0.05191364995636072,0.04229276361540194,0.03228096718132749,0.0140572659718325,0.01547850903636747,0.113,38.05,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,Armenia,3,2021
Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,low,0.00566143772588734,0.01140785857770916,0.00124532057833097,0.00431562378367282,4.360891555429696e-4,0.00144521443378342,0.522900141187672,0.18759614828498317,0.16741506735680595,0.11700389116965385,0.05218558532275043,0.05318495909392678,0.4633674078590269,0.17457489606010265,0.08090061736517278,0.06220796395425421,0.05389939791817002,0.05423089224930846,0.10433190047289471,0.07522186915782564,0.02103539970450341,0.02261552408883947,0.02892215600434823,0.03771460537407707,0.00566143772588734,0.01140785857770916,0.00124532057833097,0.00431562378367282,4.360891555429696e-4,0.00144521443378342,0.522900141187672,0.18759614828498317,0.16741506735680595,0.11700389116965385,0.05218558532275043,0.05318495909392678,0.1268,12.61,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,Azerbaijan,3,2021
Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,low,0.00172163797352147,0.00392863497515396,3.9121601160488584e-4,0.00172578142094117,1.4960680926604035e-4,8.113214259969e-4,0.1614031206744326,0.06620257252493017,0.05811878322957073,0.04328789896079237,0.01901040000377079,0.02266805636005719,0.1406411664228998,0.05951673993506588,0.029099033198963,0.02287391799144008,0.019205537877493382,0.02338594651657401,0.03276427152540331,0.02481042339630572,0.00690750004716428,0.00899217955156037,0.00952563220423503,0.01307843791506195,0.00172163797352147,0.00392863497515396,3.9121601160488584e-4,0.00172578142094117,1.4960680926604035e-4,8.113214259969e-4,0.1614031206744326,0.06620257252493017,0.05811878322957073,0.04328789896079237,0.01901040000377079,0.02266805636005719,0.0116,3.13,3607286.2933947025,198973.4460697798,0.0953598650110486,0.0106635020467414,0.1330720248813324,0.01654959554913815,12971.4944635269,15621.6899761326,11560.8643237088,Georgia,3,2021
Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,low,0.01386270578688528,0.02738041021641949,0.00285159066914503,0.01042859100582419,0.00101990040183258,0.00312738952461982,1.2541765951100443,0.3727667411487341,0.3626774336073192,0.2016890377317849,0.11390363563143233,0.10772564975681688,1.1433686721491134,0.3519266082840596,0.18546473762296892,0.12482107492413176,0.11906491714019658,0.108235925107075,0.2454756252952545,0.15290916055979906,0.04527128287250785,0.04441541771785796,0.05874789690990706,0.07083192067677614,0.01386270578688528,0.02738041021641949,0.00285159066914503,0.01042859100582419,0.00101990040183258,0.00312738952461982,1.2541765951100443,0.3727667411487341,0.3626774336073192,0.2016890377317849,0.11390363563143233,0.10772564975681688,0.061,3.27,18955521.200844068,939864.8342541532,0.0616698643519551,0.00659992225449194,0.114274344122347,0.01694626275617425,25210.2236945516,28522.0402086556,23047.6954788061,Kazakhstan,3,2021
Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,low,0.00116009598019204,0.00415182591114914,2.834057133307444e-4,0.00147335619084675,1.02257133950308e-4,4.725757224206195e-4,0.1348045011597106,0.09394936337962712,0.0420428600550824,0.04402942684826479,0.01455008314342661,0.02107665523993061,0.1080141431711295,0.09527621413799188,0.0186475322451991,0.02230956061907674,0.01316151574957336,0.01756692422202697,0.02305932477825954,0.02514025780485812,0.00376861773443645,0.00764370920607423,0.00672692896247108,0.01279116005794331,0.00116009598019204,0.00415182591114914,2.834057133307444e-4,0.00147335619084675,1.02257133950308e-4,4.725757224206195e-4,0.1348045011597106,0.09394936337962712,0.0420428600550824,0.04402942684826479,0.01455008314342661,0.02107665523993061,0.0039,0.6,6863084.431152706,518226.8551102639,0.0473591424112124,0.00530672499647745,0.0742307329965297,0.01234752672473545,4217.86206142112,5161.66685570111,3436.73104776224,Kyrgyzstan,3,2021
Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,low,0.00140378894696797,0.00322619151547737,2.547263983033775e-4,9.164670255271776e-4,8.54592074820697e-5,3.2815144546535503e-4,0.12932393209932563,0.05206545587342705,0.03539267178867778,0.02705323051322942,0.01180112612645983,0.01342564548481201,0.11827010639069648,0.04932738607730613,0.01791873518004953,0.01470732290525946,0.01235042538322288,0.01303490732567357,0.02429806503934745,0.01750118209403197,0.00418424413925901,0.00521727524901443,0.00602078571766564,0.00901620677996315,0.00140378894696797,0.00322619151547737,2.547263983033775e-4,9.164670255271776e-4,8.54592074820697e-5,3.2815144546535503e-4,0.12932393209932563,0.05206545587342705,0.03539267178867778,0.02705323051322942,0.01180112612645983,0.01342564548481201,0.0352,10.65,3336292.9094930924,121927.6822749602,0.0421452279011661,0.00463335317407525,0.0931324793554539,0.01626975070980195,12019.9948625722,13148.1062491627,11335.5267166759,Mongolia,3,2021
Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,low,0.00205528894708017,0.00739500139352366,5.576220183543121e-4,0.00386183138490693,9.868219005637866e-5,5.614754526882205e-4,0.17296715376601535,0.13761546419603266,0.04803434801556124,0.05658332317435267,0.01677334200601061,0.02361473666261532,0.1619754606105261,0.1371672729116608,0.02357328651793236,0.02856727172685,0.01663483833466888,0.02535861584399757,0.03432128866527583,0.03538744790618176,0.00566568022785204,0.01014673868116868,0.00923910212445863,0.01555932853221321,0.00205528894708017,0.00739500139352366,5.576220183543121e-4,0.00386183138490693,9.868219005637866e-5,5.614754526882205e-4,0.17296715376601535,0.13761546419603266,0.04803434801556124,0.05658332317435267,0.01677334200601061,0.02361473666261532,0.0306,3.29,10159942.149303185,716569.9885359937,0.0414507207417621,0.00484247154280794,0.0643309854150405,0.01150532471125785,4048.89974628512,5233.32384938635,3377.83028560404,Tajikistan,3,2021
