location_name,Region,Superregion,iso3c,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,WHO_selected_Mean_total_billions,WHO_selected_SD_total_billions,WHO_selected_Mean_perio_billions,WHO_selected_SD_perio_billions,WHO_selected_Mean_replace_billions,WHO_selected_SD_replace_billions,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Mean_total_billions_WHO_target,SD_total_billions_WHO_target,Mean_perio_billions_WHO_target,SD_perio_billions_WHO_target,Mean_replace_billions_WHO_target,SD_replace_billions_WHO_target,Dent_exp_usd,Dent_exppc_usd,Pop,Pop_sd,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,GDP_per_capita_PPP_2021,gdp_ppp_upper,gdp_ppp_lower,Country,Level,Year,transition_WHO_selected_Mean_total_billions,transition_WHO_selected_SD_total_billions,selected_exppc_usd_mean,selected_exppc_usd_sd,WHO_exppc_usd_mean,WHO_exppc_usd_sd
Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,mid,0.02954720712850453,0.02166586857267128,0.00626353389031129,0.00786529457019591,0.00835477986371299,0.01158523421685439,0.15040143562258512,0.06149612189095746,0.05166418032606623,0.03975706008263883,0.01690096184532876,0.01875996363411886,0.13175216678015336,0.05613496477892221,0.02576049110538845,0.02144644388871021,0.01709665957614297,0.01937283653739805,0.02954720712850453,0.02166586857267128,0.00626353389031129,0.00786529457019591,0.00835477986371299,0.01158523421685439,0.00161792058654204,0.00357865795158255,4.111754421741283e-4,0.00181724979441736,1.3134198480154615e-4,5.353969776538426e-4,0.15040143562258512,0.06149612189095746,0.05166418032606623,0.03975706008263883,0.01690096184532876,0.01875996363411886,0.113,38.05,2995279.7135873693,190493.51423080172,0.0841049740775783,0.00931890146544269,0.1238046559622293,0.0158228310545288,11938.9681284534,14089.0820834192,10550.2234482824,Armenia,3,2021,0.02954720712850453,0.02166586857267128,9.864590273312606,7.260493003742,9.864590273312606,7.260493003742
Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,low,0.00698487035763085,0.01382648984036867,0.00173457222939126,0.00626025024501784,4.941477516152744e-4,0.00208456821410833,0.6348387733314145,0.2310609498667029,0.20541197254034765,0.14169204990877263,0.06419818092710139,0.06859656201847528,0.560015519742114,0.2105552853029335,0.101362651483952,0.07684336012197757,0.06461227512517019,0.06657244368734144,0.12223765830499624,0.0853548014127371,0.02424362461551292,0.02737263127077236,0.03216180095347831,0.04354501032976798,0.00698487035763085,0.01382648984036867,0.00173457222939126,0.00626025024501784,4.941477516152744e-4,0.00208456821410833,0.6348387733314145,0.2310609498667029,0.20541197254034765,0.14169204990877263,0.06419818092710139,0.06859656201847528,0.1268,12.61,10500168.38135049,746362.6611711634,0.0564361304348065,0.00638858129209275,0.1208522372852858,0.01754103510097394,15638.851191204,16961.4463113149,14630.5552453253,Azerbaijan,3,2021,0.00698487035763085,0.01382648984036867,0.6652150807444941,1.3176361234851355,0.6652150807444941,1.3176361234851355
Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,low,0.0021190694888165,0.00520348218392641,5.77274105035268e-4,0.00246802520263133,1.6695713256213436e-4,7.41862179723386e-4,0.19703105868911064,0.07827961148726469,0.07103131688357579,0.05283354585936666,0.02267772493750017,0.02401708383944478,0.16937089720318765,0.0681376908369334,0.03472278843666786,0.02722832987601124,0.02283272673324375,0.02464083868062597,0.03879472388673874,0.02955647251605537,0.00848090252193947,0.01060418022188156,0.01136406318273454,0.01643947204985736,0.0021190694888165,0.00520348218392641,5.77274105035268e-4,0.00246802520263133,1.6695713256213436e-4,7.41862179723386e-4,0.19703105868911064,0.07827961148726469,0.07103131688357579,0.05283354585936666,0.02267772493750017,0.02401708383944478,0.0116,3.13,3607286.2933947025,198973.4460697798,0.0953598650110486,0.0106635020467414,0.1330720248813324,0.01654959554913815,12971.4944635269,15621.6899761326,11560.8643237088,Georgia,3,2021,0.0021190694888165,0.00520348218392641,0.5874414494620861,1.4428560378383544,0.5874414494620861,1.4428560378383544
Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,low,0.01738412993985224,0.03685652938479212,0.00359807310733201,0.01214558215787453,0.00112766497446493,0.00433416801119525,1.521388647643577,0.44994477107700104,0.4414807691308363,0.2514070808668983,0.13968275711629363,0.13246866471204158,1.3873230775954857,0.42429768200081713,0.22324158663256183,0.14051199893962155,0.13948755052060768,0.13118845666407483,0.29001217416804015,0.1842957697436275,0.05649131428050184,0.05739430731321666,0.0696966667856771,0.0859831686468555,0.01738412993985224,0.03685652938479212,0.00359807310733201,0.01214558215787453,0.00112766497446493,0.00433416801119525,1.521388647643577,0.44994477107700104,0.4414807691308363,0.2514070808668983,0.13968275711629363,0.13246866471204158,0.061,3.27,18955521.200844068,939864.8342541532,0.0616698643519551,0.00659992225449194,0.114274344122347,0.01694626275617425,25210.2236945516,28522.0402086556,23047.6954788061,Kazakhstan,3,2021,0.01738412993985224,0.03685652938479212,0.9171011314148483,1.9449007333993438,0.9171011314148483,1.9449007333993438
Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,low,0.00157065063261226,0.00559170418532063,3.608587948160487e-4,0.00180403845850131,1.0400416686645327e-4,5.180510087401377e-4,0.1533281092999139,0.11240074346243084,0.04916913324474736,0.05587200121253027,0.01622527806308368,0.02267466555092029,0.134677130026978,0.10974298562865233,0.02297008499241967,0.0269632009200763,0.01669884334082186,0.02404274464093687,0.02932326932291345,0.03127835670085031,0.0051784969796297,0.00917942146734404,0.00818133373437046,0.01491454385070639,0.00157065063261226,0.00559170418532063,3.608587948160487e-4,0.00180403845850131,1.0400416686645327e-4,5.180510087401377e-4,0.1533281092999139,0.11240074346243084,0.04916913324474736,0.05587200121253027,0.01622527806308368,0.02267466555092029,0.0039,0.6,6863084.431152706,518226.8551102639,0.0473591424112124,0.00530672499647745,0.0742307329965297,0.01234752672473545,4217.86206142112,5161.66685570111,3436.73104776224,Kyrgyzstan,3,2021,0.00157065063261226,0.00559170418532063,0.22885491915017245,0.8149341344013772,0.22885491915017245,0.8149341344013772
Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",MNG,low,0.00175706145455245,0.00391411455143495,3.784512964874758e-4,0.00170604995539517,1.0668408048211708e-4,4.5484383380349133e-4,0.15571288203624709,0.0642590377530663,0.04358134618545131,0.03355202859545853,0.01416356009825965,0.01645762731822844,0.14127200900705078,0.06037040590104625,0.02169694419932812,0.01797009136423179,0.01412606074359788,0.0155082518492109,0.02962956498961372,0.02184397388550863,0.00521232173567849,0.0064897155458665,0.00726816524323514,0.01073144281702909,0.00175706145455245,0.00391411455143495,3.784512964874758e-4,0.00170604995539517,1.0668408048211708e-4,4.5484383380349133e-4,0.15571288203624709,0.0642590377530663,0.04358134618545131,0.03355202859545853,0.01416356009825965,0.01645762731822844,0.0352,10.65,3336292.9094930924,121927.6822749602,0.0421452279011661,0.00463335317407525,0.0931324793554539,0.01626975070980195,12019.9948625722,13148.1062491627,11335.5267166759,Mongolia,3,2021,0.00175706145455245,0.00391411455143495,0.5266508373868808,1.1733505871674632,0.5266508373868808,1.1733505871674632
Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,low,0.00231345114938585,0.00914223983493774,4.671421698253074e-4,0.00261182359086254,1.3930544172007864e-4,0.00110417164890413,0.21147230651016233,0.1674947382522109,0.06069469172640812,0.06940336518255234,0.02079191938166503,0.03080491591947821,0.18823750098104255,0.16457519434259774,0.02937422095044843,0.03628331142560413,0.02082018608895184,0.02976317127372948,0.03897927565123629,0.04219908151301147,0.00647179881912696,0.0120909202930753,0.01029827947847202,0.01811991349348156,0.00231345114938585,0.00914223983493774,4.671421698253074e-4,0.00261182359086254,1.3930544172007864e-4,0.00110417164890413,0.21147230651016233,0.1674947382522109,0.06069469172640812,0.06940336518255234,0.02079191938166503,0.03080491591947821,0.0306,3.29,10159942.149303185,716569.9885359937,0.0414507207417621,0.00484247154280794,0.0643309854150405,0.01150532471125785,4048.89974628512,5233.32384938635,3377.83028560404,Tajikistan,3,2021,0.00231345114938585,0.00914223983493774,0.22770318131629488,0.8999751792886723,0.22770318131629488,0.8999751792886723
Turkmenistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,mid,0.06715797931194428,0.04401674837270178,0.01228585794808335,0.01306479020093117,0.01543077905219534,0.01972728955057451,0.356823801621154,0.11369967227375168,0.09697737017088812,0.05994410676959903,0.03102309584187597,0.03006416864427027,0.32685916883811905,0.10666690060155667,0.04852862759738009,0.03302326149160308,0.03050085814182515,0.02946444424570923,0.06715797931194428,0.04401674837270178,0.01228585794808335,0.01306479020093117,0.01543077905219534,0.01972728955057451,0.00395008393537385,0.00788028171392367,8.103368285111283e-4,0.00290485236610091,2.3910800809014623e-4,8.977289343406571e-4,0.356823801621154,0.11369967227375168,0.09697737017088812,0.05994410676959903,0.03102309584187597,0.03006416864427027,0.1348,22.57,5158372.87954372,271672.8314504395,0.0442257986156972,0.0049149699633362,0.1017709163879264,0.0169378901618358,21078.6337322333,29240.740034522,14054.5241653588,Turkmenistan,3,2021,0.06715797931194428,0.04401674837270178,13.019217664211332,8.560572751500157,13.019217664211332,8.560572751500157
Uzbekistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,low,0.01545600089903433,0.03797179616519999,0.00312331295434964,0.01302833179035136,9.752604428018296e-4,0.00424688666236161,1.419827896763118,0.6589291861262938,0.4142978861368018,0.3476026677466567,0.13274633619651807,0.15786057975206363,1.2950594936470097,0.6424246519770299,0.20242914001589757,0.18191104859844004,0.13289899132207186,0.15337449345136217,0.26820414678765603,0.20668932110316357,0.0483571975291384,0.06409129067891799,0.06686184840937476,0.10144432882057976,0.01545600089903433,0.03797179616519999,0.00312331295434964,0.01302833179035136,9.752604428018296e-4,0.00424688666236161,1.419827896763118,0.6589291861262938,0.4142978861368018,0.3476026677466567,0.13274633619651807,0.15786057975206363,0.2183,6.61,34232868.959930085,4699273.178691864,0.0407832294269079,0.00452073266158294,0.0916503425469415,0.0147899380542528,10212.2274167206,12945.9932333251,7980.36385558262,Uzbekistan,3,2021,0.01545600089903433,0.03797179616519999,0.45149592682768525,1.11095058621489,0.45149592682768525,1.11095058621489
Albania,Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,low,0.00153497953352796,0.00339486616728186,4.034527824474271e-4,0.00170125491955716,1.2183560046995592e-4,5.687231036953607e-4,0.13857133364114305,0.05557334954394471,0.04780443535403569,0.03586968333838429,0.01549941217574313,0.01702275095629304,0.12063696103121462,0.04987196746526561,0.02365474107516873,0.01896697367631109,0.01566667679910634,0.01683603536918128,0.02755846964840471,0.02055162237381463,0.005854556215382,0.00723980433410063,0.00778211611493413,0.01099349018416248,0.00153497953352796,0.00339486616728186,4.034527824474271e-4,0.00170125491955716,1.2183560046995592e-4,5.687231036953607e-4,0.13857133364114305,0.05557334954394471,0.04780443535403569,0.03586968333838429,0.01549941217574313,0.01702275095629304,0.0363,12.66,2667861.9620425766,176341.36478416412,0.0995340933615499,0.01151027418509779,0.1241828674296568,0.01719188865552105,12757.8034357159,13464.3648691601,11538.4251537574,Albania,3,2021,0.00153497953352796,0.00339486616728186,0.5753594283988908,1.2730725949923964,0.5753594283988908,1.2730725949923964
