LocationHeader,Region,Superregion,selected_model,selected_Mean_total_billions_2021,selected_Mean_total_billions_2025,selected_Mean_total_billions_2030,selected_Mean_total_billions_2035,selected_Mean_total_billions_2040,selected_Mean_total_billions_2045,selected_Mean_total_billions_2050,selected_SD_total_billions_2021,selected_SD_total_billions_2025,selected_SD_total_billions_2030,selected_SD_total_billions_2035,selected_SD_total_billions_2040,selected_SD_total_billions_2045,selected_SD_total_billions_2050,selected_Mean_perio_billions_2021,selected_Mean_perio_billions_2025,selected_Mean_perio_billions_2030,selected_Mean_perio_billions_2035,selected_Mean_perio_billions_2040,selected_Mean_perio_billions_2045,selected_Mean_perio_billions_2050,selected_SD_perio_billions_2021,selected_SD_perio_billions_2025,selected_SD_perio_billions_2030,selected_SD_perio_billions_2035,selected_SD_perio_billions_2040,selected_SD_perio_billions_2045,selected_SD_perio_billions_2050,selected_Mean_replace_billions_2021,selected_Mean_replace_billions_2025,selected_Mean_replace_billions_2030,selected_Mean_replace_billions_2035,selected_Mean_replace_billions_2040,selected_Mean_replace_billions_2045,selected_Mean_replace_billions_2050,selected_SD_replace_billions_2021,selected_SD_replace_billions_2025,selected_SD_replace_billions_2030,selected_SD_replace_billions_2035,selected_SD_replace_billions_2040,selected_SD_replace_billions_2045,selected_SD_replace_billions_2050,iso3c,WHO_selected_Mean_total_billions_2021,WHO_selected_Mean_total_billions_2025,WHO_selected_Mean_total_billions_2030,WHO_selected_Mean_total_billions_2035,WHO_selected_Mean_total_billions_2040,WHO_selected_Mean_total_billions_2045,WHO_selected_Mean_total_billions_2050,WHO_selected_SD_total_billions_2021,WHO_selected_SD_total_billions_2025,WHO_selected_SD_total_billions_2030,WHO_selected_SD_total_billions_2035,WHO_selected_SD_total_billions_2040,WHO_selected_SD_total_billions_2045,WHO_selected_SD_total_billions_2050,WHO_selected_Mean_perio_billions_2021,WHO_selected_Mean_perio_billions_2025,WHO_selected_Mean_perio_billions_2030,WHO_selected_Mean_perio_billions_2035,WHO_selected_Mean_perio_billions_2040,WHO_selected_Mean_perio_billions_2045,WHO_selected_Mean_perio_billions_2050,WHO_selected_SD_perio_billions_2021,WHO_selected_SD_perio_billions_2025,WHO_selected_SD_perio_billions_2030,WHO_selected_SD_perio_billions_2035,WHO_selected_SD_perio_billions_2040,WHO_selected_SD_perio_billions_2045,WHO_selected_SD_perio_billions_2050,WHO_selected_Mean_replace_billions_2021,WHO_selected_Mean_replace_billions_2025,WHO_selected_Mean_replace_billions_2030,WHO_selected_Mean_replace_billions_2035,WHO_selected_Mean_replace_billions_2040,WHO_selected_Mean_replace_billions_2045,WHO_selected_Mean_replace_billions_2050,WHO_selected_SD_replace_billions_2021,WHO_selected_SD_replace_billions_2025,WHO_selected_SD_replace_billions_2030,WHO_selected_SD_replace_billions_2035,WHO_selected_SD_replace_billions_2040,WHO_selected_SD_replace_billions_2045,WHO_selected_SD_replace_billions_2050
Global,NA,NA,NA,168.0991626262167,169.70123893705946,172.62965228264858,174.50193905348704,175.36423947227135,175.59889146112283,174.85728164173173,17.49989858461233,17.58702283884773,17.92712356208529,18.306093635253152,18.684002268760754,18.7623796945654,19.100804929545475,30.982468545579017,30.74723214618493,31.932698927356668,32.94132280276901,33.53462480737854,34.05670664462455,34.347018914088544,5.113266941319295,5.091713900175841,5.271215837704961,5.418385589048674,5.610667543137916,5.7386209682792195,5.857248253654729,24.87611922697057,24.818837876723883,25.80336683319682,26.513586519098627,26.973324786753373,27.471100194138742,27.53628819086686,7.538001506717718,7.476666576791774,7.676979266591737,7.966857443393312,8.23145710009876,8.399969204887414,8.394967677372255,NA,408.8209484802507,423.0189280982236,443.0400106452584,461.303194809055,477.05139213908274,490.148469211096,500.6131019640241,40.829000048795464,42.40159434737992,45.62257041892655,49.2478465027793,52.30670006823881,54.80004930072295,56.859652115203126,121.31320920366144,126.78578326760432,138.06379531452976,148.16155391467518,158.42895053981954,167.32042694345955,174.78409294023763,27.572740168890764,29.556823417458684,32.69316858799594,35.65549893983621,39.445823925398045,41.45598075419061,42.88535403933207,52.21471554174015,53.96874636521485,57.94414726730359,61.79732427982693,65.0423727318401,68.1865430900918,70.89312568536228,14.608673611150609,15.087312494412714,16.627988657250473,17.746296669282952,18.51320804870851,19.751273750643954,21.121688275373547
"Central Europe, Eastern Europe, and Central Asia",NA,"Central Europe, Eastern Europe, and Central Asia",NA,1.9581059551006097,1.9326240363725335,1.9184758976169485,1.890729635194754,1.8540798474265077,1.8065738967451348,1.732714176632652,0.6596305182621177,0.6520706875562022,0.647383941906054,0.6430107723524379,0.6203124629652335,0.5945421497479381,0.572922357388153,0.459133535739363,0.4484847582251953,0.4516155773338812,0.4527526070021342,0.44461932845822966,0.4372708811420285,0.4208073249186069,0.25252826719765636,0.2491339002723997,0.24997748986276927,0.24579297630001629,0.2361630868940205,0.231195688280676,0.22451406756067005,0.4890371810528166,0.48608571766386394,0.4899300963355211,0.4880597345046612,0.4786266914845067,0.4669237872098385,0.451833252827617,0.297928329795784,0.2928243955960913,0.29487735332960285,0.29628992016632444,0.28247793574380076,0.2771748071698972,0.26786005260554263,NA,31.944513864373445,31.67656642760488,31.466148424928235,31.241341904108783,30.78541602880265,30.352397370131,29.658813560376966,4.490664225121217,4.285038817312846,4.204842149528988,4.2335694799686285,4.140605086333386,4.140327402079828,4.063382391837044,11.380645317686673,11.197388992142155,11.295696149280769,11.394793810408316,11.301882649538635,11.23939260451875,11.050763531264504,2.926898547465037,2.830243050800052,2.810535909677792,2.8331031121340695,2.778398156147717,2.7753103862953883,2.7615080007110997,3.608763900606659,3.5589104018079825,3.588999888377494,3.611138235395305,3.603301858061751,3.57400472347854,3.50054395001697,1.562972149499377,1.5378147982074193,1.482891353474714,1.5169968004449923,1.5085074222870962,1.4592403378335546,1.4330287754623745
Central Asia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",NA,0.1442904203623333,0.15078853634911238,0.15987490165712082,0.16880794353779746,0.1751187088392788,0.1828788239004358,0.1872190139327281,0.07453563648604081,0.07634989216992921,0.08217985007312405,0.08628206471335854,0.08590608894885075,0.09450332536213409,0.09737384588457562,0.02878907649563165,0.0299103105846648,0.0326492978748227,0.03515536096662973,0.03736701760700581,0.03947268470801727,0.04092560459310607,0.02465913344127022,0.02661557614278523,0.02901241190686509,0.03152369724355089,0.03200297556107923,0.03405122190869266,0.03869050088634464,0.02689958290642114,0.02844996835365708,0.03118135167169343,0.03327125294203145,0.03551474337739296,0.03711955700289197,0.03848129302334158,0.02380745476668636,0.02674637330086449,0.03014404716939129,0.02945489706702864,0.0320481766551615,0.03381570744530048,0.03603219111983428,NA,4.8008249115172825,4.974276894469221,5.2420673827311335,5.526741046485899,5.738150764235798,5.960263727257249,6.127169147252148,0.870449226758985,0.8724665828696947,0.9222056020883048,0.9812191046381936,1.0128020473454271,1.0582656326333306,1.0910348091159958,1.4343086663451226,1.47838192317309,1.598424335206736,1.7371456558626517,1.8238005808329731,1.9224765241514052,1.9928031355240128,0.47025452843526927,0.4806397227644412,0.520869704479693,0.5644113650701791,0.5878885514518739,0.6319124611364902,0.6460634828389374,0.4584098144076263,0.4742402968918803,0.51430782341901915,0.5578583655498616,0.5914389347424294,0.6158206999436161,0.6438742305279079,0.22525529001241432,0.22780916379085064,0.24703188341354457,0.2663904407527353,0.284158268135665,0.29552555280288145,0.3094400624026204
Armenia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",mid,0.02954720712850453,0.03042216789696104,0.0311693815174785,0.03107409149966321,0.03139897041551614,0.03078462041265862,0.02979430237028304,0.02166586857267128,0.02272358201774248,0.02402319376676284,0.02365553198782618,0.02487769000680702,0.02439309969331571,0.02346071133637925,0.00626353389031129,0.00643377022655306,0.00686702176371651,0.00707491214592048,0.00719272715216721,0.00709363464376245,0.00679274954487109,0.00786529457019591,0.00788521876419353,0.00861177289153593,0.00876774899414645,0.00933797284720771,0.00894754039268973,0.00850064143400404,0.00835477986371299,0.00878798587674722,0.00925907263445991,0.00945465085579519,0.00991209452251645,0.00970600976431001,0.00943280995384598,0.01158523421685439,0.01260935141837777,0.01383021679694253,0.01299054358298103,0.01466239819660394,0.01407943557336566,0.01381380601382475,ARM,0.15040143562258512,0.1537927566506651,0.15651268847441138,0.15678003767891407,0.15489677079205877,0.1523898875341635,0.1467013084080232,0.06149612189095746,0.06236150916241909,0.06557492512546473,0.06513525146412251,0.06487383659495648,0.06393184515195734,0.0631258519371557,0.05166418032606623,0.05377077193265903,0.05694736407145463,0.05936405609137844,0.05952020331492226,0.05988801764295398,0.0570460132320496,0.03975706008263883,0.0414794856518162,0.04301700019675544,0.04491147481842265,0.04498583235859022,0.04567501616939651,0.04381146218673108,0.01690096184532876,0.01781036707144064,0.01873744380784895,0.01928412515212268,0.01938465313713511,0.01938631736175156,0.01880899624295617,0.01875996363411886,0.01956457419700799,0.02125313231959898,0.02107258692535451,0.02112779086201929,0.02124780861624384,0.02182743928585775
Azerbaijan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.00698487035763085,0.00752455211392644,0.0078585981850113,0.00796507182171704,0.00785809776952067,0.00813778532169388,0.0083358346891807,0.01382648984036867,0.01543571015406458,0.01622828952488051,0.01702124845388679,0.01574692878645937,0.01628171808128124,0.01759838648618859,0.00173457222939126,0.00182434561267057,0.00199321039268728,0.00211753140219301,0.00209483822417702,0.00220747828646352,0.00227684613136576,0.00626025024501784,0.00686040093119921,0.00742985486127251,0.00866813032165948,0.00741922232798597,0.00802220682097854,0.00787927661379864,4.941477516152744e-4,5.501251556618601e-4,6.09762367802107e-4,6.365294012960503e-4,6.10772552650104e-4,6.359546143773475e-4,7.236478608781075e-4,0.00208456821410833,0.00247450663089614,0.0029058743248907,0.0025334492540664,0.00225667205810501,0.00237918301260853,0.00358867529726353,AZE,0.6348387733314145,0.6563847495514356,0.6793570243326611,0.7034841115175134,0.7157511283358154,0.7279590558412041,0.7317072860582364,0.2310609498667029,0.2368725357962001,0.24664071792521464,0.2580719454557891,0.2652758594216607,0.26861431168235494,0.2746172712398238,0.20541197254034765,0.2144669527626774,0.2296427724315295,0.24646942326155075,0.25820672526988914,0.26618827335142464,0.2737706692834952,0.14169204990877263,0.14739766791164674,0.16035983681996155,0.16963128643816658,0.1792829849704465,0.18094498493926103,0.18712989800753585,0.06419818092710139,0.06843104478483092,0.07326291022894277,0.07815408781166339,0.08177506031557684,0.08604007583825284,0.0881370342525775,0.06859656201847528,0.07404573351370798,0.07425255124807219,0.08122406004479217,0.08624706183552272,0.0901219188856084,0.08973952261976585
Georgia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.0021190694888165,0.00216283799451525,0.00213981827066679,0.0020778354679203,0.00204487193868793,0.00198722738222263,0.00204506127264051,0.00520348218392641,0.00454407173572035,0.00445906323643917,0.00485631489937254,0.00449091251037394,0.00417385725787052,0.00453197591351105,5.77274105035268e-4,5.572020443759428e-4,5.640806737276326e-4,5.664519190151469e-4,5.478372405482193e-4,5.326668995967639e-4,5.257382924798488e-4,0.00246802520263133,0.00211638099209974,0.00214436830038073,0.00249222472722355,0.00207675999683845,0.00209114175546503,0.00205874437016562,1.6695713256213436e-4,1.650316310759036e-4,1.6519795270739842e-4,1.6658691505112006e-4,1.78688072912994e-4,1.663885982109043e-4,1.5858329758521714e-4,7.41862179723386e-4,6.559527894566423e-4,6.480595776159038e-4,6.426333668285872e-4,7.77071988160139e-4,7.617282963427232e-4,6.548572316128251e-4,GEO,0.19703105868911064,0.19362658233689495,0.1909413678955923,0.1899431946603373,0.18667697968615124,0.1827777177862646,0.1813038347570244,0.07827961148726469,0.07693022994697735,0.07477187670134186,0.07505382848262872,0.07514720228406792,0.07278482212350526,0.07351755166340954,0.07103131688357579,0.06927768010964107,0.06788095107548112,0.0686444574817172,0.06763945727235103,0.0664229901007985,0.06581435965677103,0.05283354585936666,0.0516455477185362,0.04995977741626491,0.05044131939368606,0.05043698411562398,0.04901078943169468,0.0484655084603337,0.02267772493750017,0.02195353111170249,0.02201642118907823,0.0223678746401521,0.02205197342355221,0.02125031380148583,0.02142335023638102,0.02401708383944478,0.02453674108440721,0.02335816609571719,0.02433831049216977,0.02482737270212545,0.02244198982908666,0.02359020529507049
Kazakhstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.01738412993985224,0.01727875175552706,0.01848942995676495,0.0197526666197119,0.01955551576321281,0.02063739205782046,0.02154918296714322,0.03685652938479212,0.03262086498459832,0.03636503973612276,0.03835549986646935,0.036640247918424,0.03909075107744424,0.0418069303154785,0.00359807310733201,0.00372226326118523,0.00402494254960654,0.00428835018298141,0.00443888006311856,0.00443399942272853,0.00495269685495404,0.01214558215787453,0.0134005307689037,0.014227556967967,0.01552750143727813,0.01526351341916282,0.01398828472820781,0.01673607628357679,0.00112766497446493,0.00110923409421678,0.00121350112075519,0.0013775021193868,0.00128130390942434,0.0014182177222984,0.00137644861559588,0.00433416801119525,0.00432807628425354,0.00458019117754732,0.00515562963686963,0.0045505258340253,0.00522422051704384,0.00479324854155187,KAZ,1.521388647643577,1.547703134940684,1.626715773209617,1.7084590538224276,1.7720930637950905,1.8525910643250936,1.915919436348406,0.44994477107700104,0.4558823534601201,0.47040407412438406,0.4953134334180423,0.5128779377250723,0.5403704533014293,0.5583007282306095,0.4414807691308363,0.4402579656169555,0.4681269653934268,0.5061836902608244,0.5252691650273661,0.5578171755153276,0.5770335262166987,0.2514070808668983,0.2475240760702378,0.26007571990116196,0.28034616360965925,0.29509267081270646,0.31468310310815406,0.3249942109697972,0.13968275711629363,0.13842045035899597,0.14898046415240487,0.158511795257115,0.16547641442269337,0.17204925271311683,0.17997159599242138,0.13246866471204158,0.12952178316597387,0.13657899681848773,0.14491323283987842,0.1507500563314387,0.16058282080128192,0.16938974901480175
Kyrgyzstan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.00157065063261226,0.00150338806588122,0.00157556581812144,0.00194763863928845,0.00204215840677621,0.00224045797335767,0.002148295523446,0.00559170418532063,0.00414915958681576,0.00418049110001163,0.00836103780664096,0.00686404383701452,0.00927433582176059,0.00634021579573991,3.608587948160487e-4,3.5339795547336403e-4,3.9237896508240535e-4,4.76689126781964e-4,5.384878129939462e-4,5.875198670719453e-4,6.246697409724664e-4,0.00180403845850131,0.00161975739358539,0.00178071047601746,0.00247888627914875,0.00304593790803525,0.00313999421279541,0.00344091977783546,1.0400416686645327e-4,1.144391713206027e-4,1.2340082586218196e-4,1.3914588793225078e-4,1.5766790997896534e-4,1.657788940875625e-4,1.72788059805814e-4,5.180510087401377e-4,5.91877661354836e-4,6.087719117681736e-4,7.763906909263109e-4,0.00131651887072163,8.211658607485442e-4,9.69245289449623e-4,KGZ,0.1533281092999139,0.15846302928003256,0.17279691583976411,0.18651154285999097,0.19965345268192303,0.2132524803377796,0.22908938206806817,0.11240074346243084,0.11401260127240348,0.12422385305408472,0.13305802972377903,0.1453781535434626,0.15390450235179928,0.16337816402751398,0.04916913324474736,0.05040980916086539,0.05666425880894533,0.0636673828214292,0.06873538862126184,0.07619660046670257,0.08184058375862989,0.05587200121253027,0.05490896881481636,0.06207822931010345,0.07107032905824362,0.07764572054361163,0.08555814529802787,0.09053037152450363,0.01622527806308368,0.01682122739289926,0.01937335257844293,0.02152115862339304,0.02342704560978214,0.02552727745912457,0.02839131267231957,0.02267466555092029,0.02430497308642356,0.02755616708706561,0.0298640019312807,0.03257102253259677,0.03617188675689786,0.04046222207533532
Mongolia,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.00175706145455245,0.00180187609897298,0.00192935262702761,0.00211429064012112,0.00215938260731884,0.00226535569964454,0.0023692041005795,0.00391411455143495,0.00397583274703219,0.00425487932026718,0.00477246154128797,0.00499277713627858,0.0052910278739329,0.00569484538111218,3.784512964874758e-4,3.835315479140903e-4,4.087859857122462e-4,4.494514107561305e-4,4.434238867364835e-4,5.067064444558144e-4,4.882463932691857e-4,0.00170604995539517,0.00169674713056756,0.00170175098067622,0.00170947557228317,0.00181039975400959,0.00220300149152113,0.00186641292395618,1.0668408048211708e-4,1.1857535921706188e-4,1.3210871824285482e-4,1.3049297120575016e-4,1.4272815327048529e-4,1.4340743879715946e-4,1.5268012790317848e-4,4.5484383380349133e-4,5.834534317771245e-4,6.314405145884442e-4,6.086945784780429e-4,8.504571172541462e-4,6.15128539757276e-4,6.178557938626029e-4,MNG,0.15571288203624709,0.1672079347842089,0.17770592789299405,0.18689286983269607,0.1943679549986786,0.20325494173523653,0.21228820759263764,0.0642590377530663,0.06703616070119561,0.07251497062248899,0.07648646259924147,0.0817529442911285,0.08437034621676498,0.0927508693910894,0.04358134618545131,0.04671182749035316,0.05019047875771373,0.05417074361095372,0.05660846188019716,0.05929748475460905,0.06232035317859211,0.03355202859545853,0.03622963945791256,0.03831738097747477,0.04177091221311722,0.04431259292474168,0.04541851062976834,0.04914854060502909,0.01416356009825965,0.01465981511326165,0.01649470402568461,0.0175536398795092,0.01842371925287064,0.0195769542820693,0.02037034973050447,0.01645762731822844,0.01626445991502053,0.01832532646466151,0.01974512189815919,0.02051619217074574,0.02217893246256154,0.02383444203566923
Tajikistan,Central Asia,"Central Europe, Eastern Europe, and Central Asia",low,0.00231345114938585,0.00225620667353929,0.00249662817955973,0.00279738370925901,0.00310345113284136,0.0035435454803753,0.00354581871613907,0.00914223983493774,0.00691105553670957,0.0075303933447765,0.00965572942962004,0.0109204173482258,0.01445841572335309,0.01243935962037465,4.671421698253074e-4,4.886923624127971e-4,5.774096678340842e-4,6.424335482292804e-4,7.996530595518236e-4,8.507179078892547e-4,8.4458252941167e-4,0.00261182359086254,0.00269158483559689,0.00310771124755654,0.00388518178018685,0.0044776519041793,0.00468472076159362,0.00389525137200847,1.3930544172007864e-4,1.5183830277016238e-4,1.770962499997422e-4,1.9154924050061257e-4,2.0075972720078012e-4,2.5617786627932845e-4,2.8007286634984004e-4,0.00110417164890413,8.618616800192713e-4,0.00103499051368255,0.00143295731163644,0.00111056473968957,0.0015467891472015,0.00158891628959235,TJK,0.21147230651016233,0.22531801047372457,0.25102707222471404,0.2796208399208636,0.3057815404571963,0.33576109653728725,0.3563128867779781,0.1674947382522109,0.17107753908730244,0.19299911289196656,0.2069654647128806,0.22567022777433476,0.24531286646733977,0.26324633950043763,0.06069469172640812,0.06605372071434394,0.07792315235722094,0.08837565086527469,0.09917044461344224,0.11360109528194837,0.12043421560294124,0.06940336518255234,0.07495027074491994,0.08771276414235173,0.09906819421790168,0.11055639009513868,0.13176742146596657,0.13345380874153392,0.02079191938166503,0.02233821499429103,0.02582586796400587,0.03007916677061018,0.0337259369646897,0.0372624759185494,0.04179474749556147,0.03080491591947821,0.0312663139413739,0.03833376373475863,0.04313307853754729,0.04853215065919503,0.05252705360412085,0.06038301581682548
