Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.3074646412171545,0.4190302717902812,0.11078998561490513,0.16332129022758574,0.04024209552887547,0.06891004364017513
Albania,0.13872047659215467,0.05491774821456006,0.04834374927338215,0.03650093257755787,0.015396016579574024,0.016177833160619343
Algeria,2.351404058242862,0.967071903243879,0.7846606089746749,0.5927826666400774,0.25154923222828,0.2710153422390899
American Samoa,0.0027006955223201424,0.0010954852582858584,9.712910168485219e-4,7.221319749494185e-4,3.0609991438534516e-4,3.22431588000574e-4
Andorra,0.011316503397196061,0.002873224591039121,0.003965940531362884,0.001770040101337347,0.0011801457737951138,9.804142931311795e-4
Angola,0.89988365404261506,0.5882873542018833,0.23677074691385236,0.2436791421457917,0.08009605169333703,0.11670050666753654
Antigua and Barbuda,0.007860848718250166,0.0027339447339987644,0.003166235402308183,0.0019439331860517139,0.0010128386014056814,0.0010201688516799656
Argentina,3.211090224543239,1.1183101144812773,1.108660027659005,0.7145806415822834,0.3502033339951449,0.3529703359501853
Armenia,0.15033648612801812,0.06351576606312866,0.05230875868476829,0.03973692332114848,0.016697684631986377,0.018332896091323842
Australia,5.031986966637293,0.9386441494060964,1.6984805418375575,0.40640759802242193,0.4782317924986054,0.3333214267675671
Austria,1.137110976749629,0.2832122070987716,0.3597721896915738,0.15808840827374204,0.11288028796772798,0.09332097479376729
Azerbaijan,0.6340064416958481,0.2351581476781433,0.20603458391691631,0.1495855063405417,0.0648290083343019,0.06741817864300141
Bahamas,0.04070672138270019,0.011920856604339414,0.01546187197600235,0.007799071978882113,0.004838531044081854,0.004287661712612195
Bahrain,0.21417241445938548,0.05394535616316917,0.07135628171000612,0.030878724510207407,0.02201372686691056,0.0187481916341749
Bangladesh,6.6660140245437525,4.28907650434896,3.1540994272505594,3.2355175616762812,1.0707938248886688,1.4455154340017389
Barbados,0.020310346284108004,0.008668462929966248,0.009020617238427482,0.006571143709680201,0.0029386347347096246,0.003273183099040603
Belarus,0.7085481433713139,0.2527295275198987,0.2659019153523124,0.17326480317487838,0.08556410660792745,0.08804858724581609
Belgium,1.6940527280837052,0.4585442708261243,0.687204827703565,0.29824308798044685,0.21551059136758596,0.177828682352772
Belize,0.01837054401099886,0.008790718480144483,0.006782988948159352,0.006021702732100639,0.002183381132360628,0.0025140838707340967
Benin,0.305028505461524,0.24346194384770836,0.13588098935990933,0.1605091266382932,0.04516495852955693,0.06509624705244235
Bermuda,0.014486218350679514,0.0038108395848840894,0.0064803385194953,0.00237110943151596,0.0019918984557327287,0.0015346326422178709
Bhutan,0.044873427142974154,0.021486929085199922,0.02033905878824351,0.016957244726189334,0.0066205333586555,0.007758346366820366
Bolivia (Plurinational State of),0.39126790604565287,0.21750631304099755,0.13668662801542283,0.13422719393247626,0.0453322207447648,0.05750232850444057
Bosnia and Herzegovina,0.18261583929189915,0.07448890172451689,0.06671224188994829,0.04925557088328832,0.02172735873499998,0.023423225875244376
Botswana,0.15930271796674517,0.036308571518789703,0.015886540124087564,0.005114999397647451,0.0033613461408646475,0.0025840140293827652
Brazil,14.675371415761823,2.8708946226413974,3.217648216545602,1.0467819646827226,0.5590783511005109,0.4027512216488592
Brunei Darussalam,0.07288642097498416,0.017065425936468644,0.01692333017936401,0.006817147677361983,0.005216900071514607,0.004394523150141501
Bulgaria,0.47508906666779654,0.15245325523080977,0.15185053591784395,0.0930031659913696,0.04677567835564566,0.04514860930118548
Burkina Faso,0.5175798103862993,0.476071005619347,0.2621705015245605,0.33849010127334417,0.0937166555687008,0.1451263225243693
Burundi,0.08874717871684369,0.125623225547229,0.04241449819838606,0.06703027745421833,0.01616721012361909,0.031187860124110785
Cabo Verde,0.029797275724279225,0.018515166476150927,0.015731522571227067,0.015921545924963525,0.005051313863510628,0.00644826609833285
Cambodia,0.40718326628891843,0.3036500685750405,0.14578858401066597,0.16150338802255398,0.0493808744139149,0.07274850062142135
Cameroon,0.9561950354118485,0.7644913448421328,0.4815928040066355,0.5905019795126221,0.15412159032593725,0.21990056718014298
Canada,6.254726625292627,1.3998475850365484,2.4478316421298296,0.6660115729671361,0.8007380614285604,0.5500400965046518
Central African Republic,0.03908351459360216,0.04592277862373392,0.01905447205986689,0.02968106224186893,0.007430775608951655,0.01509024543156321
Chad,0.2773900228022689,0.31147416469124606,0.13252189751775362,0.2079602133628389,0.04475318608547257,0.06810782259402658
Chile,2.411120287630256,0.524703755362257,0.908437615301629,0.2988692797634913,0.15920307812942303,0.1183918825589828
China,28.774396496813882,6.672490828563192,8.473351282039134,2.412883592477964,4.427056000932993,3.168905455645656
Colombia,3.145912804298288,1.3022705801823204,1.2323761576120205,0.9139818145764342,0.3991256105221103,0.43661514104692356
Comoros,0.014018000409048425,0.013421518085844667,0.00583425386219489,0.007569361097318195,0.001997385474951529,0.0029237049811230683
Congo,0.1391419262117559,0.09504154736544813,0.049448731700104505,0.05362214084245241,0.01632711773319088,0.022653408502666728
Cook Islands,9.298327116719625e-4,3.202487946845209e-4,1.41081973104577e-4,8.973102788327356e-5,4.531186128905225e-5,4.5997833146012304e-5
Costa Rica,0.3497225997442024,0.13071801513352035,0.13698136987525986,0.09244515265025438,0.04388101568101303,0.04717626479289188
Croatia,0.42678577675441853,0.1364013558844685,0.17560060624288973,0.09777705020338846,0.05458392214176712,0.05124412215183068
Cuba,0.5631931114174192,0.3098147206777819,0.26618369222685667,0.24201481098189984,0.0871511439590848,0.12106585370324574
Cyprus,0.13539415528689322,0.037490389294579735,0.04050262220146806,0.020853106405811745,0.01306245098223754,0.012226058854742169
Czechia,1.1568511124795113,0.3162583321247263,0.4129543580031837,0.19908504555343248,0.13118834908357155,0.11511597545069015
Côte d'Ivoire,0.9022147493559493,0.5882013042133585,0.3780968881382081,0.40775740186602494,0.12495487047361965,0.16460919613504493
Democratic People's Republic of Korea,0.3487297818137872,0.3996645415571364,0.16381465562315103,0.23760732207395396,0.0620979617772203,0.1020643975597964
Democratic Republic of the Congo,0.7269756051493839,1.2533152530182148,0.3253640842682265,0.6449676825705306,0.11878149862261525,0.23626494492092004
Denmark,1.1009947012917083,0.30077519512262474,0.5011493034168598,0.20423423035730456,0.15999001217170566,0.1268986428974084
Djibouti,0.03852464631656911,0.024316377828253594,0.012903063942726911,0.013785103100768468,0.004414374426391434,0.0062038955605644526
Dominica,0.0034175982408188054,0.001658249020260971,0.001441438298604572,0.0012506770129849707,4.654191911799452e-4,5.47427880576235e-4
Dominican Republic,0.7727236442712616,0.2794445853735591,0.2725285353582804,0.18136290465665753,0.0894966140627097,0.0904399462221979
Ecuador,0.7915240667103752,0.36172764278082925,0.2761970724630295,0.22379296240754712,0.0907408194167961,0.10424819342545133
Egypt,4.992753157171474,2.089970043450265,1.4841091984717598,1.1970115065820335,0.4773394162908648,0.5509960022134766
El Salvador,0.2685979414382289,0.1322152388729776,0.1012905335667659,0.09226504531755453,0.03354576206257921,0.038676262211616755
Equatorial Guinea,0.09292690464106078,0.03127642535963128,0.02312557473448981,0.015017058087407135,0.007441506774865398,0.007476101876140405
Eritrea,0.08772600990718181,0.12604198599812103,0.03407028349062493,0.04852026246002785,0.013091819631767171,0.026151765691909766
Estonia,0.14896518783782384,0.042489031897970576,0.05586749186657506,0.027215148443537146,0.01728335860465062,0.014989728255346587
Eswatini,0.03643040345437872,0.018534218117750752,0.006575858377496785,0.00569354861059704,0.002086660432493934,0.002473407126248643
Ethiopia,2.2831157945596687,2.0483528219317844,1.046965755340592,1.331126036738765,0.3514323393434837,0.5356108245160598
Fiji,0.02669108710419837,0.015294473667811663,0.0029217217312774257,0.002548429257641764,9.604575405020035e-4,0.001194956878362951
Finland,0.7541608432471358,0.19828737965802545,0.2966499213192646,0.12853125819168915,0.09038504788818433,0.07538586126308276
France,6.207933124022811,1.2862928085740852,1.6638652506577274,0.42186008995624,0.6503061416112953,0.4617928497674735
Gabon,0.1047415035318644,0.03947593549791618,0.03133528432627526,0.023078205605775184,0.009452611536330272,0.009952014434823686
Gambia,0.06488531010739652,0.057152272253555514,0.03452706667517005,0.04255225741752027,0.012193700102625986,0.019235731166457458
Georgia,0.19249012608368476,0.07401467314324944,0.06897351051403758,0.05017741017325502,0.02247081518351132,0.02321846580302778
Germany,16.061691190977275,3.2997852406615387,6.857952371735081,2.080277844513219,1.2145732890147276,0.8710238261551857
Ghana,1.4741723398598414,0.9086521835110793,0.6947513434664506,0.7142067745331964,0.24101492148620093,0.3174837549215969
Greece,0.8601408143680881,0.2739279673107108,0.2960174812174058,0.1735782136563234,0.09478824700514489,0.08941210820437831
Greenland,0.011182204804896744,0.002530947858170944,0.0034543224610826557,0.0013123814436988397,0.0010496081986378178,7.945823643005371e-4
Grenada,0.006290180360377728,0.0026044369464564756,0.002498959668566099,0.0018627568611180687,8.331870923770247e-4,9.068267811640704e-4
Guam,0.011306171038657381,0.003205498401714124,0.0016406552275037099,8.887602508552145e-4,5.160805362319768e-4,4.653437417926041e-4
Guatemala,0.6161821894569457,0.3165612487007656,0.216106158190962,0.19139488559443318,0.07101752173829357,0.08600936059280578
Guinea,0.32601340626222003,0.30158661652977137,0.1611423212972793,0.21251950062892191,0.057119742597302174,0.08944049730170284
Guinea-Bissau,0.03619714071956572,0.04239482102229927,0.01777887746027142,0.02347452954478395,0.006109506420967167,0.009908912872505947
Guyana,0.05864013190369214,0.019143695378878216,0.019449942488856228,0.011974657058763492,0.006235797480191411,0.006317287486752311
Haiti,0.2159658142318093,0.2126736123064266,0.09210379495632008,0.12386907767906657,0.03157522736940476,0.05114595403870354
Honduras,0.27937167640786914,0.1769687226148125,0.1058711128616835,0.11317159942850151,0.03580341402062286,0.04893645381720561
Hungary,0.732897220448607,0.20675623150413083,0.16234621662899826,0.086885113460253,0.05226966590599244,0.05235780634099701
Iceland,0.04383644847953501,0.01116587670117947,0.01288985088785405,0.005734288305670724,0.00405845208235674,0.003488301120755794
India,62.27744419930641,33.55514915535141,27.30752422515549,24.448985837226036,8.935768928333177,10.957916159047745
Indonesia,15.994627510211581,6.670798599677279,5.893170086140256,4.57633225799089,1.9444858120193744,2.094153428640779
Iran (Islamic Republic of),5.798268824842725,2.045359747101804,2.0676262742379192,1.3594292124709002,0.6685744399397326,0.6899037566080839
Iraq,1.964620565848169,0.8305786293485927,0.5933109706815319,0.45779984359375037,0.19560758758560387,0.22193942390344334
Ireland,0.8833632222026776,0.20649813017341692,0.1733558468169302,0.06580234225419897,0.0541449049348724,0.042617586576304926
Israel,0.9608596431942809,0.25603652090812135,0.24191327968904888,0.11679868674366398,0.07559721720519551,0.06464317325852918
Italy,4.783346296031785,1.569782588431146,1.0664991652489089,0.48944924322312083,0.998957404057214,0.7023347644435154
Jamaica,0.1253420359865459,0.06478912508441775,0.051187737931449845,0.046350851543169536,0.017059478148353308,0.020695034158936417
Japan,9.539106910152144,1.7669049407806883,3.1525540759541726,0.7767324760827761,1.2633017652505711,0.8792239429239985
Jordan,0.5197323200836623,0.24414611862503782,0.16572273969902307,0.14357237544425452,0.05518233264079501,0.06404008480196366
Kazakhstan,1.5266525837809353,0.45416393334380883,0.44472173355362665,0.2497819806425967,0.13874578369549567,0.12833933294700578
Kenya,1.4080526583657436,1.0190800831978113,0.6018591213369348,0.6802207264030616,0.20503009419092214,0.27587816826165157
Kiribati,9.185516600386287e-4,0.0016677117175406583,1.3105441753893607e-4,1.8809847164455356e-4,4.7057448741588634e-5,7.828367484414623e-5
Kuwait,0.757002050479635,0.18879940860735417,0.2679436606639276,0.11361989789136445,0.08114207771013689,0.06494659614660717
Kyrgyzstan,0.15317327840004186,0.11275339229137245,0.047062723717344775,0.0520848855091827,0.01587319723535522,0.02222250242552901
Lao People's Democratic Republic,0.1952478034056852,0.1249339285046896,0.0393226925474652,0.038446108050134764,0.013189390573337892,0.01668674914505197
Latvia,0.18873425208463995,0.05618507498024779,0.07213796783013103,0.03861881083910702,0.022585636786587877,0.020408559668558274
Lebanon,0.24847017994793857,0.12522106239404854,0.09311527049974774,0.08276936504954542,0.029910034054104303,0.03786533011564432
Lesotho,0.022542094859003943,0.025910473814251038,0.005760588999255295,0.00737685797207405,0.001920103425650408,0.002934664603913459
Liberia,0.10381579969554469,0.11081764364726882,0.061568200762107915,0.09230641792112919,0.022671347011113136,0.03764019894299549
Libya,0.43965282741563033,0.15613635187486416,0.14122706380861216,0.09433046848901903,0.046090298883170254,0.0454467382311905
Lithuania,0.3204762091911353,0.09087201094438371,0.12111289394221424,0.05943827918131374,0.03848998474986954,0.03673827036400612
Luxembourg,0.13798629790602465,0.032283598091322176,0.04229431428066431,0.015456314010982367,0.013045594237874387,0.010247881037123586
Madagascar,0.2195434953616815,0.46636199378806537,0.05358668530353013,0.08030523993107339,0.018234049797168222,0.028701853265013278
Malawi,0.19784479523096452,0.2533754990259043,0.07777238662885684,0.12420506372163027,0.030715331880455627,0.06397005004091871
Malaysia,2.3583421777523563,0.6997436415244199,0.53430602153424,0.3090837263582321,0.16825566109837223,0.15609051232711563
Maldives,0.028875558902379982,0.010228631704643696,0.006477521155785842,0.004400498330884252,0.00208502044429448,0.0021740541167236385
Mali,0.5282913650787149,0.5110635181691142,0.26821059657506024,0.3478986526355573,0.09279269669608986,0.16116582829714404
Malta,0.05315254132396342,0.01425746957598937,0.017171891816573952,0.007990580148138977,0.005468317842941768,0.004849108816420246
Marshall Islands,9.971788964629631e-4,8.873895034441761e-4,1.0016335903309213e-4,1.0393054689250827e-4,3.531043266643284e-5,4.974544527492461e-5
Mauritania,0.1349736618238088,0.09089005269100021,0.05690590499187785,0.06047355950304762,0.018906120323583363,0.024583888036061537
Mauritius,0.0822894057388904,0.02726560272845042,0.02407336164449322,0.015711548647550977,0.00739651521555208,0.007313683998043094
Mexico,9.287423812719055,3.3626862263675057,3.54582114193919,2.363469333351676,1.118292028757938,1.1666000085687647
Micronesia (Federated States of),0.0012500793908601293,0.0015938072352767792,1.6263078894577336e-4,2.1005072844260285e-4,5.534356108702118e-5,8.343609819276665e-5
Monaco,0.018005138720052414,0.004407388888276105,0.006578430365041748,0.0023479177619015854,0.0019515486294788887,0.0015074025448666574
Mongolia,0.15498459430659087,0.06276204516966997,0.044457922288095565,0.03439204740250491,0.014248485094073745,0.016469637841220595
Montenegro,0.041181725296939246,0.014244260249170249,0.013835634063189812,0.009060459727388684,0.0044763480989830915,0.0042932258049408895
Morocco,1.6571157252161761,0.8344204025469101,0.6750688567144174,0.5928186275705523,0.21853250119170767,0.265181219333138
Mozambique,0.2822946720953603,0.4785462288550787,0.11930040462583685,0.18231895692892638,0.04328903313020442,0.0797625553260183
Myanmar,1.2982051369097691,0.9188314015932606,0.3536509090892785,0.36485623519822163,0.1264704090882809,0.17820829128975932
Namibia,0.07388344811661969,0.03786863130241636,0.015062536621723565,0.013374036471097512,0.00481110704025612,0.0057682467632695815
Nauru,3.0049188158369017e-4,1.8152602338025658e-4,2.585419163325138e-5,2.253143405518406e-5,8.40213216367903e-6,9.78241206329338e-6
Nepal,0.7528050974757533,0.6257588906081283,0.3214172174317581,0.3964229873703237,0.1103072056945312,0.16174398674002222
Netherlands,2.23321930535921,0.5423153861376641,0.6995866440502555,0.29261708291709315,0.20968239749049528,0.16618900541740758
New Zealand,0.6165561273467834,0.16870681833890855,0.22724671652846629,0.10625810403517613,0.07042267205323871,0.06027586456616794
