Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.25395485058570855,0.4753290379304501,0.04674668341526287,0.06859787602028018,0.037857729330072885,0.06221752547436438
Albania,0.12111010501817587,0.049744855598454527,0.0239860951865506,0.018622093394262795,0.015646283868836267,0.018101938991062928
Algeria,2.0783649734880876,0.896265839189474,0.38979225547763335,0.33392159361243295,0.2618415508687028,0.2978279100957433
American Samoa,0.0023652708015560954,9.907875927376462e-4,4.8096208326711286e-4,3.8841989940977087e-4,3.153224671038479e-4,3.451090725864685e-4
Andorra,0.00995452881596769,0.0026436636739826575,0.001998096173146581,0.0010596499796546599,0.0012310434024364358,0.00105600532815419
Angola,0.805072308776507,0.5799478179963675,0.11445222029583509,0.12078612362376435,0.07900503165150341,0.1011330295019447
Antigua and Barbuda,0.006660182785993916,0.002283342210226449,0.0016422204395853501,0.001114323948644257,0.0010334086343412594,0.001007199900029679
Argentina,2.836599403437304,1.0186725389630333,0.5631069168375441,0.39822422572141375,0.3695530554407798,0.3849907697027229
Armenia,0.12994417593819568,0.055247499893312325,0.026064601780513175,0.02129034597140475,0.01719739081896115,0.018491560266216622
Australia,4.467720087574718,0.9563204493706962,0.8655848064478214,0.3280085371002306,0.49113415608967975,0.34844050735989224
Austria,1.0098673819914386,0.2675308680910725,0.18180479728621823,0.09562818522141449,0.10944255905251399,0.09322985279176922
Azerbaijan,0.5608177606565542,0.21173094750927335,0.10102231665572173,0.07861288916942855,0.06407767409503745,0.0666888063009988
Bahamas,0.03557710467896801,0.010773079206605377,0.007950824833816431,0.0046584581157700315,0.00493539030560787,0.004513966449625639
Bahrain,0.19033360438462057,0.04862955763530207,0.0362393849882202,0.018243846880215527,0.022384428060520517,0.01799892293585892
Bangladesh,5.130123833725948,3.187370452494916,1.482163809316066,1.6110876781105155,1.0156895123494116,1.2904503648323764
Barbados,0.01601917770007052,0.006661685787770646,0.004212023287784582,0.003218482765332499,0.002788172524766829,0.003091472192600151
Belarus,0.6064761377393675,0.21526082068141816,0.1354202566705719,0.09230625498096702,0.0856004558380863,0.08311883136280636
Belgium,1.41103375678964,0.39724178088274814,0.3535457059931115,0.17537878932092799,0.21089018353935782,0.1728169801671639
Belize,0.0153415771168627,0.008193219534643685,0.0031895106905286733,0.0031249527249235854,0.0022351108458936904,0.002734928356416659
Benin,0.255546043704266,0.22916339992244614,0.06677050493665748,0.08637074096220979,0.04741669694833205,0.06772298680273874
Bermuda,0.011869534702461616,0.0035376265885013027,0.003297931919113804,0.001517774875259521,0.0020200407878547782,0.0016159446889301963
Bhutan,0.03597313265744752,0.01689827050398107,0.009674480216322157,0.008075338707582319,0.006719287713376754,0.007919297130972553
Bolivia (Plurinational State of),0.33607900861116613,0.19552141677642348,0.06668281000332262,0.06481962835924579,0.04573570281366291,0.05607011812898416
Bosnia and Herzegovina,0.15569033312226435,0.061140973758226476,0.0330511300459011,0.026802083370408035,0.02127410826699528,0.021658084022103022
Botswana,0.16553062346780834,0.038349696625384504,0.008197462799023059,0.003594519397881475,0.0033802106039182026,0.002617141085969515
Brazil,14.208901340968746,2.9007432280936607,1.658474090905128,0.6927866114051823,0.5525705458746507,0.3997313541011598
Brunei Darussalam,0.06923278123938088,0.016873655572937494,0.008606205007476142,0.004107491331223503,0.00510902743131429,0.004056764665371261
Bulgaria,0.4236000516200524,0.13832699123096942,0.0756192271276325,0.05054153257933898,0.04771449005368489,0.04701552138889626
Burkina Faso,0.3841447996378253,0.49827888009517285,0.11412828599868118,0.16130828216149032,0.09141775590668219,0.15474165775902535
Burundi,0.06448931732212629,0.11772865410393979,0.019722324598996224,0.03270528412713194,0.01617857733149454,0.03018361175277126
Cabo Verde,0.022471515287444822,0.013233668984494105,0.007403739852132153,0.007420979739816674,0.005298360710827886,0.006658291909521369
Cambodia,0.3503842934581083,0.2917366560935955,0.0706101439376133,0.08764842028076325,0.05050296649473398,0.0754553834852819
Cameroon,0.758054992787445,0.6280362197260739,0.22583781878205308,0.29575715539768976,0.1683880239575505,0.2731026965683583
Canada,5.246033386009748,1.380352715944814,1.2537387818464978,0.47057954906234,0.823031100172088,0.5690994810746645
Central African Republic,0.028508087794900244,0.052065672818783104,0.008771727266338906,0.015251584567129089,0.0069767680983451215,0.012027661310807446
Chad,0.20721163930035097,0.37276232104031604,0.058071108097322646,0.08699082119995985,0.04282248238780095,0.09071037289073389
Chile,2.0962114311790097,0.5135673990074227,0.46148333357901206,0.19967047037798527,0.16033655356328338,0.1235213131407453
