Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.002896986849752909,0.013420002246367465,8.93215853454558e-4,0.0057204306416795015,2.3506305679757007e-4,0.0016552495978696367
Albania,0.001599363359717539,0.0032697420295028225,3.870056950822439e-4,0.001542451030300956,1.2601746852313427e-4,5.059015597038122e-4
Algeria,0.025932345939705417,0.0530110167767624,0.006507758664426122,0.025838527860510916,0.0017621666259635366,0.006618199475851492
American Samoa,3.06604123323611e-5,6.94728245140755e-5,7.398491488637543e-6,2.5610950161026685e-5,2.37558828764607e-6,1.0108625354400049e-5
Andorra,1.318982958934604e-4,2.5266687546224233e-4,3.6387913640977675e-5,1.1288488262701213e-4,1.1700639678659853e-5,4.3781396914387316e-5
Angola,0.008687202975544225,0.023071014091729604,0.0021206017749728846,0.01132941768306348,4.769474961806221e-4,0.0022034605018507783
Antigua and Barbuda,9.023968571809247e-5,1.777497916033193e-4,2.6395565959263576e-5,9.151499328032121e-5,9.29741115568085e-6,3.8685658852585655e-5
Argentina,0.03567317205551934,0.07261121234983686,0.008532392424795492,0.03108622225483463,0.0030863113397117028,0.011269173374231544
Armenia,0.0016053203783893113,0.0035489398968788868,4.4023545804988104e-4,0.0015768058809455202,1.3028208744268662e-4,5.356980685096893e-4
Australia,0.058545494932581134,0.09774073744226618,0.01528415609656625,0.04333043338496951,0.0038824986109356053,0.012978027168607213
Austria,0.012394546292441282,0.022559977650097988,0.002862476938201573,0.008332772265843707,0.0010060174784902037,0.003397413587491697
Azerbaijan,0.007168998988166556,0.014709144053082721,0.0016599708801889228,0.007066709418386448,5.093506580065046e-4,0.0019979539481556974
Bahamas,4.5575658293037376e-4,8.484599600039727e-4,1.3539977537103533e-4,4.749824459670891e-4,3.624453778404927e-5,1.2069236129617352e-4
Bahrain,0.0025271148134752195,0.004458021201817687,5.945987903800961e-4,0.0018439876387520127,1.948178777558617e-4,6.656357831762806e-4
Bangladesh,0.06288373753752108,0.17842193361104158,0.027333229793714036,0.14388463315325709,0.0070171705515196916,0.03584144895770828
Barbados,2.183629494710564e-4,4.704910802512786e-4,6.610876426564072e-5,2.75493043664939e-4,2.1695412597570982e-5,1.0337851654117576e-4
Belarus,0.008102004765098687,0.016119808004127604,0.0021882571284029878,0.008317845851617817,7.215938060378083e-4,0.003195842267262986
Belgium,0.020936214729059176,0.03948339693925541,0.006443586740292717,0.021491918897093138,0.001958917040926339,0.0076670615751500875
Belize,1.932035656974256e-4,4.820581012562367e-4,5.5578990888259034e-5,2.458538554244404e-4,1.3633570615925497e-5,5.56690534701298e-5
Benin,0.003088765880275454,0.011160501470235094,0.0011468303974495734,0.006029215173842567,2.6290354532324526e-4,0.0015105319239310266
Bermuda,1.7150914075444236e-4,3.1176824227938853e-4,5.8203526881969164e-5,1.8263381387304749e-4,1.768385046302718e-5,5.640562631971917e-5
Bhutan,4.763971049829389e-4,0.0012004678001368374,1.5956293998137532e-4,7.930116717015888e-4,3.8825943865224214e-5,1.3319384665762778e-4
Bolivia (Plurinational State of),0.004175219286832126,0.009904267787893252,0.0012519090828364892,0.005316584698939428,3.684094790953611e-4,0.0018093147997079013
Bosnia and Herzegovina,0.001934866195672444,0.00418057658879592,4.825875431635856e-4,0.0018906291334173997,1.9098497117300082e-4,8.304712553651533e-4
Botswana,0.001759225397310886,0.003992635870408863,1.3617920613042937e-4,3.441896912246925e-4,3.0784705233885404e-5,9.526827379768823e-5
Brazil,0.1631509319096955,0.29701273418287083,0.029091608174849314,0.0857002628957376,0.005190152996688627,0.018214010045414303
Brunei Darussalam,8.643600795509237e-4,0.0015592556660353149,1.518092752254898e-4,4.378774115859456e-4,4.808323992187157e-5,1.5036418892342345e-4
Bulgaria,0.005427645332123288,0.00955081702333225,0.0011928535647201762,0.003607015068848522,4.281907674211881e-4,0.0016558435439342324
Burkina Faso,0.004742190584485742,0.029669533133153052,0.001642016070799826,0.007843011863338096,6.09261495899203e-4,0.00387661945970392
Burundi,8.071312751484564e-4,0.005483252769384187,2.935306452737101e-4,0.0018153969520249777,1.2849154926530823e-4,9.517803130875297e-4
Cabo Verde,3.119273410213189e-4,9.593745784336202e-4,1.2906922811428925e-4,5.400676621345408e-4,3.6706044506261914e-5,1.828653903215953e-4
Cambodia,0.004359280541911377,0.018420003527094164,0.0011798499941511472,0.008057649629109095,2.616784315993094e-4,0.0011305189881390112
Cameroon,0.009010120514828631,0.03328372027831862,0.0032975500777268295,0.019755463709767964,9.570431171473959e-4,0.005167438267702998
Canada,0.08261882509341595,0.1401211198001608,0.01820979680943213,0.05104224138541467,0.006024598291718352,0.01722615247927749
Central African Republic,3.0323609833220026e-4,9.929486098454543e-4,1.2824735757409371e-4,7.862152456623759e-4,4.3270365210741095e-5,2.3449850588985884e-4
Chad,0.0024782804204956815,0.013605734366942903,0.001020554732824682,0.006177151060368007,2.9584919286820344e-4,0.002051421788189681
Chile,0.02817359291633244,0.04710876291183559,0.007665026491008681,0.020593662430319962,0.0014549198084411951,0.004475335767899661
China,0.322287452835453,0.542752953705096,0.08732827261659719,0.20980946971886616,0.03008556078323671,0.09052296978786159
Colombia,0.03196062406206247,0.06543395028375416,0.009628132456731242,0.03632077768725017,0.003037899930076221,0.015586944527530072
Comoros,1.2822970721353586e-4,4.4480433567490164e-4,4.8455695681779974e-5,2.7877946962916503e-4,9.666517213279621e-6,4.8639884548952056e-5
Congo,0.0013700500440713016,0.004560745557833741,4.2285679280874096e-4,0.002833761427338012,9.764155832746383e-5,5.010613362165463e-4
Cook Islands,1.105407308224517e-5,2.5470437578262895e-5,1.2136843016280525e-6,4.396580615582463e-6,3.8329380822918746e-7,1.6978937217031814e-6
Costa Rica,0.003909114974064795,0.00850809349387556,0.0011567133380178938,0.005247061063571468,3.412898052609228e-4,0.001318216825834478
Croatia,0.004939527340618816,0.01013781614278176,0.001584499688668093,0.005869524251157257,4.556354170475781e-4,0.001798643449790727
Cuba,0.005684952526679004,0.013538970052762077,0.0021644547637252446,0.009680009478137274,5.350902927795474e-4,0.0022157019687829758
Cyprus,0.0015531941836342375,0.0028485122906295574,3.3643579991428916e-4,0.001155883735810943,1.1627019155709627e-4,4.3763679660970776e-4
