Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.06250137871681613,0.12211971862940146,0.010361163323874049,0.023517087020843267,0.01963224402047021,0.03922399967099437
Albania,0.026868431010425572,0.01954063333308167,0.005668562650954843,0.006839773040216556,0.007346220093507867,0.010012877209593832
Algeria,0.4587589956195425,0.34527783200328394,0.09482620914021644,0.11565883804601333,0.12848352896409512,0.19256165633626499
American Samoa,5.454689334631393e-4,4.16655462411643e-4,1.1783959231945174e-4,1.4950302508095518e-4,1.6084163614649402e-4,2.3432194726195416e-4
Andorra,0.002324894629559593,0.0014630825860308691,5.122215394860486e-4,4.6997481192198533e-4,6.24232168082109e-4,6.975218089324311e-4
Angola,0.16115317608566038,0.14682951463644175,0.02554182780813992,0.03822564967528863,0.03982037263863772,0.05995608556796389
Antigua and Barbuda,0.0016291387307520314,0.0011884512251048949,3.917528886056181e-4,3.941002112385992e-4,5.100759764095782e-4,6.399455127474163e-4
Argentina,0.6340144066309518,0.44792544235271226,0.14426281029585022,0.16895249019521896,0.1769504906620398,0.2290470265537508
Armenia,0.029728346418974674,0.022439370221765693,0.006288930632973099,0.008533601608395808,0.008270444924239133,0.011623100542720938
Australia,1.0017287729379523,0.5795238470813298,0.22377084631752717,0.1757891930077347,0.24665195684347632,0.24784285584541113
Austria,0.22274410555070412,0.133736917455434,0.04660465528868489,0.04137165049444648,0.055221417642288974,0.06014487991671559
Azerbaijan,0.12317558131371283,0.08770559688593814,0.023985160394506464,0.02969947292515636,0.03324058668816488,0.04582048483427321
Bahamas,0.008523525666938108,0.005627894492660842,0.002041970233050334,0.0019213034563090722,0.0024371994867488627,0.002806192296131949
Bahrain,0.04235311759629155,0.027192554863683525,0.009361823133469794,0.008647494486168784,0.010989386426944523,0.01336910245581478
Bangladesh,1.3971481495197478,1.4096481914020105,0.34351008413896644,0.5827850177669118,0.5459283987276813,0.9552019579209582
Barbados,0.004286675435216804,0.003474695252611484,0.0010812225187926113,0.0013075438199832321,0.0014659396922836311,0.002056447738066687
Belarus,0.14089416403856025,0.10172359767483594,0.03252361608369333,0.035777532776476564,0.04193313063074987,0.05498415722892457
Belgium,0.3477717745605855,0.22936877899498784,0.08906333529234989,0.07984594336311407,0.10359725723967617,0.11638182237371231
Belize,0.003595150699964272,0.002912864946380571,7.400350901141053e-4,0.001003732365889684,0.001102431947504664,0.0016323714991381005
Benin,0.06122792976251393,0.0688941580384318,0.013926563311782264,0.02729980216590096,0.022934456994769217,0.042410552292210725
Bermuda,0.0031694153416186957,0.0022117083953957766,8.752257634304854e-4,7.812998091915968e-4,0.001009927244636604,0.00107311008558274
Bhutan,0.009329681982742978,0.007712357649862872,0.0024272010132136623,0.0032140085318367,0.0032714291103260627,0.004838581104560394
Bolivia (Plurinational State of),0.07739877924299121,0.06881974326953846,0.01574053299573317,0.023130429560675358,0.023214174227679546,0.03911224246514741
Bosnia and Herzegovina,0.03632710988219018,0.026612612855820936,0.008226463020147979,0.009899322210472735,0.010715126268937511,0.014902143776392275
Botswana,0.02503029192432257,0.016269154850808227,0.0020973163478957063,0.0017038427163426364,0.0016960640485625983,0.0017200691457494625
Brazil,2.35323892184941,1.3308211559812577,0.4386180485156822,0.36402182928326676,0.2837063130918666,0.28776461813701026
Brunei Darussalam,0.013457229925728176,0.007998098383972243,0.0023229161756939776,0.002075544825394455,0.0026058521433115086,0.0028912452449818367
Bulgaria,0.09456785696372459,0.06527418608157136,0.01919528686764828,0.020145102118117292,0.024810004665956738,0.03475146373485179
Burkina Faso,0.10391100668255214,0.13776718235791052,0.02514309468270369,0.06362958383531735,0.04652571401858863,0.09003350467160118
Burundi,0.020995432622141957,0.04237476847942288,0.004002260548414244,0.008821313181558819,0.0085098163574732,0.01845152030424525
Cabo Verde,0.006173004613786438,0.006168106765416623,0.001645506585570416,0.0028037697008853613,0.002514315823576814,0.00414390198698909
Cambodia,0.07816143158890798,0.07840868477728072,0.01572725577733421,0.02930963044723488,0.023254039722567316,0.03884379418088923
Cameroon,0.20610088558674636,0.2588938074912172,0.04799851558711136,0.0880978174793174,0.08649092269949102,0.17807844929973168
Canada,1.4768007637207987,0.9348615833896717,0.32276839518541367,0.24484563487702543,0.40490360680322357,0.38079835878379703
Central African Republic,0.008350745559411841,0.012376986616220977,0.0016250992364122206,0.003628270397629287,0.003675458213071532,0.00853642374011959
Chad,0.05598778804152564,0.08141943180088669,0.012280454476179323,0.025047236749772092,0.022980348420691375,0.05454533036457573
Chile,0.4455712823351391,0.2627092219088627,0.1237114320520077,0.10476209128004516,0.07977033142002125,0.07979210877286225
China,6.208012756382984,3.8408904759795597,1.3485251130587934,1.091386718528076,2.1562884729663474,2.0732614200599437
Colombia,0.642189210288217,0.4994747869425981,0.15118850420853486,0.17973340960650444,0.20107793380341177,0.2949810932940899
Comoros,0.0027524523627817377,0.0035265484471569434,5.558182718045803e-4,0.0013465469581947149,9.749536501487096e-4,0.0019241929369663649
Congo,0.02724663089469892,0.0299003337761296,0.004995760098880153,0.008552592623574582,0.008434069103050229,0.0160607042586285
Cook Islands,1.6059411303205067e-4,1.0954181367524006e-4,1.7349122988573227e-5,1.9962304420374836e-5,2.3200478360264413e-5,3.0451100676505917e-5
Costa Rica,0.06885890557876222,0.052874578695288665,0.016206300139292824,0.018129372357867976,0.021310235876817425,0.030029212827533916
Croatia,0.08747190074729194,0.059971062938678606,0.022224932605354797,0.022075998020468553,0.026545553054149115,0.03199367687590895
Cuba,0.11551411607438869,0.10460005030421046,0.02935372414190186,0.042705237562975895,0.042156276065595126,0.07109795794945394
Cyprus,0.025947826871198985,0.015469536812437746,0.005277397498640857,0.0048663303613492815,0.006230203206804935,0.0069860243728532626
Czechia,0.24022424619767652,0.1572345519687112,0.05503542603599185,0.05429806094509082,0.06733521053766853,0.0768455823379419
Côte d'Ivoire,0.1852818365157759,0.18605492257332001,0.03998701958624274,0.06513701523715507,0.0672573006803615,0.11934885829957871
Democratic People's Republic of Korea,0.07380271826422768,0.1123887748510558,0.015197148827232701,0.034244676442966505,0.03147657181239705,0.075433907339091
Democratic Republic of the Congo,0.1410940140358244,0.20503724247455982,0.027503047517023173,0.06107676979478967,0.05697914536754264,0.11885027999119195
Denmark,0.24728269716097953,0.16929371526240172,0.06945104305097619,0.06090805557073331,0.07974227078488928,0.0815552077308296
Djibouti,0.007322730485367972,0.007005206162127621,0.001383533323740642,0.0020954499552822852,0.0021592386850218335,0.0036292209317642637
Dominica,7.000070528423621e-4,6.245518166598478e-4,1.662222909617134e-4,2.313139927656863e-4,2.4134064992439806e-4,3.974542077753323e-4
Dominican Republic,0.1567735270007095,0.11367050904664958,0.03403356921688484,0.039402340033384775,0.04483069753934261,0.058749673810235326
Ecuador,0.15933445181410935,0.12435980856920151,0.0334716186302396,0.043860133008302736,0.04616686016975217,0.06473690429811943
Egypt,0.949289658783946,0.6899482920562854,0.17096300401940523,0.21920615819737824,0.24554906827380749,0.33920322431024585
El Salvador,0.05435755605458929,0.04673228629162556,0.01167407660437415,0.016847708160493805,0.016901150468787225,0.02926688981946242
Equatorial Guinea,0.017055146161629488,0.011251537759243735,0.0028047447010419516,0.0030479580434784968,0.0036262283579485822,0.004761024742011003
Eritrea,0.015823577303985252,0.021492553450543527,0.003165151724425293,0.006454808467774706,0.00588537567144746,0.013624641828241217
Estonia,0.02980473155788244,0.019924042497336224,0.006997262294701819,0.0065744243101628136,0.008511372333103078,0.01011346334531614
Eswatini,0.006371933145864457,0.005259800969107057,7.726653075227779e-4,0.0010928775502058933,0.0011164982116006314,0.0018469686049443952
Ethiopia,0.4457823374259823,0.4930713268600634,0.10137858085528392,0.19203177574019856,0.17492839806627664,0.3100159599728366
Fiji,0.004479522842036986,0.004290144723329203,3.474153027394016e-4,4.6950362583302334e-4,4.6884865530827613e-4,6.89457681696984e-4
Finland,0.15494859535122196,0.10371444387508529,0.03893124534912951,0.03639630932651719,0.04506198615284395,0.048966064043049456
France,1.2177135105971588,0.7192997870449279,0.2260392923732185,0.1809911666110023,0.32660006070746433,0.3251200476150103
Gabon,0.02039949696262977,0.014386446538693446,0.003828142395114326,0.004511627011213409,0.00500789586565789,0.006838349717502699
Gambia,0.01357215982223342,0.0169109905593233,0.0036035146792191323,0.007950382206305763,0.005964033028053123,0.011672538026979791
Georgia,0.03861123369121182,0.029843849128590626,0.008388644323354367,0.009976277604197106,0.011390134910319455,0.016833024413344003
Germany,2.8166749251341017,1.6491405261269594,0.8563139876573443,0.7089020357389456,0.6309582340394926,0.6309025256175391
Ghana,0.29471686674932734,0.2904551309114599,0.0751247513652395,0.126833516263007,0.11245438006053428,0.18641187199473436
Greece,0.16942477468969244,0.11117874363386679,0.03692338423903948,0.03500833781974334,0.04618527703706132,0.0557125585540679
Greenland,0.0022082355600977653,0.0013121215544055907,4.7525079798979716e-4,4.077905709811793e-4,5.29466622960843e-4,5.514351220711132e-4
Grenada,0.0012748804651653985,9.800282883864718e-4,2.9147412430493636e-4,3.598557067872647e-4,4.0435205727794386e-4,5.673942142294465e-4
Guam,0.0019642271395225006,0.0012412969055722964,2.115239927487037e-4,2.0399398065509665e-4,2.6443932348085055e-4,3.14362933739711e-4
Guatemala,0.12301317026878766,0.11033478906396955,0.02532981682492527,0.03666377064888625,0.03548403661614982,0.06423252578655836
Guinea,0.06496871024362326,0.09252145013401994,0.015439384206505896,0.04082638069302058,0.027369431531686094,0.05133822497345189
Guinea-Bissau,0.007369160387842233,0.010569395710424721,0.0015867561347217632,0.0032419612623361973,0.0032008746773207484,0.006991335223681095
Guyana,0.011622533355739957,0.007540298250366939,0.002456331955133468,0.0025439902553275775,0.0032148285159988767,0.004023803436230955
Haiti,0.044752679187678265,0.05876091815480997,0.008990781570725168,0.02558653163660634,0.017015405191011072,0.033852258117998364
Honduras,0.055570944544988995,0.06321234583720925,0.01152809897426539,0.03499333618229907,0.01714669742154034,0.030062328942151346
Hungary,0.13332645849476762,0.08439207591045067,0.021428056001859933,0.02201147374543217,0.025310287299904408,0.030415281524763686
Iceland,0.008379992688089132,0.005043594850447717,0.0017032039215461672,0.0015378832678190854,0.0019451123564899553,0.0020942227694037206
India,12.619977807688864,11.420770633745946,2.951454781746064,4.287641967407271,4.619887361210979,7.508131963167491
Indonesia,3.1544079364985427,2.3736157111659475,0.6922132145190422,0.8419654785058392,0.9569855363079145,1.3584610064697087
Iran (Islamic Republic of),1.164439995608243,0.8289661072587731,0.25228317516771903,0.2666011786260885,0.32940646219865327,0.4508300767727056
Iraq,0.3839680135973012,0.2933751446808463,0.07110484805465676,0.09043921627044496,0.09905360428966878,0.15245383373758484
Ireland,0.1595165113682199,0.09467741254433588,0.024600707326336083,0.020810445404595743,0.027183598018969527,0.028081187349835692
Israel,0.18096251782588943,0.10914039665045511,0.03241969682385462,0.03061818929746301,0.03820413775343026,0.04483604212986137
Italy,1.1753693721924705,0.7914096615866759,0.1284261024348791,0.1150596591880068,0.4849941318069199,0.47423789590362786
Jamaica,0.02519242528542273,0.021330229204125632,0.005733559770155803,0.008620482548538057,0.008371979181405685,0.012893920964794723
Japan,1.921003247993627,1.1510511429442076,0.3519635399846333,0.28027763540015693,0.6508559476326784,0.65496552795351
Jordan,0.09674541691426979,0.07501521296621529,0.01868557029565239,0.02545704742765255,0.026252904342933866,0.03890279250715712
Kazakhstan,0.28988995705606235,0.19096211257633608,0.0555142728965367,0.054234843660111935,0.06940957262292008,0.08988263676992517
Kenya,0.2753050610598422,0.28557765228936083,0.0620696672323733,0.10973802046271865,0.10034272924913783,0.17268339818011652
Kiribati,1.74501619911061e-4,3.6821485543751337e-4,1.2449532937485374e-5,2.6155703167400025e-5,2.2883268353702806e-5,4.186896589435894e-5
Kuwait,0.157114333243826,0.10241755190028065,0.03668561863868595,0.03302113559862504,0.04301109982909093,0.050353416883819016
Kyrgyzstan,0.02955955181299236,0.030918193444527634,0.005150559884918774,0.00860859541516533,0.008309307635554113,0.014885321741722727
Lao People's Democratic Republic,0.033557623105970096,0.029818144216642584,0.004126226509350991,0.005832417151987145,0.006448525161062981,0.010858665213399132
Latvia,0.038514773478696765,0.02591595156681291,0.009267709195025054,0.009287002183582938,0.011232006380184045,0.013176755658081352
Lebanon,0.04914276304759755,0.04103252984454172,0.010551894363723538,0.015362562858917602,0.015240519553776272,0.022962148754543377
Lesotho,0.004109556642857498,0.005563367912708904,5.644715583980595e-4,0.001070840977104887,0.001007415151614175,0.0018306253877615497
Liberia,0.021446251811659264,0.04282322554276246,0.005295651021728668,0.011533021557184277,0.010926037718916362,0.03449897155863547
Libya,0.08576646053258655,0.05962140817333118,0.017227452226151848,0.018608122230596488,0.022625301817381833,0.030864435908993747
Lithuania,0.06634613247064187,0.042876873589921954,0.016307757540047173,0.015144516622322074,0.0189165358002797,0.02088896933112834
Luxembourg,0.02765765469712569,0.01678938744152323,0.005902917884899915,0.005107879006203811,0.006465780936363483,0.006990732286376449
Madagascar,0.04147552836338546,0.07412978511479558,0.005000339520969346,0.013135493148842188,0.009085176648814676,0.017803323953248934
Malawi,0.03936235460545668,0.05810901978162789,0.007181203926608598,0.017773302438883126,0.01460283572935766,0.02989004848142031
Malaysia,0.4340231985478138,0.27040727831922934,0.07033019716873745,0.07247668157718302,0.08446300034456111,0.10850210276363512
Maldives,0.005345470478799304,0.003790794417858279,8.194850661771688e-4,9.325860902525073e-4,0.0010595274351422547,0.001496284537799662
Mali,0.1091794898962283,0.13086635703788455,0.02540990640488084,0.05256245341604482,0.04804014363115093,0.08893714247386848
Malta,0.010421326262643119,0.0066468713370677335,0.002280258849756658,0.0020855513225104096,0.0026666537896986517,0.0030840485818008994
Marshall Islands,1.6381151974248335e-4,1.8919561555586086e-4,1.044393694961969e-5,2.0101823760735222e-5,1.7398177591424227e-5,3.116288732518858e-5
Mauritania,0.026310803446690127,0.02606034553977933,0.006063465738421278,0.010729480291141907,0.009141781297180622,0.015428659967577233
Mauritius,0.015738153792434192,0.01130108638011499,0.0029655946145713567,0.003123120191123238,0.004068432859988999,0.006001083699650877
Mexico,1.8631666589314546,1.3292099530025152,0.41726091818524347,0.45438740785099535,0.5604602972141026,0.7187286282857982
Micronesia (Federated States of),2.007870519638714e-4,2.808462021985872e-4,1.6102986019028222e-5,3.642760071435171e-5,2.6863628874276486e-5,5.074096936988497e-5
