Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.008312982169722925,0.15592288311707045
Afghanistan,OPG,0.02698337593589017,0.11919899937349543
Afghanistan,PA,0.007788681872114681,0.027720730681628638
Afghanistan,Prophy,0.04103304531827701,0.0293895091120797
Afghanistan,Maintenance_simp,0.05877292120800758,0.3106172024006816
Afghanistan,OHI,0.009398227321511339,0.06350223806487576
Afghanistan,Consult_perio,0.002489509178095591,0.011032032415647482
Afghanistan,RootDeb,0.0017332798338731078,0.044419043503976845
Afghanistan,Extraction,0.0021531346380531794,0.024016214229746098
Afghanistan,OFD,5.33584184768627e-15,2.637906783456296e-13
Afghanistan,GTR,0.0036867099756744915,0.006715286948287283
Afghanistan,Single_implant,0.026697874595267672,0.055577185341529396
Afghanistan,Denture,4.603007104610358e-6,1.3234277130176231e-4
Afghanistan,Denture_repair,4.5962712721445885e-4,0.013046222979892844
Afghanistan,Maintenance_perio,0.10487067823705362,0.15761108362681514
Afghanistan,Implant_surgery,0.010082284611309623,0.030239940641221427
Afghanistan,Full_fixed,0.002997706187979105,0.01903710644455867
Albania,Consult_simple,0.006998495160185918,0.012240823854244248
Albania,OPG,0.005915582947802519,0.009105954621152667
Albania,PA,0.0019936412482165888,0.0024802987900151936
Albania,Prophy,0.012879798617740582,0.007356021249652381
Albania,Maintenance_simp,0.04009751775751328,0.030707328037695412
Albania,OHI,0.002910871487620336,0.00558817607740548
Albania,Consult_perio,0.0015314894000296037,0.0033845111715123354
Albania,RootDeb,0.003660583515066954,0.006207410543186025
Albania,Extraction,0.00306095442256061,0.006030552034382867
Albania,OFD,3.8253876127558486e-4,9.867543184201037e-4
Albania,GTR,9.631445866164322e-4,0.0012701556310866294
Albania,Single_implant,0.009536884682030929,0.012151239864237788
Albania,Denture,9.242862438908094e-4,0.001993595283472492
Albania,Denture_repair,8.884863607050627e-4,0.001536031978264908
Albania,Maintenance_perio,0.04292984210795227,0.03618480936790504
Albania,Implant_surgery,0.0021083846155906852,0.005792222323011356
Albania,Full_fixed,0.0019379746773565381,0.006254250536613543
Algeria,Consult_simple,0.12832133305197777,0.23707172461211526
Algeria,OPG,0.10489811214884731,0.15223242509231028
Algeria,PA,0.03586332862378331,0.047932815357961865
Algeria,Prophy,0.22693945075402228,0.12665278880651573
Algeria,Maintenance_simp,0.7027740307892295,0.5579941510135272
Algeria,OHI,0.048121418937044885,0.0941393640792519
Algeria,Consult_perio,0.024242542290467316,0.05003240156337666
Algeria,RootDeb,0.059075197781304455,0.10412786473740533
Algeria,Extraction,0.05017476710571679,0.10549765990721878
Algeria,OFD,0.006252543156482144,0.015685587707043973
Algeria,GTR,0.015874420744874124,0.021179958282303037
Algeria,Single_implant,0.15649996067870156,0.20025021278224342
Algeria,Denture,0.017030136573397015,0.048436176777600023
Algeria,Denture_repair,0.014122813377680716,0.024525816692560515
Algeria,Maintenance_perio,0.6973176806308323,0.5810163747905215
Algeria,Implant_surgery,0.03351100529869536,0.10181363390050345
Algeria,Full_fixed,0.03038531629980535,0.09583317139712498
American Samoa,Consult_simple,1.3411635755305342e-4,2.46957901807832e-4
American Samoa,OPG,1.1226617307804693e-4,1.666064915531522e-4
American Samoa,PA,3.873418207323766e-5,5.229356964003181e-5
American Samoa,Prophy,2.4736565086755895e-4,1.3811642218223161e-4
American Samoa,Maintenance_simp,7.500622247665878e-4,5.772690873261601e-4
American Samoa,OHI,5.570092927672353e-5,1.1128149171880777e-4
American Samoa,Consult_perio,2.8266556643994407e-5,5.383537683848915e-5
American Samoa,RootDeb,7.269835547210458e-5,1.4019608977525205e-4
American Samoa,Extraction,6.48348831104506e-5,1.5518171346322963e-4
American Samoa,OFD,7.945933161247802e-6,1.9349871455432787e-5
American Samoa,GTR,1.912788095698663e-5,2.474710791221147e-5
American Samoa,Single_implant,1.9108474596969262e-4,2.472461727446745e-4
American Samoa,Denture,2.105016515922008e-5,7.46240834995415e-5
American Samoa,Denture_repair,1.8022582613780538e-5,3.283182098450093e-5
American Samoa,Maintenance_perio,8.634764809748052e-4,7.079385083641127e-4
American Samoa,Implant_surgery,4.2807843083645294e-5,1.2123752526804831e-4
American Samoa,Full_fixed,3.313457755900663e-5,8.849684500999343e-5
Andorra,Consult_simple,6.268007838449281e-4,4.709338332893015e-4
Andorra,OPG,4.2180210420791393e-4,3.3332288528109815e-4
Andorra,PA,1.603221454689959e-4,1.3198287766937253e-4
Andorra,Prophy,9.774187479697622e-4,5.315698528522936e-4
Andorra,Maintenance_simp,0.0033529205264854222,0.0014442396227857433
Andorra,OHI,2.1687600479810992e-4,2.0708235952803224e-4
Andorra,Consult_perio,1.2220158413623846e-4,1.4628549761706286e-4
Andorra,RootDeb,4.1073926528702653e-4,4.5648575283128285e-4
Andorra,Extraction,3.3035767395788276e-4,3.5609369636114906e-4
Andorra,OFD,4.531318988179827e-5,4.7747087073044544e-5
Andorra,GTR,5.460049972228785e-5,5.8278341486943005e-5
Andorra,Single_implant,7.131412687456869e-4,7.287621661186816e-4
Andorra,Denture,1.2157436638467577e-4,1.355459405319008e-4
Andorra,Denture_repair,1.0585553900189605e-4,9.978160462897974e-5
Andorra,Maintenance_perio,0.003417005097640583,0.001735919442506084
Andorra,Implant_surgery,7.69437472170865e-5,2.2462721627359412e-4
Andorra,Full_fixed,1.6263085244576852e-4,3.005255918758366e-4
Angola,Consult_simple,0.05799542791950313,0.19501155396758238
Angola,OPG,0.04907635729619823,0.12029754392503039
Angola,PA,0.014990200549020378,0.03125584868232427
Angola,Prophy,0.10674853334436993,0.060976058220368876
Angola,Maintenance_simp,0.31458076668316115,0.43664094826550093
Angola,OHI,0.023254759281912236,0.08709545472807144
Angola,Consult_perio,0.006702363558221599,0.017650516227643572
Angola,RootDeb,0.012479494408509784,0.04268780959966058
Angola,Extraction,0.011176649795837483,0.036086905075962655
Angola,OFD,0.001060239965367407,0.005142754827497543
Angola,GTR,0.005717675481081485,0.008648141507164399
Angola,Single_implant,0.05138538381406307,0.07671630103346033
Angola,Denture,0.0037807683970885854,0.01648735000489045
Angola,Denture_repair,0.0025797010099532195,0.009698142630817861
Angola,Maintenance_perio,0.21600513406609523,0.23977696726173406
Angola,Implant_surgery,0.01360888656709102,0.051713240992181636
Angola,Full_fixed,0.008741311905141136,0.044532415020939596
Antigua and Barbuda,Consult_simple,3.498914141026901e-4,4.183693667380225e-4
Antigua and Barbuda,OPG,2.8381722228083627e-4,3.120678560337426e-4
Antigua and Barbuda,PA,1.1473075896347403e-4,1.2430939726075857e-4
Antigua and Barbuda,Prophy,5.913665187184336e-4,3.211275536309845e-4
Antigua and Barbuda,Maintenance_simp,0.0018976432166834423,0.0010766370225176636
Antigua and Barbuda,OHI,1.3863105854364618e-4,1.9251508754436716e-4
Antigua and Barbuda,Consult_perio,9.344458162186156e-5,1.469686701969682e-4
Antigua and Barbuda,RootDeb,2.7689397164160724e-4,4.0117439331417655e-4
