Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.004969260128582735,0.11512399008500769
Afghanistan,OPG,0.02780424536075829,0.11397707314281405
Afghanistan,PA,0.006991993464691596,0.02496925836562035
Afghanistan,Prophy,0.04122560896798432,0.029369971020972944
Afghanistan,Maintenance_simp,0.0729416439862323,0.42448060436254537
Afghanistan,OHI,0.010173169200939344,0.0799108298657305
Afghanistan,Consult_perio,0.002790067410775234,0.01405947315641589
Afghanistan,RootDeb,0.0014575914639184022,0.025097490760057968
Afghanistan,Extraction,0.002868236187957073,0.04005501011249248
Afghanistan,OFD,2.2188596485352867e-9,1.2145185089533993e-7
Afghanistan,GTR,0.003379310721231166,0.005624221349759957
Afghanistan,Single_implant,0.02412678917718566,0.047821862335087055
Afghanistan,Denture,1.9448618604775623e-4,0.0057011480934899385
Afghanistan,Denture_repair,1.5789221713250387e-4,0.002803214717543087
Afghanistan,Maintenance_perio,0.04149599214370555,0.06368049438569122
Afghanistan,Implant_surgery,0.00983354827411043,0.028837663911148913
Afghanistan,Full_fixed,0.0035450134755965366,0.0278969110885855
Albania,Consult_simple,0.007768504838895202,0.013520935745064001
Albania,OPG,0.006171311541439113,0.010320182647550127
Albania,PA,0.0020491779756897552,0.0028102254553915773
Albania,Prophy,0.013051274872697232,0.007298185964472251
Albania,Maintenance_simp,0.04554784215901713,0.03400344650827107
Albania,OHI,0.0029872702292431503,0.0057529394855913175
Albania,Consult_perio,0.0014200890375521765,0.002732830249325358
Albania,RootDeb,0.003761396379758339,0.0072780591638039165
Albania,Extraction,0.0028651633525193345,0.005725054544743344
Albania,OFD,3.6315608016164246e-4,8.278258867329306e-4
Albania,GTR,9.261008308057644e-4,0.0012891452802851237
Albania,Single_implant,0.009670045999426185,0.01475139271284083
Albania,Denture,0.0010118990331324787,0.0024645677479969187
Albania,Denture_repair,8.902631254710507e-4,0.0018901901336245933
Albania,Maintenance_perio,0.01855253385156076,0.017171551736516542
Albania,Implant_surgery,0.002202956056796554,0.006055580183235705
Albania,Full_fixed,0.001871119654010001,0.0051830756758155655
Algeria,Consult_simple,0.12931040045830317,0.22231527089406158
Algeria,OPG,0.10303651184656631,0.15271815682604264
Algeria,PA,0.03445994427560655,0.04692828259442123
Algeria,Prophy,0.22446774104212677,0.12109920442693344
Algeria,Maintenance_simp,0.8155836367913684,0.6163175876050786
Algeria,OHI,0.04420376032751545,0.08549143144268899
