Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,1.777162939097089e-4,0.006731223634461929
Afghanistan,OPG,1.914602653456021e-5,3.782350028911997e-4
Afghanistan,PA,1.863407322700309e-5,1.8271864536426434e-4
Afghanistan,Prophy,7.700554572397911e-4,0.0029100911465344214
Afghanistan,Maintenance_simp,4.433087549528136e-4,0.008538350896457617
Afghanistan,OHI,1.1208647540774787e-5,2.0144859169299534e-4
Afghanistan,Consult_perio,2.0323100737020198e-4,0.002750293821156024
Afghanistan,RootDeb,7.636697770430252e-5,0.002123255391047915
Afghanistan,Extraction,1.2604876224480145e-4,0.002897340100610006
Afghanistan,OFD,7.303705263458442e-29,4.00036058524856e-27
Afghanistan,GTR,1.662135839379875e-5,9.461821923981963e-5
Afghanistan,Single_implant,9.586993058909115e-5,5.481422641702571e-4
Afghanistan,Denture,8.962892288499696e-7,4.899273564272318e-5
Afghanistan,Denture_repair,3.4035955168507196e-7,1.2315053653239839e-5
Afghanistan,Maintenance_perio,7.995864338375824e-4,0.005318784586087076
Afghanistan,Implant_surgery,1.0938111486749255e-4,0.0014716595212366395
Afghanistan,Full_fixed,2.8575362560451327e-5,4.5054140928678865e-4
Albania,Consult_simple,2.1196156256651083e-4,0.001392145622314774
Albania,OPG,4.2171632121264044e-06,2.736496008980452e-5
Albania,PA,4.300792657289326e-6,2.087139188801842e-5
Albania,Prophy,2.8347992699444925e-4,9.388901031706085e-4
Albania,Maintenance_simp,3.483114481333673e-4,0.0014324786201045674
Albania,OHI,4.72473190302389e-6,3.323631968561968e-5
Albania,Consult_perio,7.298952103199342e-5,4.786515184663775e-4
Albania,RootDeb,8.317291626927867e-5,4.94549701650041e-4
Albania,Extraction,1.5754831252671317e-4,8.492639655732821e-4
Albania,OFD,2.2198870026355917e-6,1.867478466617553e-5
Albania,GTR,4.881210805545276e-6,2.3382953574005305e-5
Albania,Single_implant,4.077625920648007e-5,2.003176255839506e-4
Albania,Denture,2.1073903415840346e-5,1.8968353214006973e-4
Albania,Denture_repair,2.0237677023544275e-5,1.2073887125396198e-4
Albania,Maintenance_perio,2.955384180914716e-4,0.0014487431917524
Albania,Implant_surgery,2.058569483592373e-5,1.6124960288703855e-4
Albania,Full_fixed,2.3343934041345838e-5,2.6139707290703286e-4
Algeria,Consult_simple,0.003133553055222015,0.017527776623395264
Algeria,OPG,7.877509125755544e-5,5.051804813783567e-4
Algeria,PA,7.912678137544028e-5,4.284845586182465e-4
Algeria,Prophy,0.004811533069245026,0.01738248386707776
Algeria,Maintenance_simp,0.006095422626014293,0.025574027013934277
Algeria,OHI,6.715454030311787e-5,4.8396509720096743e-4
Algeria,Consult_perio,0.0012957354702683725,0.009535861929106715
Algeria,RootDeb,0.0015156273231728315,0.010845008387325657
Algeria,Extraction,0.002115865856439129,0.011420197732842582
Algeria,OFD,3.1104982445452396e-5,3.06878129304255e-4
Algeria,GTR,6.978083914121772e-5,3.8797069863438175e-4
Algeria,Single_implant,5.793322841865536e-4,0.0027095164025386876
Algeria,Denture,3.0268127848613445e-4,0.002313304667259642
Algeria,Denture_repair,2.883307162415985e-4,0.0014827239102344117
Algeria,Maintenance_perio,0.004876499678857428,0.023547072664307115
Algeria,Implant_surgery,3.186678954687661e-4,0.002917458776229348
Algeria,Full_fixed,2.7315445158048395e-4,0.0025918041499558464
American Samoa,Consult_simple,3.6933042375559694e-6,2.9663190950701523e-5
American Samoa,OPG,6.539408765658267e-8,3.4993196773945177e-7
American Samoa,PA,7.284846297672176e-8,3.4825444332527154e-7
American Samoa,Prophy,5.186558005211812e-6,1.6840376154515137e-5
American Samoa,Maintenance_simp,7.534132040480055e-6,3.6489151193614875e-5
American Samoa,OHI,7.78600668120189e-8,5.005871364445662e-7
American Samoa,Consult_perio,1.3405298448996042e-6,8.508140034506992e-6
American Samoa,RootDeb,1.6438747855781734e-6,9.140928867926916e-6
American Samoa,Extraction,2.9350072794057602e-6,1.9103330110870236e-5
American Samoa,OFD,3.721832774638844e-8,3.084077262171751e-7
American Samoa,GTR,8.38416059059053e-8,4.317070603095919e-7
American Samoa,Single_implant,7.675808557315802e-7,4.5400825051167655e-6
American Samoa,Denture,3.8443869758006516e-7,3.68615007587898e-6
American Samoa,Denture_repair,4.85248302553472e-7,3.2525886652020816e-6
American Samoa,Maintenance_perio,5.614255300486041e-6,2.3919681343927688e-5
American Samoa,Implant_surgery,3.96831145397495e-7,2.8104060707358637e-6
American Samoa,Full_fixed,3.414892863834577e-7,3.7612490251767965e-6
Andorra,Consult_simple,1.4119501051330888e-5,6.13624680034052e-5
Andorra,OPG,2.428232964071104e-7,8.204728923524482e-7
Andorra,PA,2.6629080505278116e-7,9.77276260695494e-7
Andorra,Prophy,1.8436036824757976e-5,6.327927161603876e-5
Andorra,Maintenance_simp,2.639673250035943e-5,1.1393509413748687e-4
Andorra,OHI,3.1598107625455763e-7,1.1691379215304243e-6
Andorra,Consult_perio,6.137747024940915e-6,2.5751967077557955e-5
Andorra,RootDeb,9.800790236651472e-6,4.176080314986024e-5
Andorra,Extraction,1.800123087815071e-5,6.811760927776573e-5
Andorra,OFD,2.5589515866995957e-07,1.6961527671381678e-6
Andorra,GTR,2.9481460825551365e-7,1.463405185736079e-6
Andorra,Single_implant,2.81950734408066e-6,1.1705526315119609e-5
Andorra,Denture,2.713889646261635e-6,1.069985701816117e-5
Andorra,Denture_repair,2.9371812878878917e-6,1.1295812316789061e-5
Andorra,Maintenance_perio,2.5929812753969224e-5,1.0299514397010491e-4
Andorra,Implant_surgery,9.56039447774874e-7,7.566739681326096e-6
Andorra,Full_fixed,2.2740219526547922e-6,1.9213070936747816e-5
Angola,Consult_simple,0.0010034945044950121,0.009914591234049057
Angola,OPG,2.9476459819704133e-5,2.559319180829125e-4
Angola,PA,4.0244339951935725e-5,5.812300350906205e-4
Angola,Prophy,0.0019401912238249453,0.006454714339845884
Angola,Maintenance_simp,0.002172841207468718,0.012673106335709417
Angola,OHI,3.082018081017391e-5,2.706084822945719e-4
Angola,Consult_perio,2.923962261418286e-4,0.002040825734174986
Angola,RootDeb,3.288403873148582e-4,0.0034340536251157997
Angola,Extraction,5.867092193936028e-4,0.006551491538788037
Angola,OFD,4.973833087424338e-6,7.635427399390944e-5
Angola,GTR,2.702762117094768e-5,1.7551893347870657e-4
Angola,Single_implant,1.9169148793968244e-4,0.0011655773450561858
Angola,Denture,4.718829816473819e-5,5.257198457209846e-4
Angola,Denture_repair,6.118296287508668e-5,8.334742817607578e-4
Angola,Maintenance_perio,0.001753240275884453,0.010749374828877393
Angola,Implant_surgery,9.51752525652893e-5,6.817172549259036e-4
Angola,Full_fixed,8.170949463582554e-5,0.001050644398257247
Antigua and Barbuda,Consult_simple,9.023352043162283e-6,4.586029383538644e-5
Antigua and Barbuda,OPG,1.7400976497457925e-7,8.175998745973059e-7
Antigua and Barbuda,PA,2.0310705694402125e-7,8.029374800212987e-7
Antigua and Barbuda,Prophy,1.2544043537779107e-5,4.112098681288656e-5
Antigua and Barbuda,Maintenance_simp,1.600813031098211e-5,7.420271183622003e-5
Antigua and Barbuda,OHI,2.2288739090239885e-7,1.2040715731075208e-6
Antigua and Barbuda,Consult_perio,4.585566749400375e-6,2.427898559472908e-5
Antigua and Barbuda,RootDeb,5.88539722081963e-6,2.3806378960726324e-5
Antigua and Barbuda,Extraction,1.1847651970935964e-5,5.838704874698702e-5
Antigua and Barbuda,OFD,1.3468919243939692e-7,7.733376553388211e-7
Antigua and Barbuda,GTR,2.995770632837769e-7,1.6696163364109698e-6
Antigua and Barbuda,Single_implant,2.4306391724996443e-6,1.173200130673745e-5
Antigua and Barbuda,Denture,1.7897186934096526e-6,1.0779413954926973e-5
Antigua and Barbuda,Denture_repair,1.8345745733605186e-6,8.295289728993658e-6
Antigua and Barbuda,Maintenance_perio,2.0013862260787974e-5,8.820863244541404e-5
Antigua and Barbuda,Implant_surgery,1.4429818211317011e-6,1.2398091969116846e-5
Antigua and Barbuda,Full_fixed,1.7994968952793332e-6,1.8723433475164004e-5
Argentina,Consult_simple,0.004272621988137136,0.028720867936184124
Argentina,OPG,8.784338561164802e-5,0.00046425542038228877
Argentina,PA,8.675964686879219e-5,3.2102574496996073e-4
Argentina,Prophy,0.005904053173453968,0.019307219617966546
Argentina,Maintenance_simp,0.007852056659386287,0.03386232091115925
Argentina,OHI,1.1736676989467271e-4,7.567044286448593e-4
Argentina,Consult_perio,0.0017223425674952096,0.009383196083220711
Argentina,RootDeb,0.002223258158076001,0.011276934754405032
Argentina,Extraction,0.004035026594508067,0.02064732901619216
Argentina,OFD,5.128980340410207e-5,4.972452343920356e-4
Argentina,GTR,8.849555840845229e-5,3.834597725830206e-4
Argentina,Single_implant,9.552503127926631e-4,0.004590508193236273
Argentina,Denture,6.94916336620281e-4,0.005052130284622083
Argentina,Denture_repair,6.152175202071104e-4,0.002990469865346527
Argentina,Maintenance_perio,0.006145746410563304,0.02801210266741441
Argentina,Implant_surgery,3.7367782919073717e-4,0.003058901509502336
Argentina,Full_fixed,4.4724934090091106e-4,0.0032206213091396925
Armenia,Consult_simple,2.0967367430650303e-4,0.0019232088479429644
Armenia,OPG,3.784805613770003e-6,2.1873222665732297e-5
Armenia,PA,3.86316687082186e-6,2.2364986311235492e-5
Armenia,Prophy,2.621519865083752e-4,8.601911834005497e-4
Armenia,Maintenance_simp,3.144560009182126e-4,0.0013678850810882024
Armenia,OHI,4.460118937120274e-6,4.3252086089914466e-5
Armenia,Consult_perio,6.574258394836984e-5,3.544493228373891e-4
Armenia,RootDeb,7.812844433680735e-5,3.91221381989805e-4
Armenia,Extraction,1.7177126900576786e-4,0.0010860382918751648
Armenia,OFD,1.6972908004893414e-6,1.0256071114585154e-5
Armenia,GTR,4.918578882804188e-6,2.7535553813794062e-5
Armenia,Single_implant,4.0431956076898836e-5,2.098065108135759e-4
Armenia,Denture,2.1244781826965326e-5,1.3518994744614177e-4
Armenia,Denture_repair,2.1005748226594052e-5,1.373295655132379e-4
Armenia,Maintenance_perio,3.54390370817583e-4,0.0015255706013553659
Armenia,Implant_surgery,2.7789260981342278e-5,2.606779914073687e-4
Armenia,Full_fixed,1.9810340330886125e-5,2.273050443615356e-4
Australia,Consult_simple,0.0067692487744177915,0.021906381598031856
Australia,OPG,1.3825820857701204e-4,4.4954423884128986e-4
Australia,PA,2.55361898262997e-4,7.64484751279577e-4
Australia,Prophy,0.010084592078117294,0.03232151054841422
Australia,Maintenance_simp,0.012958122275994329,0.042002038741324514
Australia,OHI,1.0463021608073845e-4,4.0510929006013765e-4
Australia,Consult_perio,0.001220082522118202,0.004579327535073018
Australia,RootDeb,0.004136402837124183,0.015058231371848233
Australia,Extraction,0.007874853974147672,0.02566999124753586
Australia,OFD,1.2810669893903678e-4,4.58443462695147e-4
Australia,GTR,8.485817161658621e-5,3.116481671447426e-4
Australia,Single_implant,0.0010801804577239209,0.0038545214205885983
Australia,Denture,5.064204086371215e-4,0.0015172112572023804
Australia,Denture_repair,0.0010190484582393378,0.003616634615444176
Australia,Maintenance_perio,0.010908478666249687,0.04015658811480313
Australia,Implant_surgery,2.2807740034394848e-4,0.0013404258845952364
Australia,Full_fixed,0.0010487718859912764,0.006175592236910308
Austria,Consult_simple,0.001667748140220731,0.006573549215389116
Austria,OPG,2.7627894755432443e-5,1.0176196707200649e-4
Austria,PA,3.179764810574914e-5,1.3743431848478336e-4
Austria,Prophy,0.00203498663044095,0.006958089371481066
Austria,Maintenance_simp,0.002505509430431827,0.010049435188217779
Austria,OHI,3.6387929081769414e-5,1.565786048094347e-4
Austria,Consult_perio,6.357168970736127e-4,0.002915743131814921
Austria,RootDeb,8.657592360933582e-4,0.003534811288712713
Austria,Extraction,0.0015954451000356278,0.0062073276609841185
Austria,OFD,2.2407222785313297e-5,1.1442350361651558e-4
Austria,GTR,2.1465719896637035e-5,8.859302483885758e-5
Austria,Single_implant,2.829987328392535e-4,0.0011128788736657204
Austria,Denture,2.2178913976423392e-4,8.280101255942426e-4
Austria,Denture_repair,2.6303267822441555e-4,0.0010402636603622098
Austria,Maintenance_perio,0.0019436769650300698,0.007453394072154643
Austria,Implant_surgery,7.218246389918168e-5,5.804131332382401e-4
Austria,Full_fixed,1.6601446376311903e-4,0.0012638468352315247
Azerbaijan,Consult_simple,9.482096440464372e-4,0.004765191528431577
Azerbaijan,OPG,1.739657099541298e-5,7.80499857450959e-5
Azerbaijan,PA,1.9396392412919378e-5,8.843423789178365e-5
Azerbaijan,Prophy,0.0014038797726352143,0.004757939032665701
Azerbaijan,Maintenance_simp,0.0016092233940723396,0.006838636506363263
Azerbaijan,OHI,1.8397580509109577e-5,1.0197027906986829e-4
Azerbaijan,Consult_perio,3.18863698772913e-4,0.0019852080111030157
Azerbaijan,RootDeb,3.1336802314660796e-4,0.0017616292220748071
Azerbaijan,Extraction,6.680050370304748e-4,0.0035012250589685446
Azerbaijan,OFD,7.711921727221732e-6,5.02834630043676e-5
Azerbaijan,GTR,2.2134293332977874e-5,1.5056895531953042e-4
Azerbaijan,Single_implant,1.444894266384499e-4,6.363360805333109e-4
Azerbaijan,Denture,8.46039868372704e-5,4.888310090292686e-4
Azerbaijan,Denture_repair,1.0542586733173959e-4,5.245726681034429e-4
Azerbaijan,Maintenance_perio,0.0013130620014784227,0.006847093950945201
Azerbaijan,Implant_surgery,8.677996664400937e-5,7.375878268240871e-4
Azerbaijan,Full_fixed,8.805141055503538e-5,9.381348548898015e-4
Bahamas,Consult_simple,5.2057381653740044e-5,2.2631517718698193e-4
Bahamas,OPG,9.540010711766238e-7,4.078848249097261e-6
Bahamas,PA,9.408118566945402e-7,3.3932292882941334e-6
Bahamas,Prophy,6.553407733889981e-5,2.1512220402645238e-4
Bahamas,Maintenance_simp,9.24654866235352e-5,3.929493014066708e-4
Bahamas,OHI,1.0922749690925841e-6,4.917052406417092e-6
Bahamas,Consult_perio,2.027396090278226e-5,9.026467831897315e-5
Bahamas,RootDeb,2.6366536897301043e-5,1.0419090395059813e-4
Bahamas,Extraction,5.1106304242258084e-5,1.9158013361852014e-4
Bahamas,OFD,6.34859657720567e-7,2.6116374297714745e-6
Bahamas,GTR,1.0059863658900618e-6,4.353040639253992e-6
Bahamas,Single_implant,9.436676435661544e-6,3.8162820083335426e-5
Bahamas,Denture,8.08597521584999e-6,4.182777688722224e-5
Bahamas,Denture_repair,8.217036748408845e-6,3.351092092390906e-5
Bahamas,Maintenance_perio,1.0708036356723373e-4,4.638040645357395e-4
Bahamas,Implant_surgery,3.93848451504599e-6,2.8745366445216866e-5
Bahamas,Full_fixed,6.566364869082893e-6,4.439653044797994e-5
Bahrain,Consult_simple,3.3556269945160565e-4,0.0012160979839776257
Bahrain,OPG,5.5736178203965064e-6,2.5468529070696644e-5
Bahrain,PA,5.455796860762848e-6,1.717405309781431e-5
Bahrain,Prophy,4.1117570774952913e-4,0.0013601612522760424
Bahrain,Maintenance_simp,5.715879206920737e-4,0.0022552445340860592
Bahrain,OHI,6.93399490140717e-6,3.036523667502211e-5
Bahrain,Consult_perio,9.702034860425075e-5,3.6254647535436784e-4
Bahrain,RootDeb,1.465787413106364e-4,5.307728451073722e-4
Bahrain,Extraction,3.0618418966557587e-4,0.0011580990907158297
Bahrain,OFD,4.2477406501735e-6,2.1360155020722386e-5
Bahrain,GTR,5.018553505053163e-6,2.4186597740598468e-5
Bahrain,Single_implant,4.5522369212849695e-5,1.688587671616757e-4
Bahrain,Denture,4.7142861883173037e-5,1.8380386461671645e-4
Bahrain,Denture_repair,4.851476629243585e-5,1.9899362535913035e-4
Bahrain,Maintenance_perio,4.36957624507893e-4,0.0017647942935007561
Bahrain,Implant_surgery,1.6940041304932182e-5,1.5190701078675407e-4
Bahrain,Full_fixed,3.669783906247094e-5,2.434373092074493e-4
Bangladesh,Consult_simple,0.0033380336754760993,0.03633703633381158
Bangladesh,OPG,1.3566177445261293e-4,8.484990109319995e-4
Bangladesh,PA,1.6517276930173267e-4,0.001112957605329591
Bangladesh,Prophy,0.007192339783651346,0.022478596787395843
Bangladesh,Maintenance_simp,0.008779976227887924,0.04982599600861282
Bangladesh,OHI,1.2739902456389407e-4,0.0015999344094819185
Bangladesh,Consult_perio,0.003746556388798533,0.0355049136393496
Bangladesh,RootDeb,0.0034456252048661235,0.0323568436654451
Bangladesh,Extraction,0.005089145860019522,0.04922611150041093
Bangladesh,OFD,4.744038574965602e-5,8.905344471118396e-4
Bangladesh,GTR,3.4960742608345356e-4,0.001756309740483556
Bangladesh,Single_implant,0.002726248229033962,0.017918685656250863
Bangladesh,Denture,8.00430897915991e-4,0.009968985023572208
Bangladesh,Denture_repair,9.685248776730461e-4,0.017499624019750987
Bangladesh,Maintenance_perio,0.02344960846515048,0.14052798417833443
Bangladesh,Implant_surgery,0.0016530336184827216,0.012573804759174224
Bangladesh,Full_fixed,8.689329284139711e-4,0.009873920734016045
Barbados,Consult_simple,2.5277330635391064e-5,1.6368112499510058e-4
Barbados,OPG,5.8749018062758e-7,4.818624331061748e-6
Barbados,PA,5.36326251247296e-7,2.330363259718154e-6
Barbados,Prophy,3.0147840023960416e-5,9.621882766194391e-5
Barbados,Maintenance_simp,3.415568931176414e-5,1.4723800879425488e-4
Barbados,OHI,5.402065256250393e-7,4.250848233868759e-6
Barbados,Consult_perio,1.3239119921658232e-5,8.740541449193701e-5
Barbados,RootDeb,1.4627005648596919e-5,8.340279862888293e-5
Barbados,Extraction,2.6228515553364093e-5,1.339317985732479e-4
Barbados,OFD,2.9362418380165065e-7,2.88486807182997e-6
Barbados,GTR,7.503163007486642e-7,3.88831176640272e-6
Barbados,Single_implant,6.918365392502747e-6,3.2578764911387084e-5
Barbados,Denture,4.738057516447301e-6,7.010808567272461e-5
Barbados,Denture_repair,4.320251097101205e-6,2.525206399804737e-5
Barbados,Maintenance_perio,5.028407233670034e-5,2.6101171729810396e-4
Barbados,Implant_surgery,3.0272379429692393e-6,2.2618473032606377e-5
Barbados,Full_fixed,2.6915006485504916e-6,1.8698611325903768e-5
Belarus,Consult_simple,9.501966586221273e-4,0.004748348257895118
Belarus,OPG,1.7854579960035246e-5,7.833377472974474e-5
Belarus,PA,1.9070711692037316e-5,9.055905661167379e-5
Belarus,Prophy,0.001240215636011694,0.0038957670239876687
Belarus,Maintenance_simp,0.0014963194910274408,0.00671604060392483
Belarus,OHI,2.1381308582801724e-5,1.5603430855418314e-4
Belarus,Consult_perio,4.4652089043720054e-4,0.0023939367935401057
Belarus,RootDeb,5.137141939101625e-4,0.002942468381880324
Belarus,Extraction,0.0010060991122886334,0.0048221627680233616
Belarus,OFD,1.3361664507094693e-5,8.357556160456644e-5
