Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.003102435856622627,0.07849098107944635
Afghanistan,OPG,0.006047164506699146,0.032963074823795305
Afghanistan,PA,0.002153433205063912,0.009847893752366275
Afghanistan,Prophy,0.010611233788175644,0.01327860240431997
Afghanistan,Maintenance_simp,0.005307047089014512,0.04526147322133066
Afghanistan,OHI,0.0033075352914998866,0.0422844164864298
Afghanistan,Consult_perio,0.0014596412022990517,0.008901734566907035
Afghanistan,RootDeb,4.190357006628215e-4,0.005691985584918029
Afghanistan,Extraction,8.546334310498066e-4,0.00914549648019285
Afghanistan,OFD,1.357413065918965e-11,7.434857560560567e-10
Afghanistan,GTR,0.0017243456683504388,0.0035398088598344677
Afghanistan,Single_implant,0.013184792732949698,0.03174290214100945
Afghanistan,Denture,2.386431781390738e-5,9.082680884596641e-4
Afghanistan,Denture_repair,5.879199275739454e-5,0.0017162971561106165
Afghanistan,Maintenance_perio,0.007882628943333943,0.022189202899756275
Afghanistan,Implant_surgery,0.005303872544073174,0.020627159456395282
Afghanistan,Full_fixed,0.0010609224328760331,0.008275962947957329
Albania,Consult_simple,0.0020088654895372877,0.004931396685342851
Albania,OPG,0.001753674177518918,0.003790407029674741
Albania,PA,7.197627839691362e-4,0.0011835562897782215
Albania,Prophy,0.0032061509438005313,0.003386002746671609
Albania,Maintenance_simp,0.0033401094217878164,0.005548722504198179
Albania,OHI,7.952976542340477e-4,0.0019780097865250024
Albania,Consult_perio,7.157407329027674e-4,0.0017991203434195879
Albania,RootDeb,0.0018637115646608611,0.003984369549543013
Albania,Extraction,0.001508173553510306,0.0035693908678263706
Albania,OFD,1.978057759104228e-4,5.826472872334274e-4
Albania,GTR,4.776161919873117e-4,8.89873523434814e-4
Albania,Single_implant,0.004624370028163405,0.007595287444198211
Albania,Denture,4.7017339002429194e-4,0.0013636374597012996
Albania,Denture_repair,3.976464726463021e-4,8.647829373102195e-4
Albania,Maintenance_perio,0.0029353026270982963,0.005071861190494608
Albania,Implant_surgery,0.00097130691515472805,0.0034273775972049557
Albania,Full_fixed,8.827232875191394e-4,0.0032104711666540247
