Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.27077460746511867,0.554178603915065,0.04975992155312917,0.08794397932879612,0.03800880050632576,0.06432739881728619
Albania,0.1260983360390317,0.05491679865195241,0.023815768691914343,0.019668827106664618,0.015019204559037049,0.015686258549788543
Algeria,2.1386993297223342,0.8926832457963747,0.3845359400924649,0.3216738160861909,0.2565153038696712,0.2743107930867259
American Samoa,0.0024465799192032317,0.0010542786775583467,4.7333776829722505e-4,3.9913695571481834e-4,3.1999143117677256e-4,3.66097774296103e-4
Andorra,0.01048765309938551,0.002823430717391522,0.0019803539798981295,0.0010144992690871264,0.0012192415577959306,9.994086084820827e-4
Angola,0.8402806778725679,0.5943644446844548,0.11241636305067616,0.12387807264852675,0.08261109203544018,0.10956117224520569
Antigua and Barbuda,0.006862111092680995,0.0023134921472942067,0.0015831952984162714,0.0010437251391235381,0.0010169040683339137,9.975394258070073e-4
Argentina,2.9579444431299184,1.0875547436419482,0.5541173319255638,0.3805178402363935,0.3623869092822478,0.3974847469363862
Armenia,0.13765813037994143,0.05937571394859231,0.026381708317498236,0.02131602019157383,0.017361790406860825,0.020444714996010478
Australia,4.679018141149158,0.9772421806527894,0.8586981928655391,0.3217269035223052,0.49071228491804947,0.3546753008079545
Austria,1.0603091021687305,0.2724096023616147,0.18214423870289512,0.09163667126611415,0.10941663996510435,0.09591943387552539
Azerbaijan,0.5845402999441084,0.22286083145239233,0.10114925295211881,0.07378358608266886,0.06507859919307717,0.07019020487184112
Bahamas,0.03694718600816192,0.011426505296421936,0.008079249755968652,0.004559490191885146,0.005054416266681724,0.004752301373046564
Bahrain,0.19891765770530775,0.050638027075981605,0.03681444275907828,0.018484990326790157,0.022099397098946927,0.017768459258323557
Bangladesh,5.471211694618415,3.648033329113131,1.560129254126038,1.753962714997831,1.0475790214139835,1.3762384264160785
