Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.002810697674933901,0.011151818917818064,7.515932103272932e-4,0.005464465668946814,2.02534096657401e-4,0.0010371196767744062
Albania,0.0015404506748540705,0.0036281812110070125,3.893442788468402e-4,0.0019259014459448917,1.0506047445367965e-4,4.8006569704357933e-4
Algeria,0.02725269766450274,0.07047557471174075,0.006967293794899002,0.03210994978491258,0.0016693653627202175,0.00765691541573736
American Samoa,3.0371877308275425e-5,6.63920602930367e-5,7.958236982804576e-6,3.35049021060177e-5,2.2705816125899814e-6,8.548588168369823e-6
Andorra,1.3556575051417217e-4,2.802592620193782e-4,3.609972796692214e-5,1.1425670325685139e-4,1.1155982753488628e-5,4.90209623587933e-5
Angola,0.009618517723153358,0.02788261483675272,0.0017674286602704628,0.007605447115614912,5.729511168525657e-4,0.0034158781959386228
Antigua and Barbuda,8.960715041953602e-5,1.8439914744188633e-4,2.7099562000648858e-5,1.0938305015223685e-4,8.278570923302162e-6,3.659669900885847e-5
Argentina,0.03548808795862663,0.07077485108537881,0.009577197441171992,0.03366386703817804,0.0027740435070033238,0.011804930707604525
Armenia,0.0018082531419859513,0.004134295413182607,4.7386432590680496e-4,0.0019586545098989956,1.2554805445405112e-4,5.492741761986779e-4
Australia,0.05858191307978321,0.09866798969221767,0.015003933951589318,0.04323015786172372,0.004132809577705322,0.012953577265630765
Austria,0.013397365818460532,0.024727508799757547,0.003210121759556647,0.009135612832321137,9.508249038035157e-4,0.0034228530554565877
Azerbaijan,0.006894018504438887,0.01368938190404152,0.001533366154604893,0.004979942087840417,4.763541944307002e-4,0.0017284922078556763
Bahamas,4.863330632693078e-4,9.526749527130005e-4,1.2236294946516832e-4,3.6894204791509554e-4,4.056192688376266e-5,1.2966979632838472e-4
Bahrain,0.0027190068934681766,0.005006113008860658,6.857449072341414e-4,0.002192143625978767,1.9606026954760086e-4,6.030907197159135e-4
Bangladesh,0.06490807249652805,0.23367385224293474,0.02389543930514947,0.11013568528901696,0.006257739046121402,0.03011888741404036
Barbados,2.083624926283117e-4,4.410800834204978e-4,6.306032483865806e-5,2.4726901010150236e-4,1.9839739208182825e-5,7.177106698063465e-5
Belarus,0.00821744701913225,0.015613271327616593,0.0025329643558895717,0.008824612083419779,6.733882104249711e-4,0.0023970389509131405
Belgium,0.019412580028416827,0.034651339689572944,0.005793364758766907,0.01816548526842413,0.001799114285295513,0.00589163668998289
Belize,2.0863684884695618e-4,5.627817564501919e-4,5.3464454497259335e-5,2.4816597873062634e-4,1.6851884340526567e-5,7.254738145218833e-5
Benin,0.0032509684991796177,0.011807973939860465,0.0010860542884929113,0.005955780581395001,2.6428008868463254e-4,0.0011869859350199696
Bermuda,1.7218132778881235e-4,3.2797665128689253e-4,5.591847190477761e-5,1.4903544792550596e-4,1.7829873940681103e-5,5.945737576796657e-5
Bhutan,5.317769999412798e-4,0.0013483048392823776,1.671605313579228e-4,7.425650277894095e-4,4.998100454705451e-5,2.3481889091422962e-4
Bolivia (Plurinational State of),0.004573237585080934,0.014799825587441856,0.0010934076749516924,0.004209961397855391,3.2281863339921085e-4,0.001430378996780111
Bosnia and Herzegovina,0.001927837343184647,0.003931122757489121,5.213169421608484e-4,0.001913717828899125,1.574535613213313e-4,5.39664148811962e-4
Botswana,0.0018157224949437783,0.0038352357349119653,1.4370211899323782e-4,3.9821349051360485e-4,3.032231794831496e-5,9.143031730998713e-5
Brazil,0.17219723725216052,0.3255176831864989,0.026662866174970188,0.07339912472897993,0.00529557121914943,0.016324331988936062
Brunei Darussalam,8.411051462923762e-4,0.0015092460377737619,1.455329798085163e-4,4.3294817182295506e-4,4.203909093875972e-5,1.3231129450002772e-4
Bulgaria,0.0054770734722950805,0.010694655160213248,0.0011779245968720558,0.004403636477353718,3.5839778265348346e-4,0.0012059447109540314
Burkina Faso,0.004716274621906089,0.018400120147235306,0.0021994093180150065,0.012906604266223087,4.571093351158115e-4,0.002186802956495338
Burundi,6.687972195200568e-4,0.002534629575600194,2.964479599858353e-4,0.002210720559868489,9.549900843275901e-5,5.634383210249839e-4
Cabo Verde,3.1473275634377696e-4,0.0010559912770379237,1.335070605094626e-4,8.341597098647762e-4,3.8438047445169626e-5,2.0189776132537975e-4
Cambodia,0.004194593974972324,0.014903212691103304,0.0010304824385420725,0.004913954068308006,3.0500068597944126e-4,0.0015208700931814397
Cameroon,0.008895693022101595,0.02919700554156673,0.0034365881383148587,0.020100078238711537,8.766628096137887e-4,0.005028875233221604
Canada,0.08391048796411708,0.14949571531300637,0.020231616637025957,0.05924476040812366,0.006053979501696497,0.0182185972508695
Central African Republic,3.5042601126401195e-4,0.002513316053855275,1.2013562108215232e-4,8.253877038850519e-4,4.192191707024948e-5,2.3678047175015876e-4
Chad,0.0025150271683985377,0.010436532140368125,9.469097131204725e-4,0.006300539713746451,3.4759057769998534e-4,0.003135448677741064
Chile,0.0299031388757147,0.05327030418117157,0.00888134630990365,0.029798418892118494,0.0014269148383672507,0.004298522059761553
China,0.3161771927432384,0.5498281262635666,0.08551527394272804,0.24390263458740652,0.027573759521021337,0.08531481923564388
Colombia,0.035553375221075496,0.0748404575962007,0.009764950558752919,0.036317468875380496,0.0027873091251311034,0.011417798367792033
