Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.06032068344104963,0.12635946475162302,0.010039694431266132,0.026308545337840442,0.01946225024524278,0.04033847020960919
Albania,0.02724900226511182,0.021145392564786446,0.005421137201517011,0.0063361674181460406,0.007684923969560154,0.010926326359237548
Algeria,0.4803150754412001,0.37832089632115773,0.0932501596380516,0.12183417886197465,0.12974874787204926,0.1936980130590004
American Samoa,5.585941114330773e-4,4.180943656161234e-4,1.1725120235385873e-4,1.4933389190086488e-4,1.60034417761856e-4,2.2501328235270942e-4
Andorra,0.0023680673077403867,0.0015399362123738295,5.150226966878777e-4,4.91090557633908e-4,6.245480025159345e-4,7.08164144213569e-4
Angola,0.16954552290928251,0.16095017765953706,0.02471248209291659,0.03551983611583285,0.04080449116944629,0.07157734325725909
Antigua and Barbuda,0.0016612845430735111,0.0012236787841034648,4.0247515683164957e-4,4.171528716691248e-4,5.120065355625072e-4,7.013785775936414e-4
Argentina,0.6640696882370373,0.4586383796149121,0.14294877401648456,0.15888532037338715,0.18423104691020703,0.22807253340710007
Armenia,0.03017911899556867,0.022855595877077514,0.0060584141637638,0.007777390147867482,0.008697661599298735,0.012409490462929591
Australia,1.0201315066280414,0.6069063985760458,0.2223740543350419,0.17119113666747945,0.24332399766057775,0.2486563818866774
Austria,0.2252736025575783,0.13684729583654326,0.04594095913243101,0.04072059399901625,0.05452575526350855,0.06121773573563142
Azerbaijan,0.12597675904461714,0.08707326921021513,0.02432011397684566,0.02988728165525088,0.032729216784977325,0.04218284523602003
Bahamas,0.008772369147887494,0.005703996115687196,0.0020481473111633505,0.001957503021047792,0.002529688507975143,0.002923048994337189
Bahrain,0.04409078379602936,0.02825091562123406,0.009594596540112745,0.008776142207875785,0.011151196116713183,0.01282112790126074
Bangladesh,1.378930510767858,1.4133261037241485,0.34224072240258413,0.5922232866017046,0.5310609297139597,0.9600206447066946
Barbados,0.004234054671453712,0.0033133552682481394,0.0010353124635368784,0.0012166397883104675,0.0014154289200463595,0.0019219756474212737
Belarus,0.1474771630634424,0.10491907996002245,0.03234445287400847,0.033929250463157645,0.04407314085454984,0.058541337050009246
Belgium,0.36247345902670997,0.24600716909475948,0.09149574893402533,0.08216771639290987,0.10770262028092506,0.12731425217837178
Belize,0.0035031339292510145,0.0027126441340081164,7.452164179790893e-4,0.0010365592778233063,0.001039810281062017,0.0015090108869762905
Benin,0.06110415623792367,0.07165057582776473,0.012823275437854218,0.03132596657916755,0.021930363831019793,0.04210044284419984
Bermuda,0.003156550644034408,0.0021207076175452375,8.474112612207276e-4,7.176873613295745e-4,9.87183933423127e-4,0.0010493556543214077
Bhutan,0.009252922945820112,0.0078398517292165,0.002261463893480967,0.0029509945011369563,0.003235822377261878,0.005037153801401775
Bolivia (Plurinational State of),0.08139080345108005,0.07614563167742874,0.01649324501711811,0.03197727559096813,0.02370259268380759,0.03902831159735247
Bosnia and Herzegovina,0.03683894310391175,0.028204474448860397,0.007713653243657293,0.009557738670475087,0.010768950018009605,0.016410434785800773
Botswana,0.026403911360392066,0.01786979864127345,0.0021528470359387084,0.0017602661137757405,0.001679994501739892,0.0016277639241271073
Brazil,2.422569033560795,1.352085109092138,0.41974526782463406,0.3560859328400924,0.2688485275583977,0.25854980593545157
Brunei Darussalam,0.01399644394019739,0.008220353862774431,0.0022710906976037785,0.001891618414399143,0.002617657029284061,0.0028307628390531513
Bulgaria,0.09460111555754792,0.06354295572332962,0.01847312111161784,0.019642507230007555,0.024239692449829795,0.030891354484118155
