Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,3.808756222401775e-5,0.0010829956041510118
Afghanistan,OPG,1.4375463172190496e-5,1.8287114264110173e-4
Afghanistan,PA,2.4686131748105393e-5,3.2296838677356763e-4
Afghanistan,Prophy,8.855914275826862e-4,0.003203054043990689
Afghanistan,Maintenance_simp,6.431973375261322e-4,0.008295440648208805
Afghanistan,OHI,2.5437053405700757e-5,5.776798294822183e-4
Afghanistan,Consult_perio,1.0495309895025893e-4,0.001047447738671686
Afghanistan,RootDeb,1.7086974120492646e-5,4.5647449405762707e-4
Afghanistan,Extraction,1.2131943457767937e-4,0.0030304948854212033
Afghanistan,OFD,6.551491851039448e-8,3.588399854834139e-6
Afghanistan,GTR,1.7487163603811475e-5,8.616938439887943e-5
Afghanistan,Single_implant,9.019240023750847e-5,5.361048862169595e-4
Afghanistan,Denture,1.966822266194759e-7,7.694545408212068e-6
Afghanistan,Denture_repair,1.415788895396955e-6,6.769175612892252e-5
Afghanistan,Maintenance_perio,7.158764164469144e-4,0.005446012352557257
Afghanistan,Implant_surgery,8.408565361533455e-5,7.240071576495119e-4
Afghanistan,Full_fixed,2.6643571682541552e-5,4.5957045051783627e-4
Albania,Consult_simple,2.4052059634991098e-4,0.0016101035833568768
Albania,OPG,3.662872236408948e-6,2.0856619243348932e-5
Albania,PA,4.134422531494041e-6,2.117617839273969e-5
Albania,Prophy,2.7623873403323463e-4,8.636900412777028e-4
Albania,Maintenance_simp,3.326971874214676e-4,0.0014755600591528618
Albania,OHI,5.281080896553248e-6,3.2149092149102605e-5
Albania,Consult_perio,6.34535997279772e-5,3.911963999497282e-4
Albania,RootDeb,5.868187867453828e-5,3.286549564894346e-4
Albania,Extraction,1.210697857977137e-4,7.302777642096785e-4
Albania,OFD,2.012298605641729e-6,1.24509355697627e-5
Albania,GTR,4.04584235015443e-6,2.2274394015192263e-5
Albania,Single_implant,3.012530427365255e-5,1.2840056150331e-4
Albania,Denture,1.826830040330014e-5,1.42111905771794e-4
Albania,Denture_repair,1.72380343096938e-5,1.0092138200257599e-4
Albania,Maintenance_perio,3.23591901775296e-4,0.0018902278340983281
Albania,Implant_surgery,2.2166365774108055e-5,2.9182676579654843e-4
Albania,Full_fixed,1.72624696929251e-5,1.5241347359364017e-4
Algeria,Consult_simple,0.0033656364197053703,0.019071645963353985
Algeria,OPG,5.753536729277265e-5,3.377382936162058e-4
Algeria,PA,7.251641623727062e-5,3.8877593273715e-4
Algeria,Prophy,0.004646043425330585,0.016056150427896775
Algeria,Maintenance_simp,0.006625352194905321,0.031002580455706173
Algeria,OHI,6.817620543567889e-5,4.869545389509276e-4
Algeria,Consult_perio,9.75886166531739e-4,0.00555079424884519
Algeria,RootDeb,0.0013077247006629987,0.0069509724972876856
Algeria,Extraction,0.0028188933264339383,0.035159918802175255
Algeria,OFD,2.8860286615493778e-5,2.0110319980361644e-4
Algeria,GTR,6.72763947050848e-5,3.484653048750997e-4
Algeria,Single_implant,5.396404906796227e-4,0.0023219913984733965
Algeria,Denture,3.1020195322435353e-4,0.002398189653197551
Algeria,Denture_repair,3.0006321333178777e-4,0.0018321515306179462
Algeria,Maintenance_perio,0.005549431397926268,0.031128754550925793
Algeria,Implant_surgery,2.5125991307626617e-4,0.002819417919999963
Algeria,Full_fixed,2.681997924081875e-4,0.003919418454784828
American Samoa,Consult_simple,3.4283964036998384e-6,1.9930468754396987e-5
American Samoa,OPG,6.515940772617002e-8,4.2186965171067066e-7
American Samoa,PA,7.40397901663445e-8,3.450601082871596e-7
American Samoa,Prophy,4.833624520016974e-6,1.5670759522375546e-5
American Samoa,Maintenance_simp,7.38648396455708e-6,3.8252503643814654e-5
American Samoa,OHI,9.265425963360414e-8,6.340648108035198e-7
American Samoa,Consult_perio,1.44838245331742e-6,9.574245153112766e-6
American Samoa,RootDeb,1.7229043306989778e-6,1.3323831118426608e-5
American Samoa,Extraction,2.833577060116968e-6,1.661206724166096e-5
American Samoa,OFD,3.4792913266230596e-8,2.767447607400076e-7
American Samoa,GTR,7.884298412424754e-8,3.7350374389822267e-7
American Samoa,Single_implant,7.318979085407502e-7,3.3505284437263497e-6
American Samoa,Denture,3.3447262739389404e-7,2.1628143764774495e-6
American Samoa,Denture_repair,4.1952076153661776e-7,2.4801520031170833e-6
American Samoa,Maintenance_perio,6.102437608361591e-6,3.02360566700808e-5
American Samoa,Implant_surgery,4.3267231758873095e-7,3.5505190814570245e-6
American Samoa,Full_fixed,3.5201799752998855e-7,2.682436487897672e-6
Andorra,Consult_simple,1.405764649605248e-5,4.931440987512184e-5
Andorra,OPG,2.629007443927062e-7,1.0814274864686344e-6
Andorra,PA,2.7720626629629396e-7,1.0075578998253482e-6
Andorra,Prophy,1.8970640593950436e-5,5.8738154582222984e-5
Andorra,Maintenance_simp,3.0170124807804426e-5,1.1753836542689179e-4
Andorra,OHI,3.438931495796151e-7,1.591462878563165e-6
Andorra,Consult_perio,6.171938975105177e-6,2.6558807846440756e-5
Andorra,RootDeb,9.654813332489416e-6,5.0523913632232224e-5
Andorra,Extraction,1.8168401253873192e-5,1.011620902914625e-4
Andorra,OFD,2.413472854572423e-7,1.4738580559831657e-6
Andorra,GTR,3.2437830377243214e-7,2.780092400234714e-6
Andorra,Single_implant,2.6228054166728354e-6,9.420395943534124e-6
Andorra,Denture,2.483728308221259e-6,1.1159883826837894e-5
Andorra,Denture_repair,2.690865575296044e-6,1.4121447119949152e-5
Andorra,Maintenance_perio,2.5766476551910113e-5,9.888337104178617e-5
Andorra,Implant_surgery,1.1767202496689908e-6,1.1767852172328899e-5
Andorra,Full_fixed,2.181863203629499e-6,2.0686280225752618e-5
Angola,Consult_simple,0.001188901767780823,0.01580516565251126
Angola,OPG,3.1144969482955435e-5,2.4008399384839346e-4
Angola,PA,3.1689464466093896e-5,1.9840935713027964e-4
Angola,Prophy,0.002142684600798033,0.006748769293215705
Angola,Maintenance_simp,0.0027425911864464186,0.015527749215265384
Angola,OHI,4.1751118621694445e-5,4.6835382125507037e-4
Angola,Consult_perio,3.414575051787258e-4,0.0026419159269932065
Angola,RootDeb,3.164109156427066e-4,0.003556534244706316
Angola,Extraction,7.605434137481885e-4,0.008128441940544165
Angola,OFD,8.560425934897678e-6,1.7692955937660955e-4
Angola,GTR,2.6130285365194967e-5,1.4149490205247258e-4
Angola,Single_implant,1.7739112104005954e-4,0.0010856892348615687
Angola,Denture,1.0691714407357801e-4,0.0024176214121944067
Angola,Denture_repair,5.096226672196641e-5,5.549981481471907e-4
Angola,Maintenance_perio,0.0014137009528350606,0.006652752089297866
Angola,Implant_surgery,1.5213032823871935e-4,0.001191248858384639
Angola,Full_fixed,8.555025677824242e-5,8.907485422983243e-4
Antigua and Barbuda,Consult_simple,7.766949169569712e-6,4.1344653222052834e-5
Antigua and Barbuda,OPG,1.6818059671222806e-7,8.10645524812493e-7
Antigua and Barbuda,PA,1.9111549014435438e-7,7.390404304166866e-7
Antigua and Barbuda,Prophy,1.1887846106338624e-5,3.873466392422292e-5
Antigua and Barbuda,Maintenance_simp,1.7239475339183893e-5,7.02705016402655e-5
Antigua and Barbuda,OHI,2.4496324445361257e-7,1.1494739681215943e-6
Antigua and Barbuda,Consult_perio,5.981473177481531e-6,3.5420383688187765e-5
Antigua and Barbuda,RootDeb,5.832622109474764e-6,2.6915401884269325e-5
Antigua and Barbuda,Extraction,1.0826604640303188e-5,5.056908356202202e-5
Antigua and Barbuda,OFD,1.6487752497725555e-7,9.59214190827511e-7
Antigua and Barbuda,GTR,2.7290084009014743e-7,1.2503390984156415e-6
Antigua and Barbuda,Single_implant,2.2924973083771665e-6,1.0962679705953872e-5
Antigua and Barbuda,Denture,1.6697034638890191e-6,9.103970572955783e-6
Antigua and Barbuda,Denture_repair,1.6770184505714156e-6,7.936788839941813e-6
Antigua and Barbuda,Maintenance_perio,2.0751571257504545e-5,1.055895662841729e-4
Antigua and Barbuda,Implant_surgery,1.4042766486455592e-6,1.882546135234892e-5
Antigua and Barbuda,Full_fixed,1.2350750518190032e-6,1.237157801207738e-5
Argentina,Consult_simple,0.003842897620522067,0.020401864143183228
Argentina,OPG,7.359653719098983e-5,3.7159151610040715e-4
Argentina,PA,7.940208458453412e-5,2.987350716103824e-4
Argentina,Prophy,0.005573373547308189,0.017304790782372702
Argentina,Maintenance_simp,0.007991280593956547,0.037299776877043785
Argentina,OHI,1.1423909858430549e-4,6.582779794813146e-4
Argentina,Consult_perio,0.0018528714641801553,0.01003988820230363
Argentina,RootDeb,0.0022877461681993223,0.01170915495302318
Argentina,Extraction,0.003631575795973997,0.017967104328383644
Argentina,OFD,3.891159613252039e-5,2.435831695543221e-4
Argentina,GTR,9.330455609072367e-5,5.409268915656496e-4
Argentina,Single_implant,7.597786180582086e-4,0.003300782969381283
Argentina,Denture,6.130128422503492e-4,0.004289973044253352
Argentina,Denture_repair,6.096324187941037e-4,0.004045030054625607
Argentina,Maintenance_perio,0.007134845388899953,0.03159266239836611
Argentina,Implant_surgery,3.8725836581442056e-4,0.0033906683019293195
Argentina,Full_fixed,4.0436126208624154e-4,0.0035206879355483296
Armenia,Consult_simple,2.1784681678246903e-4,0.0016586208060850273
Armenia,OPG,4.2675643334742314e-6,2.8828420004882713e-5
Armenia,PA,4.702458639038902e-6,2.5416928245202798e-5
Armenia,Prophy,2.920095186235816e-4,9.858007046720442e-4
Armenia,Maintenance_simp,4.398690380685761e-4,0.002109091062816115
Armenia,OHI,5.1384354666844334e-6,3.616365227371382e-5
Armenia,Consult_perio,7.763186703351176e-5,6.166864254403165e-4
Armenia,RootDeb,8.661446486547875e-5,6.916733565891184e-4
Armenia,Extraction,1.6834483390848172e-4,0.001013175706783943
Armenia,OFD,1.6366682783296403e-6,1.3131791268254427e-5
Armenia,GTR,4.858371777002456e-6,2.2396161382588557e-5
Armenia,Single_implant,4.074615556565662e-5,2.2332164214554077e-4
Armenia,Denture,2.112318625813571e-5,1.8003541967631103e-4
Armenia,Denture_repair,2.5113215188363962e-5,1.8837595968342874e-4
Armenia,Maintenance_perio,3.7978504975527157e-4,0.0018381174122545068
Armenia,Implant_surgery,2.083255022435127e-5,2.602976651205885e-4
Armenia,Full_fixed,1.7732947217543542e-5,1.9650922865804325e-4
Australia,Consult_simple,0.006243336867311437,0.019559505336922838
Australia,OPG,1.331684444070441e-4,3.63461260022369e-4
Australia,PA,2.3037758306329126e-4,6.507290982123512e-4
Australia,Prophy,0.009413442185177152,0.03002990544558307
Australia,Maintenance_simp,0.013946120809861977,0.051869712179223836
Australia,OHI,1.2249051915143048e-4,4.180525423976932e-4
Australia,Consult_perio,0.0011751204169526213,0.004332779329656614
Australia,RootDeb,0.004116386451199231,0.014224487020737113
Australia,Extraction,0.008207830567637315,0.025948090927699227
Australia,OFD,1.3735274591288344e-4,4.6710835600477415e-4
Australia,GTR,8.790927089146435e-5,2.999382003590014e-4
Australia,Single_implant,0.0011128141021718972,0.0039980501180525724
Australia,Denture,5.379260351683807e-4,0.0015768156569154566
Australia,Denture_repair,0.0010857596655011808,0.0034546485761444523
Australia,Maintenance_perio,0.010635567640512038,0.04044309324111841
Australia,Implant_surgery,2.463171124618105e-4,0.0013081269046146503
Australia,Full_fixed,0.0011499926624020528,0.0062788814420585886
Austria,Consult_simple,0.0018056502895884448,0.006993024491258146
Austria,OPG,2.5498516525177568e-5,8.85605998088211e-5
Austria,PA,3.132199222422871e-5,1.1303406190143773e-4
Austria,Prophy,0.002048753808878962,0.006442973397389245
Austria,Maintenance_simp,0.0031147846619133343,0.013515994519490298
Austria,OHI,3.7267649720969314e-5,1.5545519789210248e-4
Austria,Consult_perio,5.600373891212976e-4,0.0024880264122364337
Austria,RootDeb,8.103813867888141e-4,0.003350988623751248
Austria,Extraction,0.0016220943256128235,0.00676938365241701
Austria,OFD,2.2555039321129425e-5,1.782795382619448e-4
Austria,GTR,2.4223442929198457e-5,1.0462859344367676e-4
Austria,Single_implant,2.3771101263595369e-4,8.884873740189671e-4
Austria,Denture,2.2983316816787303e-4,8.900690399453e-4
Austria,Denture_repair,2.3511192272523168e-4,8.99799199839642e-4
Austria,Maintenance_perio,0.002343972412032637,0.008466667495986908
Austria,Implant_surgery,9.62042761376807e-5,0.001114889821763267
Austria,Full_fixed,1.5196452413677666e-4,9.52192622351209e-4
Azerbaijan,Consult_simple,8.80441301257553e-4,0.005216652269049847
Azerbaijan,OPG,1.8517600387252405e-5,1.4309361931323338e-4
Azerbaijan,PA,1.658099769636359e-5,7.395980624770776e-5
Azerbaijan,Prophy,0.0012009823091798117,0.004403284600912847
Azerbaijan,Maintenance_simp,0.0018476716542188646,0.007763730234229105
Azerbaijan,OHI,1.9759726830969778e-5,1.2386951501305556e-4
Azerbaijan,Consult_perio,2.5779468244049007e-4,0.0013471595673695824
Azerbaijan,RootDeb,3.124541943042927e-4,0.0015441657658532397
Azerbaijan,Extraction,6.466939997400287e-4,0.0034659590397676686
Azerbaijan,OFD,9.98126796152136e-6,1.3910461129640244e-4
Azerbaijan,GTR,1.6439913189588946e-5,7.527255246779447e-5
Azerbaijan,Single_implant,1.4188114423589727e-4,7.583962309553875e-4
Azerbaijan,Denture,9.505191818372802e-5,5.950177931220027e-4
Azerbaijan,Denture_repair,8.42375379875544e-5,3.828452809271307e-4
Azerbaijan,Maintenance_perio,0.0011903466628014501,0.004710268293943415
Azerbaijan,Implant_surgery,7.834233132201002e-5,6.489566370326845e-4
Azerbaijan,Full_fixed,7.684126270151047e-5,6.039592254398325e-4
Bahamas,Consult_simple,6.0575283234716315e-5,3.9275342600583757e-4
Bahamas,OPG,1.0965289442175365e-6,4.952484442111743e-6
Bahamas,PA,1.1645265330045393e-6,4.588728610682101e-6
Bahamas,Prophy,7.255045597558421e-5,2.471146187984539e-4
Bahamas,Maintenance_simp,9.67995440206615e-5,3.623857699532316e-4
Bahamas,OHI,1.4484449134225792e-6,7.023692692409511e-6
Bahamas,Consult_perio,2.437983708136946e-5,1.1702851742918409e-4
Bahamas,RootDeb,3.458929120581296e-5,1.52710933030024e-4
Bahamas,Extraction,6.57608085550441e-5,3.307162378209691e-4
Bahamas,OFD,7.932425821499413e-7,4.300572052587164e-6
Bahamas,GTR,1.1402618288718524e-6,4.541781271905902e-6
Bahamas,Single_implant,1.197564056128862e-5,5.182945251481056e-5
Bahamas,Denture,8.868678493336244e-6,3.938651952482299e-5
