Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.2828429573524839,0.33281602408641436,0.10942889657866971,0.16644055350645737,0.0389687006440968,0.06493000377319227
Albania,0.13225672383228698,0.05320136030227686,0.046311116846213675,0.03451585860424518,0.015589390118492434,0.01739185448005057
Algeria,2.2267274526235012,0.9083332675058282,0.7709257565220433,0.5804493702991853,0.25376062309721625,0.2872397577951455
American Samoa,0.0026142232753443343,0.0011315902160198444,9.685300251814095e-4,7.477841205224798e-4,3.136347417782608e-4,3.5477781704264607e-4
Andorra,0.010931488871809348,0.0028556469681683574,0.0038855247920118285,0.0017322064189543038,0.0012298445650494245,0.0010566373806414208
Angola,0.835928639774887,0.5120642187176399,0.23428423979575955,0.23319924984842225,0.08108891182708194,0.1117701695202822
Antigua and Barbuda,0.00756968814862325,0.002657672077603728,0.003142096181539706,0.0018896460332209473,0.0010054995235235637,9.63180963042097e-4
Argentina,3.1310511170749646,1.1306205713417399,1.145093992040346,0.7316391240794262,0.3571349136059612,0.36919253472029573
Armenia,0.14947271369848725,0.06099661222589407,0.05491984284590319,0.04095315661543176,0.01785696922863862,0.01969077175083961
Australia,4.88048547626787,0.9322012195597956,1.688312371053428,0.40219432458916815,0.49699061556526863,0.35398442284460574
Austria,1.0940285346293888,0.2774346598055314,0.36224594129473503,0.15913204572181036,0.11306023150278534,0.09690198783000134
Azerbaijan,0.6062122503027144,0.21995048695078814,0.20438093257157441,0.14174608371128597,0.06609254742139878,0.0648690990579219
Bahamas,0.04028302730024162,0.012374403123032101,0.015805293811958547,0.008306811285034504,0.004962821329045312,0.004548665860625663
Bahrain,0.2079011127469896,0.05366329295771107,0.07231914620709852,0.03223438229652363,0.022129238085623924,0.018359515465624386
Bangladesh,6.5959764022257605,4.331828266715568,3.2203430214783775,3.495166622489934,1.1038858174212047,1.5346219101093437
Barbados,0.019824510484251524,0.008595107199378059,0.009156331149203995,0.006808461647587118,0.002832159586442309,0.0030351076169960224
Belarus,0.6876899731060624,0.24023688339988591,0.2713992889582371,0.1744316724148584,0.08582301851167394,0.08424443385246246
Belgium,1.6374795796503363,0.4516227433786961,0.6850193969112524,0.2959248374663809,0.20985461384815912,0.17456419694374065
Belize,0.01771298361066699,0.008898503788956982,0.006727494155999755,0.0060714460823589975,0.0021962342045918986,0.0026358941353266598
Benin,0.3085950306024883,0.25076546217343043,0.13586319601183897,0.1627789914698317,0.04583518789425256,0.06948351223502143
Bermuda,0.014036138537817959,0.003751601434969338,0.0064881694297969856,0.0024304490748453295,0.0019140997874393202,0.0014758512245801067
Bhutan,0.04368212301876286,0.020630634937940564,0.020255069261248135,0.01638900619792214,0.006745055879261361,0.007631994621928674
Bolivia (Plurinational State of),0.3835880247314931,0.2080896509707164,0.1410484028603175,0.13467376683871515,0.047727433662507736,0.06075324888217826
Bosnia and Herzegovina,0.1760903794698949,0.07040979677815463,0.06702392267982907,0.04904845253664768,0.020989063201633035,0.023843436505578176
Botswana,0.14824355835822747,0.03524847839525347,0.015875374698265037,0.005136354399158179,0.003324118839865472,0.0025463573893827283
Brazil,13.8710194440337,2.8610573153646848,3.2293100256442298,1.0500305413013198,0.5615529487862828,0.4131059490435335
Brunei Darussalam,0.06975662649595422,0.016819259828396993,0.016906449443132313,0.006747482091604163,0.0051484500373487575,0.004036322046096773
Bulgaria,0.4551909595717376,0.14694939326798134,0.15061708368042595,0.09464534313765481,0.0473417647156374,0.045060843206124586
Burkina Faso,0.5101507872966669,0.47925538286111147,0.2673161124194876,0.3674462021734123,0.0916585347392723,0.14340542498461498
Burundi,0.09174106970358883,0.2357399249129881,0.04469504754774133,0.06935862132532643,0.015948639936199934,0.028028279229813612
Cabo Verde,0.029210231935824626,0.018901621690381717,0.015545808514877376,0.015801261373493327,0.005126258811830855,0.006718031775976747
Cambodia,0.3921051724169057,0.2839856157923054,0.1452102409074489,0.16073943655155665,0.04806262465319553,0.06711077582250989
