Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.002030563452748261,0.03200045352898351
Afghanistan,OPG,0.024564514160343696,0.11780994964123276
Afghanistan,PA,0.006509873528861677,0.01988110491342573
Afghanistan,Prophy,0.03834908121009637,0.02579462368856695
Afghanistan,Maintenance_simp,0.051668540258119504,0.23794128366533074
Afghanistan,OHI,0.007296632199395648,0.050205801589150396
Afghanistan,Consult_perio,0.002680669568422083,0.012374936524971715
Afghanistan,RootDeb,0.0014326516875062519,0.024470222916028583
Afghanistan,Extraction,0.0018291834408042358,0.019031381203045154
Afghanistan,OFD,6.232526998731343e-6,3.413695627426469e-4
Afghanistan,GTR,0.0033454364796404574,0.0053445976440575785
Afghanistan,Single_implant,0.026190463157236978,0.05565688692348829
Afghanistan,Denture,9.289435239469979e-5,0.002297144716051018
Afghanistan,Denture_repair,2.94896278316005e-5,6.144249365831375e-4
Afghanistan,Maintenance_perio,0.10416087819545015,0.16499810978354415
Afghanistan,Implant_surgery,0.010067086221406736,0.028269865329829325
Afghanistan,Full_fixed,0.002588767285226782,0.018077990901589052
Albania,Consult_simple,0.0073515690922584835,0.01209080645558289
Albania,OPG,0.005913825820471115,0.008829462548528837
Albania,PA,0.0019826839221040123,0.002653740258340016
Albania,Prophy,0.012223836160696958,0.006391265815608061
Albania,Maintenance_simp,0.036714023738725336,0.02877883681852612
Albania,OHI,0.0022482075530520737,0.004166213121283904
Albania,Consult_perio,0.0013492008250365287,0.0025545038083642294
Albania,RootDeb,0.0034969783551879116,0.006423554705285126
Albania,Extraction,0.0029473895847431106,0.00555684127029095
Albania,OFD,3.931531045976954e-4,9.045162328123753e-4
Albania,GTR,9.303484945923735e-4,0.0012670800779313147
Albania,Single_implant,0.009631510509624025,0.012376628391111897
Albania,Denture,0.0010316308317697039,0.002645000120608432
Albania,Denture_repair,8.58781396338435e-4,0.0015762006254616296
Albania,Maintenance_perio,0.04111611706232896,0.03397510772001988
Albania,Implant_surgery,0.0022008747578454563,0.007827176303841972
Albania,Full_fixed,0.0018665926229148133,0.005670795350192156
Algeria,Consult_simple,0.12432047129704112,0.20798382828738943
Algeria,OPG,0.09892440231290439,0.14176673535352322
Algeria,PA,0.03410550687422264,0.04585051607248529
Algeria,Prophy,0.2154437244961163,0.11762787550778638
Algeria,Maintenance_simp,0.6230923837868516,0.4809599557013021
Algeria,OHI,0.03900194649273052,0.08513766575792954
Algeria,Consult_perio,0.023884665010352576,0.04727389024178737
Algeria,RootDeb,0.057856955041974766,0.13240338379401573
Algeria,Extraction,0.049691949813571654,0.11070054111417661
Algeria,OFD,0.006416421412896736,0.015867729227158164
Algeria,GTR,0.015974488823301304,0.023996727655080177
Algeria,Single_implant,0.15867259687740945,0.2115377533523995
Algeria,Denture,0.016055596961692342,0.040493781283733064
Algeria,Denture_repair,0.013661052470446924,0.02527509163309375
Algeria,Maintenance_perio,0.6842539141643217,0.5670121412603241
Algeria,Implant_surgery,0.03555631070090623,0.11583116295339241
Algeria,Full_fixed,0.02981506608676133,0.09314276648948158
American Samoa,Consult_simple,1.3746845700610802e-4,2.4805551292763863e-4
American Samoa,OPG,1.1086087692560818e-4,1.620425812365288e-4
American Samoa,PA,3.8863163879255385e-5,4.818558893124697e-5
American Samoa,Prophy,2.3371283644644026e-4,1.2330309738932282e-4
American Samoa,Maintenance_simp,6.811881319078673e-4,5.439042415952931e-4
American Samoa,OHI,4.473722746121099e-5,8.930827551006973e-5
American Samoa,Consult_perio,3.173833934488094e-5,7.260515056508389e-5
American Samoa,RootDeb,7.162082221258795e-5,1.4176642126856784e-4
American Samoa,Extraction,6.108699964805729e-5,1.8622526866522062e-4
American Samoa,OFD,7.771287324707615e-6,2.9160308820062505e-5
American Samoa,GTR,1.9537850312682746e-5,2.6472641048580955e-5
American Samoa,Single_implant,1.9674688680311234e-4,2.7535491548141426e-4
American Samoa,Denture,2.060836706039297e-5,5.618120503395183e-5
American Samoa,Denture_repair,1.7341002201118986e-5,3.178994636900252e-5
American Samoa,Maintenance_perio,8.620025410966662e-4,7.331280703049468e-4
American Samoa,Implant_surgery,4.397470911064093e-5,1.1487363491466347e-4
American Samoa,Full_fixed,3.496377660299559e-5,1.1353056357538278e-4
Andorra,Consult_simple,6.451998977084305e-4,5.012775883983058e-4
Andorra,OPG,4.2680751766818243e-4,3.3811905922093204e-4
Andorra,PA,1.593264665781956e-4,1.3601777681623785e-4
Andorra,Prophy,9.481472869948338e-4,4.981308407615984e-4
Andorra,Maintenance_simp,0.0030048335853667483,0.0013288501815237196
Andorra,OHI,1.8848512732947252e-4,1.7567892485566362e-4
Andorra,Consult_perio,1.265787444514615e-4,1.4974750302306793e-4
Andorra,RootDeb,4.0887226027171516e-4,4.3601894874955346e-4
Andorra,Extraction,3.561012443780272e-4,3.8879079025469536e-4
Andorra,OFD,4.804244785804188e-5,5.400508114501548e-5
Andorra,GTR,5.59404171580262e-5,6.409997889048565e-5
Andorra,Single_implant,7.256995381435521e-4,7.595533195462097e-4
Andorra,Denture,1.297372316397217e-4,1.624364547695347e-4
Andorra,Denture_repair,1.0964077641454428e-4,1.0828006109759745e-4
Andorra,Maintenance_perio,0.0033333093109967895,0.0017104723934965602
Andorra,Implant_surgery,9.686719359128752e-5,2.75082243999588e-4
Andorra,Full_fixed,1.6789982526031893e-4,3.3408334290463285e-4
Angola,Consult_simple,0.048403957183530244,0.15618070660902394
Angola,OPG,0.05259145710366257,0.12199456460173365
Angola,PA,0.014143490261760034,0.027600197371194846
