Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.005888658027883153,0.15723816790153528
Afghanistan,OPG,0.02423297505295274,0.09434086526078524
Afghanistan,PA,0.006305821289566985,0.01878958850663462
Afghanistan,Prophy,0.03878873353031764,0.025599709876799655
Afghanistan,Maintenance_simp,0.0825103396618243,0.5184699214941405
Afghanistan,OHI,0.007267742574107478,0.057886995413005335
Afghanistan,Consult_perio,0.002636653998028711,0.012224778206089911
Afghanistan,RootDeb,6.80998366324279e-4,0.006050594457523089
Afghanistan,Extraction,0.002453988391870607,0.030619192793618917
Afghanistan,OFD,3.1095405791982656e-13,1.2645865730059583e-11
Afghanistan,GTR,0.0033022609251273966,0.005268229378972798
Afghanistan,Single_implant,0.0250309186671256,0.04859416536210515
Afghanistan,Denture,9.691510984015734e-5,0.0038492946895013307
Afghanistan,Denture_repair,1.8866419519451217e-4,0.005347716543853111
Afghanistan,Maintenance_perio,0.04565572386769928,0.08080394876469918
Afghanistan,Implant_surgery,0.009326694011617552,0.025744468731998118
Afghanistan,Full_fixed,0.0025828772401764915,0.018573257433202876
Albania,Consult_simple,0.0072876110573361266,0.012487385308377253
Albania,OPG,0.0060341436094672445,0.009145604996113922
Albania,PA,0.002023491245073632,0.0027540430183922585
Albania,Prophy,0.012594825831965181,0.006634120602907118
Albania,Maintenance_simp,0.04187197882551051,0.030520950086149214
Albania,OHI,0.002405873234652841,0.004900795539177125
Albania,Consult_perio,0.0013663175042235064,0.0027728002713345336
Albania,RootDeb,0.0035552658485918692,0.006466458446639248
Albania,Extraction,0.003160783400735471,0.006465896805034336
Albania,OFD,3.966154362162861e-4,9.180499307410852e-4
Albania,GTR,9.799604180148434e-4,0.0013588913612977115
Albania,Single_implant,0.009906783445519242,0.012833209197231835
Albania,Denture,0.00100134226667407,0.0024072395356703013
Albania,Denture_repair,8.60260597189965e-4,0.0016067774173734043
Albania,Maintenance_perio,0.018749065552283325,0.01792937072540759
Albania,Implant_surgery,0.0022621477793979715,0.007080773650110208
Albania,Full_fixed,0.001795151562529356,0.005184802533895249
Algeria,Consult_simple,0.1325920514655479,0.2578827951558318
Algeria,OPG,0.10058162179066747,0.16237640823601646
Algeria,PA,0.0348381359450879,0.048200563007152135
Algeria,Prophy,0.21325070476172522,0.11333177120863593
Algeria,Maintenance_simp,0.7385189102423138,0.5689233606202747
Algeria,OHI,0.03937011697300092,0.07898035590184253
Algeria,Consult_perio,0.02325778424159398,0.046233547162100576
Algeria,RootDeb,0.05763601561441823,0.09605431390630934
Algeria,Extraction,0.04750152442872973,0.09562970432677145
Algeria,OFD,0.006478550235730671,0.016747368078922277
Algeria,GTR,0.015838729852008127,0.021180899183653595
Algeria,Single_implant,0.15707662176969403,0.1951300580110949
Algeria,Denture,0.01794432771625925,0.04869162470924851
Algeria,Denture_repair,0.0135918003449816,0.024975715309215902
Algeria,Maintenance_perio,0.29221104257623703,0.28170040749863484
Algeria,Implant_surgery,0.032632396249668516,0.08837046472871429
Algeria,Full_fixed,0.030112240418485068,0.08536884609148182
American Samoa,Consult_simple,1.424772696579499e-4,2.650698441195693e-4
American Samoa,OPG,1.1492075508206991e-4,1.7305405784576983e-4
American Samoa,PA,4.00214906870155e-5,5.618432368914359e-5
American Samoa,Prophy,2.3687657308441864e-4,1.2268411189099397e-4
American Samoa,Maintenance_simp,8.167544467006412e-4,6.208210575204178e-4
American Samoa,OHI,4.7988193839966575e-5,9.459835910393245e-5
