Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.7394995146922629,0.661453500693331,0.3729286736314324,0.5073237702882153,0.2452346507050216,0.3427409464209154
Albania,0.1245913452640516,0.05294267866007895,0.05317615901096741,0.036475059777369874,0.031001214680047406,0.027306843922415086
Algeria,1.8645695813547658,0.8221299871038266,0.7719420107344891,0.5608233613750925,0.45230109414660213,0.41309088964656454
Andorra,0.008847740288408339,0.0025066255408673845,0.0034762262122427176,0.0013710268451522032,0.0018877929728820294,0.0012000393624652553
Angola,0.7871067612417731,0.4434212481576099,0.3144818229768801,0.2973970839168914,0.19231860064786097,0.21039406223881107
Antigua and Barbuda,0.004089931367154347,0.0014116937518102116,0.0014282460070154318,8.119645031959625e-4,8.016435642690049e-4,6.34414579823529e-4
Argentina,1.7447323869813718,0.594637404173142,0.5180720714538926,0.29317570650987723,0.295198970183911,0.23215164130952617
Armenia,0.1702900621131846,0.07542732345616995,0.07724222905789804,0.05327906092346059,0.044852886924193425,0.039873138206473945
Australia,3.9371323120829187,0.9077087361926599,1.5968201408961145,0.34108149639783825,0.8098003861135211,0.4286320771270476
Austria,1.1585116256579442,0.32870335222499353,0.4965663403452545,0.1847966696908963,0.2695963086156361,0.16729420073423523
Azerbaijan,0.506868972286639,0.19444941145542896,0.20144389729339868,0.12663012361999884,0.11576957118185391,0.09612892081460829
Bahamas,0.010785410869484884,0.004133106618400601,0.001424187996935287,7.576731416635485e-4,7.93486088724817e-4,5.992228083748233e-4
Bahrain,0.21733095411374445,0.06511113554500741,0.09757401353210365,0.03827615823403007,0.05324138022851297,0.03393732666953876
Bangladesh,3.370610773282127,1.9154512879909793,1.2341733591942898,1.1765783723507743,0.7551512124197262,0.8401118227812624
Barbados,0.013961552002436702,0.006043983092679932,0.005972467596594888,0.00418975832621279,0.0034982869893013533,0.003134953222843153
Belarus,0.6579225385070825,0.23262839750870923,0.2803228813840557,0.1512344664709862,0.15814483629341533,0.1205830140928968
Belgium,1.1252084600188499,0.3146262888925632,0.433871367257055,0.16840684315148277,0.23474744230533406,0.14903598186245348
Belize,0.008478037052186757,0.0040495325396119695,0.002351429299993396,0.0018851287359807794,0.0013885423222674328,0.001368183781446971
Benin,0.4071808817101579,0.31620315283049294,0.20042545015838847,0.24033063118018794,0.12888594991892274,0.16661876221528413
Bhutan,0.02637196209522548,0.011663151177766149,0.01015041849921808,0.00761939667636405,0.005975399155093505,0.0056079363098219355
Bolivia,0.3819958958739897,0.20169729012675533,0.16382071254177907,0.14263815697151427,0.09906924180405095,0.10218647122669235
Bosnia and Herzegovina,0.14140815518090008,0.05692878285426512,0.056666472857016335,0.03726386373045882,0.03250665466430191,0.028112660630085023
Botswana,0.08115428608800981,0.023059128651053334,0.014974469951109933,0.004236546487097175,0.005523422794596118,0.0031710406945160783
Brazil,9.143748100486347,2.052391279465117,3.0564946815623406,0.8558529725929037,0.9242061490120006,0.4830883678239954
Brunei Darussalam,0.051432176987468825,0.013476193918026617,0.018386071910107087,0.006548047837825529,0.009795876489225391,0.005895958443056435
Bulgaria,0.5916499472721671,0.2049187230027996,0.2657894495463867,0.13344002917717102,0.14936112261473644,0.10884603751124432
Burkina Faso,0.5061345821594481,0.43012181553003476,0.24922130955811517,0.32611339469036144,0.16263908464142898,0.2183989838836816
Burundi,0.2235683446330827,0.2473736201980289,0.11889872103197183,0.1874348026522454,0.08185341787175286,0.12635584065096242
Cabo Verde,0.015009156413839982,0.008419529464050153,0.006241577544464861,0.005831510681436717,0.0037843396018830706,0.0041357754167552045
Cambodia,0.5097013825546021,0.31357306398792734,0.2305032889927619,0.23003643592923054,0.14208889379753012,0.1597824550625677
Cameroon,0.6492537544426278,0.43961102587548584,0.2782816556018663,0.3054763526534002,0.17245652747702792,0.2097025156794828
Canada,5.656112199049625,1.4396214333352932,2.30158797811008,0.5479099355646806,1.3452759716021485,0.6718092768628655
Central African Republic,0.015142768998188312,0.037332011474951785,0.0045107022133548495,0.007111043612883534,0.003141537609108092,0.004766314702657374
Chad,0.41978000074512994,0.3575611243113388,0.2078730728544428,0.27293891631501505,0.13649228443717976,0.18541976282490846
Chile,1.8476549953572554,0.4388924396402323,0.85765222524101,0.26085032829101035,0.26111237565306755,0.14489246601659697
China,23.728027151064452,6.190635832022364,8.522350536106401,2.196482326936057,7.2542336933430285,3.661743487228552
Colombia,2.0870090492825697,0.8392469824375246,0.8243227902391361,0.5524560578198461,0.48091112204080383,0.41749025427364655
Comoros,0.029421247115236165,0.022908506901789923,0.015156119130529567,0.017795204529965525,0.009588621039735812,0.012277713344301928
Congo,0.07978157623897851,0.050656919672065336,0.025627751023129388,0.02663863314294583,0.016148733462685666,0.018854695255501815
Costa Rica,0.305290605806549,0.11303801517204197,0.12970907445458882,0.07537655830266862,0.07417173306398904,0.0583320741982124
Croatia,0.2952957842071346,0.09256382986762564,0.1160653013921144,0.05486141930475362,0.06450804938574055,0.04566090210597506
Cuba,0,0,0,0,0,0
Cyprus,0.15721293660890026,0.04688483707664908,0.06878919779687773,0.02792389514172145,0.037535137961928124,0.024603274516382456
Czechia,0.35575897571944703,0.13072736092758092,0.03414353153329819,0.01600974488352392,0.018757162012762587,0.013153061873562237
Côte d'Ivoire,1.0682772560983695,0.6818633660951139,0.5110556705582701,0.5159909121906341,0.3203281706180931,0.3606016016160751
Democratic Republic of the Congo,1.3763758394774874,1.428856096073549,0.6955204270972164,1.0574183403542186,0.47394134147276606,0.717892321869494
Denmark,0.8228153057352354,0.22863370958171614,0.35143164300167207,0.12604762938059078,0.19038506143631426,0.11608218299310077
Djibouti,0.028447472691982147,0.017765754613502983,0.011846028766954756,0.012185595946810894,0.007357217147065195,0.008474221842319494
Dominica,0.0021948427622378412,9.153649826128121e-4,7.841039613694416e-4,5.626519755193024e-4,4.549303767214177e-4,4.131517535280975e-4
Dominican Republic,0.23439582429294595,0.10111006260378484,0.030393209081464454,0.01909723704537937,0.017410605502843006,0.014740708290381523
Ecuador,0.8593893055490625,0.3963144103362349,0.3819559783268925,0.28129940748508675,0.2246480254365171,0.20938769621225778
Egypt,2.1932225815303386,0.9600565343404315,0.4850017047616484,0.3412454162835984,0.28335355039440163,0.2541057067878083
El Salvador,0.26885836652441075,0.13591716071129303,0.11922035998923156,0.0969359688311643,0.07220191258416371,0.0703603641470573
Equatorial Guinea,0.06869248400920157,0.028476701054511867,0.027666440622040673,0.019014840987216078,0.016026910812130035,0.01398006740407931
Eritrea,0,0,0,0,0,0
Estonia,0.1332256125599834,0.04134406392248281,0.057687557707591715,0.02511318758581549,0.03151010688233598,0.021294009416205763
Eswatini,0.047601183240626066,0.025013213383999693,0.021211626659094766,0.018117784991945076,0.012940458593337088,0.013059032848336342
Ethiopia,2.8546634059333784,2.4512916407435954,1.4156810997948868,1.866708947229552,0.9444436630004442,1.2767994764809703
Fiji,0.04102835787210982,0.02139434462887905,0.01847907066569654,0.015198987773506686,0.01109732183751166,0.01120753632770545
Finland,0.5732660452653217,0.1642099232429359,0.23311593237875902,0.0916742822414336,0.12682566051942964,0.08126145180439104
