Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Australia,0.8158736391576387,0.3530526273263428,0.18108206235957194,0.1056251137290518,0.19733970278418703,0.1483890923978902
Botswana,0.020741089324368783,0.009731770066446892,0.001676920878214639,0.0010148798786254395,0.0013528196295404266,0.0010590714025689278
Brazil,1.9532805563306188,0.8116389753942347,0.348670706547952,0.20919141052854912,0.22518566839607687,0.16992567497468675
Canada,1.2032313288352436,0.5657559844570539,0.2639103805461095,0.14936695236509234,0.32662375045814485,0.23651468891791314
Chile,0.3597781290283518,0.15559897747262155,0.09795143207358736,0.06106076487483591,0.063354534963584,0.049595085440283966
China,5.077098572539088,2.355790298609096,1.112421336480204,0.6848543440958231,1.753577393179057,1.2669301036017875
France,0.9850304448353624,0.4306260441554198,0.17946267964428517,0.10558072238140546,0.26076267932627956,0.19524607949391848
Germany,2.272282731756072,0.9542295246666782,0.6966847384263786,0.42736376207539534,0.49112475843235087,0.36160126580479507
Italy,0.959581324141338,0.48591826148746436,0.10564328615647713,0.07358865846615643,0.39178408712386564,0.2872177116624269
Japan,1.4599632134274634,0.6100386032393774,0.2392755065034824,0.14252374329586348,0.4293318939642112,0.31126227652160315
"Korea, Rep.",0.4568535337618601,0.2061934827805284,0.09233494075619805,0.05438578122006878,0.18472561858173903,0.13764209630681473
Rwanda,0.008840176075226823,0.004809569223985529,0.0011101526356076556,9.878718351107804e-4,0.0015496431053000767,0.0014247808869755844
Spain,0.29944329228142363,0.13252983836444818,0.032224776340680016,0.019701380040827544,0.047674290291663944,0.0365961241913263
Sweden,0.41120710475216743,0.17505200997208822,0.07511149376850973,0.04505136137647779,0.08859286005606047,0.06463265019063752
Switzerland,0.29107438756193693,0.1293182536658667,0.07675069411763755,0.046750267917082144,0.0538729400087988,0.04010496874538647
Taiwan,0.41953886739903523,0.21231798949693464,0.14361075960346484,0.0949859395841354,0.15550932536582843,0.14926697839267222
Tanzania,0.18532270703299975,0.11998611404297044,0.021789846716436738,0.01892474971346247,0.02484520538772491,0.024867262950734177
United Kingdom,0.5654354133294694,0.3453020671625836,0.08083666135637485,0.06759457042219048,0.301420742929049,0.24910940421230582
United States,9.93212016183445,4.289584801026277,1.5980922079174884,0.9603347867122176,2.533656267004144,1.877941727683987
