Country,Severity,Mean_total_billions,SD_total_billions
Afghanistan,Health,0.020769524897060753,0.07856919341819854
Afghanistan,Stage_III_IVT1_2,0.45238217811378706,0.5689160535679719
Afghanistan,Stage_IVT3,0.09360688066875002,0.18478738803807934
Afghanistan,Stage_IVT4,0.12861988412712314,0.2614081193490749
Afghanistan,Stage_I_II,0.044121046885541894,0.15362701744331758
Albania,Health,0.00860014776283314,0.008489117528285767
Albania,Stage_III_IVT1_2,0.06503516433424596,0.04376841700419797
Albania,Stage_IVT3,0.014287854739138163,0.018664745482631164
Albania,Stage_IVT4,0.01792419546143658,0.02523684776756381
Albania,Stage_I_II,0.018743982966397774,0.01585299812349376
Algeria,Health,0.14245330628472874,0.14892736613387555
Algeria,Stage_III_IVT1_2,0.9480221625950666,0.6680516936971677
Algeria,Stage_IVT3,0.20494889866896712,0.27507872138335615
Algeria,Stage_IVT4,0.25657407183055136,0.3681633777034734
Algeria,Stage_I_II,0.3125711419754521,0.28140503784945536
Andorra,Health,7.694233325366995e-4,5.530170157971609e-4
Andorra,Stage_III_IVT1_2,0.0042771036952826014,0.0019481044804797241
Andorra,Stage_IVT3,9.574667534596415e-4,0.0010793829071901154
Andorra,Stage_IVT4,0.0011381963151374118,0.0013454664606520805
Andorra,Stage_I_II,0.001705550191991985,0.0010100178174780774
Angola,Health,0.06731327585239452,0.1011643897697513
Angola,Stage_III_IVT1_2,0.38216441968276615,0.34156458690188024
Angola,Stage_IVT3,0.08230198644076021,0.12481410454738258
Angola,Stage_IVT4,0.10798680887811192,0.17836729243899618
Angola,Stage_I_II,0.14734027038774028,0.19432635760323774
Antigua and Barbuda,Health,4.64041689246597e-4,3.8993503229596386e-4
Antigua and Barbuda,Stage_III_IVT1_2,0.0017488820144716936,0.001021113184902122
Antigua and Barbuda,Stage_IVT3,3.8442790362301063e-4,4.702104209992097e-4
Antigua and Barbuda,Stage_IVT4,4.724217296700824e-4,6.260180216782147e-4
Antigua and Barbuda,Stage_I_II,0.001020158030142963,7.172539256590916e-4
Argentina,Health,0.2473058192765103,0.20437373364089068
Argentina,Stage_III_IVT1_2,0.6368545366730681,0.3724580130082021
Argentina,Stage_IVT3,0.14025414314970788,0.1708809567491269
Argentina,Stage_IVT4,0.17295801441548736,0.23017207319902258
Argentina,Stage_I_II,0.547359873466598,0.38435339019712633
Armenia,Health,0.009130234888509494,0.009046715633286124
Armenia,Stage_III_IVT1_2,0.09459672353812333,0.06391173959707835
Armenia,Stage_IVT3,0.020733914761993974,0.027165236222417084
Armenia,Stage_IVT4,0.025755567152072317,0.03661265146342102
Armenia,Stage_I_II,0.020073621772485492,0.017167089041244605
Australia,Health,0.3355967630677738,0.22042511005646775
Australia,Stage_III_IVT1_2,1.9022818194674787,0.6455446805469849
Australia,Stage_IVT3,0.4228313827083672,0.4517714519952004
Australia,Stage_IVT4,0.5433842072249143,0.6039909126020504
Australia,Stage_I_II,0.7330381396143846,0.3907281028391167
Austria,Health,0.07703131822897871,0.055039292233020065
Austria,Stage_III_IVT1_2,0.6113848423903826,0.2682407765002343
Austria,Stage_IVT3,0.1374028684426502,0.15484866257220195
Austria,Stage_IVT4,0.1625477559153157,0.18904121313104325
Austria,Stage_I_II,0.17014484068061703,0.10125278168267357
Azerbaijan,Health,0.04349970590872916,0.03973009185552046
Azerbaijan,Stage_III_IVT1_2,0.24733419519096314,0.15558635800158552
Azerbaijan,Stage_IVT3,0.053883538418521455,0.06771239158953163
Azerbaijan,Stage_IVT4,0.06684871503822598,0.09062466517042855
Azerbaijan,Stage_I_II,0.09530281773019919,0.07349489798485506
Bahamas,Health,0.002555456078156554,0.0020255175483803
Bahamas,Stage_III_IVT1_2,0.001745656543720326,9.730319809820398e-4
Bahamas,Stage_IVT3,3.8711846122277307e-4,4.7041612374339967e-4
Bahamas,Stage_IVT4,4.6893106872441213e-4,6.011476314443516e-4
Bahamas,Stage_I_II,0.00562824871766082,0.003770068083367707
Bahrain,Health,0.011857263301803492,0.008578525601825145
Bahrain,Stage_III_IVT1_2,0.12004088792701241,0.05395074676904021
Bahrain,Stage_IVT3,0.026970802346208456,0.030377486534063407
Bahrain,Stage_IVT4,0.032078086985541744,0.038021641203405857
Bahrain,Stage_I_II,0.026383913553178342,0.015836130392215306
Bangladesh,Health,0.3579094142203585,0.5295974373952416
Bangladesh,Stage_III_IVT1_2,1.5051300154882807,1.3556497929550586
Bangladesh,Stage_IVT3,0.3202883445668224,0.49495576021531423
Bangladesh,Stage_IVT4,0.4170472660980659,0.6939714519887997
Bangladesh,Stage_I_II,0.7702357329085995,1.0207980172949576
Barbados,Health,9.52671665370539e-4,9.487223723197252e-4
Barbados,Stage_III_IVT1_2,0.0073100766999142424,0.005000429360406864
Barbados,Stage_IVT3,0.001592820221585809,0.002089707356158977
Barbados,Stage_IVT4,0.0020094137613334657,0.0028432485962462876
Barbados,Stage_I_II,0.0020965696542326467,0.0018099615437513299
Belarus,Health,0.044954660594086426,0.036804711217838466
Belarus,Stage_III_IVT1_2,0.34453942574999447,0.19294832974142415
Belarus,Stage_IVT3,0.07613408929484113,0.09144529265161158
Belarus,Stage_IVT4,0.09287455424339426,0.11977239529223441
Belarus,Stage_I_II,0.09941980862476615,0.06900353992037773
Belgium,Health,0.10277498059740972,0.07331786505463227
Belgium,Stage_III_IVT1_2,0.5329908893378691,0.23889011885312056
Belgium,Stage_IVT3,0.11936263013361836,0.1359100848863239
Belgium,Stage_IVT4,0.1418060481387722,0.16854764807560402
Belgium,Stage_I_II,0.22827391181118045,0.1367559745015961
Belize,Health,0.001324705906061753,0.0015282541954387433
Belize,Stage_III_IVT1_2,0.0028685837690212842,0.0022255177172674986
Belize,Stage_IVT3,6.22025086184475e-4,8.68485284004867e-4
Belize,Stage_IVT4,7.935526059428256e-4,0.0012166514091042453
Belize,Stage_I_II,0.0028691696849764184,0.002906348638282471
Benin,Health,0.013473264602907589,0.033950681248627775
Benin,Stage_III_IVT1_2,0.24448426021877503,0.270368885949083
Benin,Stage_IVT3,0.05089518864216483,0.09150942405302431
Benin,Stage_IVT4,0.06904731702466596,0.13349689569649287
Benin,Stage_I_II,0.029280851221644526,0.0684603899706094
Bhutan,Health,0.002461169371477689,0.0026241616589946248
Bhutan,Stage_III_IVT1_2,0.01240608355810362,0.009024254077278124
Bhutan,Stage_IVT3,0.002678133121412311,0.003626370985060875
Bhutan,Stage_IVT4,0.0034096370116173153,0.004949091389873435
Bhutan,Stage_I_II,0.005416939032614545,0.005049248035215781
Bolivia,Health,0.025684148174350708,0.03306818958318445
Bolivia,Stage_III_IVT1_2,0.20039808556984956,0.1656620653046783
Bolivia,Stage_IVT3,0.043083668188061724,0.062349566788691156
Bolivia,Stage_IVT4,0.05547160735873169,0.08702534720171584
Bolivia,Stage_I_II,0.057358386582996,0.064905881798041
Bosnia and Herzegovina,Health,0.01186520085694167,0.011121051044535092
Bosnia and Herzegovina,Stage_III_IVT1_2,0.06934864459495386,0.04523986405507058
Bosnia and Herzegovina,Stage_IVT3,0.015221745101534961,0.019404705715280763
Bosnia and Herzegovina,Stage_IVT4,0.01864752908942095,0.025967080554999054
Bosnia and Herzegovina,Stage_I_II,0.026325035538048602,0.021067640260877013
Botswana,Health,0.017064955000665107,0.01128053543563358
Botswana,Stage_III_IVT1_2,0.016715949592710406,0.006171437775688353
Botswana,Stage_IVT3,0.003205638645278575,0.003400546435458066
Botswana,Stage_IVT4,0.0042637963870590205,0.004691032599749927
Botswana,Stage_I_II,0.03990394646229671,0.021857731891831825
Brazil,Health,1.25351708883678,0.7985644423029281
Brazil,Stage_III_IVT1_2,3.346983594068223,1.200020897198707
Brazil,Stage_IVT3,0.6910087101207507,0.7241453836599074
Brazil,Stage_IVT4,0.8242944405136655,0.8882260739575082
Brazil,Stage_I_II,3.027944266946928,1.587533784216174
Brunei Darussalam,Health,0.005527901648102399,0.0038978910873414792
Brunei Darussalam,Stage_III_IVT1_2,0.0225959680749898,0.009695685327360159
Brunei Darussalam,Stage_IVT3,0.005068353895576011,0.005633304394953566
Brunei Darussalam,Stage_IVT4,0.005959775788484586,0.006860773482079556
Brunei Darussalam,Stage_I_II,0.012280177580316028,0.0071661313152021474
Bulgaria,Health,0.03272013997816707,0.026055545335110553
Bulgaria,Stage_III_IVT1_2,0.3264905092217895,0.17253485788465528
Bulgaria,Stage_IVT3,0.07233386125185612,0.08618147309569436
Bulgaria,Stage_IVT4,0.08783902029018816,0.10986647991334314
Bulgaria,Stage_I_II,0.07226641653016619,0.04814577926390358
Burkina Faso,Health,0.01817488342267462,0.060566686041200815
Burkina Faso,Stage_III_IVT1_2,0.3009136375338062,0.3651004532442117
Burkina Faso,Stage_IVT3,0.06368363846275502,0.11825177811836021
Burkina Faso,Stage_IVT4,0.08607235507347392,0.16848362833977587
Burkina Faso,Stage_I_II,0.037290067666738244,0.1178704900640496
Burundi,Health,0.0034335324725086225,0.03401790422710102
Burundi,Stage_III_IVT1_2,0.14366770746253396,0.2099409269070322
Burundi,Stage_IVT3,0.029107183290975395,0.06492135869765671
Burundi,Stage_IVT4,0.041447664063172386,0.09535898909071289
Burundi,Stage_I_II,0.005912257343892318,0.0675128452821325
Cabo Verde,Health,0.0011720322043357035,0.0016887614428586948
Cabo Verde,Stage_III_IVT1_2,0.00759040840657033,0.006714070973309424
Cabo Verde,Stage_IVT3,0.001626696814394633,0.0024352362405938685
Cabo Verde,Stage_IVT4,0.0021090264956660277,0.003435053167958927
Cabo Verde,Stage_I_II,0.002510992492873289,0.0032938567254952025
Cambodia,Health,0.02859395942970128,0.047866637364586045
Cambodia,Stage_III_IVT1_2,0.28073158559770023,0.2626388576982015
Cambodia,Stage_IVT3,0.059189478668598874,0.09419379679832102
Cambodia,Stage_IVT4,0.07855796845797886,0.13235274557548254
Cambodia,Stage_I_II,0.06262839040062283,0.09218080004389295
Cameroon,Health,0.04655375993825081,0.09193373387439666
Cameroon,Stage_III_IVT1_2,0.3369098043836349,0.34595295454368485
Cameroon,Stage_IVT3,0.07097331203921968,0.11973131341601066
Cameroon,Stage_IVT4,0.09458424102830505,0.16913063605239612
Cameroon,Stage_I_II,0.1002326370532174,0.1818592383697122
Canada,Health,0.3426664635396231,0.256876325908016
Canada,Stage_III_IVT1_2,3.070830376521923,1.1235405024967713
Canada,Stage_IVT3,0.7313330204240246,0.7930956978594759
Canada,Stage_IVT4,0.8618238842008782,0.9606884001318647
Canada,Stage_I_II,0.6494584543631764,0.39275135759694335
Central African Republic,Health,0.0024164194944131896,0.016611886488564154
Central African Republic,Stage_III_IVT1_2,0.005510000746353576,0.00794854812303344
Central African Republic,Stage_IVT3,0.0011271530483319416,0.0024717548970151363
Central African Republic,Stage_IVT4,0.0015937931677692083,0.003597994138385792
Central African Republic,Stage_I_II,0.004495402541320397,0.032499986837558954
Chad,Health,0.013919901777549695,0.04590950162298717
Chad,Stage_III_IVT1_2,0.2532072086346861,0.306542928326947
Chad,Stage_IVT3,0.05218044293331124,0.10098385414517512
Chad,Stage_IVT4,0.07187633950265487,0.14196930623593823
Chad,Stage_I_II,0.02859610789692802,0.09019463610326707
Chile,Health,0.14768170841586564,0.09946890440368733
