Country,Severity,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Australia,Health,0.01866531886809604,0.04612822512380473,NA,NA,NA,NA
Australia,Stage_III_IVT1_2,0.030363962964865997,0.06723381772388151,0.020575364117731264,0.04836547699624926,0.0020811627100910174,0.006724874303630205
Australia,Stage_IVT3,0.007107904367639666,0.022442266389469046,0.0025119656425389037,0.008379577989923002,0.0014023337302024213,0.005752939412789713
Australia,Stage_IVT4,0.008787791785760033,0.03038668285544665,0.0023050834409857938,0.006660315533146567,0.0027499972402072067,0.011034925931112525
Australia,Stage_I_II,0.03135381404667537,0.06904812138942,NA,NA,NA,NA
Botswana,Health,9.078883926367685e-4,0.0021844016343467586,NA,NA,NA,NA
Botswana,Stage_III_IVT1_2,2.634869528867816e-4,5.910114945170335e-4,1.9254501745198313e-4,4.744242408866251e-4,1.6189843387321485e-5,5.2811066292009405e-5
Botswana,Stage_IVT3,5.083303011375267e-5,1.7219211514950164e-4,2.424432345374942e-5,9.161894650110914e-5,1.0053073949465148e-5,4.785636351307845e-5
Botswana,Stage_IVT4,5.847724980339351e-5,1.878109360495715e-4,2.0950247909442067e-5,6.145866426382627e-5,1.9484020381469145e-5,7.800960027902736e-5
Botswana,Stage_I_II,0.0016336084879281566,0.003768213039451383,NA,NA,NA,NA
Brazil,Health,0.07327164487291253,0.17337031719663773,NA,NA,NA,NA
Brazil,Stage_III_IVT1_2,0.060945023323032296,0.1381512485063655,0.03893326712215951,0.09502343035147084,0.0029377656487675928,0.009297099599241094
Brazil,Stage_IVT3,0.013544932785437678,0.04309959410913292,0.004804750530562972,0.01944746749273073,0.00199179892576462,0.007462906129289605
Brazil,Stage_IVT4,0.015365787515401453,0.05145458424047139,0.004432325828975063,0.01374869816718726,0.0031865002257585972,0.012322954594743963
Brazil,Stage_I_II,0.13074328608752017,0.29207518594077814,NA,NA,NA,NA
Canada,Health,0.024305363226580598,0.06718478541735284,NA,NA,NA,NA
Canada,Stage_III_IVT1_2,0.049544574769063474,0.10939383303123128,0.026535697908785096,0.06616260123200354,0.003398641746626334,0.010827014614121852
Canada,Stage_IVT3,0.012786934747484015,0.04126523921144002,0.0031029174624564878,0.010906078080547886,0.002075319849639486,0.007878475906713176
Canada,Stage_IVT4,0.015436073710885234,0.052962330606895466,0.0032409437128171257,0.009430645539095043,0.003765200602938187,0.01521592001498948
Canada,Stage_I_II,0.03272404005512018,0.07630122857310513,NA,NA,NA,NA
Chile,Health,0.008230167349129033,0.019715077937095482,NA,NA,NA,NA
Chile,Stage_III_IVT1_2,0.016294850123415788,0.03745318357403279,0.011073366756991927,0.027225172611254015,8.131397775357575e-4,0.0026517426217022555
Chile,Stage_IVT3,0.003723217270295145,0.012189390318344897,0.0013670946045271763,0.004985249392866231,5.47384879075369e-4,0.0021760611875176164
Chile,Stage_IVT4,0.00425984162005831,0.01722164346898434,0.0012010834773146727,0.0036009055998739116,9.184887357923373e-4,0.003993041846495092
Chile,Stage_I_II,0.01463016940385796,0.03350909355184058,NA,NA,NA,NA
China,Health,0.10992917195954312,0.2664605387619363,NA,NA,NA,NA
China,Stage_III_IVT1_2,0.16909352377839304,0.38437175619983377,0.11668870725847566,0.26613339991357615,0.018542427049833967,0.059834891536036744
China,Stage_IVT3,0.03714712052390877,0.11891583875753271,0.013580070780131221,0.04019407128930031,0.010400405836017732,0.04105367275279283
China,Stage_IVT4,0.044746077194934314,0.15799653063692978,0.01314932929470908,0.036831195226461715,0.016688983045665334,0.06813786606460588
China,Stage_I_II,0.18667793137921598,0.43468803793611727,NA,NA,NA,NA
France,Health,0.027046892324265,0.06660156253195128,NA,NA,NA,NA
France,Stage_III_IVT1_2,0.03146434915772852,0.0688719481043333,0.019529942079695654,0.04584097243415055,0.003848372153821793,0.01213097922245869
France,Stage_IVT3,0.007438155279205862,0.023262560714481552,0.002384072152858219,0.008367798408678236,0.002343196680424493,0.008915395978420948
France,Stage_IVT4,0.009402302710739217,0.03550245589577336,0.0024022306982182345,0.007236371191828026,0.0038468367503233336,0.016696197360527267
